municipality,group,variable,month,Otros en menores de 5 años,TOTAL
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,3,3
SANTA ROSA DEL SARA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
SIPE SIPE,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,7,7
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,3,3
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,158,158
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,120,120
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,5,5
TIRAQUE (CBBA),diagnostico de egreso,otros en menores de 5 anos,2008-01-01,17,17
TOLEDO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,5,5
TOTORA(CBBA),diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,236,236
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,27,27
UNCIA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,65,65
URIONDO (A. CONCEPCION),diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,6,6
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,18,18
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,38,38
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,16,16
VINTO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
WARNES,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,4,4
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,54,54
YAMPARAEZ,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,8,8
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,6,6
APOLO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,12,12
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,otros en menores de 5 anos,2008-02-01,3,3
BAURES,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,1,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,16,16
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,27,27
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,7,7
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,9,9
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2008-02-01,15,15
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,5,5
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,16,16
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,118,118
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,9,9
COROICO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,1,1
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,123,123
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
ENTRE RIOS,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,22,22
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,9,9
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2008-02-01,1,1
IXIAMAS,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,1,1
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,533,533
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,24,24
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,7,7
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,1,1
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,5,5
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,20,20
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,116,116
ORURO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,227,227
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,6,6
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,9,9
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,55,55
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,10,10
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,22,22
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,30,30
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,30,30
REYES,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,35,35
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,3,3
SACABA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,31,31
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,11,11
SAN BUENA VENTURA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,10,10
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,45,45
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,5,5
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,6,6
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
SAN RAMON,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,1,1
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,10,10
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,717,717
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,1,1
SIPE SIPE,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,12,12
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,5,5
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,212,212
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,87,87
TIPUANI,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,6,6
TIRAQUE (CBBA),diagnostico de egreso,otros en menores de 5 anos,2008-02-01,25,25
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,322,322
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,17,17
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,6,6
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,14,14
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,26,26
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,otros en menores de 5 anos,2008-02-01,1,1
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,8,8
WARNES,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,6,6
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,41,41
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,4,4
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2008-02-01,2,2
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,29,29
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,otros en menores de 5 anos,2008-03-01,4,4
BAURES,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,25,25
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,23,23
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,31,31
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,7,7
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,13,13
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,14,14
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2008-03-01,7,7
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,25,25
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,125,125
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
COLQUIRI,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,8,8
COROICO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,11,11
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,7,7
CUATRO CAÑADAS,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,9,9
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,112,112
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
ENTRE RIOS,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,89,89
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,200,200
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,4,4
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,660,660
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,31,31
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,4,4
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,7,7
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,10,10
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,119,119
ORURO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,265,265
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,5,5
PAILON,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,3,3
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
PATACAMAYA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
POROMA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,3,3
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,78,78
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,4,4
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,16,16
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,33,33
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,34,34
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,50,50
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,4,4
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,7,7
SACABA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,49,49
SACACA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
SAMAIPATA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,4,4
SAN BUENA VENTURA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,6,6
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,43,43
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,4,4
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,4,4
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,3,3
SAN RAMON,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
SAN RAMON,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,7,7
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,875,875
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
SIPE SIPE,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,12,12
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,3,3
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,235,235
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,97,97
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,7,7
TIRAQUE (CBBA),diagnostico de egreso,otros en menores de 5 anos,2008-03-01,30,30
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,355,355
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,15,15
UNCIA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,165,165
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,10,10
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,17,17
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,21,21
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,7,7
VINTO,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
WARNES,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,35,35
YAMPARAEZ,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,1,1
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2008-03-01,2,2
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,12,12
APOLO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,6,6
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,20,20
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,otros en menores de 5 anos,2008-04-01,2,2
BAURES,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,27,27
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,2,2
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,26,26
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,29,29
CARACOLLO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,10,10
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,7,7
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,10,10
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2008-04-01,4,4
CHUMA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,33,33
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,124,124
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,11,11
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,3,3
COROICO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,11,11
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,3,3
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,2,2
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,124,124
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,3,3
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,72,72
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,30,30
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,2,2
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,6,6
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,765,765
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,25,25
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,4,4
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,8,8
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,10,10
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,115,115
ORURO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,70,70
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,2,2
PAILON,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,25,25
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,3,3
PATACAMAYA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,2,2
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,9,9
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,38,38
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,3,3
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,12,12
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,50,50
REYES,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,21,21
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,2,2
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,12,12
SACABA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,19,19
SAMAIPATA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,4,4
SAN BUENA VENTURA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,16,16
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,87,87
SAN JAVIER(STC),diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,1,1
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,9,9
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,6,6
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,2,2
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,5,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,945,945
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2008-04-01,2,2
