municipality,group,variable,month,Diabetes en mayores de 5 años,TOTAL
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,3,3
CAMARGO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,3,3
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,7,7
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,21,21
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
CONCEPCION,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,2,2
CULPINA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,6,6
FERNANDEZ ALONSO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,17,17
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,13,13
MAIRANA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,6,6
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,43,43
PUERTO CARABUCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
PUNATA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,2,2
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,8,8
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,3,3
SAN BORJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,8,8
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
SAN RAMON,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,100,100
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,16,16
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,21,21
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,20,20
TUPIZA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,17,17
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
VILLA MONTES,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
VILLA TUNARI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,1,1
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,7,7
ASCENCION DE GUARAYOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,2,2
ATOCHA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,5,5
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
CAMARGO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,7,7
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
CHARAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,16,16
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,33,33
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,2,2
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,12,12
ENTRE RIOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,4,4
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,14,14
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,12,12
LLALLAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,4,4
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,3,3
PADILLA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,2,2
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,10,10
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,5,5
ROBORE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,4,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,2,2
SAN JULIAN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,4,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,57,57
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,16,16
SIPE SIPE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,2,2
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,7,7
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,17,17
TIPUANI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,12,12
TUPIZA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,2,2
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
VILLA TUNARI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,1,1
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-06-01,6,6
APOLO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
ATOCHA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,2,2
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,13,13
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
CHARAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,3,3
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,12,12
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,64,64
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,9,9
GUANAY,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,18,18
LA GUARDIA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,11,11
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,2,2
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,7,7
PATACAMAYA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,45,45
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,7,7
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
SAN BORJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,7,7
SAN CARLOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,6,6
SAN JULIAN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,4,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
SAN RAMON,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,2,2
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,80,80
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,4,4
SIPE SIPE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,1,1
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,11,11
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,6,6
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,21,21
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,2,2
VILLA TUNARI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,5,5
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-07-01,8,8
ATOCHA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,2,2
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,3,3
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,9,9
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,2,2
CHARAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,5,5
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,62,62
CONCEPCION,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,2,2
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,2,2
ENTRE RIOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,19,19
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,23,23
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
MAIRANA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
MONTERO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,2,2
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,6,6
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,61,61
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,10,10
PUERTO SUAREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,5,5
RURRENABAQUE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,3,3
SAN JULIAN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,3,3
SAN MATIAS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,1,1
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,108,108
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,4,4
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,7,7
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,11,11
TIPUANI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,2,2
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,5,5
TUPIZA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,21,21
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,3,3
YAPACANI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-08-01,5,5
ATOCHA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,2,2
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
BETANZOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
BOYUIBE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,8,8
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,2,2
CHARAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,3,3
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,66,66
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,3,3
COMARAPA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
CONCEPCION,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,2,2
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,5,5
GUANAY,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,9,9
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,32,32
LLALLAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,5,5
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,28,28
PUERTO QUIJARRO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
PUERTO SUAREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,4,4
PUERTO VILLARROEL,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,2,2
PUNATA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,7,7
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,2,2
SAMAIPATA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
SAN BORJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,3,3
SAN JOAQUIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,4,4
SAN MATIAS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,72,72
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,4,4
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,9,9
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,4,4
TIPUANI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,1,1
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,7,7
TUPIZA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,28,28
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,4,4
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-09-01,4,4
ASCENCION DE GUARAYOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,1,1
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,3,3
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,10,10
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,3,3
CARMEN RIVERO TORREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,8,8
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,80,80
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,2,2
COMARAPA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,2,2
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,1,1
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,5,5
EL TORNO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,5,5
ENTRE RIOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,1,1
FILADELFIA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,1,1
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-10-01,3,3
