municipality,group,variable,month,Diarreas en menores de 5 años,TOTAL
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,59,59
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,12,12
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,27,27
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,8,8
IXIAMAS,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,6,6
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,73,73
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,14,14
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,4,4
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,61,61
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,56,56
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
PAMPA GRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
PATACAMAYA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,48,48
PRESTO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,24,24
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,10,10
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,9,9
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,9,9
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,29,29
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,4,4
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,7,7
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
SAN BUENA VENTURA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,20,20
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,15,15
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,34,34
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
SAN PEDRO DE BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
SAN RAMON,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,334,334
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
SIPE SIPE,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,4,4
SORATA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,47,47
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,16,16
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
TIRAQUE (CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,11,11
TOLEDO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
TOTORA(CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,31,31
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,6,6
UNCIA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,10,10
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,16,16
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,4,4
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,7,7
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,16,16
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,10,10
ZUDAÑEZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,3,3
APOLO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,9,9
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,4,4
AYATA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,4,4
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,30,30
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,3,3
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,6,6
CARACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,2,2
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,3,3
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,15,15
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,6,6
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,5,5
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,3,3
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,5,5
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,4,4
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,97,97
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,2,2
COLQUIRI,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,4,4
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,7,7
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,84,84
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,5,5
ENTRE RIOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,51,51
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,7,7
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,5,5
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,10,10
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,14,14
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,79,79
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,15,15
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,2,2
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,6,6
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,4,4
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,40,40
OCURI,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,52,52
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,2,2
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,2,2
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,61,61
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,2,2
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,4,4
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,20,20
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,18,18
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,11,11
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,2,2
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,30,30
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,5,5
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,3,3
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,39,39
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,6,6
SAN BUENA VENTURA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,4,4
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,26,26
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,18,18
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,2,2
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,37,37
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,3,3
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,4,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,309,309
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,59,59
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,8,8
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,3,3
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,8,8
TIRAQUE (CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,27,27
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,34,34
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,7,7
UNCIA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,21,21
URIONDO (A. CONCEPCION),diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,5,5
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,31,31
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,9,9
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,11,11
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,19,19
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,15,15
ZUDAÑEZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-03-01,1,1
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,8,8
APOLO,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,6,6
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,4,4
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,6,6
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,40,40
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,2,2
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,4,4
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,16,16
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,4,4
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,23,23
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,16,16
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,3,3
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,2,2
CHUMA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,1,1
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,13,13
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,11,11
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,186,186
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,3,3
COLOMI,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,1,1
COLQUIRI,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,2,2
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,4,4
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,1,1
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,3,3
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,3,3
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,7,7
CUATRO CAÑADAS,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,2,2
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,117,117
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,5,5
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,12,12
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,36,36
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,1,1
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,3,3
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,4,4
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,2,2
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,145,145
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,22,22
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2008-04-01,2,2
