municipality,group,variable,month,Hipertensión Arterial en mayores de 5 años,TOTAL
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,25,25
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,7,7
SANTA ROSA DEL SARA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,24,24
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,16,16
TIPUANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,10,10
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
VILLA TUNARI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,2,2
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,5,5
APOLO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
ATOCHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
CAMARGO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,2,2
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,6,6
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,3,3
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,13,13
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,19,19
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,5,5
MORO MORO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,3,3
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,34,34
PATACAMAYA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,25,25
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,7,7
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,5,5
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,16,16
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,2,2
SAMAIPATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,12,12
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,6,6
SAN LUCAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,4,4
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,26,26
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,7,7
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,21,21
TARABUCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,30,30
TIPUANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,2,2
TOMINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,21,21
TUPIZA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,15,15
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,3,3
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,6,6
YAMPARAEZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-04-01,1,1
APOLO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
ATOCHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,10,10
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
CAMARGO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,17,17
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,6,6
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,14,14
CONCEPCION,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,14,14
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,11,11
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,8,8
MAIRANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
MORO MORO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,8,8
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,3,3
PAMPA GRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
PATACAMAYA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,36,36
PUERTO CARABUCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,3,3
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,6,6
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,11,11
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,3,3
SAN ANTONIO DE LOMERIO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,8,8
SAN JOSE DE CHIQUITOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
SAN RAMON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,34,34
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,10,10
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,16,16
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,32,32
TIPUANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
TUPIZA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,11,11
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,1,1
VILLA MONTES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,2,2
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-05-01,4,4
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,6,6
ATOCHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,3,3
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,2,2
CAMARGO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,5,5
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,23,23
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,4,4
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,3,3
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,30,30
COLCAPIRHUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,2,2
CULPINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,5,5
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,9,9
HUACARETA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,22,22
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,5,5
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,4,4
PATACAMAYA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,56,56
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,4,4
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,9,9
ROBORE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,4,4
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,2,2
SAMAIPATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,2,2
SAN IGNACIO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,4,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,4,4
SAN JULIAN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
SAN RAMON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,2,2
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,76,76
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,10,10
SANTA ROSA DEL SARA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,1,1
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,36,36
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,13,13
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,37,37
VILLA MONTES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,2,2
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-06-01,8,8
APOLO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,4,4
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,6,6
ATOCHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,8,8
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,22,22
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,2,2
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,4,4
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,38,38
COLPA BELGICA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
COTOCA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,4,4
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,13,13
IRUPANA (VILLA DE LANZA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,5,5
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,20,20
LLALLAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,6,6
MAIRANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,2,2
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,4,4
PATACAMAYA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,60,60
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,13,13
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,3,3
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,2,2
SAN ANTONIO DE LOMERIO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,10,10
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,11,11
SAN JOAQUIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,3,3
SAN JULIAN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,2,2
SAN RAFAEL,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,3,3
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,6,6
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,245,245
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,9,9
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,17,17
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,15,15
TOLEDO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,2,2
TOMINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,37,37
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,2,2
VILLA MONTES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,1,1
VILLA TUNARI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,3,3
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-07-01,3,3
APOLO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,2,2
ATOCHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,10,10
BAURES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,3,3
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,2,2
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,2,2
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,22,22
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,2,2
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,6,6
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,6,6
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,28,28
COMARAPA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,1,1
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,3,3
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,3,3
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,12,12
HUACAYA (VILLA DE HUACAYA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,1,1
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,10,10
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,15,15
LAS CARRERAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,1,1
LLALLAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,1,1
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,3,3
MAIRANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,1,1
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,5,5
MONTERO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-08-01,2,2
