,group,variable,month,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,2,3
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,2,2
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,5,5
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,3,11,14
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,3,3
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,3,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,6,2,8
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
CAJUATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,1,3
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,3,0,3
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,14,15,29
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,36,3,39
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,7,4,11
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,1,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,6,6
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,6,1,7
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,13,0,13
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,3,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,48,37,85
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,3,5,8
ESCOMA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,3,2,5
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,5,6
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,5,11,16
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,5,5
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,8,12,20
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,30,3,33
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,14,14
LAJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,3,3
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,7,7
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,1,3
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,8,8
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,4,1,5
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,6,6
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,3,4
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,10,12
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,7,7
PORCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,0,2
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,9,9,18
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,5,3,8
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,4,0,4
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,4,4
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,6,8,14
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,3,5
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,46,48
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,4,11,15
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,2,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,9,0,9
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,11,17,28
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,5,3,8
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,2,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,116,17,133
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,3,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,15,17
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,0,2
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,5,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,9,0,9
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,2,18,20
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,5,0,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,3,4
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,2,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,7,7
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,4,2,6
TURCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,8,8
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,0,5,5
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,2,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
YANACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,6,7
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-02-01,1,28,29
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,5,0,5
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,8,10
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,8,8
ALCALA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,30,30
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,23,23
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,18,18
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,8,5,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,3,3
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,0,3
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,16,17
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,3,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,18,22,40
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,3,3
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,4,0,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,1,2
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,17,17
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,108,108
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,0,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,2,2
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,0,2
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,5,0,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,3,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,16,10,26
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,10,2,12
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,4,1,5
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,0,1
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,0,3
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,4,7,11
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,20,20,40
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,7,10
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,2,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,26,26
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,29,127,156
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,35,38
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,1,1
