,group,variable,month,L 19.9 SRP DOSIS ÚNICA CANTIDAD,L 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,30,0,30
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,3,4,7
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,4,1,5
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,3,4,7
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,4,3,7
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,19,1,20
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,4,4
UMALA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,8,10
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,2,2
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,6,1,7
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,1,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,1,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,12,1,13
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,1,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,1,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,1,2
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,2,2
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,15,15
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,4,11,15
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,11,6,17
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,5,7,12
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,14,14
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,5,2,7
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,56,15,71
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,4,7,11
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,2,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,66,6,72
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,3,1,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,0,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,4,51,55
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,8,0,8
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,72,2,74
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,3,4
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,4,1,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,6,2,8
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,12,2,14
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,49,49
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,5,6
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,1,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,50,0,50
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,4,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,7,0,7
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,24,8,32
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,3,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,4,2,6
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,17,0,17
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,6,3,9
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,0,2
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,11,11
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,193,90,283
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,3,5,8
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,3,0,3
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,12,1,13
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,1,2
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,7,6,13
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,5,6
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,4,6,10
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,1,3
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,11,14,25
UNCIA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,1,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,1,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,2,2
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,0,7,7
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,7,1,8
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-02-01,2,5,7
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,3,3
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,3,1,4
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,13,13
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,4,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,4,0,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,23,24
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,18,18
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,6,0,6
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,143,43,186
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,3,7,10
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,4,6
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,101,5,106
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,4,6,10
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,0,2
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,7,9
ICLA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,2,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,5,0,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,7,0,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,148,12,160
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,4,0,4
