,group,variable,month,L 19.3 DPT 3RA DOSIS CANTIDAD,L 19.3 DPT 3RA DOSIS CANTIDAD,TOTALES
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,17,3,20
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,16,0,16
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,2,3
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,9,9
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,78,112,190
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,1,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,5,5
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,3,0,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,3,1,4
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,5,10,15
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,1,2
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,8,8
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,6,6
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,1,1
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,7,4,11
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,10,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,11,12
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,4,20,24
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,5,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,30,30
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,7,0,7
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,33,15,48
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,3,7,10
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,2,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,2,1,3
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,41,4,45
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,1,2
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,3,4
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,5,2,7
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,18,11,29
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,4,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,4,0,4
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,8,8
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,3,1,4
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,32,49,81
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,2,3
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,3,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,4,1,5
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,6,0,6
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,5,6
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,18,26,44
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,9,0,9
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,3,8,11
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,7,7
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,3,3
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,5,5
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,103,32,135
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,3,1,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,1,2
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,11,11
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,17,1,18
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,6,6
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,1,2
TORO TORO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,4,0,4
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,3,15,18
UNCIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,5,0,5
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,15,0,15
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,4,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,1,3,4
YACO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-03-01,6,4,10
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,1,1
ALCALA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,8,8
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,4,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,2,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,9,10
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,10,1,11
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,4,4
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,5,5
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,7,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,24,35,59
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,0,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,4,5
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,9,9
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,84,0,84
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,18,34,52
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,8,8
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,7,7
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,6,0,6
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,3,0,3
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,2,0,2
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,37,37
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,5,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,10,0,10
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,5,0,5
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,6,0,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,6,7
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,3,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,6,2,8
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,21,21
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,0,1
