,group,variable,month,L 19.4 DPT 4TA DOSIS CANTIDAD,L 19.4 DPT 4TA DOSIS CANTIDAD,TOTALES
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,31,8,39
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,22,16,38
REYES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,10,11,21
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,29,1,30
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,2,4
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,52,76,128
SAIPINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,6,6,12
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,19,8,27
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,5,0,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,28,5,33
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,18,0,18
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,6,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,4,0,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,5,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,2,3
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,14,25,39
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,4,0,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,6,1,7
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,6,9,15
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,24,0,24
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,368,12,380
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,5,10,15
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,12,1,13
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,5,2,7
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,20,16,36
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,27,0,27
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,7,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,124,8,132
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,4,0,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,5,6
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,6,5,11
TARATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,76,10,86
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,5,5
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,21,0,21
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,4,0,4
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,45,7,52
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,9,2,11
URUBICHA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,40,40
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,7,2,9
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,32,6,38
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,20,2,22
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,18,27,45
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,6,1,7
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,42,1,43
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,12,0,12
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,9,2,11
YOTALA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,6,0,6
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,6,6
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,3,28,31
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,7,20,27
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,22,27
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,0,2
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,10,10
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,56,56
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,25,0,25
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,19,20
BAURES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,21,0,21
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,8,13
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,3,0,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,4,4
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,7,7
CAMARGO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,9,2,11
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,5,7
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,29,1,30
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,3,8,11
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,8,3,11
CATACORA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,12,14
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,5,5
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,26,51,77
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,3,22,25
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,17,18
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,23,23
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,14,18,32
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,4,52,56
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,254,30,284
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,9,11
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,5,5
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,26,38,64
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,31,19,50
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,5,10
COMANCHE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,13,0,13
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,4,1,5
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,1,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,6,41,47
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,21,12,33
CUEVO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,8,28,36
CULPINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,4,2,6
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,3,3
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,2,7
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,324,393,717
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,19,3,22
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,14,10,24
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,14,9,23
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,12,13
HUACARETA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,3,3
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,0,2
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,0,2
HUMANATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,4,4
ICLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,4,5
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,6,0,6
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,4,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,35,3,38
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,274,202,476
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,22,24
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,1,2
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,12,7,19
LORETO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,0,2
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,12,0,12
MAIRANA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,0,5
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,6,6
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,14,0,14
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,74,0,74
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,4,10,14
OCURI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,12,12
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,11,16
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,8,10
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,72,8,80
PADILLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,6,1,7
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,13,167,180
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,14,14
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,0,5
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,6,19,25
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,9,9,18
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,8,12,20
PORCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,28,28
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,4,0,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,85,0,85
PRESTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,5,10
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,12,15,27
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,1,1
