,group,variable,month,L 19.2 DPT 2DA DOSIS CANTIDAD,L 19.2 DPT 2DA DOSIS CANTIDAD,TOTALES
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,5,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,4,11,15
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,3,3
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,3,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,7,2,9
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,0,2
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,14,15,29
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,3,2,5
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,10,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,2,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,17,3,20
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,30,23,53
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,1,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,6,6
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,6,1,7
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,13,0,13
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,2,2
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,4,9,13
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,4,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,3,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,60,37,97
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,3,5,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
EXALTACION,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,3,2,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,5,4,9
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,5,5
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,4,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,21,4,25
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,14,14
LAJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,6,6
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,7,7
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,1,3
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,8,8
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,4,1,5
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,6,6
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,3,4
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,12,14
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,7,7
PORCO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,4,0,4
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,10,9,19
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,5,3,8
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,23,29,52
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,6,0,6
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,4,4
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,6,8,14
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,3,5
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,17,19
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,4,11,15
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,2,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,9,0,9
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,11,17,28
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,5,3,8
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,2,4
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,5,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,188,17,205
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,3,3,6
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,15,17
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,0,2
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,5,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,40,5,45
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,12,12
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,6,2,8
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,2,3
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,3,4
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,2,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,4,5
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,7,7
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,10,2,12
TURCO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,15,15
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,5,5
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,2,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,28,29
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,5,0,5
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,6,6
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,9,9
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,1,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,18,18
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,42,5,47
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,11,11
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,5,0,5
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,16,16
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,6,7
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,4,4
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,18,22,40
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,5,5
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,4,0,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,4,1,5
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,46,47
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,72,72
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,12,12
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,7,11,18
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,3,6
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,31,31,62
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,28,19,47
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,1,4
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,8,9
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,4,7,11
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,23,22,45
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,7,9
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,26,26
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,1,2
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,29,127,156
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,36,39
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,1,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,17,17
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,6,6
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,3,4
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,46,1,47
