,group,variable,month,L 19.7 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,L 19.7 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,3,1,4
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,4,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,17,0,17
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,2,1,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,2,1,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,4,1,5
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,17,3,20
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,16,0,16
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,48,112,160
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,0,1
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,5,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,1,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,5,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,10,30,40
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,8,8
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,6,6
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,1,1
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,2,2
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,3,0,3
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,32,32
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,7,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,6,7
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,3,0,3
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,4,20,24
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,35,35
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,10,21,31
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,26,4,30
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,1,2
ESCOMA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,10,10
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,3,4
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,2,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,146,11,157
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,4,0,4
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,8,8
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,3,1,4
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,32,49,81
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,2,2,4
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,2,3
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,3,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,5,6
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,18,21,39
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,9,0,9
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,3,7,10
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,7,7
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,3,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,100,67,167
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,3,1,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,2,1,3
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,2,1,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,36,37
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,8,9
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,3,15,18
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,15,0,15
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,4,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-03-01,1,3,4
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,2,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,1,1
ALCALA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,8,8
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,3,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,2,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,9,10
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,10,10
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,10,1,11
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,2,2
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,4,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,3,4,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,2,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,1,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,4,0,4
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,7,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,24,19,43
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,0,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,4,4
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,4,5
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,8,8
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,84,0,84
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,3,4
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,8,8
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,7,7
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,9,0,9
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,10,0,10
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,3,1,4
