,group,variable,month,L 19.8 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,L 19.8 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,1,2
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,10,10
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,7,22,29
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,2,3
POROMA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,10,1,11
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,9,9
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,46,0,46
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,9,2,11
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,5,1,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,1,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,13,1,14
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,4,6,10
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,22,5,27
REYES,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,10,11,21
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,16,1,17
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,2,2,4
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,52,76,128
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,6,6
SAIPINA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,6,6,12
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,0,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,19,8,27
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,28,5,33
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,18,0,18
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,2,6,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,4,0,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,5,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,2,3
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,14,25,39
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,4,0,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,6,1,7
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,6,9,15
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,24,0,24
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,374,12,386
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,5,10,15
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,12,1,13
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,17,6,23
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,24,0,24
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,7,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,102,8,110
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,1,1
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,6,5,11
TARATA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,65,10,75
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,5,5
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,21,0,21
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,4,0,4
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,41,7,48
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,16,3,19
URUBICHA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,40,40
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,7,2,9
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,3,0,3
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,32,6,38
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,20,2,22
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,18,27,45
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,6,1,7
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,1,3,4
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,42,1,43
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,12,0,12
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,9,2,11
YOTALA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,6,0,6
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-01-01,0,6,6
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,10,38,48
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,7,20,27
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,5,31,36
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,2,0,2
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,10,10
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,104,104
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,25,0,25
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,7,7
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,21,0,21
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,5,8,13
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,3,0,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,3,3
CAJUATA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,21,21
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,44,44
CAMARGO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,9,2,11
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,2,5,7
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,32,10,42
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,1,8,9
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,8,0,8
CATACORA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,2,22,24
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,5,5
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,26,51,77
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,17,17
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,3,29,32
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,8,2,10
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,75,135,210
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,23,23
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,14,18,32
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,4,36,40
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,267,7,274
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,1,2,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,26,38,64
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,42,31,73
COMANCHE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,22,0,22
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,4,1,5
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,27,42,69
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,6,0,6
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,4,31,35
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,21,12,33
CUEVO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,8,28,36
CULPINA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,4,2,6
CURVA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,60,60
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,14,25,39
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,447,573,1020
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,19,3,22
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,14,10,24
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,26,26
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,14,23,37
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,1,12,13
HUACARETA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,3,3
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,2,0,2
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,2,4,6
HUMANATA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,4,4
ICLA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,1,4,5
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,6,0,6
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,0,5,5
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,35,3,38
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,496,274,770
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.8       antipoliomielitica 4ta dosis,2012-02-01,2,22,24
