,group,variable,month,L 1910 ANTI AMARÍLICA CANTIDAD,L 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
SACACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,4,4
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,6,3,9
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,22,24
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,5,33,38
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,2,4
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,4,5
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,0,3
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,1,2
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,6,6
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,2,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,18,0,18
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,284,19,303
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,7,9
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,4,1,5
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,5,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,23,3,26
SORATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,33,4,37
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,2,3
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,1,2
TARATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,22,1,23
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,14,16
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,15,18,33
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,5,5
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,36,7,43
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,9,9
UMALA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,3,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,6,0,6
VACAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,4,4
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,1,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,0,3
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,2,2
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,6,1,7
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,9,0,9
VINTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,5,7
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,9,0,9
WARNES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,20,1,21
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,6,1,7
YANACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,7,0,7
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,3,5
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,4,4
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
APOLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,5,3,8
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,3,7,10
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,4,1,5
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,1,3
CAJUATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,4,0,4
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,4,0,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,14,1,15
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,5,18,23
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,2,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,6,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,2,4
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,4,4
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,7,2,9
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,107,14,121
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,55,32,87
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,5,8,13
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,4,0,4
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,8,0,8
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,211,22,233
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,1,3
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,1,3
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,4,0,4
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,6,5,11
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,4,4
ICLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,6,6
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,5,0,5
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,4,4
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,15,0,15
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,13,6,19
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,107,37,144
LAJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,3,15,18
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,3,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,13,1,14
OCURI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,26,26
ORURO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,26,3,29
PADILLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,88,88
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,4,5,9
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,4,0,4
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,4,4
POCONA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
POOPO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
PORCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,1,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,67,0,67
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,2,3
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,6,0,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,6,2,8
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,39,13,52
QUIME,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,8,9,17
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,4,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,3,0,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,4,0,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,31,18,49
SACACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,6,0,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,3,4
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,3,0,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,9,5,14
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,9,6,15
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,3,13,16
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,5,5,10
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,3,3
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,7,7
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,318,6,324
