,group,variable,month,L 19.1 DPT 1RA DOSIS CANTIDAD,L 19.1 DPT 1RA DOSIS CANTIDAD,TOTALES
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,3,9,12
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,6,4,10
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,2,3
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,274,0,274
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,2,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,3,4
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,10,0,10
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,6,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,140,1,141
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,5,7
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,5,0,5
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,6,0,6
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,23,0,23
TURCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,14,17,31
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,5,5
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,2,2
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,1,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,13,0,13
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,1,3
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,3,1,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,5,5,10
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,5,0,5
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,0,4
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,2,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,39,43
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,2,2
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,5,6
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,0,4
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,6,26,32
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,6,9
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,0,4
AYATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,10,30,40
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,21,77,98
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,0,3
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,2,4,6
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,2,2,4
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,14,25,39
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,97,1,98
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,0,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,10,23,33
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,40,23,63
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,9,10
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,26,4,30
COIPASA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,58,16,74
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,6,14,20
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,5,0,5
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,6,24,30
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,16,24,40
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,26,0,26
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,11,15
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,7,11
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,2,5
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,117,52,169
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,3,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,1,2
EXALTACION,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,0,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,18,3,21
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,2,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,9,5,14
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,7,7
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,0,4
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,5,4,9
HUMANATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,2,0,2
ICHOCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,15,15
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,10,0,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,154,33,187
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,2,3
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,0,3
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,19,19
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,19,10,29
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,2,3,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,11,4,15
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,6,30,36
OCURI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,18,20,38
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,5,1,6
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,14,14
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,2,4,6
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,5,8,13
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,39,0,39
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,10,47,57
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,9,13
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
PORCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,4,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,0,3
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,11,12,23
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,1,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,7,1,8
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,9,27,36
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,0,3
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,2,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,45,69,114
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,15,0,15
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,0,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,10,53,63
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,9,10
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,5,5
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,10,5,15
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,32,29,61
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,20,0,20
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,23,70,93
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,14,3,17
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,5,0,5
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,10,11
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,285,23,308
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,5,9,14
