,group,variable,month,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO < A 10,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO < A 10,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 10 A 14,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 10 A 14,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 15 A 19,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 15 A 19,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 20 A 34,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 20 A 34,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 35 A 49,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 35 A 49,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 50 Y +,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 50 Y +,TOTALES,TOTALES,TOTALES
ANZALDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,1,8,4,3,2,0,0,13,7,20
ARAMPAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
ARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,1,1,0,1,0,0,2,2,4
ARBIETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,7,0,0,0,0,0,8,0,8
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,3,4,0,3,0,1,0,0,3,8,11
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
AUCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,2,0,2,0,1,0,0,0,5,5
AYATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,2,2,2,1,0,0,0,3,4,7
AYO AYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,2,3,1,1,0,0,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,1,10,4,0,0,0,0,12,5,17
AZURDUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,3,1,2,0,1,1,0,0,6,2,8
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,3,7,3,0,0,0,0,8,6,14
BAURES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,8,0,21,0,5,0,0,0,34,0,34
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,1,0,5,1,11,0,1,0,0,0,18,1,19
BOLIVAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,6,0,0,0,0,1,6,7
BOYUIBE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,1,1,0,0,0,2,1,3
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,3,0,9,0,0,0,0,0,12,0,12
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,1,1,1,0,0,0,2,2,4
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,5,2,0,0,0,0,5,2,7
CALACOTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,4,0,0,0,0,1,4,5
CALAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,4,0,0,0,0,0,4,1,5
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,3,0,15,0,1,0,0,0,19,0,19
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,6,0,23,0,5,0,0,0,34,0,34
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,0,10,0,2,0,0,0,14,0,14
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,0,3,0,3,0,0,1,6,7
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,2,6,2,2,0,0,0,9,4,13
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,13,0,50,2,9,1,0,0,72,3,75
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,0,5,0,0,0,0,0,7,0,7
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,1,0,1,0,1,0,0,1,3,4
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,0,5,0,0,0,0,0,7,0,7
CATACORA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,4,0,25,1,7,0,0,0,36,1,37
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,0,3,0,0,0,0,0,5,0,5
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,1,13,2,0,0,0,0,15,3,18
CHARAÑA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,1,11,1,1,1,0,0,13,3,16
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,17,0,2,0,0,0,20,0,20
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
CHUA COCANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,0,12,0,3,0,0,0,17,0,17
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,7,0,0,0,0,1,7,8
CHUQUIHUTA AYLLU JUCUMANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,0,6,0,2,0,0,0,10,0,10
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,4,3,8,1,5,0,0,6,17,23
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,23,0,0,0,0,0,23,0,23
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,5,3,1,8,0,1,0,0,6,12,18
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,3,0,74,0,702,1,225,1,0,0,1004,2,1006
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,4,0,22,0,4,0,0,0,30,0,30
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,4,3,1,0,0,0,5,3,8
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,4,0,12,0,2,0,0,0,18,0,18
COLPA BELGICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
COLQUECHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,4,5,5,10,3,1,0,0,12,16,28
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,2,0,8,0,3,0,0,0,13,13
COMANCHE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,7,0,10,0,4,0,0,0,21,0,21
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,3,0,18,0,3,0,0,0,24,0,24
CORIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,0,8,0,0,1,0,0,10,1,11
CORO CORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,0,2,1,0,0,0,2,2,4
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,4,0,12,2,2,0,0,0,18,2,20
CORQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,5,4,1,0,0,0,7,4,11
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,3,2,9,1,1,1,0,0,13,4,17
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,3,0,13,0,6,0,0,0,22,0,22
CUCHUMUELA (V. G. VILLARROEL),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CUEVO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
CULPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,1,2,2,3,0,0,0,6,3,9
CURAHUARA DE CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CURVA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
DESAGUADERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,1,0,69,2,635,10,122,0,0,0,827,12,839
EL CHORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,6,0,1,0,0,0,7,0,7
EL PUENTE(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,2,1,0,0,0,0,2,2,4
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,5,0,29,0,7,0,0,0,41,0,41
EL VILLAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,1,1,1,0,0,0,0,2,2,4
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,8,1,1,2,0,0,9,3,12
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,0,17,0,3,0,0,0,22,0,22
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,3,2,0,0,0,0,3,2,5
EUCALIPTUS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
FERNANDEZ ALONSO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FILADELFIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GAIOC JATUN AYLLU YURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,4,0,4,0,1,0,0,0,9,0,9
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,1,0,4,0,0,0,0,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,2,0,11,0,1,0,0,0,14,14
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,1,7,0,3,0,0,0,12,1,13
GUAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,2,0,3,0,16,0,2,0,0,0,23,0,23
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,5,2,1,0,0,0,7,2,9
HUACARAJE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
HUACARETA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
HUACHACALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,3,0,13,1,0,0,0,0,16,1,17
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
HUATAJATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
HUAYLLAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,1,5,1,1,0,0,2,7,9
ICHOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,1,0,0,2,1,2,2,1,1,0,0,5,5,10
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,2,2,5,2,1,0,0,5,8,13
