,group,variable,month,VAGINALES < A 10,VAGINALES < A 10,VAGINALES 10 A 14,VAGINALES 10 A 14,VAGINALES 15 A 19,VAGINALES 15 A 19,VAGINALES 20 A 34,VAGINALES 20 A 34,VAGINALES 35 A 49,VAGINALES 35 A 49,VAGINALES 50 Y +,VAGINALES 50 Y +,TOTALES,TOTALES,TOTALES
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,1,8,3,3,2,0,0,13,6,19
ARAMPAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
ARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,1,1,0,1,0,0,2,2,4
ARBIETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,6,0,0,0,0,0,7,0,7
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,4,0,3,0,1,0,0,3,8,11
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
AUCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,2,0,2,0,1,0,0,0,5,5
AYATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,2,2,2,1,0,0,0,3,4,7
AYO AYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,1,2,3,1,1,0,0,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,1,10,4,0,0,0,0,12,5,17
AZURDUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,1,2,0,1,1,0,0,6,2,8
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,3,7,3,0,0,0,0,8,6,14
BAURES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,9,0,1,0,0,0,11,0,11
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,1,0,4,1,11,0,1,0,0,0,17,1,18
BOLIVAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,5,0,0,0,0,1,5,6
BOYUIBE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,1,1,0,0,0,2,1,3
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,0,8,0,0,0,0,0,11,0,11
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,1,1,1,1,0,0,0,2,2,4
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,5,2,0,0,0,0,5,2,7
CALACOTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CALAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,4,0,0,0,0,0,5,0,5
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,3,0,0,1,0,0,5,1,6
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,5,0,12,0,2,0,0,0,19,0,19
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,11,0,3,1,0,0,16,1,17
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,0,3,0,3,0,0,1,6,7
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,2,6,2,2,0,0,0,9,4,13
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,0,26,3,3,1,0,0,32,4,36
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,5,0,0,0,0,0,7,0,7
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,1,0,1,0,1,0,0,1,3,4
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,6,0,0,0,0,0,8,0,8
CATACORA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,0,22,1,4,0,0,0,29,1,30
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,3,0,0,0,0,0,5,0,5
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,5,1,22,2,1,0,0,0,28,3,31
CHARAÑA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,1,11,2,0,2,0,0,12,5,17
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,4,0,19,0,2,0,0,0,25,0,25
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
CHUA COCANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,9,0,1,0,0,0,12,0,12
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,7,0,0,0,0,1,7,8
CHUQUIHUTA AYLLU JUCUMANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,6,0,2,0,0,0,10,0,10
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,4,3,8,1,5,0,0,6,17,23
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,13,0,0,0,0,0,13,0,13
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,6,0,49,0,1,0,0,0,56,0,56
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,5,3,1,9,0,1,0,0,6,13,19
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,3,0,43,0,291,1,60,1,0,0,397,2,399
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,0,9,0,2,0,0,0,14,0,14
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,4,4,1,0,0,0,5,4,9
COLLANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,4,0,12,0,2,0,0,0,18,0,18
COLPA BELGICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
COLQUECHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,4,5,5,10,3,1,0,0,12,16,28
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,2,1,9,1,4,0,0,3,15,18
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,4,0,3,0,0,0,9,0,9
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,0,18,0,3,0,0,0,24,0,24
CORIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,9,0,0,1,0,0,11,1,12
CORO CORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,0,2,1,0,0,0,2,2,4
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,0,7,2,1,0,0,0,11,2,13
CORQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,6,3,1,0,0,0,8,3,11
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,5,2,37,1,7,1,0,0,49,4,53
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6
CUCHUMUELA (V. G. VILLARROEL),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CUEVO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
CULPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,2,2,2,3,1,0,0,6,5,11
CURAHUARA DE CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CURVA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
DESAGUADERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,1,0,60,3,552,12,90,0,0,0,703,15,718
EL CHORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,5,1,1,0,0,0,6,1,7
EL PUENTE(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,2,1,0,0,0,0,3,1,4
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,5,0,15,0,3,0,0,0,23,0,23
EL VILLAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,1,1,1,0,0,0,0,2,2,4
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,3,1,0,1,0,0,3,2,5
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,4,0,23,1,4,1,0,0,31,2,33
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,3,2,0,0,0,0,3,2,5
EUCALIPTUS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
FERNANDEZ ALONSO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FILADELFIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GAIOC JATUN AYLLU YURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,4,0,4,0,1,0,0,0,9,0,9
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,1,0,4,0,0,0,0,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,2,0,11,0,1,0,0,0,14,14
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,1,7,0,3,0,0,0,12,1,13
GUAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,32,0,0,0,0,0,32,0,32
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,5,2,1,0,0,0,7,2,9
HUACARAJE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
HUACARETA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
HUACHACALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,4,1,0,0,0,0,6,1,7
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,1,1,1,0,1,0,0,1,3,4
HUATAJATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
HUAYLLAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,1,1,5,1,1,0,0,2,7,9
ICHOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,1,0,0,2,1,2,2,1,1,0,0,5,5,10
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,2,2,5,2,1,0,0,5,8,13
INGAVI (HUMAITA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,1,1,0,0,0,2,1,3
INQUISIVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,4,2,0,12,0,2,0,0,4,16,20
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,2,2,1,1,0,0,3,3,6
IXIAMAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,0,3,0,1,0,0,0,7,0,7
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,1,2,1,0,0,0,0,2,2,4
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,7,2,36,0,10,1,0,0,53,3,56
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,5,0,34,0,6,0,0,0,45,0,45
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,17,1,309,5,110,4,0,0,436,10,446
LAGUNILLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,2,8,0,0,0,0,2,8,10
LAS CARRERAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LICOMA PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,4,1,0,0,0,0,4,1,5
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,5,2,22,2,3,0,0,0,30,4,34
LLICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,3,1,1,0,0,0,4,1,5
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LURIBAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
MACHACAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MACHARETI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,2,0,0,1,0,0,4,1,5
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,1,5,0,1,1,0,0,7,2,9
MAPIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,12,0,1,0,0,0,13,0,13
MECAPACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,1,2,0,0,0,0,0,2,1,3
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,4,0,6,1,2,0,0,0,12,1,13
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,14,1,1,0,0,0,16,1,17
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
MOJOCOYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,3,0,10,0,4,0,0,0,17,0,17
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,11,0,64,0,0,0,0,0,75,0,75
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,2,5,3,0,1,0,0,6,6,12
NACEBE (SANTA ROSA DEL ABUNA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
OCURI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,2,2,1,1,0,0,4,3,7
OKINAWA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,2,0,6,0,0,0,0,0,8,0,8
OMEREQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,1,0,23,2,158,16,22,2,0,0,204,20,224
PADCAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",vaginales,2024-01-01,0,0,0,0,1,0,6,2,0,0,0,0,7,2,9
