,group,variable,month,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 50 Y +,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 50 Y +,TOTALES,TOTALES,TOTALES
AUCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,2,0,2,0,1,0,0,0,5,5
AYO AYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,3,0,0,0,0,1,3,4
AZURDUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,1,2,0,1,0,0,0,4,1,5
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,3,0,2,0,0,0,0,0,5,5
BAURES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
BOLIVAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,5,0,13,0,2,0,0,0,20,0,20
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,2,1,2,0,0,0,0,1,4,5
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,2,0,0,1,0,0,3,1,4
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,0,1,0,1,0,0,1,2,3
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,2,0,5,0,0,0,0,0,7,0,7
CATACORA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,2,1,9,2,0,0,0,0,11,3,14
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,4,0,16,0,2,0,0,0,22,0,22
CHUA COCANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,3,0,0,0,0,1,3,4
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,4,0,7,0,4,0,0,0,15,15
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,23,0,0,0,0,0,23,0,23
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,4,0,2,0,0,0,6,0,6
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,0,2,0,0,0,0,1,2,3
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,31,0,187,0,46,0,0,0,264,0,264
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,4,0,22,0,4,0,0,0,30,0,30
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,0,0,2,0,0,0,3,0,3
COLQUECHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,2,0,4,0,1,0,0,0,7,7
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,2,1,3,0,0,0,0,1,5,6
COMANCHE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CORIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CORO CORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,2,0,1,0,1,0,0,0,4,4
CUEVO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
CURVA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,30,2,244,8,47,0,0,0,321,10,331
EL PUENTE(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
EL VILLAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,1,1,1,0,0,0,0,2,2,4
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
FERNANDEZ ALONSO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FILADELFIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,1,0,4,0,0,0,0,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,65,0,0,0,0,0,65,0,65
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,5,0,1,0,0,0,7,0,7
HUACARAJE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
HUATAJATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,1,1,0,1,0,0,0,2,1,3
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,1,0,0,1,1,1,2,0,1,0,0,2,5,7
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
INGAVI (HUMAITA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
INQUISIVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,0,5,0,2,0,0,1,7,8
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,1,1,1,0,0,3,2,5
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,2,3,0,2,1,0,0,6,3,9
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,9,0,71,0,15,0,0,0,95,0,95
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,5,0,0,0,0,2,5,7
LAS CARRERAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LLICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MECAPACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,4,0,6,0,2,0,0,0,12,0,12
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,33,0,103,0,1,0,0,0,137,0,137
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,2,1,0,1,0,0,3,2,5
NACEBE (SANTA ROSA DEL ABUNA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
OCURI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
OKINAWA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,2,0,6,0,0,0,0,0,8,0,8
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,2,0,18,0,4,0,0,0,24,0,24
PADCAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
PALCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,3,1,0,0,0,0,4,1,5
PAMPA GRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
PAPEL PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
PASORAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PELECHUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
POCOATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,3,2,7,1,3,0,0,4,13,17
POCONA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,3,1,1,0,0,0,4,1,5
POJO (CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PORCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
POROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,1,2,1,0,0,0,0,3,2,5
PORONGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,9,0,1,0,0,0,10,0,10
POSTRER VALLE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,3,0,46,0,198,1,33,0,0,0,280,1,281
PUCARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,9,13,1,0,0,0,10,13,23
PUERTO ACOSTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
PUERTO CARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,3,2,1,0,0,0,4,2,6
PUERTO PEREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,2,0,11,0,4,0,0,0,17,0,17
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,1,0,7,0,22,0,2,0,0,0,32,0,32
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,6,0,1,0,0,0,7,0,7
RAQAYPAMPA(ETA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,0,0,2,0,0,1,2,3
RAVELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,5,0,18,0,0,0,0,0,23,0,23
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,1,0,19,0,85,0,16,0,0,0,121,0,121
SACABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,1,2,4,0,1,0,0,3,6,9
SAIPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
SAN AGUSTIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
SAN ANDRES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SAN ANDRES DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
SAN ANTONIO DE LOMERIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
