,group,variable,month,CESAREAS < A 10,CESAREAS < A 10,CESAREAS 10 A 14,CESAREAS 10 A 14,CESAREAS 15 A 19,CESAREAS 15 A 19,CESAREAS 20 A 34,CESAREAS 20 A 34,CESAREAS 35 A 49,CESAREAS 35 A 49,CESAREAS 50 Y +,CESAREAS 50 Y +,TOTALES,TOTALES,TOTALES
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,1,0,2,0,4,0,1,0,0,0,8,0,8
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,3,0,2,0,0,0,5,0,5
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,10,0,0,0,0,0,10,0,10
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,7,0,47,0,4,0,0,0,58,0,58
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,31,0,485,0,208,0,0,0,724,0,724
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,13,0,2,0,0,0,16,0,16
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,5,0,6,0,1,0,0,0,12,0,12
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,5,0,1,0,0,0,7,0,7
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,3,0,9,0,1,0,0,0,13,0,13
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,3,0,10,0,3,0,0,0,16,0,16
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,30,0,296,0,72,0,0,0,398,0,398
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,5,0,14,0,4,0,0,0,23,0,23
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,5,0,1,0,0,0,6,0,6
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,34,0,0,0,0,0,34,0,34
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,9,0,0,0,0,0,10,0,10
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,34,0,1,0,0,0,35,0,35
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,1,0,19,0,591,0,185,0,0,0,796,0,796
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,5,0,14,0,8,0,0,0,27,0,27
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,2,0,6,0,0,0,0,0,8,0,8
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,1,0,2,0,0,0,4,0,4
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,16,0,4,0,0,0,21,0,21
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,22,0,84,0,9,0,0,0,115,0,115
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,17,0,215,0,78,0,0,0,310,0,310
PADILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,3,0,10,0,0,0,0,0,13,0,13
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,3,0,15,0,2,0,0,0,20,0,20
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,1,0,22,0,135,0,30,0,0,0,188,0,188
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,8,0,2,0,0,0,10,0,10
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,1,0,6,0,12,0,1,0,0,0,20,0,20
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,2,0,30,0,6,0,0,0,38,0,38
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,9,0,26,0,5,0,0,0,40,0,40
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,82,0,3,0,0,0,85,0,85
RIBERALTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,21,0,70,0,8,0,0,0,99,0,99
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,6,0,0,0,0,0,7,0,7
RURRENABAQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,1,0,11,0,74,0,11,0,0,0,97,0,97
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,10,0,2,0,0,0,13,0,13
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,3,0,1,0,0,0,5,0,5
SAN CARLOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,2,0,6,0,3,0,0,0,11,0,11
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,1,0,5,0,16,0,5,0,0,0,27,0,27
SAN JAVIER(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,6,0,0,0,0,0,7,0,7
SAN JOAQUIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,8,0,0,0,0,0,9,0,9
SAN JULIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,14,0,0,0,0,0,14,0,14
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SAN RAMON BENI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
SANTA ANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,16,0,42,0,342,0,998,0,229,0,0,0,1627,0,1627
SANTA ROSA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,3,0,8,0,4,0,0,0,15,0,15
SOPACHUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SUCRE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,16,0,168,0,32,0,0,0,216,0,216
TARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
TARIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,7,0,106,0,42,0,0,0,155,0,155
TIQUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,21,0,0,0,0,0,21,0,21
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,2,0,23,0,79,0,21,0,0,0,125,0,125
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,9,0,0,0,0,0,9,0,9
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,2,0,10,0,5,0,0,0,17,0,17
VALLEGRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,17,0,0,0,0,0,17,0,17
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,7,0,4,0,0,0,11,0,11
VILLA MONTES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,2,0,11,0,24,0,5,0,0,0,42,0,42
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,1,0,6,0,49,0,7,0,0,0,63,0,63
VILLAZON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,1,0,6,0,0,0,0,0,7,0,7
VINTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,3,0,18,0,5,0,0,0,26,0,26
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,53,0,0,0,0,0,53,0,53
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,5,0,51,0,16,0,0,0,72,0,72
YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-01-01,0,0,0,0,0,0,40,0,0,0,0,0,40,0,40
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,3,0,9,0,2,0,0,0,14,0,14
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,1,0,4,0,15,0,2,0,0,0,22,0,22
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,3,0,15,0,5,0,0,0,23,0,23
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,5,0,1,0,0,0,8,0,8
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,15,0,0,0,0,0,17,0,17
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,1,0,8,0,32,0,3,0,0,0,44,0,44
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,5,0,10,0,0,0,0,0,15,0,15
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,7,0,1,0,0,0,9,0,9
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,1,0,3,0,0,0,4,0,4
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,23,0,0,0,0,0,23,0,23
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,10,0,1,0,0,0,12,0,12
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,3,0,26,0,524,0,167,0,0,0,720,0,720
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,15,0,0,0,0,0,16,0,16
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,1,0,1,0,8,0,0,0,0,0,10,0,10
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,18,0,3,0,0,0,23,0,23
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,6,0,1,0,0,0,9,0,9
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,33,0,278,0,67,0,0,0,378,0,378
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,38,0,2,0,0,0,41,0,41
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,8,0,33,0,2,0,0,0,43,0,43
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,11,0,0,0,0,0,11,0,11
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,27,0,1,0,0,0,30,0,30
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,1,0,20,0,441,0,161,0,1,0,624,0,624
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,14,0,6,0,0,0,22,0,22
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,8,0,2,0,0,0,10,0,10
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,2,0,14,0,103,0,11,0,0,0,130,0,130
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,20,0,195,0,70,0,0,0,285,0,285
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,9,0,2,0,0,0,12,0,12
PATACAMAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,2,0,2,0,0,0,5,0,5
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,1,0,18,0,109,0,14,0,0,0,142,0,142
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,2,0,8,0,7,0,3,0,0,0,20,0,20
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,5,0,32,0,8,0,0,0,45,0,45
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,1,0,6,0,29,0,3,0,0,0,39,0,39
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,79,0,1,0,0,0,81,0,81
REYES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
RIBERALTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,1,0,17,0,46,0,2,0,0,0,66,0,66
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,3,0,4,0,3,0,0,0,10,0,10
RURRENABAQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,13,0,71,0,11,0,0,0,95,0,95
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,4,0,5,0,1,0,0,0,10,0,10
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,2,0,3,0,0,0,5,0,5
SAN CARLOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,7,0,2,0,0,0,11,0,11
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,6,0,29,0,2,0,0,0,37,0,37
SAN JAVIER(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
SAN JOAQUIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,4,0,0,0,0,0,5,0,5
SAN JOSE DE CHIQUITOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,3,0,12,0,2,0,0,0,17,0,17
SAN JULIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,10,0,0,0,0,0,12,0,12
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SAN RAMON SCZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SANTA ANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,3,0,12,0,1,0,0,0,16,0,16
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,22,0,8,0,141,0,1316,0,296,0,1,0,1784,0,1784
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,13,0,4,0,0,0,17,0,17
SOPACHUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
SUCRE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,1,0,32,0,169,0,31,0,0,0,233,0,233
TARIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,6,0,113,0,37,0,0,0,156,0,156
TIQUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,5,0,22,0,9,0,0,0,36,0,36
TOTORA(CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,3,0,22,0,82,0,20,0,0,0,127,0,127
