,group,variable,month,PARTOS ATENDIDOS POR PARTERA CAPACITADA < A 10,PARTOS ATENDIDOS POR PARTERA CAPACITADA < A 10,PARTOS ATENDIDOS POR PARTERA CAPACITADA 10 A 14,PARTOS ATENDIDOS POR PARTERA CAPACITADA 10 A 14,PARTOS ATENDIDOS POR PARTERA CAPACITADA 15 A 19,PARTOS ATENDIDOS POR PARTERA CAPACITADA 15 A 19,PARTOS ATENDIDOS POR PARTERA CAPACITADA 20 A 34,PARTOS ATENDIDOS POR PARTERA CAPACITADA 20 A 34,PARTOS ATENDIDOS POR PARTERA CAPACITADA 35 A 49,PARTOS ATENDIDOS POR PARTERA CAPACITADA 35 A 49,PARTOS ATENDIDOS POR PARTERA CAPACITADA 50 Y +,PARTOS ATENDIDOS POR PARTERA CAPACITADA 50 Y +,TOTALES,TOTALES,TOTALES
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-03-01,0,0,0,0,8,0,75,0,6,0,0,0,89,0,89
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-03-01,0,0,0,0,0,1,0,3,0,0,1,0,1,4,5
TEOPONTE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-03-01,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-04-01,0,0,0,0,0,0,0,3,0,2,0,0,0,5,5
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-04-01,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
SAN JOAQUIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-05-01,0,0,0,0,0,0,0,4,0,7,0,0,0,11,11
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-05-01,0,0,0,0,0,0,3,0,2,0,0,0,5,0,5
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-05-01,0,0,0,1,0,1,0,5,0,0,0,0,0,7,7
SENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-05-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-06-01,0,0,0,0,0,0,0,4,0,9,0,0,0,13,13
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-06-01,0,0,0,0,0,1,0,4,0,1,0,0,0,6,6
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-06-01,0,0,0,0,0,10,0,8,0,4,0,0,0,22,22
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-07-01,0,0,0,0,0,1,0,5,0,0,0,0,0,6,6
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO GONZALO MORENO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-07-01,0,0,0,0,0,2,0,4,0,1,0,1,0,8,8
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-07-01,0,0,0,0,0,1,1,2,0,0,0,0,1,3,4
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-07-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
RIBERALTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,5,0,1,0,0,0,6,6
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SANTIAGO DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MACHARETI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN ANTONIO DE LOMERIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-09-01,0,0,0,0,0,3,0,7,0,2,0,0,0,12,12
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-09-01,0,0,0,0,0,1,0,4,0,1,0,0,0,6,6
SAN JOAQUIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-10-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PELECHUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-10-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-10-01,0,0,0,0,0,1,0,4,0,0,0,0,0,5,5
SAPAHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SORATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-11-01,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-11-01,0,0,0,0,0,2,0,1,0,1,0,0,0,4,4
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-11-01,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-11-01,0,0,0,0,0,0,10,0,2,0,0,0,12,0,12
TINGUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-12-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-12-01,0,0,0,2,0,2,0,5,0,0,0,0,0,9,9
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-12-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-12-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
