,group,variable,month,PARTOS ATENDIDOS POR PARTERA EMPIRICA < A 10,PARTOS ATENDIDOS POR PARTERA EMPIRICA < A 10,PARTOS ATENDIDOS POR PARTERA EMPIRICA 10 A 14,PARTOS ATENDIDOS POR PARTERA EMPIRICA 10 A 14,PARTOS ATENDIDOS POR PARTERA EMPIRICA 15 A 19,PARTOS ATENDIDOS POR PARTERA EMPIRICA 15 A 19,PARTOS ATENDIDOS POR PARTERA EMPIRICA 20 A 34,PARTOS ATENDIDOS POR PARTERA EMPIRICA 20 A 34,PARTOS ATENDIDOS POR PARTERA EMPIRICA 35 A 49,PARTOS ATENDIDOS POR PARTERA EMPIRICA 35 A 49,PARTOS ATENDIDOS POR PARTERA EMPIRICA 50 Y +,PARTOS ATENDIDOS POR PARTERA EMPIRICA 50 Y +,TOTALES,TOTALES,TOTALES
PUCARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-02-01,0,0,0,0,0,1,0,2,0,1,0,0,0,4,4
SANTA ROSA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TINGUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-02-01,0,0,0,0,0,0,0,3,0,1,0,0,0,4,4
BOLPEBRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-03-01,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SAMAIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN MATIAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
PADCAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO RICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN RAMON SCZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SAN PEDRO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-05-01,0,0,0,1,0,1,0,1,0,0,0,0,0,3,3
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,1,2,0,0,0,0,0,2,1,3
FILADELFIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN ANDRES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SAN JULIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA ROSA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TACACOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN RAMON SCZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TURCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-07-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AYO AYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN LORENZO(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAPAHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SUCRE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
TACOPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TOTORA(CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,0,11,0,2,1,0,0,13,1,14
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TINGUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-09-01,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-10-01,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-10-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PRESTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN PEDRO DE CURAHUARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA ROSA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-11-01,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
TINGUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
WALDO BALLIVIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-12-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAMAIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-12-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SANTIAGO DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-12-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
