,group,variable,month,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 50 Y +,PRIMER CONTROL POST PARTO 50 Y +,TOTALES,TOTALES,TOTALES
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,1,8,4,3,2,0,0,13,7,20
ARAMPAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
ARBIETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,10,0,0,0,0,0,11,0,11
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,4,0,2,0,1,0,0,3,7,10
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
AUCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,0,2,0,1,0,0,0,5,5
AYATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,2,2,1,0,0,0,3,4,7
AYO AYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,2,3,1,1,0,0,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,12,3,0,0,0,0,13,3,16
AZURDUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,1,2,0,0,1,0,0,4,2,6
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,1,7,1,0,0,0,0,8,2,10
BAURES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,8,0,21,0,5,0,0,0,34,0,34
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
BOLIVAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,5,0,0,0,0,1,5,6
BOYUIBE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,1,1,0,0,0,2,1,3
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,5,0,0,0,0,0,8,0,8
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,1,1,1,0,0,0,2,2,4
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
CALAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,4,0,0,0,0,0,5,0,5
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,15,0,1,1,0,0,19,1,20
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,0,3,0,2,0,0,1,5,6
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,2,6,2,2,0,0,0,9,4,13
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,3,0,1,0,0,3,4,7
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,1,0,1,0,1,0,0,1,3,4
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,5,0,0,0,0,0,7,0,7
CATACORA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,4,0,25,1,7,0,0,0,36,1,37
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,3,0,0,0,0,0,5,0,5
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,1,13,2,0,0,0,0,15,3,18
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,7,1,0,0,0,0,8,1,9
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,4,0,5,0,0,0,0,0,9,0,9
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
CHUA COCANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,12,0,3,0,0,0,17,0,17
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,7,0,0,0,0,1,7,8
CHUQUIHUTA AYLLU JUCUMANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,6,0,2,0,0,0,10,0,10
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,4,3,8,1,5,0,0,6,17,23
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,15,0,2,0,0,0,17,0,17
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,57,0,407,1,105,2,0,0,569,3,572
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,4,0,2,0,0,0,7,0,7
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,4,4,1,0,0,0,5,4,9
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,9,0,2,0,0,0,13,0,13
COLPA BELGICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
COLQUECHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,4,5,5,10,3,1,0,0,12,16,28
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,2,1,9,1,3,0,0,3,14,17
COMANCHE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,7,0,10,0,4,0,0,0,21,0,21
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,18,0,3,0,0,0,24,0,24
CORIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,9,0,0,1,0,0,11,1,12
CORO CORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,0,2,1,0,0,0,2,2,4
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,4,0,11,2,2,0,0,0,17,2,19
CORQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,5,4,1,0,0,0,7,4,11
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,0,1,0,1,0,0,0,4,4
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
CUEVO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
CULPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,1,2,1,3,1,0,0,6,3,9
CURAHUARA DE CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CURVA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
DESAGUADERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,1,0,40,2,367,17,66,0,0,0,474,19,493
EL CHORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,1,0,1,0,4,0,1,0,0,0,7,0,7
EL PUENTE(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,2,1,0,0,0,0,3,1,4
EL VILLAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,1,1,0,0,0,0,1,3,4
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,6,1,0,0,0,0,7,1,8
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,22,1,4,1,0,0,29,2,31
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EUCALIPTUS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FERNANDEZ ALONSO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7
FILADELFIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GAIOC JATUN AYLLU YURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,4,0,4,0,1,0,0,0,9,0,9
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,1,0,4,0,0,0,0,2,5,7
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,0,11,0,1,0,0,0,14,14
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,1,7,0,3,0,0,0,12,1,13
GUAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,2,0,4,0,19,0,0,0,0,0,25,0,25
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,5,2,1,0,0,0,7,2,9
HUACARETA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
HUACHACALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,13,0,0,0,0,0,16,0,16
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,0,2,0,1,0,0,0,4,4
HUATAJATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
HUAYLLAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,1,5,1,1,0,0,2,7,9
ICHOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,1,0,0,2,1,2,2,1,1,0,0,5,5,10
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,2,2,2,2,1,0,0,5,5,10
INGAVI (HUMAITA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
INQUISIVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,0,12,0,2,0,0,0,16,16
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,3,3,1,0,0,0,4,5,9
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,2,1,0,0,0,0,2,2,4
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,2,14,0,8,1,0,0,24,3,27
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,5,0,71,0,8,0,0,0,84,0,84
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,16,1,371,6,111,0,0,0,498,7,505
LAGUNILLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,8,0,0,0,0,2,8,10
LAS CARRERAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,2,3,4,4,0,0,0,9,6,15
LLICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,0,1,0,0,0,4,0,4
LURIBAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
MACHACAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MACHARETI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,7,0,1,0,0,0,8,0,8
MAPIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,12,0,2,0,0,0,14,0,14
MECAPACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,5,0,2,0,0,0,9,0,9
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,16,0,3,0,0,0,21,0,21
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
MOJOCOYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,52,0,2,0,0,0,57,0,57
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,1,2,0,0,1,0,0,3,2,5
NACEBE (SANTA ROSA DEL ABUNA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
OCURI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,2,2,1,1,0,0,4,3,7
OKINAWA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,6,0,0,0,0,0,8,0,8
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,33,0,277,9,69,1,0,0,379,10,389
PADCAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,7,2,1,0,0,0,9,2,11
PADILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,6,0,29,0,0,0,0,0,35,0,35
PALCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,3,19,4,1,0,0,0,23,7,30
PAMPA GRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
PAPEL PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,0,1,0,0,0,4,0,4
