,group,variable,month,PARTOS ATENDIDOS POR OTROS < A 10,PARTOS ATENDIDOS POR OTROS < A 10,PARTOS ATENDIDOS POR OTROS 10 A 14,PARTOS ATENDIDOS POR OTROS 10 A 14,PARTOS ATENDIDOS POR OTROS 15 A 19,PARTOS ATENDIDOS POR OTROS 15 A 19,PARTOS ATENDIDOS POR OTROS 20 A 34,PARTOS ATENDIDOS POR OTROS 20 A 34,PARTOS ATENDIDOS POR OTROS 35 A 49,PARTOS ATENDIDOS POR OTROS 35 A 49,PARTOS ATENDIDOS POR OTROS 50 Y +,PARTOS ATENDIDOS POR OTROS 50 Y +,TOTALES,TOTALES,TOTALES
BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CALACOTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,3,0,1,0,0,0,4,4
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,1,0,4,0,0,0,0,0,5,5
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
INGAVI (HUMAITA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,1,0,5,0,2,0,0,0,8,8
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
OCURI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,2,0,12,0,2,0,0,0,16,16
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SALINAS DE GARCI MENDOZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAMAIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
SENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SIPE SIPE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
TACOPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TIAHUANACU,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VINTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
ANZALDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
AYO AYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,4,0,0,0,0,0,5,5
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,6,0,2,0,0,0,9,9
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CORQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CURAHUARA DE CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,3,0,10,0,2,0,0,0,15,15
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,1,0,1,0,0,0,3,3
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,2,0,7,0,2,0,0,0,11,11
PELECHUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POJO (CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,4,0,1,0,0,0,6,6
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN JOAQUIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
SIPE SIPE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
TACOPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
TAPACARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TOTORA(CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VACAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
VILA VILA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
VILLA MONTES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
VILLAZON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VINTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
YOCALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CALACOTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,4,0,1,0,0,0,5,5
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,5,0,1,0,0,0,7,7
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
EUCALIPTUS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
INGAVI (HUMAITA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,3,0,0,0,0,0,4,4
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,10,0,0,0,0,0,11,11
POCOATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
PRESTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,2,0,4,0,1,0,0,0,7,7
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
SAN JOAQUIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA ANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,3,0,1,0,0,0,4,4
SAPAHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
SIPE SIPE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-03-01,0,0,0,0,0,1,0,5,0,1,0,0,0,7,7
