,group,variable,month,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO < A 10,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO < A 10,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 10 A 14,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 10 A 14,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 15 A 19,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 15 A 19,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 20 A 34,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 20 A 34,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 35 A 49,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 35 A 49,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 50 Y +,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 50 Y +,TOTALES,TOTALES,TOTALES
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,1,8,3,3,0,0,0,13,4,17
ARBIETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,1,0,1,0,1,0,0,2,3,5
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8
AYATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,2,2,2,1,0,0,0,3,4,7
AYO AYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,1,3,1,1,0,0,2,5,7
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,1,9,1,0,0,0,0,11,2,13
AZURDUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,0,0,0,1,0,0,2,1,3
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,7,1,0,0,0,0,8,1,9
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,8,0,21,0,5,0,0,0,34,0,34
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,1,0,3,0,11,0,1,0,0,0,16,0,16
BOLIVAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,5,0,0,0,0,1,5,6
BOYUIBE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,7,0,0,0,0,0,8,0,8
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,1,1,0,0,0,2,1,3
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,4,2,0,0,0,0,4,2,6
CALACOTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
CALAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,4,0,0,0,0,0,5,0,5
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,0,15,0,1,0,0,0,19,0,19
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,11,0,4,0,0,0,17,0,17
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,11,0,3,0,0,0,16,0,16
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,3,0,2,0,0,0,5,5
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,5,0,2,0,0,0,8,0,8
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,12,0,48,2,9,0,0,0,69,2,71
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,4,0,0,0,0,0,6,0,6
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,4,0,23,1,7,0,0,0,34,1,35
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,1,0,5,0,17,0,2,0,0,0,25,0,25
CHARAÑA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,1,9,1,1,1,0,0,11,3,14
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,12,0,3,0,0,0,17,0,17
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
CHUQUIHUTA AYLLU JUCUMANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,6,0,2,0,0,0,10,0,10
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,3,1,1,1,0,0,6,2,8
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,13,0,87,0,3,0,0,0,103,0,103
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,4,3,1,4,0,1,0,0,5,8,13
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,3,0,70,0,735,0,251,0,0,0,1059,0,1059
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,4,3,1,0,0,0,5,3,8
COLLANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,0,12,0,0,0,0,0,15,0,15
COLPA BELGICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
COLQUECHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,4,3,5,6,3,0,0,0,12,9,21
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,0,6,1,4,0,0,2,10,12
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,0,17,0,3,0,0,0,23,0,23
CORIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,7,0,0,1,0,0,9,1,10
CORO CORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,4,0,12,1,2,0,0,0,18,1,19
CORQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,5,1,1,0,0,0,7,1,8
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,8,0,46,0,8,0,0,0,62,0,62
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,0,13,0,6,0,0,0,22,0,22
CUCHUMUELA (V. G. VILLARROEL),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CULPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,2,2,2,3,1,0,0,6,5,11
CURAHUARA DE CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
DESAGUADERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,1,0,85,0,747,2,148,0,0,0,981,2,983
EL CHORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,5,0,1,0,0,0,6,0,6
EL PUENTE(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,5,0,29,0,7,0,0,0,41,0,41
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,8,0,1,0,0,0,9,0,9
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,4,0,23,0,4,0,0,0,31,0,31
EUCALIPTUS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
GAIOC JATUN AYLLU YURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,4,0,4,0,1,0,0,0,9,0,9
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,2,0,7,0,1,0,0,0,10,10
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,1,7,0,3,0,0,0,12,1,13
GUAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
HUACARETA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
HUACHACALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,0,13,1,0,0,0,0,16,1,17
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,1,1,0,1,0,0,1,3,4
HUAYLLAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
ICHOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,1,0,1,0,0,0,3,0,3
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,1,2,5,2,1,0,0,5,7,12
INQUISIVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,2,0,7,0,0,0,0,3,9,12
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
IXIAMAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,0,3,0,1,0,0,0,7,0,7
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,2,1,0,0,0,0,2,2,4
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,5,0,28,0,6,0,0,0,39,0,39
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,5,0,68,0,7,0,0,0,80,0,80
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,1,0,28,0,828,2,281,0,0,0,1138,2,1140
LAGUNILLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
LICOMA PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,4,1,0,0,0,0,4,1,5
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,10,2,36,1,11,0,0,0,57,3,60
LLICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
LURIBAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
MACHACAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MACHARETI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,0,2,0,0,0,0,0,5,0,5
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,0,11,0,1,0,0,0,15,0,15
MAPIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,12,0,1,0,0,0,13,0,13
MECAPACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,10,1,3,0,0,0,15,1,16
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MOJOCOYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,3,0,25,0,8,0,0,0,36,0,36
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,45,0,8,0,0,0,53,0,53
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,3,2,0,0,0,0,3,3,6
OCURI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,2,1,0,0,0,0,3,1,4
OMEREQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,1,0,38,0,355,4,96,0,0,0,490,4,494
PADCAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,5,1,0,0,0,0,6,1,7
PADILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,6,0,0,0,0,0,7,0,7
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,6,0,29,0,0,0,0,0,35,0,35
PALCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,4,5,0,0,0,0,4,5,9
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,3,16,3,1,0,0,0,19,6,25
PAPEL PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PATACAMAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,4,0,19,1,2,0,0,0,25,1,26
PAZÑA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,1,0,0,1,0,0,2,1,3
PELECHUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,0,1,0,1,0,0,1,2,3
POCOATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,1,0,2,0,7,1,1,0,0,0,11,1,12
POCONA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,1,0,0,0,2,0,0,0,3,0,3
