,group,variable,month,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 50 Y +,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 50 Y +,TOTALES,TOTALES,TOTALES
ICHOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,3,0,2,0,0,0,5,0,5
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
LLICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,1,0,19,0,81,0,16,0,0,0,117,0,117
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BENITO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,1,4,0,0,0,0,1,4,5
SAN JAVIER(BNI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,1,0,11,0,11,0,0,0,23,0,23
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
URIONDO (A. CONCEPCION),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-01-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
AYATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,1,0,1,0,10,0,1,0,0,0,13,0,13
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
HUACAYA (VILLA DE HUACAYA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PAPEL PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
POROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,1,0,1,0,1,0,0,0,3,3
SAN PEDRO DE BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,32,0,14,0,0,0,46,0,46
UMALA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,1,0,197,0,100,0,0,0,298,0,298
MACHARETI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
POROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,2,0,5,0,1,0,0,0,8,8
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,1,0,0,1,0,1,0,0,0,0,1,2,3
SAN PEDRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,1,0,3,0,144,0,14,1,0,0,162,1,163
SICA SICA (VILLA AROMA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TINGUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,2,0,7,0,0,0,9,0,9
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA CHARCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ANCORAIMES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,1,0,5,0,2,0,0,0,8,8
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PALCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,1,1,1,0,0,0,0,0,2,1,3
SAN ANDRES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,1,0,1,0,1,0,0,0,3,3
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,0,0,33,0,81,0,0,0,114,0,114
TOMAVE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,1,0,13,0,0,0,0,0,14,14
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CULPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,7,1,0,0,0,0,7,1,8
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
RAQAYPAMPA(ETA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
REYES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,13,2,20,9,2,1,0,0,35,12,47
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
SAN PEDRO DE TIQUINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SANTA ROSA DEL SARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TACOPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,4,0,48,0,150,0,21,0,0,0,223,0,223
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,7,0,56,0,10,0,0,0,73,0,73
YACO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ANCORAIMES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BOLIVAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CATACORA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,1,4,0,0,0,0,0,4,1,5
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
SAN ANDRES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,3,0,1,0,0,0,4,4
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
