,group,variable,month,DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
AUCAPATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
AYATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,4,0,0,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,4,0,3,2,7,9
AZURDUY,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,10,3,3,4,13,17
BAURES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,7,9,0,0,7,9,16
BELLA FLOR,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,3,1,0,1,3,4
BERMEJO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,31,28,0,30,31,61
BETANZOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,7,23,1,18,8,41,49
BOLIVAR,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,1,1,1,1,2
BOLPEBRA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,3,3,2,4,5,9
BOYUIBE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,0,0,0,2,0,2
BUENA VISTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,20,9,0,10,20,30
CABEZAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,5,7,16,8,21,15,36
CAIROMA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,17,0,0,1,17,18
"CAIZA ""D""",otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,6,3,4,3,10,13
CAJUATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,11,0,0,1,11,12
CALACOTO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,3,0,1,0,4,4
CALAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,27,0,2,3,29,32
CAMARGO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,13,0,0,3,13,16
CAMIRI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,41,26,2,25,43,51,94
CAPINOTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,7,5,9,17,16,22,38
CAQUIAVIRI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,5,0,5,2,7
CARACOLLO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,31,10,20,11,51,21,72
CARANAVI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,12,136,6,11,18,147,165
CARAPARI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,6,17,0,0,6,17,23
CARIPUYO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
CARMEN RIVERO TORREZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,9,0,0,1,9,10
CATACORA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,4,5,4,5,9
CHALLAPATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,23,4,1,7,24,31
CHAQUI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,7,0,2,0,9,9
CHARAGUA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,22,9,0,0,22,9,31
CHAYANTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,9,0,1,0,10,10
CHIMORE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,9,26,23,5,32,31,63
CHIPAYA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,1,1,1,1,2
CHUA COCANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,4,0,0,1,4,5
CHUMA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,0,2,0,2,2
CKOCHAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,6,3,13,3,19,22
CLIZA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,5,13,7,14,12,27,39
COBIJA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,11,77,1,7,12,84,96
COCAPATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,1,0,4,3,5,8
COCHABAMBA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,178,533,63,57,241,590,831
COLCAPIRHUA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,9,22,9,16,18,38,56
"COLCHA ""K""",otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,10,11,9,2,19,13,32
COLLANA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,3,6,7,7,10,17
COLOMI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,19,0,2,4,21,25
COLPA BELGICA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,9,0,0,0,9,9
COLQUECHACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,34,0,14,4,48,52
COLQUENCHA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,9,0,0,0,9,9
COLQUIRI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,3,19,0,20,3,23
COMANCHE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
COMARAPA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,4,0,1,1,5,6
CONCEPCION,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,0,5,0,9,0,9
COPACABANA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,4,0,4,1,5
CORIPATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,7,6,0,7,7,14
CORO CORO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,10,4,3,4,13,17
COROICO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,3,0,0,2,3,5
CORQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,2,16,0,18,2,20
COTAGAITA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,15,3,3,6,18,24
COTOCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,13,21,0,1,13,22,35
CRUZ DE MACHACAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,2,1,2,1,3
CUATRO CAÑADAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,6,13,12,14,18,32
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,1,0,1,1,2
CUEVO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,1,0,0,2,1,3
CULPINA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,1,0,0,1,1,2
CURAHUARA DE CARANGAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,1,0,0,1,1,2
CURVA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,1,0,1,0,1
DESAGUADERO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,14,0,1,0,15,15
EL ALTO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,75,859,58,68,133,927,1060
EL CHORO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,4,0,5,5
EL PUENTE(STC),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,2,0,1,2,3,5
EL PUENTE(TJA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,2,0,0,2,2,4
EL TORNO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,5,1,1,0,6,1,7
ENTRE RIOS TRJ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,4,1,1,3,5,8
ENTRE RIOS CBBA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,18,73,0,3,18,76,94
ESCOMA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,3,0,0,1,3,4
EUCALIPTUS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,3,0,1,0,4,4
EXALTACION,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,11,0,1,2,12,14
FERNANDEZ ALONSO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,17,0,0,3,17,20
FILADELFIA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,0,1,0,3,0,3
GENERAL SAAVEDRA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,9,1,14,3,23,26
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
GUANAY,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,6,10,14,29,20,39,59
GUAQUI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,4,6,7,6,11,17
GUAYARAMERIN,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,10,58,69,4,79,62,141
GUTIERREZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,9,9,2,1,11,10,21
HUACARETA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,4,1,1,5,5,10
HUACHACALLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,0,0,0,4,0,4
HUANUNI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,17,11,12,14,29,43
HUARACAJE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,3,2,14,2,17,19
HUARINA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,3,0,0,1,3,4
HUATAJATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,2,1,2,2,4
HUAYLLAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,1,1,1,2,3
HUMANATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
ICHOCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,4,2,4,4,8
ICLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,4,0,0,0,4,4
INCAHUASI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,6,0,2,2,8,10
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,1,0,1,1,2,3
IXIAMAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,0,5,7,7,7,14
JESUS DE MACHACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,4,1,1,2,5,7
LA ASUNTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,17,1,2,4,19,23
LA GUARDIA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,12,26,1,2,13,28,41
LA PAZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,117,702,45,53,162,755,917
LAGUNILLAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,10,7,14,0,24,7,31
LAJA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,17,2,4,2,21,23
LLALLAGUA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,6,29,0,6,6,35,41
LORETO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,11,1,5,2,16,18
LURIBAY,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,4,0,0,0,4,4
MACHACAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,3,0,0,1,3,4
MACHARETI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,0,1,1,4,1,5
MAGDALENA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,16,1,5,3,21,24
MAIRANA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,1,1,1,3,4
MALLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,3,11,3,11,14
MAPIRI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,6,26,2,5,8,31,39
MECAPACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,11,0,2,1,13,14
MINEROS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,19,0,0,2,19,21
MIZQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,19,3,8,7,27,34
MOCOMOCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,5,2,0,0,5,2,7
MOJINETE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,0,1,0,1,1
MONTEAGUDO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,6,11,1,1,7,12,19
MONTERO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,11,201,12,24,23,225,248
MOROCHATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,5,0,0,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,0,0,2,1,2,3
OCURI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,4,0,2,0,6,6
OKINAWA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,5,2,5,2,10,12
OMEREQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,2,0,4,1,6,7
ORURO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,36,305,57,43,93,348,441
PADCAYA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,15,0,0,0,15,15
PADILLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,0,2,0,2,2
PAILON,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,4,11,11,15,15,30
PALCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,8,8,9,8,17,25
PALOS BLANCOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,10,35,30,38,40,78
PAMPA GRANDE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,1,0,0,2,1,3
PAPEL PAMPA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,12,0,0,4,12,16
PASORAPA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,0,0,0,1,0,1
PATACAMAYA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,36,0,3,0,39,39
PAZÑA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,3,0,0,0,3,3
PELECHUCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,11,0,2,1,13,14
POCOATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,3,1,9,1,12,13
POCONA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,1,5,2,6,3,9
POJO (CBBA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,3,3,5,3,8,11
POOPO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,8,2,3,3,11,14
PORCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,8,1,4,3,12,15
POROMA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,3,5,3,6,9
PORTACHUELO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,25,0,0,4,25,29
PORVENIR,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,12,0,0,1,12,13
POSTRER VALLE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,7,5,0,0,7,5,12
POTOSI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,26,274,3,15,29,289,318
PRESTO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,9,0,0,1,9,10
PUCARANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,24,1,15,3,39,42
PUERTO ACOSTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,3,0,1,0,4,4
PUERTO CARABUCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,2,0,3,3
PUERTO GONZALO MORENO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,4,0,0,2,4,6
PUERTO PEREZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,0,1,0,1,1
PUERTO QUIJARRO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,6,8,14,8,20,28
PUERTO RICO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,9,2,0,2,9,11
PUERTO SUAREZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,15,32,15,22,30,54,84
PUERTO VILLARROEL,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,12,50,34,32,46,82,128
PUNA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,4,0,1,1,5,6
PUNATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,12,21,2,8,14,29,43
QUIABAYA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
QUILLACOLLO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,11,26,5,5,16,31,47
QUIME,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,8,0,0,0,8,8
QUIRUSILLAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,1,3,2,4,3,7
RAVELO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,4,1,7,5,11,16
REYES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,35,0,2,2,37,39
RIBERALTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,7,168,0,0,7,168,175
ROBORE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,7,6,6,6,13,19
RURRENABAQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,4,1,3,4,7,11
SABAYA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,3,1,0,5,3,8
SACABA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,39,171,18,20,57,191,248
SACACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,7,0,0,0,7,7
SAIPINA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,3,0,0,2,3,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,2,9,2,11,13
SAMAIPATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,2,0,4,4
SAN ANDRES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,7,0,0,1,7,8
SAN ANTONIO DE LOMERIO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,1,0,0,2,1,3
SAN BENITO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,4,0,1,2,5,7
SAN BORJA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,6,49,0,0,6,49,55
SAN BUENA VENTURA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,11,0,1,0,12,12
SAN CARLOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,5,21,11,5,16,26,42
SAN IGNACIO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,18,26,91,8,109,34,143
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,19,23,5,5,24,28,52
SAN JAVIER(BNI),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,4,0,11,1,15,16
SAN JAVIER(STC),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,4,0,0,3,4,7
SAN JOAQUIN,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,7,9,17,11,24,35
SAN JUAN DE YAPACANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,2,0,0,1,2,3
SAN JULIAN,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,8,39,13,18,21,57,78
SAN LORENZO(PND),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,3,2,22,2,25,27
SAN LORENZO(TJA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,30,0,3,1,33,34
SAN LUCAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,7,2,4,2,11,13
SAN MATIAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,5,8,5,1,10,9,19
SAN MIGUEL DE VELASCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,11,0,0,2,11,13
SAN PABLO DE LIPEZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,6,0,0,2,6,8
SAN PEDRO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,3,5,0,7,3,10
SAN PEDRO DE BUENA VISTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,27,0,0,0,27,27
SAN PEDRO DE CURAHUARA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
SAN PEDRO DE QUEMES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,0,2,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,4,0,4,0,8,8
SAN PEDRO(PND),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,3,3,3,3,6
SAN RAFAEL,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,2,0,1,0,3,3
SAN RAMON BENI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,9,0,2,0,11,11
SAN RAMON SCZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,11,7,16,9,27,36
SANTA ANA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,3,16,2,4,5,20,25
SANTA CRUZ DE LA SIERRA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1071,1729,120,93,1191,1822,3013
SANTA ROSA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,7,0,0,0,7,7
SANTA ROSA DEL SARA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,7,20,2,9,9,29,38
SANTIAGO DE CALLAPA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,2,1,0,8,2,9,11
SANTIAGO DE MACHACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
