,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
EXALTACION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,2,3,0,0,2,3,5
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,2,9,2,9,11
GUANAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,4,3,4,3,7
HUACHACALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,2,2,0,0,2,2,4
HUARACAJE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,4,7,4,7,11
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,72,108,4,1,76,109,185
MAGDALENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,2,1,0,0,2,1,3
MORO MORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,1,1,1,0,2,1,3
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,5,2,6,2,11,4,15
PALOS BLANCOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,2,1,2,1,3
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,0,1,0,1,1
POJO (CBBA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,2,0,0,0,2,2
PORTACHUELO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,5,0,0,0,5,5
POSTRER VALLE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,2,5,0,0,2,5,7
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,2,2,4,1,6,3,9
PUERTO SILES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,0,2,0,2,2
PUNA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,1,0,0,0,1,0,1
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,1,5,0,0,1,5,6
ROBORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,2,3,6,6,8,9,17
SACABA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,9,0,9,0,9
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,20,0,0,0,20,20
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,1,2,1,2,3
SAN LORENZO(PND),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,2,2,1,1,3,3,6
SAN PEDRO(PND),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,9,7,0,0,9,7,16
SANTA ROSA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,1,3,0,0,1,3,4
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,4,2,2,2,6,4,10
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,1,0,1,0,1
SENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,2,4,0,0,2,4,6
TACACOMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,3,3,53,48,56,51,107
TRINIDAD,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,29,31,0,0,29,31,60
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,0,2,0,2,2
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,21,0,13,0,34,34
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,13,1,0,0,13,1,14
VILLA TUNARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,5,4,5,4,9
APOLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,0,1,7,1,7,8
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,2,0,1,0,3,3
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,0,1,1,1,1,2
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,0,1,1,1,1,2
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,18,12,0,0,18,12,30
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,2,2,6,2,8,10
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,1,11,4,11,5,16
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,11,14,5,19,16,33,49
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,1,0,2,0,3,3
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,0,6,0,6,0,6
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,13,11,0,0,13,11,24
GUANAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,1,0,0,0,1,1
INQUISIVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,1,3,0,0,1,3,4
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,5,4,21,46,26,50,76
MOJINETE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,0,0,6,0,6,6
MONTEAGUDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,4,7,0,0,4,7,11
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,2,5,1,0,3,5,8
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,0,0,0,1,0,1,1
PAZÑA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,1,1,13,0,14,1,15
PORVENIR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,1,0,9,6,10,6,16
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,3,4,4,5,7,9,16
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,29,25,0,1,29,26,55
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-02-01,4,0,1,0,5,0,5
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-03-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-03-01,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-04-01,60,74,40,25,100,99,199
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-04-01,4,1,0,0,4,1,5
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,6,5,6,5,11
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,3,1,3,3,6,9
AIQUILE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,15,4,3,8,18,26
ALALAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,1,4,1,4,5
ALCALA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,10,8,11,10,21,18,39
ALTO BENI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,3,4,4,8,7,15
ANCORAIMES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,3,0,1,1,4,5
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,1,4,3,7,4,11
ANTEQUERA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,6,12,6,12,18
ANZALDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,1,4,5,6,6,12
ARANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,7,21,4,12,11,33,44
ARBIETO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,9,31,35,58,44,89,133
ARQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,9,8,25,12,34,46
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,7,2,2,6,9,15
AUCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,5,24,3,12,8,36,44
AZURDUY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,14,28,30,58,44,86,130
BAURES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,42,44,1,1,43,45,88
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,1,1,1,1,2
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,2,0,2,0,4,4
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,1,2,1,2,3
BERMEJO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,45,39,20,58,65,97,162
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,2,1,9,3,11,14
BOLIVAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,10,2,14,6,24,30
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,2,4,2,5,4,9
BOYUIBE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,11,15,9,8,20,23,43
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,29,40,29,63,58,103,161
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,42,51,109,144,151,195,346
CAIROMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,1,5,6,5,7,12
"CAIZA ""D""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,4,13,31,17,35,52
CAJUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,0,2,0,2,2
CALACOTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,1,5,7,6,8,14
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,3,0,0,4,3,7
CAMARGO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,5,1,11,25,16,26,42
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,3,0,3,3,6,9
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,48,54,15,46,63,100,163
CAPINOTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,7,22,8,24,15,46,61
CAQUIAVIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,2,18,22,18,24,42
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,5,5,22,26,27,31,58
CARANAVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,38,24,36,47,74,71,145
CARANGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,1,3,0,6,1,7
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,8,7,5,3,13,10,23
CARIPUYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,1,1,1,1,2
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,9,3,17,22,26,25,51
CATACORA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,1,2,4,2,5,7
CHACARILLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,2,5,1,6,3,9
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,7,8,23,12,30,42
CHAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,1,6,7,7,8,15
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,26,22,23,44,49,66,115
CHARAÑA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,1,2,2,5,3,8
CHAYANTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,7,20,108,31,115,51,166
CHIMORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,15,24,29,26,44,50,94
CHIPAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,0,0,1,1,1,2
CHUA COCANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,5,14,17,19,22,33,55
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,5,0,2,6,7,6,13
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,1,2,2,3,3,6
CLIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,13,14,23,64,36,78,114
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,21,15,51,37,72,52,124
COCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,17,22,10,14,27,36,63
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1889,1825,359,503,2248,2328,4576
COIPASA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,0,2,0,2,2
COLCAPIRHUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,78,130,210,198,288,328,616
"COLCHA ""K""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,3,4,12,7,15,22
COLLANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,3,7,4,8,7,15
COLOMI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,0,0,2,4,2,6
COLPA BELGICA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,2,0,0,0,2,2
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,4,4,3,7,7,14
COMARAPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,12,17,11,11,23,28,51
CONCEPCION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,25,23,41,69,66,92,158
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,4,4,3,5,7,12
CORIPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,4,8,19,9,23,32
CORO CORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,2,5,5,5,7,12
COROICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,9,16,39,38,48,54,102
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,6,9,8,13,14,27
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,20,27,57,88,77,115,192
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,177,265,8,18,185,283,468
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,23,8,25,12,48,60
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,2,5,10,5,12,17
CUEVO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,6,12,5,5,11,17,28
CULPINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,10,1,4,5,14,19
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,1,6,1,6,7
CURVA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,0,1,0,1,1
DESAGUADERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,3,0,0,2,3,5
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,853,1045,273,372,1126,1417,2543
EL CHORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,0,3,2,5,2,7
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,7,35,24,38,31,69
EL TORNO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,147,292,239,171,386,463,849
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,8,5,12,6,20,26
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,10,46,23,46,33,92,125
ESCOMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,1,0,0,0,1,1
EUCALIPTUS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,0,4,0,4,4
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,1,4,2,4,3,7
EXALTACION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,2,0,0,1,2,3
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,7,3,8,17,15,20,35
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,5,3,2,6,7,13
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,22,35,5,18,27,53,80
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,6,7,6,7,13
GUANAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,9,2,6,5,15,20
GUAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,13,24,3,9,16,33,49
GUTIERREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,0,1,5,3,5,8
HUACARETA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,5,10,9,7,14,17,31
HUACHACALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,1,1,2,3,3,6
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,8,38,106,41,114,155
HUARACAJE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,30,88,30,88,118
HUARINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,0,1,0,2,0,2
HUATAJATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,1,0,1,4,2,6
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,3,10,6,13,9,22
HUMANATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,1,0,1,0,2,2
ICHOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,1,0,0,0,1,1
ICLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,9,11,39,14,48,62
INQUISIVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,6,4,6,4,10
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,3,12,17,15,20,35
IXIAMAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,0,2,0,3,0,3
JESUS DE MACHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,4,3,4,6,8,14
LA ASUNTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,38,42,14,11,52,53,105
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,105,157,148,43,253,200,453
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1242,1449,204,289,1446,1738,3184
LAGUNILLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,17,23,39,30,56,53,109
LAJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,14,12,11,17,25,29,54
LAS CARRERAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,1,9,12,9,13,22
LLALLAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,163,85,104,195,267,280,547
LLICA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,1,2,4,3,5,8
LORETO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,3,56,39,58,42,100
MACHACAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,8,11,21,15,29,44
MACHARETI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,13,29,22,20,35,49,84
MAGDALENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,5,0,0,4,5,9
MAIRANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,5,12,6,17,11,29,40
MALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,10,9,10,9,19
MAPIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,28,18,69,100,97,118,215
MECAPACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,3,1,5,3,8,11
MINEROS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,13,23,10,13,23,36,59
MIZQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,13,27,17,27,30,54,84
MOCOMOCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,18,11,21,15,39,26,65
MOJOCOYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,5,9,4,4,9,13,22
MONTEAGUDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,68,102,22,36,90,138,228
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,121,183,322,198,443,381,824
MORO MORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,1,0,0,0,1,1
MOROCHATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,4,6,2,8,6,14
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,2,2,11,4,13,17
OCURI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,0,0,1,2,1,2,3
OKINAWA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,57,98,17,21,74,119,193
OMEREQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,3,6,20,30,23,36,59
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,173,243,162,99,335,342,677
PADCAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,2,6,8,17,10,23,33
PADILLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,4,23,14,23,18,46,64
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,15,22,23,33,38,55,93
PALCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,12,26,44,65,56,91,147
PALOS BLANCOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,6,6,17,19,23,25,48
PAMPA GRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,21,28,60,97,81,125,206
PASORAPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-05-01,1,4,5,21,6,25,31
