,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
MAGDALENA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,3,0,0,0,3,3
MAPIRI,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,12,0,0,0,12,12
ORURO,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,8,18,0,0,8,18,26
PALOS BLANCOS,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,0,2,0,2,0,2
PUNA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,0,0,1,0,1,1
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,1,0,0,0,1,0,1
SAN LORENZO(PND),otras vacunaciones,influenza estacional a personal de salud,2017-01-01,1,5,0,0,1,5,6
SAN RAMON BENI,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,9,13,0,0,9,13,22
SANTA ROSA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,4,14,0,0,4,14,18
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,2,0,0,0,2,2
SENA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,15,20,0,0,15,20,35
TACACOMA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,1,0,0,0,1,1
TOTORA(CBBA),otras vacunaciones,influenza estacional a personal de salud,2017-01-01,12,22,0,0,12,22,34
TRINIDAD,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,2,4,0,0,2,4,6
VALLEGRANDE,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,1,2,0,0,1,2,3
APOLO,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,0,0,1,0,1,0,1
CAMIRI,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,12,18,0,0,12,18,30
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,1,0,0,0,1,0,1
COPACABANA,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,0,0,0,1,0,1,1
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,2,6,0,0,2,6,8
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,8,16,0,0,8,16,24
MOJINETE,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,0,0,1,1,1,1,2
MONTEAGUDO,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,3,3,0,0,3,3,6
ORURO,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,11,24,0,0,11,24,35
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,1,1,1,6,2,7,9
PAZÑA,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,1,5,0,0,1,5,6
PORVENIR,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,10,15,0,0,10,15,25
TINGUIPAYA,otras vacunaciones,influenza estacional a personal de salud,2017-02-01,0,0,0,5,0,5,5
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personal de salud,2017-02-01,3,7,0,1,3,8,11
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2017-03-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2017-04-01,68,66,48,73,116,139,255
SAN IGNACIO,otras vacunaciones,influenza estacional a personal de salud,2017-04-01,2,1,0,0,2,1,3
ACACIO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,0,0,2,0,2,2
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,9,9,0,0,9,9,18
ACHOCALLA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,7,4,10,9,17,26
AIQUILE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,12,1,3,9,15,24
ALALAY,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,6,2,0,4,6,10
ALCALA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,9,13,1,4,10,17,27
ALTO BENI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,12,10,4,2,16,12,28
ANCORAIMES,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,4,0,0,4,4,8
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,12,0,2,6,14,20
ANTEQUERA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,12,0,4,3,16,19
ANZALDO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,10,4,19,10,29,39
ARANI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,10,1,2,7,12,19
ARBIETO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,13,27,3,2,16,29,45
ARQUE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,21,19,3,3,24,22,46
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,30,91,0,0,30,91,121
ATOCHA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,4,0,0,4,4,8
AUCAPATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,0,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,13,14,1,4,14,18,32
AZURDUY,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,14,17,1,0,15,17,32
BAURES,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,7,5,0,0,7,5,12
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,6,0,0,1,6,7
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,1,0,0,1,1,2
BELLA FLOR,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,7,9,0,0,7,9,16
BERMEJO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,47,88,2,5,49,93,142
BETANZOS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,16,22,1,0,17,22,39
BOLIVAR,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,12,0,0,8,12,20
BOLPEBRA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,15,0,0,5,15,20
BOYUIBE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,13,17,3,0,16,17,33
BUENA VISTA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,14,2,1,8,15,23
CABEZAS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,31,41,2,0,33,41,74
CAIROMA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,8,2,2,7,10,17
"CAIZA ""D""",otras vacunaciones,influenza estacional a personal de salud,2017-05-01,14,24,1,1,15,25,40
CAJUATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,2,0,0,4,2,6
CALACOTO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,3,1,0,7,3,10
CALAMARCA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,7,12,0,0,7,12,19
CAMARGO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,24,64,1,3,25,67,92
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,9,16,1,2,10,18,28
CAMIRI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,23,50,2,4,25,54,79
CAPINOTA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,14,21,0,2,14,23,37
CAQUIAVIRI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,5,0,0,3,5,8
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,11,8,14,13,25,38
CARANAVI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,27,46,0,2,27,48,75
CARANGAS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,1,2,0,2,1,3
CARAPARI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,14,5,1,2,15,7,22
CARIPUYO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,3,0,0,4,3,7
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,9,7,1,2,10,9,19
CATACORA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,4,4,1,4,5,9
CHACARILLA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,3,1,2,2,5,7
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,30,65,23,30,53,95,148
CHAQUI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,13,24,2,2,15,26,41
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,32,22,4,7,36,29,65
CHARAÑA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,5,0,0,3,5,8
CHAYANTA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,17,21,5,3,22,24,46
CHIMORE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,16,33,4,4,20,37,57
CHIPAYA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,3,0,0,4,3,7
CHOQUE COTA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,3,0,0,5,3,8
CHUA COCANI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,1,0,1,0,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,9,1,3,4,12,16
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,13,2,2,7,15,22
CLIZA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,18,33,1,2,19,35,54
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,63,162,80,159,143,321,464
COCAPATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,20,19,3,4,23,23,46
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,980,1598,202,347,1182,1945,3127
COIPASA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,2,0,0,2,2,4
COLCAPIRHUA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,33,72,22,66,55,138,193
"COLCHA ""K""",otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,12,0,0,5,12,17
COLLANA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,6,0,0,3,6,9
COLOMI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,15,23,0,0,15,23,38
COLQUECHACA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,11,11,0,0,11,11,22
COLQUENCHA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,8,1,1,7,9,16
COMARAPA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,19,42,0,0,19,42,61
CONCEPCION,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,22,40,2,0,24,40,64
COPACABANA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,5,1,0,4,5,9
CORIPATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,3,2,5,4,8,12
CORO CORO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,4,3,6,11,10,21
COROICO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,26,32,0,2,26,34,60
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,9,7,3,8,12,15,27
COTAGAITA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,23,22,4,3,27,25,52
COTOCA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,48,91,0,3,48,94,142
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,10,16,0,4,10,20,30
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,10,7,1,2,11,9,20
CUEVO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,7,11,0,0,7,11,18
CULPINA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,19,44,1,1,20,45,65
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,1,9,13,10,14,24
CURVA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,5,0,0,5,5,10
DESAGUADERO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,9,0,1,6,10,16
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,368,738,25,103,393,841,1234
EL CHORO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,19,2,4,3,23,26
EL PUENTE(STC),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,20,40,0,0,20,40,60
EL TORNO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,96,179,2,5,98,184,282
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,1,0,2,2,3,5
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,19,33,3,1,22,34,56
ESCARA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,3,0,0,2,3,5
ESCOMA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,4,0,0,0,4,4
ESMERALDA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,2,0,0,1,2,3
EUCALIPTUS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,0,0,0,3,0,3
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,9,5,0,0,9,5,14
EXALTACION,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,8,0,0,3,8,11
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,16,43,0,1,16,44,60
FILADELFIA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,17,15,0,0,17,15,32
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,14,34,1,2,15,36,51
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,3,0,0,1,3,4
GUANAY,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,7,11,0,0,7,11,18
GUAQUI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,7,7,0,0,7,7,14
GUTIERREZ,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,3,4,6,8,9,17
HUACARETA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,10,17,0,0,10,17,27
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,4,0,0,2,4,6
HUACHACALLA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,7,0,0,6,7,13
HUANUNI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,11,28,26,67,37,95,132
HUARACAJE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,0,8,6,8,6,14
HUARINA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,0,0,1,0,1,1
HUATAJATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,8,0,0,6,8,14
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,19,12,5,6,24,18,42
ICHOCA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,3,0,0,4,3,7
ICLA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,20,31,2,0,22,31,53
INCAHUASI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,10,13,0,0,10,13,23
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,5,5,0,10,5,15
IXIAMAS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,0,0,0,2,0,2
JESUS DE MACHACA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,9,12,1,0,10,12,22
LA ASUNTA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,18,9,0,1,18,10,28
LA GUARDIA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,37,77,3,12,40,89,129
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,578,1106,262,338,840,1444,2284
LA RIVERA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,0,2,1,2,1,3
LAGUNILLAS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,12,9,2,0,14,9,23
LAJA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,9,24,2,3,11,27,38
LAS CARRERAS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,0,0,1,0,1,1
LLALLAGUA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,35,55,39,45,74,100,174
LLICA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,7,0,0,5,7,12
LORETO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,6,1,1,6,7,13
LURIBAY,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,3,0,0,0,3,3
MACHACAMARCA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,7,1,0,5,7,12
MACHARETI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,8,0,0,4,8,12
MAGDALENA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,12,0,0,6,12,18
MAIRANA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,10,0,1,2,11,13
MALLA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,1,4,3,5,4,9
MAPIRI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,7,0,2,3,9,12
MECAPACA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,6,1,2,4,8,12
MINEROS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,16,30,0,1,16,31,47
MIZQUE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,14,11,3,3,17,14,31
MOCOMOCO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,10,7,5,4,15,11,26
MOJOCOYA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,3,0,0,6,3,9
MONTEAGUDO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,37,91,1,0,38,91,129
MONTERO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,62,202,35,53,97,255,352
MORO MORO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,5,0,0,4,5,9
MOROCHATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,6,0,0,1,6,7
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,9,3,4,7,13,20
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,1,0,0,2,1,3
OCURI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,0,2,2,2,2,4
OKINAWA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,12,25,0,0,12,25,37
OMEREQUE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,6,1,1,9,7,16
ORURO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,234,425,231,428,465,853,1318
PADCAYA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,7,0,1,8,8,16
PADILLA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,25,46,3,4,28,50,78
PAILON,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,21,23,4,6,25,29,54
PALCA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,12,15,1,0,13,15,28
PALOS BLANCOS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,11,22,2,7,13,29,42
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,0,1,2,2,2,4
PAMPA GRANDE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,14,14,0,1,14,15,29
PAPEL PAMPA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,4,0,1,3,5,8
PASORAPA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,10,2,2,7,12,19
PATACAMAYA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,10,11,1,1,11,12,23
PAZÑA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,9,22,2,1,11,23,34
PELECHUCO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,4,0,0,2,4,6
POCOATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,4,3,0,0,4,3,7
POCONA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,7,4,1,1,8,5,13
POJO (CBBA),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,0,0,0,1,0,1
POOPO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,6,9,2,2,8,11,19
PORCO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,26,25,4,12,30,37,67
POROMA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,26,32,0,1,26,33,59
PORONGO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,23,23,4,6,27,29,56
PORTACHUELO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,31,43,0,0,31,43,74
PORVENIR,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,20,1,2,9,22,31
POSTRER VALLE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,261,603,45,92,306,695,1001
PRESTO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,19,0,0,8,19,27
PUCARANI,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,17,1,0,4,17,21
PUERTO ACOSTA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,6,2,1,7,7,14
PUERTO CARABUCO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,2,1,1,1,3,4
PUERTO PEREZ,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,7,0,0,1,7,8
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,1,10,12,11,13,24
PUERTO RICO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,11,14,0,0,11,14,25
PUERTO SILES,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,3,0,0,3,3,6
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,20,44,8,23,28,67,95
PUERTO VILLARROEL,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,72,123,14,25,86,148,234
PUNA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,16,21,3,2,19,23,42
PUNATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,26,47,2,0,28,47,75
QUILLACOLLO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,90,171,34,84,124,255,379
QUIRUSILLAS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,9,0,0,3,9,12
RAVELO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,6,0,5,5,11,16
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,1,0,0,1,1,2
ROBORE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,38,69,0,0,38,69,107
RURRENABAQUE,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,2,0,0,0,2,2
SABAYA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,11,10,2,0,13,10,23
SACABA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,68,95,119,139,187,234,421
SACABAMBA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,2,8,0,1,2,9,11
SACACA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,0,0,0,1,0,1,1
SAIPINA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,12,0,0,5,12,17
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,18,25,3,2,21,27,48
SAMAIPATA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,14,30,2,6,16,36,52
SAN ANDRES,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,5,11,0,1,5,12,17
SAN ANDRES DE MACHACA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,8,0,0,8,8,16
SAN ANTONIO DE ESMORUCO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,7,6,1,0,8,6,14
SAN ANTONIO DE LOMERIO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,6,0,0,8,6,14
SAN BENITO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,3,15,3,11,6,26,32
SAN BORJA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,8,39,0,0,8,39,47
SAN BUENA VENTURA,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,1,0,0,0,1,0,1
SAN CARLOS,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,12,14,1,1,13,15,28
SAN IGNACIO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,22,26,0,0,22,26,48
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a personal de salud,2017-05-01,65,197,0,0,65,197,262
SAN JAVIER(BNI),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,7,4,2,5,9,9,18
SAN JAVIER(STC),otras vacunaciones,influenza estacional a personal de salud,2017-05-01,17,22,0,0,17,22,39
