,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
CORQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,20.0,0.0,0.0,0.0,20.0,20.0
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EXALTACION,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
FILADELFIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
GUTIERREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,8.0,0.0,0.0,0.0,8.0,8.0
HUACHACALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
HUANUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,19.0,0.0,0.0,0.0,19.0,19.0
HUARACAJE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,140.0,0.0,3.0,0.0,143.0,143.0
LAJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
MAPIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,61.0,0.0,1.0,0.0,62.0,62.0
PALOS BLANCOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
POJO (CBBA),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
POOPO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
PORTACHUELO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,9.0,0.0,0.0,0.0,9.0,9.0
PORVENIR,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
POTOSI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,9.0,0.0,0.0,0.0,9.0,9.0
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PUERTO SILES,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
PUNA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
RIBERALTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,36.0,0.0,2.0,0.0,38.0,38.0
ROBORE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SACABA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN BORJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,14.0,0.0,0.0,0.0,14.0,14.0
SAN CARLOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,9.0,0.0,0.0,0.0,9.0,9.0
SAN IGNACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
SAN LORENZO(PND),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,3.0,0.0,4.0,0.0,7.0,7.0
SAN RAMON BENI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,27.0,0.0,0.0,0.0,27.0,27.0
SANTA ANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
SANTA ROSA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,13.0,0.0,0.0,0.0,13.0,13.0
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SENA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,16.0,0.0,1.0,0.0,17.0,17.0
SUCRE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
TACACOMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,6.0,0.0,2.0,0.0,8.0,8.0
TOTORA(CBBA),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,21.0,0.0,1.0,0.0,22.0,22.0
TRINIDAD,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,23.0,0.0,0.0,0.0,23.0,23.0
VILLA NUEVA (LOMA ALTA),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
YACUIBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
APOLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,2.0,0.0,8.0,0.0,10.0,10.0
ATOCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
CARACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
COBIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,19.0,0.0,6.0,0.0,25.0,25.0
COPACABANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,1.0,0.0,6.0,0.0,7.0,7.0
CORQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,8.0,0.0,0.0,0.0,8.0,8.0
GUANAY,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,0.0,0.0,5.0,0.0,5.0,5.0
GUTIERREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,16.0,0.0,13.0,0.0,29.0,29.0
MOJINETE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
MONTEAGUDO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,8.0,0.0,1.0,0.0,9.0,9.0
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
PAZÑA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
POJO (CBBA),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
PORVENIR,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,4.0,0.0,9.0,0.0,13.0,13.0
RIBERALTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,9.0,0.0,0.0,0.0,9.0,9.0
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SORACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TINGUIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
TOTORA(CBBA),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
TURCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
UYUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-02-01,0.0,8.0,0.0,0.0,0.0,8.0,8.0
COLQUIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
POTOSI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-04-01,0.0,6.0,0.0,15.0,0.0,21.0,21.0
ACACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,45.0,0.0,3.0,0.0,48.0,48.0
ACHOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,28.0,0.0,16.0,0.0,44.0,44.0
AIQUILE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,2.0,0.0,9.0,0.0,11.0,11.0
ALALAY,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
ALCALA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,8.0,0.0,2.0,0.0,10.0,10.0
ALTO BENI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,14.0,0.0,4.0,0.0,18.0,18.0
ANCORAIMES,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,4.0,0.0,5.0,0.0,9.0,9.0
ANTEQUERA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,4.0,0.0,5.0,5.0
ANZALDO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,8.0,0.0,9.0,9.0
ARANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,42.0,0.0,16.0,0.0,58.0,58.0
ARBIETO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,39.0,0.0,26.0,0.0,65.0,65.0
ARQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,29.0,0.0,11.0,0.0,40.0,40.0
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,74.0,0.0,0.0,0.0,74.0,74.0
AUCAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,2.0,0.0,4.0,0.0,6.0,6.0
AYO AYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,0.0,0.0,8.0,0.0,8.0,8.0
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,12.0,0.0,15.0,0.0,27.0,27.0
AZURDUY,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,28.0,0.0,20.0,0.0,48.0,48.0
BAURES,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,9.0,0.0,1.0,0.0,10.0,10.0
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,2.0,0.0,3.0,3.0
BELEN DE URMIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,5.0,0.0,1.0,0.0,6.0,6.0
BERMEJO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,139.0,0.0,17.0,0.0,156.0,156.0
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,17.0,0.0,4.0,0.0,21.0,21.0
BOLIVAR,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,7.0,0.0,1.0,0.0,8.0,8.0
BOLPEBRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BOYUIBE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,6.0,0.0,4.0,0.0,10.0,10.0
BUENA VISTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,22.0,0.0,13.0,0.0,35.0,35.0
CABEZAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,33.0,0.0,15.0,0.0,48.0,48.0
CAIROMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,9.0,0.0,10.0,0.0,19.0,19.0
"CAIZA ""D""",otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,32.0,0.0,6.0,0.0,38.0,38.0
CAJUATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CALACOTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,3.0,0.0,2.0,0.0,5.0,5.0
CALAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,32.0,0.0,0.0,0.0,32.0,32.0
CAMARGO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,9.0,0.0,6.0,0.0,15.0,15.0
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
CAMIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,44.0,0.0,31.0,0.0,75.0,75.0
CAPINOTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,31.0,0.0,13.0,0.0,44.0,44.0
CAQUIAVIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,16.0,0.0,5.0,0.0,21.0,21.0
CARACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,5.0,0.0,17.0,0.0,22.0,22.0
CARANAVI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,158.0,0.0,12.0,0.0,170.0,170.0
CARAPARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,3.0,0.0,10.0,0.0,13.0,13.0
CARIPUYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,6.0,0.0,17.0,0.0,23.0,23.0
CATACORA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,4.0,0.0,5.0,5.0
CHACARILLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,3.0,0.0,3.0,0.0,6.0,6.0
CHALLAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,54.0,0.0,32.0,0.0,86.0,86.0
CHAQUI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,22.0,0.0,4.0,0.0,26.0,26.0
CHARAGUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,16.0,0.0,14.0,0.0,30.0,30.0
CHARAÑA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
CHAYANTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,32.0,0.0,34.0,0.0,66.0,66.0
CHIMORE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,50.0,0.0,12.0,0.0,62.0,62.0
CHIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,2.0,0.0,3.0,0.0,5.0,5.0
CHOQUE COTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
CHUA COCANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,7.0,0.0,9.0,0.0,16.0,16.0
CHUMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,8.0,0.0,4.0,0.0,12.0,12.0
CKOCHAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
CLIZA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,62.0,0.0,27.0,0.0,89.0,89.0
COBIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,97.0,0.0,28.0,0.0,125.0,125.0
COCAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,54.0,0.0,61.0,0.0,115.0,115.0
COCHABAMBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1604.0,0.0,229.0,0.0,1833.0,1833.0
COLCAPIRHUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,68.0,0.0,93.0,0.0,161.0,161.0
"COLCHA ""K""",otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,9.0,0.0,11.0,0.0,20.0,20.0
COLLANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,4.0,0.0,5.0,5.0
COLOMI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,57.0,0.0,3.0,0.0,60.0,60.0
COLQUECHACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
COLQUENCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,21.0,0.0,2.0,0.0,23.0,23.0
COLQUIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
COMARAPA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,30.0,0.0,8.0,0.0,38.0,38.0
CONCEPCION,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,16.0,0.0,11.0,0.0,27.0,27.0
COPACABANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,6.0,0.0,15.0,0.0,21.0,21.0
CORIPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,30.0,0.0,46.0,0.0,76.0,76.0
CORO CORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,2.0,0.0,5.0,0.0,7.0,7.0
COROICO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,33.0,0.0,17.0,0.0,50.0,50.0
CORQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,7.0,0.0,14.0,0.0,21.0,21.0
COTAGAITA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,31.0,0.0,32.0,0.0,63.0,63.0
COTOCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,150.0,0.0,6.0,0.0,156.0,156.0
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,8.0,0.0,8.0,0.0,16.0,16.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,7.0,0.0,3.0,0.0,10.0,10.0
CUEVO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,11.0,0.0,0.0,0.0,11.0,11.0
CULPINA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,12.0,0.0,5.0,0.0,17.0,17.0
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,0.0,0.0,9.0,0.0,9.0,9.0
CURVA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
DESAGUADERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,13.0,0.0,0.0,0.0,13.0,13.0
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,3023.0,0.0,579.0,0.0,3602.0,3602.0
EL CHORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
EL PUENTE(STC),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,10.0,0.0,20.0,0.0,30.0,30.0
EL TORNO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,152.0,0.0,27.0,0.0,179.0,179.0
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,23.0,0.0,7.0,0.0,30.0,30.0
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,183.0,0.0,21.0,0.0,204.0,204.0
ESCARA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
ESCOMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,10.0,0.0,0.0,0.0,10.0,10.0
EUCALIPTUS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,3.0,0.0,2.0,0.0,5.0,5.0
EXALTACION,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,31.0,0.0,0.0,0.0,31.0,31.0
FILADELFIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,9.0,0.0,1.0,0.0,10.0,10.0
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,35.0,0.0,3.0,0.0,38.0,38.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GUANAY,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,10.0,0.0,21.0,0.0,31.0,31.0
GUAQUI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-05-01,0.0,15.0,0.0,7.0,0.0,22.0,22.0
