,group,variable,month,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,0,10,17,10,17,27
HUANUNI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,0,0,0,1,0,1
HUATAJATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
ICHOCA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,7,0,1,1,8,9
LA PAZ,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,10,18,0,0,10,18,28
LLALLAGUA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,1,0,0,1,1,2
MAGDALENA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
MECAPACA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,4,2,0,0,4,2,6
ORURO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,5,14,13,33,18,47,65
PAILON,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,3,0,1,1,4,1,5
PORTACHUELO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
PORVENIR,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,2,3,0,0,2,3,5
PUCARANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,2,0,0,0,2,2
QUIME,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,1,0,0,1,1,2
RURRENABAQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,3,0,0,0,3,3
SAN BENITO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,2,1,0,1,2,2,4
SAN CARLOS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,3,0,0,0,3,3
SAN IGNACIO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,2,0,0,1,2,3
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,5,0,0,0,5,5
SAN RAMON BENI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,22,61,0,0,22,61,83
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,2,0,0,1,2,3
SAPAHAQUI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,4,0,0,1,4,5
SENA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,3,2,0,0,3,2,5
TARATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,2,1,0,0,2,1,3
TARIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,7,11,0,0,7,11,18
TOLEDO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,2,0,0,1,2,3
TRINIDAD,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,2,1,0,0,2,1,3
TUPIZA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,3,8,12,17,15,25,40
VACAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,0,0,0,1,0,1
VALLEGRANDE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
VIACHA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
VILLA MONTES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,2,1,0,0,2,1,3
VILLA TUNARI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,2,2,0,0,2,2,4
YAPACANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,3,0,0,0,3,3
ANCORAIMES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
BELEN DE URMIRI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,2,2,0,0,2,2,4
CAJUATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,3,0,0,0,3,0,3
CAPINOTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,3,10,0,0,3,10,13
COLLANA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
COTOCA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,1,2,0,0,1,2,3
EL ALTO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,6,14,14,2,20,16,36
EL PUENTE(STC),otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,2,0,0,0,2,2
EL TORNO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,4,27,0,0,4,27,31
GUAYARAMERIN,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,4,18,0,0,4,18,22
LA PAZ,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,7,19,0,0,7,19,26
LLALLAGUA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,9,7,0,0,9,7,16
MIZQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,1,4,0,0,1,4,5
MONTERO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,6,19,0,0,6,19,25
PORTACHUELO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,1,6,0,0,1,6,7
PUNA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
ROBORE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,2,1,0,0,2,1,3
SABAYA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,2,0,0,0,2,0,2
SAN CARLOS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,4,23,0,0,4,23,27
SANTIVAÑES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,3,0,0,0,3,3
SUCRE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,7,0,0,0,7,7
TARIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,11,0,0,0,11,11
TEOPONTE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,0,2,1,2,1,3
TRIGAL,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,8,10,0,1,8,11,19
TUPIZA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,2,0,0,0,2,0,2
VILA VILA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,1,3,0,0,1,3,4
VILLA MONTES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,3,0,0,0,3,3
VILLAZON,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,2,0,0,0,2,2
YACUIBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,1,1,0,0,1,1,2
YAPACANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-02-01,0,2,0,0,0,2,2
AIQUILE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
ARANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,1,0,0,0,1,1
ATOCHA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,3,0,0,0,3,3
BELEN DE ANDAMARCA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,2,0,0,0,2,2
BUENA VISTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,2,0,0,0,2,2
"CAIZA ""D""",otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,2,0,0,0,2,0,2
CARAPARI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,1,0,0,1,1,2
CHALLAPATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,3,0,0,0,3,3
COCHABAMBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,5,11,0,0,5,11,16
COLQUECHACA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,1,0,0,1,1,2
COTAGAITA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,2,0,0,1,2,3
EL ALTO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,7,26,2,0,9,26,35
EL TORNO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,10,15,0,0,10,15,25
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,3,3,0,0,3,3,6
GUAYARAMERIN,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,0,5,8,5,8,13
ICLA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,2,0,0,0,2,2
LA GUARDIA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,5,12,8,4,13,16,29
MIZQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,2,2,0,0,2,2,4
MONTEAGUDO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,28,27,9,34,37,61,98
PAILON,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,1,0,0,1,1,2
POCOATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
PORCO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,1,0,0,1,1,2
PORTACHUELO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,2,0,0,0,2,2
POTOSI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,8,11,0,0,8,11,19
PRESTO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
PUERTO CARABUCO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,1,0,0,0,1,1
QUIME,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
ROBORE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,3,3,8,3,11,14
SABAYA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
SAN BENITO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,1,0,0,0,1,1
SAN MIGUEL DE VELASCO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,1,0,0,0,1,1
SAN PEDRO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,2,0,0,1,2,3
SANTA ANA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,3,7,0,0,3,7,10
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,0,1,1,1,1,2
SANTIVAÑES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
SHINAOTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,2,0,0,1,2,3
TACOPAYA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,2,0,0,0,2,0,2
TARIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,3,9,0,0,3,9,12
TRINIDAD,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,2,9,6,6,8,15,23
TUPIZA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,3,0,0,0,3,0,3
URUBICHA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,10,14,0,0,10,14,24
UYUNI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
VALLEGRANDE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,0,0,3,0,3,3
VILLA MONTES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
VILLA TUNARI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,2,1,0,0,2,1,3
VILLAZON,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,5,0,0,1,5,6
YACUIBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,0,2,0,0,0,2,2
YAPACANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-03-01,1,0,0,0,1,0,1
AIQUILE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,0,0,0,2,0,2
ATOCHA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,0,0,0,1,0,1
AYO AYO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
BOLIVAR,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,0,0,0,1,0,1
BOYUIBE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
"CAIZA ""D""",otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,6,0,0,2,6,8
CHALLAPATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,2,4,1,4,3,7
COCHABAMBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,11,32,0,0,11,32,43
COLQUECHACA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,4,3,0,0,4,3,7
COLQUIRI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,3,0,0,0,3,3
COTOCA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,3,2,0,0,3,2,5
EL ALTO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,4,6,14,51,18,57,75
EL PUENTE(STC),otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
EL TORNO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,7,0,0,1,7,8
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,2,0,0,0,2,2
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,11,10,0,0,11,10,21
ICLA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,1,0,0,1,1,2
INQUISIVI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,3,0,0,0,3,0,3
LA GUARDIA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,2,0,0,2,2,4
LA PAZ,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,4,30,0,0,4,30,34
LAGUNILLAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,2,0,0,0,2,2
MIZQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,0,0,0,2,0,2
MONTEAGUDO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,2,0,0,2,2,4
OCURI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,2,0,0,1,2,3
ORURO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,17,28,0,0,17,28,45
POROMA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,1,0,0,2,1,3
PORVENIR,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,2,0,0,0,2,2
POTOSI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,10,11,0,0,10,11,21
PRESTO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,8,0,0,1,8,9
PUNA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,0,0,0,1,0,1
RAVELO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,0,0,0,2,0,2
ROBORE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
SABAYA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,3,3,0,0,3,3,6
SAN JOSE DE CHIQUITOS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,10,10,0,0,10,10,20
SAN PEDRO DE QUEMES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,9,0,0,2,9,11
SHINAOTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,2,0,0,1,2,3
SUCRE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,5,0,0,0,5,5
TACOPAYA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,6,9,0,0,6,9,15
TRINIDAD,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,5,8,11,10,16,26
TUPIZA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,2,0,0,1,2,3
URUBICHA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,1,0,0,1,1,2
UYUNI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,8,0,0,0,8,8
VILLA MONTES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,7,0,0,1,7,8
VILLA TUNARI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,2,7,0,0,2,7,9
VILLAZON,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-04-01,1,4,0,0,1,4,5
AIQUILE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,1,2,0,0,1,2,3
ARANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,0,1,0,0,0,1,1
ARQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,0,1,0,0,0,1,1
BOLIVAR,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,0,1,0,0,0,1,1
BOYUIBE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,1,0,0,0,1,0,1
"CAIZA ""D""",otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,0,3,0,0,0,3,3
CALACOTO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,1,0,0,0,1,0,1
CAMARGO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,0,1,0,0,0,1,1
CAPINOTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-05-01,1,0,0,0,1,0,1
