,group,variable,month,DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
ATOCHA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,23,0,10,1,33,34
AUCAPATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,3,0,0,1,3,4
AYATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,3,5,1,5,4,9
AYO AYO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,3,0,1,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,8,9,25,14,33,47
AZURDUY,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,12,13,16,20,28,33,61
BAURES,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,7,14,0,0,7,14,21
BELEN DE URMIRI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,1,0,0,3,1,4
BERMEJO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,32,50,2,4,34,54,88
BETANZOS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,64,0,3,3,67,70
BOLIVAR,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,0,0,1,0,1,1
BOLPEBRA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,0,5,4,6,4,10
BOYUIBE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,1,9,0,13,1,14
BUENA VISTA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,24,2,3,5,27,32
CABEZAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,17,12,76,26,93,38,131
CAIROMA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,12,5,0,7,12,19
"CAIZA ""D""",otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,9,18,3,1,12,19,31
CAJUATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,6,0,2,4,8,12
CALACOTO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
CALAMARCA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,23,0,5,4,28,32
CAMARGO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,2,0,0,3,2,5
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,59,28,46,54,105,82,187
CAPINOTA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
CAQUIAVIRI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,6,3,0,4,6,10
CARACOLLO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,8,24,15,2,23,26,49
CARANAVI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,30,90,15,18,45,108,153
CARAPARI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,32,35,1,2,33,37,70
CARIPUYO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,3,0,0,0,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,5,0,1,0,6,6
CATACORA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,3,1,0,1,3,4
CHALLAPATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,6,34,6,29,12,63,75
CHAQUI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,12,0,4,2,16,18
CHARAGUA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,33,14,0,0,33,14,47
CHARAÑA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
CHAYANTA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,19,0,0,0,19,19
CHIMORE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,16,9,588,3,604,12,616
CHIPAYA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,1,0,4,1,5,6
CHUA COCANI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,4,0,0,0,4,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,4,0,0,1,4,5
CHUMA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,5,0,0,0,5,5
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,6,1,0,1,6,7
CKOCHAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,15,4,11,6,26,32
CLIZA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,2,8,8,13,10,23
COBIJA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,16,76,1,3,17,79,96
COCAPATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,2,3,2,5,7
COCHABAMBA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,256,598,21,42,277,640,917
COLCAPIRHUA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,11,6,7,8,18,26
"COLCHA ""K""",otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,9,36,1,41,10,51
COLLANA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,4,2,7,2,11,13
COLOMI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,8,17,1,0,9,17,26
COLPA BELGICA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,19,0,0,4,19,23
COLQUECHACA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,70,1,23,3,93,96
COLQUENCHA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,9,0,0,2,9,11
COLQUIRI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,12,2,7,6,19,25
COMANCHE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
COMARAPA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,28,0,0,4,28,32
CONCEPCION,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,0,0,0,1,0,1
COPACABANA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,2,3,2,5,7
CORIPATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,13,14,2,0,15,14,29
CORO CORO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,5,0,0,4,5,9
COROICO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,4,11,10,16,14,30
CORQUE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,0,4,1,5,1,6
COTAGAITA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,11,5,5,10,16,26
COTOCA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
CRUZ DE MACHACAMARCA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,0,0,1,1,1,2
CUATRO CAÑADAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,6,18,31,21,37,58
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
CUEVO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,0,0,0,2,0,2
CULPINA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,3,0,0,0,3,3
CURAHUARA DE CARANGAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,1,0,0,1,1,2
CURVA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
DESAGUADERO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,15,1,4,2,19,21
EL ALTO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,166,922,98,113,264,1035,1299
EL CHORO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,1,2,3,3,4,7
EL PUENTE(STC),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,14,4,1,5,15,9,24
EL PUENTE(TJA),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,5,1,6,6,11,17
EL TORNO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,0,0,0,1,0,1
EL VILLAR,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,1,0,3,3
ENTRE RIOS TRJ,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,10,5,0,7,10,12,22
ENTRE RIOS CBBA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,12,77,0,0,12,77,89
ESCOMA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
EUCALIPTUS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,4,0,1,0,5,5
EUREKA (SANTOS MERCADO),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
EXALTACION,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,16,17,6,1,22,18,40
FERNANDEZ ALONSO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,6,6,0,1,6,7,13
FILADELFIA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,1,0,4,4,5,9
GENERAL SAAVEDRA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,11,0,1,0,12,12
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
GUANAY,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,16,17,44,44,60,61,121
GUAQUI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,2,1,1,2,3,5
GUAYARAMERIN,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,10,71,2,6,12,77,89
GUTIERREZ,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,13,10,12,3,25,13,38
HUACARETA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,2,1,0,5,2,7
HUACHACALLA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,3,0,0,3,3,6
HUANUNI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,18,6,3,9,21,30
HUARACAJE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,3,13,12,13,15,28
HUARINA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,17,2,0,4,17,21
HUATAJATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,12,1,0,3,12,15
HUAYLLAMARCA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,3,0,3,2,6,8
HUMANATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
ICHOCA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,0,18,12,19,12,31
ICLA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,7,0,2,0,9,9
INCAHUASI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,7,1,6,6,13,19
INGAVI (HUMAITA),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,0,0,0,3,0,3
INQUISIVI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,5,6,5,7,12
IXIAMAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,10,13,3,4,13,17,30
JESUS DE MACHACA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,6,0,0,2,6,8
LA ASUNTA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,13,30,13,11,26,41,67
LA GUARDIA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,6,0,0,4,6,10
LA PAZ,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,384,934,70,107,454,1041,1495
LAGUNILLAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,40,3,1,0,41,3,44
LAJA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,19,41,14,17,33,58,91
LAS CARRERAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
LICOMA PAMPA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,2,0,0,2,2,4
LLALLAGUA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,11,39,7,14,18,53,71
LLICA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
LORETO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,10,10,4,10,14,24
LURIBAY,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,3,0,0,0,3,3
MACHACAMARCA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,1,0,0,2,1,3
MACHARETI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,8,4,1,1,9,5,14
MAGDALENA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,15,1,8,5,23,28
MAIRANA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,0,2,1,2,1,3
MALLA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,0,1,0,1,0,1
MAPIRI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,8,2,5,6,13,19
MECAPACA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,8,9,0,2,8,11,19
MINEROS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,6,0,0,3,6,9
MIZQUE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,7,2,4,5,11,16
MOCOMOCO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,7,0,0,0,7,7
MOJINETE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,0,2,1,2,1,3
MOJOCOYA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
MONTEAGUDO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,19,9,0,6,19,15,34
MONTERO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,39,265,7,23,46,288,334
MORO MORO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,0,0,0,2,0,2
MOROCHATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,1,2,0,4,1,5
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,2,8,12,10,14,24
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,2,4,9,5,11,16
OCURI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,28,0,4,0,32,32
OKINAWA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,6,0,6,2,12,14
OMEREQUE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,3,0,4,1,7,8
ORURO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,116,363,328,94,444,457,901
PADCAYA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,9,23,0,3,9,26,35
PADILLA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,3,0,2,2,5,7
PAILON,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,6,4,3,4,9,8,17
PALCA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,15,20,15,10,30,30,60
PALOS BLANCOS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,10,6,37,18,47,24,71
PAMPA AULLAGAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
PAMPA GRANDE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,0,1,3,1,3,4
PAPEL PAMPA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,4,0,0,0,4,4
PASORAPA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
PATACAMAYA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,52,0,4,0,56,56
PAZÑA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,7,0,0,3,7,10
PELECHUCO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,6,20,14,22,20,42
POCOATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,7,2,21,2,28,30
POCONA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,6,13,3,2,9,15,24
POJO (CBBA),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,4,1,3,1,7,8
POOPO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,3,3,6,3,9,12
PORCO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,10,2,1,4,11,15
POROMA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,2,5,1,6,3,9
PORONGO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,1,0,0,2,1,3
PORTACHUELO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,9,20,0,0,9,20,29
PORVENIR,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,8,0,5,3,13,16
POSTRER VALLE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,9,2,1,2,10,4,14
POTOSI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,61,451,14,27,75,478,553
PRESTO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
PUCARANI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,7,31,13,10,20,41,61
PUERTO ACOSTA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,5,4,6,5,11,16
PUERTO CARABUCO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,8,0,6,0,14,14
PUERTO GONZALO MORENO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,7,2,1,6,8,14
PUERTO PEREZ,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,3,0,40,3,43,46
PUERTO QUIJARRO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,5,34,28,35,33,68
PUERTO RICO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,4,0,1,5,5,10
PUERTO SILES,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,3,0,0,0,3,3
PUERTO SUAREZ,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,20,34,16,20,36,54,90
PUERTO VILLARROEL,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,27,54,13,9,40,63,103
PUNA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,20,0,12,2,32,34
PUNATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,9,35,5,5,14,40,54
QUIABAYA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,11,0,0,0,11,11
QUILLACOLLO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,8,6,8,10,16,16,32
QUIME,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,9,0,0,1,9,10
QUIRUSILLAS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,0,1,0,2,0,2
RAVELO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,10,2,7,2,17,19
REYES,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,27,2,3,7,30,37
RIBERALTA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,51,193,123,18,174,211,385
ROBORE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,10,3,41,3,51,6,57
RURRENABAQUE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,8,8,60,5,68,13,81
SABAYA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,4,0,0,1,4,5
SACABA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,51,139,54,38,105,177,282
SACABAMBA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,3,1,3,3,6
SACACA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,11,0,0,4,11,15
SAIPINA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,2,5,8,8,10,18
SAMAIPATA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,1,0,3,2,4,6
SAN ANDRES,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,18,13,5,1,23,14,37
SAN ANDRES DE MACHACA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,2,0,0,2,2,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,37,2,4,2,41,43
SAN BENITO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,5,4,0,0,5,4,9
SAN BORJA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,7,38,2,10,9,48,57
SAN BUENA VENTURA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,12,0,0,3,12,15
SAN CARLOS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,11,0,1,4,12,16
SAN IGNACIO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,11,21,64,5,75,26,101
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,10,17,0,6,10,23,33
SAN JAVIER(BNI),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,8,0,9,9
SAN JAVIER(STC),otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,6,9,0,0,6,9,15
SAN JOAQUIN,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,8,0,0,0,8,8
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,8,6,13,11,21,17,38
SAN JUAN DE YAPACANI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,4,0,4,3,8,11
