,group,variable,month,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
ATOCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,19,18,94,84,113,102,215
AUCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,5,41,32,45,37,82
AYATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,3,36,38,39,41,80
AYO AYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,6,76,80,81,86,167
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,23,24,204,202,227,226,453
AZURDUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,20,12,88,82,108,94,202
BATALLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,12,157,124,171,136,307
BAURES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,4,48,43,58,47,105
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,1,8,6,9,7,16
BELEN DE URMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,4,7,6,9,10,19
BELLA FLOR,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,4,18,19,22,23,45
BERMEJO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,82,82,215,192,297,274,571
BETANZOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,31,27,238,252,269,279,548
BOLIVAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,17,15,53,63,70,78,148
BOLPEBRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,1,13,7,14,8,22
BOYUIBE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,16,23,24,29,40,69
BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,31,23,93,83,124,106,230
CABEZAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,25,28,159,169,184,197,381
CAIROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,10,63,64,75,74,149
"CAIZA ""D""",control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,4,67,57,70,61,131
CAJUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,11,109,86,117,97,214
CALACOTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,2,19,28,21,30,51
CALAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,16,11,102,107,118,118,236
CAMARGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,11,107,124,113,135,248
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,1,25,17,26,18,44
CAMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,60,84,232,252,292,336,628
CAPINOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,25,34,233,211,258,245,503
CAQUIAVIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,4,75,58,83,62,145
CARACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,19,162,164,171,183,354
CARANAVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,90,67,367,320,457,387,844
CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,0,1,3,1,3,4
CARAPARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,7,146,137,160,144,304
CARIPUYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,10,76,64,81,74,155
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,12,11,11,21,23,44
CATACORA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,0,1,7,2,7,9
CHACARILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,1,4,2,5,3,8
CHALLAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,42,49,352,330,394,379,773
CHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,5,60,54,66,59,125
CHARAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,48,48,217,221,265,269,534
CHARAÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,1,12,14,14,15,29
CHAYANTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,13,8,81,109,94,117,211
CHIMORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,96,83,260,225,356,308,664
CHIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,27,13,6,3,33,16,49
CHOQUE COTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,1,9,12,9,13,22
CHUA COCANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,7,29,20,33,27,60
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,24,25,105,99,129,124,253
CHUMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,8,72,77,82,85,167
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,9,57,51,60,60,120
CKOCHAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,16,108,132,120,148,268
CLIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,52,42,139,109,191,151,342
COBIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,79,64,517,496,596,560,1156
COCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,30,27,115,107,145,134,279
COCHABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1524,1381,3171,3051,4695,4432,9127
COIPASA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,2,13,6,13,8,21
COLCAPIRHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,103,85,343,340,446,425,871
"COLCHA ""K""",control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,11,115,96,119,107,226
COLLANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,1,24,18,26,19,45
COLOMI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,31,19,182,181,213,200,413
COLPA BELGICA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,8,2,1,9,9,18
COLQUECHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,36,36,277,277,313,313,626
COLQUENCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,5,72,67,78,72,150
COLQUIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,14,125,138,139,152,291
COMANCHE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,0,16,16,16,16,32
COMARAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,20,122,132,132,152,284
COMBAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,5,22,11,23,16,39
CONCEPCION,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,28,24,129,159,157,183,340
COPACABANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,12,94,96,103,108,211
CORIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,16,8,142,137,158,145,303
CORO CORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,4,55,53,62,57,119
COROICO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,24,21,105,108,129,129,258
CORQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,4,61,43,67,47,114
COTAGAITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,23,18,152,131,175,149,324
COTOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,92,70,381,378,473,448,921
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,0,2,2,2,2,4
CUATRO CAÑADAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,23,23,36,56,59,79,138
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,3,7,13,7,16,23
CUEVO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,4,29,21,31,25,56
CULPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,19,20,126,144,145,164,309
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,2,35,42,40,44,84
CURVA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,1,30,24,34,25,59
DESAGUADERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,9,25,42,33,51,84
EL ALTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1380,1298,6614,5993,7994,7291,15285
EL CHORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,3,58,50,58,53,111
EL PUENTE(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,6,92,81,102,87,189
EL PUENTE(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,61,48,41,34,102,82,184
EL TORNO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,89,65,468,235,557,300,857
EL VILLAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,2,24,32,25,34,59
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,22,183,200,194,222,416
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,41,37,379,353,420,390,810
ESCARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,6,1,1,3,7,10
ESCOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,5,38,42,48,47,95
ESMERALDA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,0,2,1,2,1,3
EUCALIPTUS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,4,38,33,46,37,83
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,0,10,10,11,10,21
EXALTACION,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,4,8,18,8,22,30
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,13,118,122,128,135,263
FILADELFIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,6,48,49,52,55,107
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,13,14,81,53,94,67,161
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,5,78,61,86,66,152
GUANAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,7,160,126,174,133,307
GUAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,9,33,32,37,41,78
GUAYARAMERIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,86,76,421,423,507,499,1006
GUTIERREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,49,61,92,94,141,155,296
HUACARETA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,3,79,59,86,62,148
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,5,25,28,27,33,60
HUACHACALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,21,2,5,13,26,39
HUANUNI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,24,37,211,218,235,255,490
HUARACAJE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,2,27,24,32,26,58
HUARINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,1,34,34,36,35,71
HUATAJATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,3,19,10,24,13,37
HUAYLLAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,3,32,30,34,33,67
HUMANATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,7,30,22,35,29,64
ICHOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,0,29,39,33,39,72
ICLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,12,53,48,67,60,127
INCAHUASI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,11,99,86,105,97,202
INGAVI (HUMAITA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,0,15,12,15,12,27
INQUISIVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,4,81,80,89,84,173
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,10,122,102,133,112,245
IXIAMAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,7,86,66,93,73,166
JESUS DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,4,105,82,114,86,200
LA ASUNTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,75,44,354,291,429,335,764
LA GUARDIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,70,58,665,640,735,698,1433
LA PAZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1681,1476,3824,3498,5505,4974,10479
LA RIVERA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,6,0,0,4,6,10
LAGUNILLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,5,80,52,87,57,144
LAJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,11,118,111,128,122,250
LAS CARRERAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,6,27,26,27,32,59
LICOMA PAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,5,20,23,21,28,49
LLALLAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,58,49,344,302,402,351,753
LLICA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,5,26,28,29,33,62
LORETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,12,21,25,33,37,70
LURIBAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,30,26,31,30,61,56,117
MACHACAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,3,40,50,42,53,95
MACHARETI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,3,56,59,58,62,120
MAGDALENA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,16,100,110,114,126,240
MAIRANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,11,85,57,93,68,161
MALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,2,8,23,10,25,35
MAPIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,15,9,79,80,94,89,183
MECAPACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,23,15,73,53,96,68,164
MINEROS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,30,30,189,187,219,217,436
MIZQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,45,42,262,256,307,298,605
MOCOMOCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,20,75,71,89,91,180
MOJINETE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,0,6,5,6,5,11
MOJOCOYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,5,51,39,59,44,103
MONTEAGUDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,26,17,217,179,243,196,439
MONTERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,136,143,1012,971,1148,1114,2262
MORO MORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,1,13,13,14,14,28
MOROCHATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,5,111,94,120,99,219
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,1,10,10,12,11,23
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,0,3,4,4,4,8
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,0,33,10,35,10,45
OCURI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,16,112,107,120,123,243
OKINAWA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,12,151,118,160,130,290
OMEREQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,14,91,61,101,75,176
ORURO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,633,653,2106,2027,2739,2680,5419
PADCAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,23,13,144,119,167,132,299
PADILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,13,97,89,109,102,211
PAILON,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,40,17,176,144,216,161,377
PALCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,40,40,143,128,183,168,351
PALOS BLANCOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,57,48,193,184,250,232,482
PAMPA AULLAGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,5,20,22,23,27,50
PAMPA GRANDE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,8,63,425,71,433,504
PAPEL PAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,6,41,44,43,50,93
PASORAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,2,17,12,18,14,32
PATACAMAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,29,25,163,154,192,179,371
PAZÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,5,56,59,62,64,126
PELECHUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,2,62,43,65,45,110
POCOATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,21,20,160,150,181,170,351
POCONA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,8,89,85,96,93,189
POJO (CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,16,16,102,101,118,117,235
POOPO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,3,56,56,58,59,117
PORCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,15,16,114,105,129,121,250
POROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,6,91,87,101,93,194
PORONGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,8,67,62,78,70,148
PORTACHUELO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,13,7,72,84,85,91,176
PORVENIR,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,7,52,45,60,52,112
POSTRER VALLE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,2,9,5,10,7,17
POTOSI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,418,403,1298,1235,1716,1638,3354
PRESTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,5,58,52,70,57,127
PUCARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,2,12,5,13,7,20
PUCARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,32,16,197,198,229,214,443
PUERTO ACOSTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,10,66,56,74,66,140
PUERTO CARABUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,14,77,72,85,86,171
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,2,100,75,112,77,189
PUERTO PEREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,6,48,40,52,46,98
PUERTO QUIJARRO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,35,25,124,128,159,153,312
PUERTO RICO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,5,58,62,64,67,131
PUERTO SILES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,2,2,0,6,2,8
PUERTO SUAREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,117,109,6,6,123,115,238
PUERTO VILLARROEL,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,144,128,602,563,746,691,1437
PUNA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,15,21,154,119,169,140,309
PUNATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,56,53,263,207,319,260,579
QUIABAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,0,25,26,26,26,52
QUILLACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,593,567,1039,878,1632,1445,3077
QUIME,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,10,70,100,80,110,190
QUIRUSILLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,1,8,13,9,14,23
RAVELO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,2,101,104,108,106,214
REYES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,12,77,92,89,104,193
RIBERALTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,161,176,827,870,988,1046,2034
ROBORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,11,131,120,142,131,273
RURRENABAQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,15,12,114,136,129,148,277
SABAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,1,16,18,20,19,39
SACABA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,119,139,1215,1209,1334,1348,2682
SACABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,15,8,34,25,49,33,82
SACACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,21,12,192,137,213,149,362
SAIPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,3,53,55,60,58,118
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,19,14,104,97,123,111,234
SAMAIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,6,77,81,87,87,174
SAN AGUSTIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,5,6,7,8,12,20
SAN ANDRES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,7,62,60,69,67,136
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,3,18,23,18,26,44
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,0,12,9,13,9,22
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,6,56,63,59,69,128
SAN BENITO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,10,119,104,133,114,247
SAN BORJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,58,59,322,316,380,375,755
SAN BUENA VENTURA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,15,92,84,95,99,194
SAN CARLOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,30,36,155,176,185,212,397
SAN IGNACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,49,46,202,172,251,218,469
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,67,67,563,552,630,619,1249
SAN JAVIER(BNI),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,2,5,0,10,2,12
SAN JAVIER(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,18,10,89,116,107,126,233
SAN JOAQUIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,1,48,44,56,45,101
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,61,62,39,30,100,92,192
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,11,75,69,81,80,161
SAN JULIAN,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,49,53,399,368,448,421,869
SAN LORENZO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,3,27,33,32,36,68
SAN LORENZO(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,22,28,196,190,218,218,436
SAN LUCAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,25,32,275,236,300,268,568
SAN MATIAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,22,22,86,76,108,98,206
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,20,9,132,124,152,133,285
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,1,10,20,12,21,33
