,group,variable,month,TOTAL 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TOTAL 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TOTAL 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTAL 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
HUACARETA,malaria,      tratamientos iniciados por sospecha,2014-03-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
IXIAMAS,malaria,      tratamientos iniciados por sospecha,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LA GUARDIA,malaria,      tratamientos iniciados por sospecha,2014-03-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      tratamientos iniciados por sospecha,2014-03-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
PRESTO,malaria,      tratamientos iniciados por sospecha,2014-03-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
TARVITA,malaria,      tratamientos iniciados por sospecha,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
AZURDUY,malaria,      tratamientos iniciados por sospecha,2014-04-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
COBIJA,malaria,      tratamientos iniciados por sospecha,2014-04-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
MOJOCOYA,malaria,      tratamientos iniciados por sospecha,2014-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RAVELO,malaria,      tratamientos iniciados por sospecha,2014-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SANTA ROSA,malaria,      tratamientos iniciados por sospecha,2014-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TARIJA,malaria,      tratamientos iniciados por sospecha,2014-04-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
COBIJA,malaria,      tratamientos iniciados por sospecha,2014-05-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
MOJOCOYA,malaria,      tratamientos iniciados por sospecha,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,malaria,      tratamientos iniciados por sospecha,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA CHARCAS,malaria,      tratamientos iniciados por sospecha,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
HUACARETA,malaria,      tratamientos iniciados por sospecha,2014-06-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
QUILLACOLLO,malaria,      tratamientos iniciados por sospecha,2014-06-01,2.0,2.0,1.0,2.0,3.0,4.0,7.0
SAN IGNACIO DE VELASCO,malaria,      tratamientos iniciados por sospecha,2014-06-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
TEOPONTE,malaria,      tratamientos iniciados por sospecha,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
APOLO,malaria,      tratamientos iniciados por sospecha,2014-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,malaria,      tratamientos iniciados por sospecha,2014-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COTAGAITA,malaria,      tratamientos iniciados por sospecha,2014-07-01,14.0,17.0,0.0,0.0,14.0,17.0,31.0
EL TORNO,malaria,      tratamientos iniciados por sospecha,2014-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,malaria,      tratamientos iniciados por sospecha,2014-07-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
COBIJA,malaria,      tratamientos iniciados por sospecha,2014-08-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
CONCEPCION,malaria,      tratamientos iniciados por sospecha,2014-08-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EL TORNO,malaria,      tratamientos iniciados por sospecha,2014-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
IXIAMAS,malaria,      tratamientos iniciados por sospecha,2014-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      tratamientos iniciados por sospecha,2014-08-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
RIBERALTA,malaria,      tratamientos iniciados por sospecha,2014-08-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
VALLEGRANDE,malaria,      tratamientos iniciados por sospecha,2014-08-01,3.0,0.0,0.0,1.0,3.0,1.0,4.0
COBIJA,malaria,      tratamientos iniciados por sospecha,2014-09-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
MONTEAGUDO,malaria,      tratamientos iniciados por sospecha,2014-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,malaria,      tratamientos iniciados por sospecha,2014-09-01,1.0,0.0,3.0,1.0,4.0,1.0,5.0
TEOPONTE,malaria,      tratamientos iniciados por sospecha,2014-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
YACUIBA,malaria,      tratamientos iniciados por sospecha,2014-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
