,group,variable,month,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
COBIJA,malaria,      numero de muestras hematicas tomadas,2014-01-01,13.0,6.0,0.0,0.0,13.0,6.0,19.0
CONCEPCION,malaria,      numero de muestras hematicas tomadas,2014-01-01,18.0,15.0,0.0,0.0,18.0,15.0,33.0
CUEVO,malaria,      numero de muestras hematicas tomadas,2014-01-01,4.0,5.0,0.0,0.0,4.0,5.0,9.0
CULPINA,malaria,      numero de muestras hematicas tomadas,2014-01-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
EL TORNO,malaria,      numero de muestras hematicas tomadas,2014-01-01,37.0,37.0,0.0,0.0,37.0,37.0,74.0
EL VILLAR,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
ENTRE RIOS TRJ,malaria,      numero de muestras hematicas tomadas,2014-01-01,118.0,164.0,0.0,0.0,118.0,164.0,282.0
EUREKA (SANTOS MERCADO),malaria,      numero de muestras hematicas tomadas,2014-01-01,48.0,39.0,0.0,0.0,48.0,39.0,87.0
FILADELFIA,malaria,      numero de muestras hematicas tomadas,2014-01-01,10.0,6.0,0.0,0.0,10.0,6.0,16.0
GRAL. J.J. PEREZ (CHARAZANI),malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
GUANAY,malaria,      numero de muestras hematicas tomadas,2014-01-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
GUAYARAMERIN,malaria,      numero de muestras hematicas tomadas,2014-01-01,609.0,921.0,3.0,1.0,612.0,922.0,1534.0
HUACARETA,malaria,      numero de muestras hematicas tomadas,2014-01-01,13.0,27.0,0.0,0.0,13.0,27.0,40.0
ICLA,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
INCAHUASI,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
INGAVI (HUMAITA),malaria,      numero de muestras hematicas tomadas,2014-01-01,22.0,19.0,0.0,0.0,22.0,19.0,41.0
IXIAMAS,malaria,      numero de muestras hematicas tomadas,2014-01-01,8.0,0.0,0.0,0.0,8.0,0.0,8.0
LA GUARDIA,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
LAGUNILLAS,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LAS CARRERAS,malaria,      numero de muestras hematicas tomadas,2014-01-01,12.0,36.0,0.0,0.0,12.0,36.0,48.0
MACHARETI,malaria,      numero de muestras hematicas tomadas,2014-01-01,14.0,21.0,0.0,0.0,14.0,21.0,35.0
MAGDALENA,malaria,      numero de muestras hematicas tomadas,2014-01-01,64.0,56.0,0.0,0.0,64.0,56.0,120.0
MAPIRI,malaria,      numero de muestras hematicas tomadas,2014-01-01,18.0,21.0,0.0,0.0,18.0,21.0,39.0
MOJOCOYA,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MONTEAGUDO,malaria,      numero de muestras hematicas tomadas,2014-01-01,14.0,11.0,0.0,0.0,14.0,11.0,25.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      numero de muestras hematicas tomadas,2014-01-01,24.0,24.0,0.0,0.0,24.0,24.0,48.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de muestras hematicas tomadas,2014-01-01,146.0,105.0,0.0,0.0,146.0,105.0,251.0
PADCAYA,malaria,      numero de muestras hematicas tomadas,2014-01-01,17.0,24.0,0.0,0.0,17.0,24.0,41.0
PADILLA,malaria,      numero de muestras hematicas tomadas,2014-01-01,30.0,26.0,0.0,0.0,30.0,26.0,56.0
PALOS BLANCOS,malaria,      numero de muestras hematicas tomadas,2014-01-01,8.0,2.0,0.0,0.0,8.0,2.0,10.0
POROMA,malaria,      numero de muestras hematicas tomadas,2014-01-01,7.0,6.0,0.0,0.0,7.0,6.0,13.0
PORVENIR,malaria,      numero de muestras hematicas tomadas,2014-01-01,57.0,57.0,0.0,0.0,57.0,57.0,114.0
PUERTO GONZALO MORENO,malaria,      numero de muestras hematicas tomadas,2014-01-01,38.0,80.0,0.0,0.0,38.0,80.0,118.0
PUERTO RICO,malaria,      numero de muestras hematicas tomadas,2014-01-01,116.0,80.0,0.0,0.0,116.0,80.0,196.0
REYES,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,      numero de muestras hematicas tomadas,2014-01-01,746.0,630.0,5.0,4.0,751.0,634.0,1385.0
SAIPINA,malaria,      numero de muestras hematicas tomadas,2014-01-01,51.0,50.0,0.0,0.0,51.0,50.0,101.0
SAN BORJA,malaria,      numero de muestras hematicas tomadas,2014-01-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
SAN CARLOS,malaria,      numero de muestras hematicas tomadas,2014-01-01,5.0,3.0,0.0,0.0,5.0,3.0,8.0
SAN IGNACIO DE VELASCO,malaria,      numero de muestras hematicas tomadas,2014-01-01,3.0,3.0,0.0,0.0,3.0,3.0,6.0
SAN JAVIER(STC),malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,1.0,1.0,0.0,2.0,1.0,3.0
SAN JOSE DE CHIQUITOS,malaria,      numero de muestras hematicas tomadas,2014-01-01,9.0,15.0,0.0,0.0,9.0,15.0,24.0
SAN LORENZO(PND),malaria,      numero de muestras hematicas tomadas,2014-01-01,123.0,13.0,0.0,0.0,123.0,13.0,136.0
SAN LORENZO(TJA),malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LUCAS,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SAN MATIAS,malaria,      numero de muestras hematicas tomadas,2014-01-01,10.0,16.0,0.0,0.0,10.0,16.0,26.0
SAN PEDRO(PND),malaria,      numero de muestras hematicas tomadas,2014-01-01,19.0,9.0,0.0,0.0,19.0,9.0,28.0
SANTA CRUZ DE LA SIERRA,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA ROSA,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SENA,malaria,      numero de muestras hematicas tomadas,2014-01-01,33.0,33.0,0.0,0.0,33.0,33.0,66.0
SOPACHUY,malaria,      numero de muestras hematicas tomadas,2014-01-01,2.0,14.0,0.0,3.0,2.0,17.0,19.0
SUCRE,malaria,      numero de muestras hematicas tomadas,2014-01-01,16.0,41.0,0.0,0.0,16.0,41.0,57.0
TARABUCO,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TARVITA,malaria,      numero de muestras hematicas tomadas,2014-01-01,4.0,13.0,0.0,0.0,4.0,13.0,17.0
TEOPONTE,malaria,      numero de muestras hematicas tomadas,2014-01-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
TOMINA,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
TORO TORO,malaria,      numero de muestras hematicas tomadas,2014-01-01,19.0,11.0,0.0,0.0,19.0,11.0,30.0
TRINIDAD,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VALLEGRANDE,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VILLA CHARCAS,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,12.0,0.0,0.0,0.0,12.0,12.0
VILLA MONTES,malaria,      numero de muestras hematicas tomadas,2014-01-01,224.0,287.0,0.0,0.0,224.0,287.0,511.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de muestras hematicas tomadas,2014-01-01,62.0,49.0,0.0,0.0,62.0,49.0,111.0
VILLA SERRANO,malaria,      numero de muestras hematicas tomadas,2014-01-01,6.0,15.0,0.0,0.0,6.0,15.0,21.0
VILLA VACA GUZMAN (MUYUPAMPA),malaria,      numero de muestras hematicas tomadas,2014-01-01,12.0,45.0,0.0,0.0,12.0,45.0,57.0
YACUIBA,malaria,      numero de muestras hematicas tomadas,2014-01-01,394.0,611.0,0.0,0.0,394.0,611.0,1005.0
YAMPARAEZ,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,6.0,0.0,0.0,1.0,6.0,7.0
YAPACANI,malaria,      numero de muestras hematicas tomadas,2014-01-01,4.0,3.0,0.0,0.0,4.0,3.0,7.0
YOTALA,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,4.0,0.0,0.0,1.0,4.0,5.0
ZUDAÑEZ,malaria,      numero de muestras hematicas tomadas,2014-01-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
ALCALA,malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
AZURDUY,malaria,      numero de muestras hematicas tomadas,2014-02-01,16.0,16.0,0.0,0.0,16.0,16.0,32.0
BAURES,malaria,      numero de muestras hematicas tomadas,2014-02-01,21.0,17.0,0.0,0.0,21.0,17.0,38.0
BELLA FLOR,malaria,      numero de muestras hematicas tomadas,2014-02-01,20.0,4.0,0.0,0.0,20.0,4.0,24.0
BERMEJO,malaria,      numero de muestras hematicas tomadas,2014-02-01,22.0,14.0,0.0,0.0,22.0,14.0,36.0
BUENA VISTA,malaria,      numero de muestras hematicas tomadas,2014-02-01,7.0,7.0,0.0,0.0,7.0,7.0,14.0
CAMARGO,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,35.0,0.0,0.0,0.0,35.0,35.0
CAMATAQUI (C. VILLA ABECIA),malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
CAMIRI,malaria,      numero de muestras hematicas tomadas,2014-02-01,21.0,24.0,0.0,0.0,21.0,24.0,45.0
CARANAVI,malaria,      numero de muestras hematicas tomadas,2014-02-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
CARAPARI,malaria,      numero de muestras hematicas tomadas,2014-02-01,13.0,19.0,0.0,0.0,13.0,19.0,32.0
COBIJA,malaria,      numero de muestras hematicas tomadas,2014-02-01,21.0,13.0,0.0,0.0,21.0,13.0,34.0
COMARAPA,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CONCEPCION,malaria,      numero de muestras hematicas tomadas,2014-02-01,18.0,22.0,0.0,0.0,18.0,22.0,40.0
CUEVO,malaria,      numero de muestras hematicas tomadas,2014-02-01,2.0,6.0,0.0,0.0,2.0,6.0,8.0
EL TORNO,malaria,      numero de muestras hematicas tomadas,2014-02-01,12.0,18.0,0.0,0.0,12.0,18.0,30.0
EL VILLAR,malaria,      numero de muestras hematicas tomadas,2014-02-01,4.0,8.0,0.0,0.0,4.0,8.0,12.0
ENTRE RIOS TRJ,malaria,      numero de muestras hematicas tomadas,2014-02-01,106.0,104.0,0.0,0.0,106.0,104.0,210.0
EUREKA (SANTOS MERCADO),malaria,      numero de muestras hematicas tomadas,2014-02-01,66.0,55.0,0.0,0.0,66.0,55.0,121.0
GRAL. J.J. PEREZ (CHARAZANI),malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
GUANAY,malaria,      numero de muestras hematicas tomadas,2014-02-01,6.0,11.0,0.0,0.0,6.0,11.0,17.0
GUAYARAMERIN,malaria,      numero de muestras hematicas tomadas,2014-02-01,604.0,651.0,0.0,0.0,604.0,651.0,1255.0
GUTIERREZ,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
HUACARETA,malaria,      numero de muestras hematicas tomadas,2014-02-01,29.0,28.0,5.0,7.0,34.0,35.0,69.0
ICLA,malaria,      numero de muestras hematicas tomadas,2014-02-01,2.0,10.0,0.0,0.0,2.0,10.0,12.0
INCAHUASI,malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
INGAVI (HUMAITA),malaria,      numero de muestras hematicas tomadas,2014-02-01,53.0,49.0,0.0,0.0,53.0,49.0,102.0
LA GUARDIA,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,3.0,0.0,1.0,0.0,4.0,4.0
LAS CARRERAS,malaria,      numero de muestras hematicas tomadas,2014-02-01,8.0,20.0,0.0,0.0,8.0,20.0,28.0
MACHARETI,malaria,      numero de muestras hematicas tomadas,2014-02-01,12.0,25.0,0.0,0.0,12.0,25.0,37.0
MAGDALENA,malaria,      numero de muestras hematicas tomadas,2014-02-01,78.0,62.0,0.0,0.0,78.0,62.0,140.0
MAPIRI,malaria,      numero de muestras hematicas tomadas,2014-02-01,13.0,18.0,0.0,0.0,13.0,18.0,31.0
MIZQUE,malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,8.0,0.0,0.0,1.0,8.0,9.0
MOJOCOYA,malaria,      numero de muestras hematicas tomadas,2014-02-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
MONTEAGUDO,malaria,      numero de muestras hematicas tomadas,2014-02-01,39.0,55.0,0.0,0.0,39.0,55.0,94.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de muestras hematicas tomadas,2014-02-01,112.0,111.0,0.0,0.0,112.0,111.0,223.0
PADCAYA,malaria,      numero de muestras hematicas tomadas,2014-02-01,13.0,12.0,0.0,0.0,13.0,12.0,25.0
PADILLA,malaria,      numero de muestras hematicas tomadas,2014-02-01,21.0,22.0,0.0,0.0,21.0,22.0,43.0
PALOS BLANCOS,malaria,      numero de muestras hematicas tomadas,2014-02-01,6.0,7.0,0.0,0.0,6.0,7.0,13.0
POROMA,malaria,      numero de muestras hematicas tomadas,2014-02-01,21.0,28.0,0.0,0.0,21.0,28.0,49.0
PORONGO,malaria,      numero de muestras hematicas tomadas,2014-02-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
PORVENIR,malaria,      numero de muestras hematicas tomadas,2014-02-01,90.0,24.0,0.0,0.0,90.0,24.0,114.0
PRESTO,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PUERTO GONZALO MORENO,malaria,      numero de muestras hematicas tomadas,2014-02-01,19.0,17.0,0.0,0.0,19.0,17.0,36.0
PUERTO RICO,malaria,      numero de muestras hematicas tomadas,2014-02-01,144.0,147.0,0.0,0.0,144.0,147.0,291.0
REYES,malaria,      numero de muestras hematicas tomadas,2014-02-01,10.0,1.0,0.0,0.0,10.0,1.0,11.0
RIBERALTA,malaria,      numero de muestras hematicas tomadas,2014-02-01,639.0,694.0,0.0,0.0,639.0,694.0,1333.0
RURRENABAQUE,malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
SAIPINA,malaria,      numero de muestras hematicas tomadas,2014-02-01,23.0,7.0,0.0,0.0,23.0,7.0,30.0
SAN BORJA,malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN BUENA VENTURA,malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN CARLOS,malaria,      numero de muestras hematicas tomadas,2014-02-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
SAN IGNACIO DE VELASCO,malaria,      numero de muestras hematicas tomadas,2014-02-01,22.0,19.0,0.0,0.0,22.0,19.0,41.0
SAN JOSE DE CHIQUITOS,malaria,      numero de muestras hematicas tomadas,2014-02-01,22.0,50.0,0.0,0.0,22.0,50.0,72.0
SAN JULIAN,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN LORENZO(PND),malaria,      numero de muestras hematicas tomadas,2014-02-01,43.0,15.0,0.0,0.0,43.0,15.0,58.0
SAN LUCAS,malaria,      numero de muestras hematicas tomadas,2014-02-01,5.0,16.0,0.0,0.0,5.0,16.0,21.0
SAN MATIAS,malaria,      numero de muestras hematicas tomadas,2014-02-01,10.0,10.0,0.0,0.0,10.0,10.0,20.0
SAN PEDRO(PND),malaria,      numero de muestras hematicas tomadas,2014-02-01,11.0,21.0,0.0,0.0,11.0,21.0,32.0
SANTA CRUZ DE LA SIERRA,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA ROSA,malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SOPACHUY,malaria,      numero de muestras hematicas tomadas,2014-02-01,2.0,16.0,0.0,0.0,2.0,16.0,18.0
SUCRE,malaria,      numero de muestras hematicas tomadas,2014-02-01,13.0,36.0,0.0,0.0,13.0,36.0,49.0
TARABUCO,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
TARVITA,malaria,      numero de muestras hematicas tomadas,2014-02-01,23.0,47.0,0.0,0.0,23.0,47.0,70.0
TEOPONTE,malaria,      numero de muestras hematicas tomadas,2014-02-01,4.0,5.0,0.0,0.0,4.0,5.0,9.0
TOMINA,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
TORO TORO,malaria,      numero de muestras hematicas tomadas,2014-02-01,19.0,20.0,0.0,0.0,19.0,20.0,39.0
VALLEGRANDE,malaria,      numero de muestras hematicas tomadas,2014-02-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
VILLA CHARCAS,malaria,      numero de muestras hematicas tomadas,2014-02-01,3.0,28.0,0.0,0.0,3.0,28.0,31.0
VILLA MONTES,malaria,      numero de muestras hematicas tomadas,2014-02-01,187.0,201.0,0.0,0.0,187.0,201.0,388.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de muestras hematicas tomadas,2014-02-01,23.0,27.0,0.0,0.0,23.0,27.0,50.0
VILLA SERRANO,malaria,      numero de muestras hematicas tomadas,2014-02-01,10.0,6.0,0.0,0.0,10.0,6.0,16.0
VILLA VACA GUZMAN (MUYUPAMPA),malaria,      numero de muestras hematicas tomadas,2014-02-01,19.0,49.0,0.0,0.0,19.0,49.0,68.0
YACUIBA,malaria,      numero de muestras hematicas tomadas,2014-02-01,302.0,419.0,0.0,0.0,302.0,419.0,721.0
YAMPARAEZ,malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,4.0,0.0,0.0,1.0,4.0,5.0
YAPACANI,malaria,      numero de muestras hematicas tomadas,2014-02-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
YOTALA,malaria,      numero de muestras hematicas tomadas,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ZUDAÑEZ,malaria,      numero de muestras hematicas tomadas,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ALCALA,malaria,      numero de muestras hematicas tomadas,2014-03-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
AZURDUY,malaria,      numero de muestras hematicas tomadas,2014-03-01,201.0,268.0,0.0,0.0,201.0,268.0,469.0
BAURES,malaria,      numero de muestras hematicas tomadas,2014-03-01,27.0,20.0,0.0,0.0,27.0,20.0,47.0
BELLA FLOR,malaria,      numero de muestras hematicas tomadas,2014-03-01,49.0,36.0,0.0,0.0,49.0,36.0,85.0
BERMEJO,malaria,      numero de muestras hematicas tomadas,2014-03-01,22.0,15.0,0.0,0.0,22.0,15.0,37.0
BOLPEBRA,malaria,      numero de muestras hematicas tomadas,2014-03-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
CABEZAS,malaria,      numero de muestras hematicas tomadas,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CAMARGO,malaria,      numero de muestras hematicas tomadas,2014-03-01,0.0,31.0,0.0,0.0,0.0,31.0,31.0
CAMATAQUI (C. VILLA ABECIA),malaria,      numero de muestras hematicas tomadas,2014-03-01,5.0,15.0,0.0,0.0,5.0,15.0,20.0
CARAPARI,malaria,      numero de muestras hematicas tomadas,2014-03-01,96.0,67.0,0.0,0.0,96.0,67.0,163.0
COBIJA,malaria,      numero de muestras hematicas tomadas,2014-03-01,14.0,5.0,0.0,0.0,14.0,5.0,19.0
CONCEPCION,malaria,      numero de muestras hematicas tomadas,2014-03-01,20.0,24.0,0.0,0.0,20.0,24.0,44.0
CUEVO,malaria,      numero de muestras hematicas tomadas,2014-03-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
CULPINA,malaria,      numero de muestras hematicas tomadas,2014-03-01,22.0,17.0,0.0,0.0,22.0,17.0,39.0
EL TORNO,malaria,      numero de muestras hematicas tomadas,2014-03-01,15.0,17.0,0.0,0.0,15.0,17.0,32.0
EL VILLAR,malaria,      numero de muestras hematicas tomadas,2014-03-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
ENTRE RIOS TRJ,malaria,      numero de muestras hematicas tomadas,2014-03-01,117.0,146.0,0.0,0.0,117.0,146.0,263.0
EUREKA (SANTOS MERCADO),malaria,      numero de muestras hematicas tomadas,2014-03-01,71.0,53.0,0.0,0.0,71.0,53.0,124.0
FILADELFIA,malaria,      numero de muestras hematicas tomadas,2014-03-01,37.0,26.0,0.0,0.0,37.0,26.0,63.0
GUANAY,malaria,      numero de muestras hematicas tomadas,2014-03-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
GUAYARAMERIN,malaria,      numero de muestras hematicas tomadas,2014-03-01,483.0,688.0,0.0,0.0,483.0,688.0,1171.0
GUTIERREZ,malaria,      numero de muestras hematicas tomadas,2014-03-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
HUACARETA,malaria,      numero de muestras hematicas tomadas,2014-03-01,74.0,89.0,0.0,0.0,74.0,89.0,163.0
ICLA,malaria,      numero de muestras hematicas tomadas,2014-03-01,7.0,17.0,0.0,0.0,7.0,17.0,24.0
INCAHUASI,malaria,      numero de muestras hematicas tomadas,2014-03-01,3.0,6.0,0.0,0.0,3.0,6.0,9.0
INGAVI (HUMAITA),malaria,      numero de muestras hematicas tomadas,2014-03-01,68.0,74.0,0.0,0.0,68.0,74.0,142.0
LA GUARDIA,malaria,      numero de muestras hematicas tomadas,2014-03-01,2.0,2.0,0.0,1.0,2.0,3.0,5.0
LAGUNILLAS,malaria,      numero de muestras hematicas tomadas,2014-03-01,5.0,9.0,0.0,0.0,5.0,9.0,14.0
LAS CARRERAS,malaria,      numero de muestras hematicas tomadas,2014-03-01,11.0,47.0,0.0,0.0,11.0,47.0,58.0
MACHARETI,malaria,      numero de muestras hematicas tomadas,2014-03-01,24.0,23.0,0.0,0.0,24.0,23.0,47.0
MAGDALENA,malaria,      numero de muestras hematicas tomadas,2014-03-01,62.0,51.0,0.0,0.0,62.0,51.0,113.0
MAPIRI,malaria,      numero de muestras hematicas tomadas,2014-03-01,5.0,7.0,0.0,0.0,5.0,7.0,12.0
MOJOCOYA,malaria,      numero de muestras hematicas tomadas,2014-03-01,6.0,3.0,0.0,0.0,6.0,3.0,9.0
MONTEAGUDO,malaria,      numero de muestras hematicas tomadas,2014-03-01,50.0,78.0,0.0,0.0,50.0,78.0,128.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      numero de muestras hematicas tomadas,2014-03-01,22.0,12.0,0.0,0.0,22.0,12.0,34.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de muestras hematicas tomadas,2014-03-01,132.0,103.0,0.0,0.0,132.0,103.0,235.0
PADCAYA,malaria,      numero de muestras hematicas tomadas,2014-03-01,34.0,35.0,0.0,0.0,34.0,35.0,69.0
PADILLA,malaria,      numero de muestras hematicas tomadas,2014-03-01,56.0,49.0,0.0,0.0,56.0,49.0,105.0
PALOS BLANCOS,malaria,      numero de muestras hematicas tomadas,2014-03-01,4.0,8.0,0.0,0.0,4.0,8.0,12.0
POROMA,malaria,      numero de muestras hematicas tomadas,2014-03-01,12.0,10.0,0.0,0.0,12.0,10.0,22.0
PORONGO,malaria,      numero de muestras hematicas tomadas,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PORVENIR,malaria,      numero de muestras hematicas tomadas,2014-03-01,200.0,44.0,0.0,0.0,200.0,44.0,244.0
PRESTO,malaria,      numero de muestras hematicas tomadas,2014-03-01,1.0,4.0,0.0,0.0,1.0,4.0,5.0
PUERTO GONZALO MORENO,malaria,      numero de muestras hematicas tomadas,2014-03-01,25.0,16.0,0.0,0.0,25.0,16.0,41.0
PUERTO RICO,malaria,      numero de muestras hematicas tomadas,2014-03-01,146.0,133.0,0.0,0.0,146.0,133.0,279.0
PUERTO VILLARROEL,malaria,      numero de muestras hematicas tomadas,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
REYES,malaria,      numero de muestras hematicas tomadas,2014-03-01,41.0,47.0,0.0,0.0,41.0,47.0,88.0
