,group,variable,month,TOTAL 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTAL 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,malaria,      total de casos confirmados,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENA,malaria,      total de casos confirmados,2014-01-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
TARVITA,malaria,      total de casos confirmados,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TRINIDAD,malaria,      total de casos confirmados,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA NUEVA (LOMA ALTA),malaria,      total de casos confirmados,2014-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
YACUIBA,malaria,      total de casos confirmados,2014-01-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
AZURDUY,malaria,      total de casos confirmados,2014-02-01,4.0,3.0,0.0,0.0,4.0,3.0,7.0
BUENA VISTA,malaria,      total de casos confirmados,2014-02-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
COBIJA,malaria,      total de casos confirmados,2014-02-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
COCHABAMBA,malaria,      total de casos confirmados,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ENTRE RIOS TRJ,malaria,      total de casos confirmados,2014-02-01,8.0,1.0,0.0,0.0,8.0,1.0,9.0
EUREKA (SANTOS MERCADO),malaria,      total de casos confirmados,2014-02-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
GUAYARAMERIN,malaria,      total de casos confirmados,2014-02-01,45.0,27.0,9.0,5.0,54.0,32.0,86.0
HUACARETA,malaria,      total de casos confirmados,2014-02-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
MIZQUE,malaria,      total de casos confirmados,2014-02-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
MONTEAGUDO,malaria,      total de casos confirmados,2014-02-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      total de casos confirmados,2014-02-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
PADILLA,malaria,      total de casos confirmados,2014-02-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
PUERTO RICO,malaria,      total de casos confirmados,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
REYES,malaria,      total de casos confirmados,2014-02-01,6.0,0.0,0.0,0.0,6.0,0.0,6.0
RIBERALTA,malaria,      total de casos confirmados,2014-02-01,19.0,15.0,0.0,0.0,19.0,15.0,34.0
SAIPINA,malaria,      total de casos confirmados,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN BUENA VENTURA,malaria,      total de casos confirmados,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,      total de casos confirmados,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA ROSA,malaria,      total de casos confirmados,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA MONTES,malaria,      total de casos confirmados,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VILLA NUEVA (LOMA ALTA),malaria,      total de casos confirmados,2014-02-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
YACUIBA,malaria,      total de casos confirmados,2014-02-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
AZURDUY,malaria,      total de casos confirmados,2014-03-01,4.0,11.0,0.0,0.0,4.0,11.0,15.0
BAURES,malaria,      total de casos confirmados,2014-03-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
BELLA FLOR,malaria,      total de casos confirmados,2014-03-01,7.0,2.0,0.0,0.0,7.0,2.0,9.0
COBIJA,malaria,      total de casos confirmados,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,malaria,      total de casos confirmados,2014-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ENTRE RIOS TRJ,malaria,      total de casos confirmados,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EUREKA (SANTOS MERCADO),malaria,      total de casos confirmados,2014-03-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
GUAYARAMERIN,malaria,      total de casos confirmados,2014-03-01,44.0,49.0,10.0,3.0,54.0,52.0,106.0
HUACARETA,malaria,      total de casos confirmados,2014-03-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
INGAVI (HUMAITA),malaria,      total de casos confirmados,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MOJOCOYA,malaria,      total de casos confirmados,2014-03-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      total de casos confirmados,2014-03-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      total de casos confirmados,2014-03-01,8.0,3.0,0.0,0.0,8.0,3.0,11.0
PUERTO RICO,malaria,      total de casos confirmados,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
REYES,malaria,      total de casos confirmados,2014-03-01,11.0,4.0,0.0,0.0,11.0,4.0,15.0
RIBERALTA,malaria,      total de casos confirmados,2014-03-01,46.0,21.0,2.0,0.0,48.0,21.0,69.0
SAN LORENZO(PND),malaria,      total de casos confirmados,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(TJA),malaria,      total de casos confirmados,2014-03-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
SENA,malaria,      total de casos confirmados,2014-03-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
VILLA MONTES,malaria,      total de casos confirmados,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA NUEVA (LOMA ALTA),malaria,      total de casos confirmados,2014-03-01,5.0,6.0,0.0,0.0,5.0,6.0,11.0
AZURDUY,malaria,      total de casos confirmados,2014-04-01,11.0,9.0,0.0,0.0,11.0,9.0,20.0
BELLA FLOR,malaria,      total de casos confirmados,2014-04-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
COBIJA,malaria,      total de casos confirmados,2014-04-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
ENTRE RIOS TRJ,malaria,      total de casos confirmados,2014-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EUREKA (SANTOS MERCADO),malaria,      total de casos confirmados,2014-04-01,10.0,6.0,0.0,0.0,10.0,6.0,16.0
GUAYARAMERIN,malaria,      total de casos confirmados,2014-04-01,58.0,30.0,20.0,9.0,78.0,39.0,117.0
INGAVI (HUMAITA),malaria,      total de casos confirmados,2014-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MOJOCOYA,malaria,      total de casos confirmados,2014-04-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      total de casos confirmados,2014-04-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      total de casos confirmados,2014-04-01,12.0,6.0,0.0,0.0,12.0,6.0,18.0
POROMA,malaria,      total de casos confirmados,2014-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PUERTO GONZALO MORENO,malaria,      total de casos confirmados,2014-04-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
REYES,malaria,      total de casos confirmados,2014-04-01,10.0,9.0,0.0,0.0,10.0,9.0,19.0
RIBERALTA,malaria,      total de casos confirmados,2014-04-01,99.0,52.0,0.0,0.0,99.0,52.0,151.0
SAIPINA,malaria,      total de casos confirmados,2014-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,      total de casos confirmados,2014-04-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SAN PEDRO(PND),malaria,      total de casos confirmados,2014-04-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SENA,malaria,      total de casos confirmados,2014-04-01,6.0,2.0,0.0,0.0,6.0,2.0,8.0
VILLA NUEVA (LOMA ALTA),malaria,      total de casos confirmados,2014-04-01,2.0,4.0,0.0,0.0,2.0,4.0,6.0
VILLA SERRANO,malaria,      total de casos confirmados,2014-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
YACUIBA,malaria,      total de casos confirmados,2014-04-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
AZURDUY,malaria,      total de casos confirmados,2014-05-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
BAURES,malaria,      total de casos confirmados,2014-05-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
BELLA FLOR,malaria,      total de casos confirmados,2014-05-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
CARANAVI,malaria,      total de casos confirmados,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,malaria,      total de casos confirmados,2014-05-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
COCHABAMBA,malaria,      total de casos confirmados,2014-05-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
EUREKA (SANTOS MERCADO),malaria,      total de casos confirmados,2014-05-01,24.0,27.0,0.0,0.0,24.0,27.0,51.0
FILADELFIA,malaria,      total de casos confirmados,2014-05-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
GUAYARAMERIN,malaria,      total de casos confirmados,2014-05-01,69.0,66.0,13.0,2.0,82.0,68.0,150.0
INGAVI (HUMAITA),malaria,      total de casos confirmados,2014-05-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
MOJOCOYA,malaria,      total de casos confirmados,2014-05-01,3.0,4.0,0.0,0.0,3.0,4.0,7.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      total de casos confirmados,2014-05-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
PUERTO GONZALO MORENO,malaria,      total de casos confirmados,2014-05-01,6.0,0.0,0.0,0.0,6.0,0.0,6.0
REYES,malaria,      total de casos confirmados,2014-05-01,4.0,5.0,0.0,0.0,4.0,5.0,9.0
RIBERALTA,malaria,      total de casos confirmados,2014-05-01,99.0,53.0,0.0,0.0,99.0,53.0,152.0
RURRENABAQUE,malaria,      total de casos confirmados,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,      total de casos confirmados,2014-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN PEDRO(PND),malaria,      total de casos confirmados,2014-05-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
SANTA ROSA,malaria,      total de casos confirmados,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SENA,malaria,      total de casos confirmados,2014-05-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
SUCRE,malaria,      total de casos confirmados,2014-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VILLA NUEVA (LOMA ALTA),malaria,      total de casos confirmados,2014-05-01,8.0,2.0,0.0,0.0,8.0,2.0,10.0
AZURDUY,malaria,      total de casos confirmados,2014-06-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
BAURES,malaria,      total de casos confirmados,2014-06-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
BELLA FLOR,malaria,      total de casos confirmados,2014-06-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
EUREKA (SANTOS MERCADO),malaria,      total de casos confirmados,2014-06-01,19.0,18.0,0.0,0.0,19.0,18.0,37.0
GUAYARAMERIN,malaria,      total de casos confirmados,2014-06-01,57.0,47.0,4.0,2.0,61.0,49.0,110.0
INGAVI (HUMAITA),malaria,      total de casos confirmados,2014-06-01,13.0,8.0,0.0,0.0,13.0,8.0,21.0
MAGDALENA,malaria,      total de casos confirmados,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MOJOCOYA,malaria,      total de casos confirmados,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      total de casos confirmados,2014-06-01,8.0,8.0,0.0,0.0,8.0,8.0,16.0
PORVENIR,malaria,      total de casos confirmados,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO GONZALO MORENO,malaria,      total de casos confirmados,2014-06-01,12.0,2.0,0.0,0.0,12.0,2.0,14.0
QUILLACOLLO,malaria,      total de casos confirmados,2014-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
REYES,malaria,      total de casos confirmados,2014-06-01,20.0,3.0,0.0,0.0,20.0,3.0,23.0
RIBERALTA,malaria,      total de casos confirmados,2014-06-01,76.0,53.0,0.0,1.0,76.0,54.0,130.0
SAN IGNACIO DE VELASCO,malaria,      total de casos confirmados,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,      total de casos confirmados,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO(PND),malaria,      total de casos confirmados,2014-06-01,3.0,4.0,0.0,0.0,3.0,4.0,7.0
SENA,malaria,      total de casos confirmados,2014-06-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
TEOPONTE,malaria,      total de casos confirmados,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA MONTES,malaria,      total de casos confirmados,2014-06-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
VILLA NUEVA (LOMA ALTA),malaria,      total de casos confirmados,2014-06-01,11.0,9.0,0.0,0.0,11.0,9.0,20.0
YACUIBA,malaria,      total de casos confirmados,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
BELLA FLOR,malaria,      total de casos confirmados,2014-07-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
COBIJA,malaria,      total de casos confirmados,2014-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,malaria,      total de casos confirmados,2014-07-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
COTAGAITA,malaria,      total de casos confirmados,2014-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COTOCA,malaria,      total de casos confirmados,2014-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EUREKA (SANTOS MERCADO),malaria,      total de casos confirmados,2014-07-01,12.0,5.0,0.0,0.0,12.0,5.0,17.0
GUAYARAMERIN,malaria,      total de casos confirmados,2014-07-01,119.0,84.0,9.0,8.0,128.0,92.0,220.0
INGAVI (HUMAITA),malaria,      total de casos confirmados,2014-07-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
MAGDALENA,malaria,      total de casos confirmados,2014-07-01,2.0,5.0,0.0,0.0,2.0,5.0,7.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      total de casos confirmados,2014-07-01,30.0,18.0,0.0,1.0,30.0,19.0,49.0
PORVENIR,malaria,      total de casos confirmados,2014-07-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
PUERTO GONZALO MORENO,malaria,      total de casos confirmados,2014-07-01,6.0,3.0,0.0,0.0,6.0,3.0,9.0
PUERTO RICO,malaria,      total de casos confirmados,2014-07-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
REYES,malaria,      total de casos confirmados,2014-07-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
RIBERALTA,malaria,      total de casos confirmados,2014-07-01,45.0,22.0,0.0,0.0,45.0,22.0,67.0
RURRENABAQUE,malaria,      total de casos confirmados,2014-07-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
SAN BORJA,malaria,      total de casos confirmados,2014-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN LORENZO(PND),malaria,      total de casos confirmados,2014-07-01,9.0,9.0,0.0,0.0,9.0,9.0,18.0
SAN PEDRO(PND),malaria,      total de casos confirmados,2014-07-01,3.0,5.0,0.0,0.0,3.0,5.0,8.0
SANTA CRUZ DE LA SIERRA,malaria,      total de casos confirmados,2014-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA ROSA,malaria,      total de casos confirmados,2014-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SENA,malaria,      total de casos confirmados,2014-07-01,19.0,15.0,0.0,0.0,19.0,15.0,34.0
SHINAOTA,malaria,      total de casos confirmados,2014-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA NUEVA (LOMA ALTA),malaria,      total de casos confirmados,2014-07-01,9.0,5.0,0.0,0.0,9.0,5.0,14.0
BELLA FLOR,malaria,      total de casos confirmados,2014-08-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
BUENA VISTA,malaria,      total de casos confirmados,2014-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COBIJA,malaria,      total de casos confirmados,2014-08-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
EL TORNO,malaria,      total de casos confirmados,2014-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EUREKA (SANTOS MERCADO),malaria,      total de casos confirmados,2014-08-01,24.0,24.0,0.0,0.0,24.0,24.0,48.0
GRAL. J.J. PEREZ (CHARAZANI),malaria,      total de casos confirmados,2014-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,malaria,      total de casos confirmados,2014-08-01,78.0,66.0,4.0,0.0,82.0,66.0,148.0
INGAVI (HUMAITA),malaria,      total de casos confirmados,2014-08-01,8.0,7.0,0.0,0.0,8.0,7.0,15.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      total de casos confirmados,2014-08-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      total de casos confirmados,2014-08-01,13.0,10.0,0.0,0.0,13.0,10.0,23.0
PADILLA,malaria,      total de casos confirmados,2014-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PORVENIR,malaria,      total de casos confirmados,2014-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO GONZALO MORENO,malaria,      total de casos confirmados,2014-08-01,11.0,7.0,0.0,0.0,11.0,7.0,18.0
PUERTO RICO,malaria,      total de casos confirmados,2014-08-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
REYES,malaria,      total de casos confirmados,2014-08-01,3.0,0.0,1.0,0.0,4.0,0.0,4.0
RIBERALTA,malaria,      total de casos confirmados,2014-08-01,56.0,86.0,3.0,1.0,59.0,87.0,146.0
SAN LORENZO(PND),malaria,      total de casos confirmados,2014-08-01,5.0,3.0,0.0,0.0,5.0,3.0,8.0
SAN PEDRO(PND),malaria,      total de casos confirmados,2014-08-01,8.0,8.0,0.0,0.0,8.0,8.0,16.0
SANTA ROSA,malaria,      total de casos confirmados,2014-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SENA,malaria,      total de casos confirmados,2014-08-01,3.0,6.0,0.0,0.0,3.0,6.0,9.0
TARVITA,malaria,      total de casos confirmados,2014-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VILLA NUEVA (LOMA ALTA),malaria,      total de casos confirmados,2014-08-01,14.0,9.0,0.0,0.0,14.0,9.0,23.0
AZURDUY,malaria,      total de casos confirmados,2014-09-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
BELLA FLOR,malaria,      total de casos confirmados,2014-09-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
COBIJA,malaria,      total de casos confirmados,2014-09-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
COCHABAMBA,malaria,      total de casos confirmados,2014-09-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
CULPINA,malaria,      total de casos confirmados,2014-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EUREKA (SANTOS MERCADO),malaria,      total de casos confirmados,2014-09-01,13.0,16.0,0.0,0.0,13.0,16.0,29.0
GUAYARAMERIN,malaria,      total de casos confirmados,2014-09-01,112.0,74.0,5.0,11.0,117.0,85.0,202.0
INCAHUASI,malaria,      total de casos confirmados,2014-09-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
INGAVI (HUMAITA),malaria,      total de casos confirmados,2014-09-01,11.0,9.0,0.0,0.0,11.0,9.0,20.0
MAGDALENA,malaria,      total de casos confirmados,2014-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      total de casos confirmados,2014-09-01,26.0,15.0,1.0,0.0,27.0,15.0,42.0
PUERTO GONZALO MORENO,malaria,      total de casos confirmados,2014-09-01,13.0,4.0,0.0,0.0,13.0,4.0,17.0
PUERTO RICO,malaria,      total de casos confirmados,2014-09-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
RIBERALTA,malaria,      total de casos confirmados,2014-09-01,65.0,53.0,0.0,1.0,65.0,54.0,119.0
RURRENABAQUE,malaria,      total de casos confirmados,2014-09-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,      total de casos confirmados,2014-09-01,9.0,5.0,0.0,0.0,9.0,5.0,14.0
SAN PEDRO(PND),malaria,      total de casos confirmados,2014-09-01,4.0,9.0,0.0,0.0,4.0,9.0,13.0
SENA,malaria,      total de casos confirmados,2014-09-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
VILLA NUEVA (LOMA ALTA),malaria,      total de casos confirmados,2014-09-01,7.0,4.0,0.0,0.0,7.0,4.0,11.0
VILLA VACA GUZMAN (MUYUPAMPA),malaria,      total de casos confirmados,2014-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
