,group,variable,month,TOTAL 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,TOTAL 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,TOTAL 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTAL 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
ENTRE RIOS TRJ,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-02-01,8.0,1.0,0.0,0.0,8.0,1.0,9.0
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-02-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-02-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
RIBERALTA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-02-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-02-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
AZURDUY,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,2.0,7.0,0.0,0.0,2.0,7.0,9.0
BAURES,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
BELLA FLOR,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
ENTRE RIOS TRJ,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
GUAYARAMERIN,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
INGAVI (HUMAITA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,8.0,3.0,0.0,0.0,8.0,3.0,11.0
RIBERALTA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,7.0,2.0,1.0,0.0,8.0,2.0,10.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-03-01,5.0,6.0,0.0,0.0,5.0,6.0,11.0
AZURDUY,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-04-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
BELLA FLOR,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-04-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-04-01,10.0,6.0,0.0,0.0,10.0,6.0,16.0
GUAYARAMERIN,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-04-01,0.0,1.0,1.0,0.0,1.0,1.0,2.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-04-01,12.0,6.0,0.0,0.0,12.0,6.0,18.0
PUERTO GONZALO MORENO,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-04-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
RIBERALTA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-04-01,6.0,17.0,0.0,0.0,6.0,17.0,23.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-04-01,2.0,4.0,0.0,0.0,2.0,4.0,6.0
AZURDUY,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,18.0,19.0,0.0,0.0,18.0,19.0,37.0
GUAYARAMERIN,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,1.0,0.0,3.0,0.0,4.0,0.0,4.0
INGAVI (HUMAITA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
MOJOCOYA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
PUERTO GONZALO MORENO,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
RIBERALTA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,26.0,20.0,0.0,0.0,26.0,20.0,46.0
SAN PEDRO(PND),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
SENA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-05-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
BAURES,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
BELLA FLOR,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,19.0,18.0,0.0,0.0,19.0,18.0,37.0
GUAYARAMERIN,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,32.0,14.0,2.0,2.0,34.0,16.0,50.0
HUACARETA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
INGAVI (HUMAITA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
MAGDALENA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,8.0,8.0,0.0,0.0,8.0,8.0,16.0
PUERTO GONZALO MORENO,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,9.0,2.0,0.0,0.0,9.0,2.0,11.0
RIBERALTA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,13.0,9.0,0.0,1.0,13.0,10.0,23.0
SAN PEDRO(PND),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,3.0,4.0,0.0,0.0,3.0,4.0,7.0
SENA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-06-01,11.0,9.0,0.0,0.0,11.0,9.0,20.0
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-07-01,12.0,5.0,0.0,0.0,12.0,5.0,17.0
GUAYARAMERIN,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-07-01,53.0,35.0,5.0,4.0,58.0,39.0,97.0
MAGDALENA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-07-01,2.0,5.0,0.0,0.0,2.0,5.0,7.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-07-01,30.0,18.0,0.0,1.0,30.0,19.0,49.0
PUERTO GONZALO MORENO,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-07-01,6.0,3.0,0.0,0.0,6.0,3.0,9.0
RIBERALTA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-07-01,7.0,4.0,0.0,0.0,7.0,4.0,11.0
SENA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-07-01,19.0,15.0,0.0,0.0,19.0,15.0,34.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-07-01,5.0,3.0,0.0,0.0,5.0,3.0,8.0
BELLA FLOR,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,24.0,24.0,0.0,0.0,24.0,24.0,48.0
GUAYARAMERIN,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,32.0,30.0,4.0,0.0,36.0,30.0,66.0
INGAVI (HUMAITA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,13.0,10.0,0.0,0.0,13.0,10.0,23.0
PUERTO GONZALO MORENO,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,11.0,7.0,0.0,0.0,11.0,7.0,18.0
RIBERALTA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,1.0,4.0,0.0,0.0,1.0,4.0,5.0
SAN PEDRO(PND),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,8.0,8.0,0.0,0.0,8.0,8.0,16.0
SENA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,3.0,6.0,0.0,0.0,3.0,6.0,9.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-08-01,6.0,3.0,0.0,0.0,6.0,3.0,9.0
BELLA FLOR,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-09-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-09-01,8.0,13.0,0.0,0.0,8.0,13.0,21.0
GUAYARAMERIN,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-09-01,8.0,1.0,0.0,0.0,8.0,1.0,9.0
INGAVI (HUMAITA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-09-01,4.0,4.0,0.0,0.0,4.0,4.0,8.0
MAGDALENA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PUERTO GONZALO MORENO,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-09-01,12.0,4.0,0.0,0.0,12.0,4.0,16.0
SAN PEDRO(PND),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-09-01,4.0,9.0,0.0,0.0,4.0,9.0,13.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-09-01,3.0,4.0,0.0,0.0,3.0,4.0,7.0
