,group,variable,month,TOTAL 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,TOTAL 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,TOTAL 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTAL 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
BUENA VISTA,malaria,      numero de tratamientos especificos dispensados,2014-02-01,3,0,0,0,3,0,3
COBIJA,malaria,      numero de tratamientos especificos dispensados,2014-02-01,3,1,0,0,3,1,4
ENTRE RIOS TRJ,malaria,      numero de tratamientos especificos dispensados,2014-02-01,8,1,0,0,8,1,9
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-02-01,1,3,0,0,1,3,4
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-02-01,42,28,8,4,50,32,82
HUACARETA,malaria,      numero de tratamientos especificos dispensados,2014-02-01,4,0,0,0,4,0,4
MONTEAGUDO,malaria,      numero de tratamientos especificos dispensados,2014-02-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-02-01,2,1,0,0,2,1,3
PADILLA,malaria,      numero de tratamientos especificos dispensados,2014-02-01,2,2,0,0,2,2,4
PUERTO RICO,malaria,      numero de tratamientos especificos dispensados,2014-02-01,1,0,0,0,1,0,1
REYES,malaria,      numero de tratamientos especificos dispensados,2014-02-01,6,0,0,0,6,0,6
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-02-01,15,7,0,0,15,7,22
SAIPINA,malaria,      numero de tratamientos especificos dispensados,2014-02-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,      numero de tratamientos especificos dispensados,2014-02-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,      numero de tratamientos especificos dispensados,2014-02-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-02-01,3,0,0,0,3,0,3
YACUIBA,malaria,      numero de tratamientos especificos dispensados,2014-02-01,3,0,0,0,3,0,3
AZURDUY,malaria,      numero de tratamientos especificos dispensados,2014-03-01,4,11,0,0,4,11,15
BAURES,malaria,      numero de tratamientos especificos dispensados,2014-03-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,      numero de tratamientos especificos dispensados,2014-03-01,7,2,0,0,7,2,9
COBIJA,malaria,      numero de tratamientos especificos dispensados,2014-03-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,malaria,      numero de tratamientos especificos dispensados,2014-03-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-03-01,4,2,0,0,4,2,6
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-03-01,44,47,10,3,54,50,104
HUACARETA,malaria,      numero de tratamientos especificos dispensados,2014-03-01,3,3,0,0,3,3,6
INGAVI (HUMAITA),malaria,      numero de tratamientos especificos dispensados,2014-03-01,0,1,0,0,0,1,1
MOJOCOYA,malaria,      numero de tratamientos especificos dispensados,2014-03-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-03-01,6,3,0,0,6,3,9
PUERTO RICO,malaria,      numero de tratamientos especificos dispensados,2014-03-01,0,1,0,0,0,1,1
REYES,malaria,      numero de tratamientos especificos dispensados,2014-03-01,11,4,0,0,11,4,15
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-03-01,29,12,2,0,31,12,43
SAN LORENZO(TJA),malaria,      numero de tratamientos especificos dispensados,2014-03-01,4,1,0,0,4,1,5
SENA,malaria,      numero de tratamientos especificos dispensados,2014-03-01,3,0,0,0,3,0,3
VILLA MONTES,malaria,      numero de tratamientos especificos dispensados,2014-03-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-03-01,5,6,0,0,5,6,11
AZURDUY,malaria,      numero de tratamientos especificos dispensados,2014-04-01,11,9,0,0,11,9,20
BELLA FLOR,malaria,      numero de tratamientos especificos dispensados,2014-04-01,4,2,0,0,4,2,6
COBIJA,malaria,      numero de tratamientos especificos dispensados,2014-04-01,2,1,0,0,2,1,3
ENTRE RIOS TRJ,malaria,      numero de tratamientos especificos dispensados,2014-04-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-04-01,10,6,0,0,10,6,16
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-04-01,57,27,20,9,77,36,113
MOJOCOYA,malaria,      numero de tratamientos especificos dispensados,2014-04-01,1,5,0,0,1,5,6
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-04-01,12,6,0,0,12,6,18
PUERTO GONZALO MORENO,malaria,      numero de tratamientos especificos dispensados,2014-04-01,3,2,0,0,3,2,5
REYES,malaria,      numero de tratamientos especificos dispensados,2014-04-01,10,9,0,0,10,9,19
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-04-01,72,42,0,0,72,42,114
SAIPINA,malaria,      numero de tratamientos especificos dispensados,2014-04-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,      numero de tratamientos especificos dispensados,2014-04-01,1,1,0,0,1,1,2
SAN PEDRO(PND),malaria,      numero de tratamientos especificos dispensados,2014-04-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-04-01,2,4,0,0,2,4,6
VILLA SERRANO,malaria,      numero de tratamientos especificos dispensados,2014-04-01,1,0,0,0,1,0,1
YACUIBA,malaria,      numero de tratamientos especificos dispensados,2014-04-01,1,0,0,0,1,0,1
AZURDUY,malaria,      numero de tratamientos especificos dispensados,2014-05-01,2,2,0,0,2,2,4
BAURES,malaria,      numero de tratamientos especificos dispensados,2014-05-01,2,1,0,0,2,1,3
BELLA FLOR,malaria,      numero de tratamientos especificos dispensados,2014-05-01,3,2,0,0,3,2,5
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-05-01,18,19,0,0,18,19,37
FILADELFIA,malaria,      numero de tratamientos especificos dispensados,2014-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-05-01,67,54,13,1,80,55,135
INGAVI (HUMAITA),malaria,      numero de tratamientos especificos dispensados,2014-05-01,1,3,0,0,1,3,4
MOJOCOYA,malaria,      numero de tratamientos especificos dispensados,2014-05-01,3,4,0,0,3,4,7
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-05-01,6,4,0,0,6,4,10
PUERTO GONZALO MORENO,malaria,      numero de tratamientos especificos dispensados,2014-05-01,5,0,0,0,5,0,5
REYES,malaria,      numero de tratamientos especificos dispensados,2014-05-01,4,5,0,0,4,5,9
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-05-01,74,44,0,0,74,44,118
SAN LORENZO(PND),malaria,      numero de tratamientos especificos dispensados,2014-05-01,0,1,0,0,0,1,1
SAN PEDRO(PND),malaria,      numero de tratamientos especificos dispensados,2014-05-01,5,2,0,0,5,2,7
SANTA ROSA,malaria,      numero de tratamientos especificos dispensados,2014-05-01,1,0,0,0,1,0,1
SENA,malaria,      numero de tratamientos especificos dispensados,2014-05-01,5,0,0,0,5,0,5
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-05-01,8,2,0,0,8,2,10
ALTO BENI,malaria,      numero de tratamientos especificos dispensados,2014-06-01,0,1,0,0,0,1,1
AZURDUY,malaria,      numero de tratamientos especificos dispensados,2014-06-01,2,1,0,0,2,1,3
BAURES,malaria,      numero de tratamientos especificos dispensados,2014-06-01,2,1,0,0,2,1,3
BELLA FLOR,malaria,      numero de tratamientos especificos dispensados,2014-06-01,1,1,0,0,1,1,2
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-06-01,19,18,0,0,19,18,37
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-06-01,57,40,4,2,61,42,103
INGAVI (HUMAITA),malaria,      numero de tratamientos especificos dispensados,2014-06-01,13,8,0,0,13,8,21
MAGDALENA,malaria,      numero de tratamientos especificos dispensados,2014-06-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,      numero de tratamientos especificos dispensados,2014-06-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-06-01,8,8,0,0,8,8,16
PORVENIR,malaria,      numero de tratamientos especificos dispensados,2014-06-01,1,0,0,0,1,0,1
PRESTO,malaria,      numero de tratamientos especificos dispensados,2014-06-01,4,2,0,0,4,2,6
PUERTO GONZALO MORENO,malaria,      numero de tratamientos especificos dispensados,2014-06-01,12,2,0,0,12,2,14
REYES,malaria,      numero de tratamientos especificos dispensados,2014-06-01,20,3,0,0,20,3,23
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-06-01,22,17,0,1,22,18,40
SAN LORENZO(PND),malaria,      numero de tratamientos especificos dispensados,2014-06-01,1,0,0,0,1,0,1
SAN PEDRO(PND),malaria,      numero de tratamientos especificos dispensados,2014-06-01,3,4,0,0,3,4,7
SENA,malaria,      numero de tratamientos especificos dispensados,2014-06-01,3,2,0,0,3,2,5
TEOPONTE,malaria,      numero de tratamientos especificos dispensados,2014-06-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,      numero de tratamientos especificos dispensados,2014-06-01,2,2,0,0,2,2,4
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-06-01,11,9,0,0,11,9,20
YACUIBA,malaria,      numero de tratamientos especificos dispensados,2014-06-01,1,0,0,0,1,0,1
COTAGAITA,malaria,      numero de tratamientos especificos dispensados,2014-07-01,2,1,0,0,2,1,3
COTOCA,malaria,      numero de tratamientos especificos dispensados,2014-07-01,0,1,0,0,0,1,1
ESCOMA,malaria,      numero de tratamientos especificos dispensados,2014-07-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-07-01,12,5,0,0,12,5,17
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-07-01,110,82,8,8,118,90,208
INGAVI (HUMAITA),malaria,      numero de tratamientos especificos dispensados,2014-07-01,6,0,0,0,6,0,6
MAGDALENA,malaria,      numero de tratamientos especificos dispensados,2014-07-01,2,5,0,0,2,5,7
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-07-01,30,18,0,1,30,19,49
PORVENIR,malaria,      numero de tratamientos especificos dispensados,2014-07-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,malaria,      numero de tratamientos especificos dispensados,2014-07-01,6,3,0,0,6,3,9
PUERTO RICO,malaria,      numero de tratamientos especificos dispensados,2014-07-01,2,1,0,0,2,1,3
REYES,malaria,      numero de tratamientos especificos dispensados,2014-07-01,3,2,0,0,3,2,5
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-07-01,33,15,0,0,33,15,48
SAN BORJA,malaria,      numero de tratamientos especificos dispensados,2014-07-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,      numero de tratamientos especificos dispensados,2014-07-01,7,8,0,0,7,8,15
SAN PEDRO(PND),malaria,      numero de tratamientos especificos dispensados,2014-07-01,2,5,0,0,2,5,7
SANTA ROSA,malaria,      numero de tratamientos especificos dispensados,2014-07-01,0,1,0,0,0,1,1
SENA,malaria,      numero de tratamientos especificos dispensados,2014-07-01,19,15,0,0,19,15,34
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-07-01,5,4,0,0,5,4,9
BELLA FLOR,malaria,      numero de tratamientos especificos dispensados,2014-08-01,1,1,0,0,1,1,2
BUENA VISTA,malaria,      numero de tratamientos especificos dispensados,2014-08-01,0,1,0,0,0,1,1
COCAPATA,malaria,      numero de tratamientos especificos dispensados,2014-08-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-08-01,24,24,0,0,24,24,48
GRAL. J.J. PEREZ (CHARAZANI),malaria,      numero de tratamientos especificos dispensados,2014-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-08-01,75,59,4,0,79,59,138
INGAVI (HUMAITA),malaria,      numero de tratamientos especificos dispensados,2014-08-01,2,3,0,0,2,3,5
MECAPACA,malaria,      numero de tratamientos especificos dispensados,2014-08-01,0,0,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-08-01,13,10,0,0,13,10,23
PORVENIR,malaria,      numero de tratamientos especificos dispensados,2014-08-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,      numero de tratamientos especificos dispensados,2014-08-01,11,5,0,0,11,5,16
PUERTO RICO,malaria,      numero de tratamientos especificos dispensados,2014-08-01,4,0,0,0,4,0,4
REYES,malaria,      numero de tratamientos especificos dispensados,2014-08-01,3,0,1,0,4,0,4
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-08-01,18,41,0,0,18,41,59
SAN LORENZO(PND),malaria,      numero de tratamientos especificos dispensados,2014-08-01,2,1,0,0,2,1,3
SAN PEDRO(PND),malaria,      numero de tratamientos especificos dispensados,2014-08-01,8,8,0,0,8,8,16
SENA,malaria,      numero de tratamientos especificos dispensados,2014-08-01,3,6,0,0,3,6,9
TARVITA,malaria,      numero de tratamientos especificos dispensados,2014-08-01,0,1,0,0,0,1,1
VALLEGRANDE,malaria,      numero de tratamientos especificos dispensados,2014-08-01,3,1,0,0,3,1,4
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-08-01,14,9,0,0,14,9,23
AZURDUY,malaria,      numero de tratamientos especificos dispensados,2014-09-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,      numero de tratamientos especificos dispensados,2014-09-01,2,3,0,0,2,3,5
CULPINA,malaria,      numero de tratamientos especificos dispensados,2014-09-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-09-01,8,13,0,0,8,13,21
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-09-01,109,65,5,10,114,75,189
INCAHUASI,malaria,      numero de tratamientos especificos dispensados,2014-09-01,2,0,0,0,2,0,2
INGAVI (HUMAITA),malaria,      numero de tratamientos especificos dispensados,2014-09-01,4,4,0,0,4,4,8
MAGDALENA,malaria,      numero de tratamientos especificos dispensados,2014-09-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-09-01,20,12,0,0,20,12,32
PUERTO GONZALO MORENO,malaria,      numero de tratamientos especificos dispensados,2014-09-01,13,4,0,0,13,4,17
PUERTO RICO,malaria,      numero de tratamientos especificos dispensados,2014-09-01,4,1,0,0,4,1,5
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-09-01,35,22,0,0,35,22,57
SAN LORENZO(PND),malaria,      numero de tratamientos especificos dispensados,2014-09-01,4,1,0,0,4,1,5
SAN PEDRO(PND),malaria,      numero de tratamientos especificos dispensados,2014-09-01,4,9,0,0,4,9,13
SENA,malaria,      numero de tratamientos especificos dispensados,2014-09-01,4,1,0,0,4,1,5
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-09-01,7,4,0,0,7,4,11
VILLA VACA GUZMAN (MUYUPAMPA),malaria,      numero de tratamientos especificos dispensados,2014-09-01,0,1,0,0,0,1,1
AIQUILE,malaria,      numero de tratamientos especificos dispensados,2014-10-01,3,0,0,0,3,0,3
BELLA FLOR,malaria,      numero de tratamientos especificos dispensados,2014-10-01,5,2,0,0,5,2,7
BUENA VISTA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,138,140,0,0,138,140,278
CKOCHAS,malaria,      numero de tratamientos especificos dispensados,2014-10-01,1,0,0,0,1,0,1
COBIJA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,12,6,0,0,12,6,18
COCHABAMBA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,1,0,0,1,1,1,2
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-10-01,13,9,0,0,13,9,22
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-10-01,90,79,9,7,99,86,185
HUACARETA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,0,1,0,0,0,1,1
INCAHUASI,malaria,      numero de tratamientos especificos dispensados,2014-10-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,      numero de tratamientos especificos dispensados,2014-10-01,15,11,0,0,15,11,26
LA GUARDIA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,0,1,0,0,0,1,1
LAGUNILLAS,malaria,      numero de tratamientos especificos dispensados,2014-10-01,1,12,0,0,1,12,13
LAS CARRERAS,malaria,      numero de tratamientos especificos dispensados,2014-10-01,0,1,0,0,0,1,1
MAGDALENA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,18,18,0,0,18,18,36
MONTEAGUDO,malaria,      numero de tratamientos especificos dispensados,2014-10-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,      numero de tratamientos especificos dispensados,2014-10-01,8,6,0,0,8,6,14
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-10-01,17,9,0,0,17,9,26
POROMA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,16,35,0,0,16,35,51
PUERTO GONZALO MORENO,malaria,      numero de tratamientos especificos dispensados,2014-10-01,17,5,0,1,17,6,23
PUERTO RICO,malaria,      numero de tratamientos especificos dispensados,2014-10-01,4,3,0,0,4,3,7
REYES,malaria,      numero de tratamientos especificos dispensados,2014-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,169,91,5,2,174,93,267
RURRENABAQUE,malaria,      numero de tratamientos especificos dispensados,2014-10-01,1,0,0,0,1,0,1
SAIPINA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,29,77,0,0,29,77,106
SAN BORJA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,0,0,1,0,1,0,1
SAN CARLOS,malaria,      numero de tratamientos especificos dispensados,2014-10-01,1,2,0,0,1,2,3
SAN LORENZO(PND),malaria,      numero de tratamientos especificos dispensados,2014-10-01,45,12,0,0,45,12,57
SAN LUCAS,malaria,      numero de tratamientos especificos dispensados,2014-10-01,7,17,0,0,7,17,24
SAN PEDRO(PND),malaria,      numero de tratamientos especificos dispensados,2014-10-01,12,3,0,0,12,3,15
SENA,malaria,      numero de tratamientos especificos dispensados,2014-10-01,5,19,0,0,5,19,24
SOPACHUY,malaria,      numero de tratamientos especificos dispensados,2014-10-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-10-01,26,22,0,0,26,22,48
VILLA SERRANO,malaria,      numero de tratamientos especificos dispensados,2014-10-01,1,3,0,0,1,3,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,      numero de tratamientos especificos dispensados,2014-10-01,0,1,0,0,0,1,1
YAMPARAEZ,malaria,      numero de tratamientos especificos dispensados,2014-10-01,0,6,0,0,0,6,6
AZURDUY,malaria,      numero de tratamientos especificos dispensados,2014-11-01,0,1,0,0,0,1,1
BAURES,malaria,      numero de tratamientos especificos dispensados,2014-11-01,4,5,0,0,4,5,9
BELLA FLOR,malaria,      numero de tratamientos especificos dispensados,2014-11-01,3,1,0,0,3,1,4
CARAPARI,malaria,      numero de tratamientos especificos dispensados,2014-11-01,1,1,0,0,1,1,2
COBIJA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,0,3,0,0,0,3,3
COCHABAMBA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,5,2,0,0,5,2,7
CULPINA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,malaria,      numero de tratamientos especificos dispensados,2014-11-01,2,6,0,0,2,6,8
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-11-01,19,22,0,0,19,22,41
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-11-01,121,140,6,3,127,143,270
INCAHUASI,malaria,      numero de tratamientos especificos dispensados,2014-11-01,0,3,0,0,0,3,3
INGAVI (HUMAITA),malaria,      numero de tratamientos especificos dispensados,2014-11-01,8,9,0,0,8,9,17
MAGDALENA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,1,1,0,0,1,1,2
MOJOCOYA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,2,0,0,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,      numero de tratamientos especificos dispensados,2014-11-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-11-01,46,30,0,0,46,30,76
POROMA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,      numero de tratamientos especificos dispensados,2014-11-01,15,8,0,0,15,8,23
PUERTO RICO,malaria,      numero de tratamientos especificos dispensados,2014-11-01,4,0,0,0,4,0,4
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,129,81,1,0,130,81,211
SAIPINA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,49,72,0,0,49,72,121
SAN CARLOS,malaria,      numero de tratamientos especificos dispensados,2014-11-01,2,3,0,0,2,3,5
SAN IGNACIO,malaria,      numero de tratamientos especificos dispensados,2014-11-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,      numero de tratamientos especificos dispensados,2014-11-01,28,23,0,0,28,23,51
SAN LUCAS,malaria,      numero de tratamientos especificos dispensados,2014-11-01,47,66,0,0,47,66,113
SAN PEDRO DE BUENA VISTA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,1,4,0,0,1,4,5
SAN PEDRO(PND),malaria,      numero de tratamientos especificos dispensados,2014-11-01,3,5,0,0,3,5,8
SANTA ROSA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,1,1,0,0,1,1,2
SENA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,33,12,0,0,33,12,45
SOPACHUY,malaria,      numero de tratamientos especificos dispensados,2014-11-01,0,2,0,0,0,2,2
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-11-01,13,9,0,0,13,9,22
YACUIBA,malaria,      numero de tratamientos especificos dispensados,2014-11-01,1,0,0,0,1,0,1
YAPACANI,malaria,      numero de tratamientos especificos dispensados,2014-11-01,2,1,0,0,2,1,3
AZURDUY,malaria,      numero de tratamientos especificos dispensados,2014-12-01,1,0,0,0,1,0,1
BAURES,malaria,      numero de tratamientos especificos dispensados,2014-12-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,      numero de tratamientos especificos dispensados,2014-12-01,2,0,0,0,2,0,2
BERMEJO,malaria,      numero de tratamientos especificos dispensados,2014-12-01,2,2,0,0,2,2,4
CARAPARI,malaria,      numero de tratamientos especificos dispensados,2014-12-01,2,1,0,0,2,1,3
COCHABAMBA,malaria,      numero de tratamientos especificos dispensados,2014-12-01,2,0,1,0,3,0,3
CONCEPCION,malaria,      numero de tratamientos especificos dispensados,2014-12-01,10,8,0,0,10,8,18
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-12-01,20,4,0,0,20,4,24
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-12-01,68,35,6,8,74,43,117
INGAVI (HUMAITA),malaria,      numero de tratamientos especificos dispensados,2014-12-01,9,5,0,0,9,5,14
LAGUNILLAS,malaria,      numero de tratamientos especificos dispensados,2014-12-01,3,7,0,0,3,7,10
MINEROS,malaria,      numero de tratamientos especificos dispensados,2014-12-01,0,0,1,1,1,1,2
MONTEAGUDO,malaria,      numero de tratamientos especificos dispensados,2014-12-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,      numero de tratamientos especificos dispensados,2014-12-01,7,3,0,0,7,3,10
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-12-01,19,8,0,0,19,8,27
POROMA,malaria,      numero de tratamientos especificos dispensados,2014-12-01,19,29,0,0,19,29,48
PORVENIR,malaria,      numero de tratamientos especificos dispensados,2014-12-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,malaria,      numero de tratamientos especificos dispensados,2014-12-01,7,2,0,0,7,2,9
PUERTO RICO,malaria,      numero de tratamientos especificos dispensados,2014-12-01,2,0,0,0,2,0,2
REYES,malaria,      numero de tratamientos especificos dispensados,2014-12-01,1,0,1,0,2,0,2
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-12-01,77,59,0,0,77,59,136
SAN BORJA,malaria,      numero de tratamientos especificos dispensados,2014-12-01,1,0,0,0,1,0,1
SAN CARLOS,malaria,      numero de tratamientos especificos dispensados,2014-12-01,3,1,0,0,3,1,4
