,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,0,0,0,1,0,1,1
SAN PEDRO,chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,3,0,0,0,3,0,3
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,2,1,1,1,3,2,5
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,0,0,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,0,0,0,1,0,1,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,0,1,0,0,0,1,1
CLIZA,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,0,0,0,1,0,1,1
EL VILLAR,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,1,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,0,0,1,0,1,0,1
ICLA,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,0,0,0,1,0,1,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,0,0,2,1,2,1,3
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,1,0,0,0,1,0,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,0,1,0,0,0,1,1
PUNATA,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,1,0,0,0,1,0,1
SAN PEDRO,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,0,1,1,0,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,1,0,1,0,2,0,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-03-01,0,1,1,1,1,2,3
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,0,0,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,1,0,0,0,1,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,0,0,1,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,1,0,2,1,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,2,1,0,0,2,1,3
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,0,0,0,1,0,1,1
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,1,4,1,1,2,5,7
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,1,0,0,0,1,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,1,0,0,0,1,0,1
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2017-04-01,0,1,0,0,0,1,1
ARBIETO,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,3,1,0,0,3,1,4
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,0,0,1,0,1,0,1
ICLA,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,1,2,0,0,1,2,3
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,0,1,0,0,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,1,3,1,0,2,3,5
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,0,1,0,0,0,1,1
PUNATA,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,0,0,1,0,1,0,1
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,2,0,0,0,2,0,2
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,0,0,1,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,1,1,2,3,3,4,7
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,1,0,0,0,1,0,1
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,0,0,1,0,1,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,0,1,1,0,1,1,2
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2017-05-01,0,0,0,1,0,1,1
AIQUILE,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,1,0,0,0,1,1
ARBIETO,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,0,1,0,1,0,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,2,0,0,0,2,2
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,0,2,0,2,0,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,1,0,0,0,1,0,1
ICLA,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,0,1,2,1,2,3
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,0,0,1,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,2,1,1,3,3,4,7
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,2,0,0,0,2,2
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,0,1,0,1,0,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,0,0,1,0,1,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,1,1,0,0,1,1,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,1,0,1,1,2,1,3
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,0,1,0,1,0,1
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,1,0,1,0,2,2
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,1,0,0,0,1,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2017-06-01,0,0,0,1,0,1,1
AIQUILE,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,0,0,1,0,1,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,0,1,1,1,1,2
EL VILLAR,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,2,0,0,0,2,0,2
GENERAL SAAVEDRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,1,1,0,0,1,1,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,1,0,1,0,2,2
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,2,1,1,1,3,4
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,1,1,2,1,3,2,5
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,1,0,0,1,1,1,2
MOROCHATA,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,0,0,1,0,1,1
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,1,0,0,0,1,0,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,1,0,0,0,1,1
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,0,1,0,1,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,0,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,2,0,0,0,2,0,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,2,2,2,1,4,3,7
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,1,0,0,0,1,0,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,3,0,0,0,3,0,3
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,1,0,0,0,1,0,1
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2017-07-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,1,0,0,0,1,0,1
GENERAL SAAVEDRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,0,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,1,1,0,0,1,1,2
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,2,0,0,0,2,2
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,2,0,0,0,2,2
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,3,1,2,2,5,3,8
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,0,1,0,1,0,1
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,0,1,0,1,0,1
POROMA,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,1,0,0,0,1,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,1,3,0,0,1,3,4
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,1,1,2,1,3,4
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,0,1,0,1,0,1
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,1,0,1,0,2,0,2
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,0,3,0,3,0,3
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,1,1,0,0,1,1,2
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,0,3,0,0,0,3,3
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2017-08-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,1,0,0,0,1,0,1
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,1,0,0,1,1,1,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,0,1,1,1,1,2
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,3,0,0,0,3,3
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,0,0,2,0,2,2
MAIRANA,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,1,0,0,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,1,0,2,0,3,0,3
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,0,1,0,1,0,1
POROMA,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,0,0,1,0,1,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,1,0,0,0,1,0,1
SAN PEDRO,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,2,3,0,0,2,3,5
VALLEGRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,3,0,0,0,3,3
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,0,1,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,1,0,1,0,2,2
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2017-09-01,0,0,1,0,1,0,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,1,0,0,0,1,1
CAPINOTA,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,0,1,0,1,0,1
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,0,1,0,1,0,1
EL VILLAR,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,1,0,0,0,1,0,1
INCAHUASI,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,0,0,2,0,2,2
MAIRANA,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,0,1,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,0,1,0,1,0,1
PALOS BLANCOS,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,2,0,0,0,2,0,2
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,1,0,1,0,2,0,2
SAN PEDRO,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,1,0,1,0,2,0,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,1,2,3,2,4,6
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,1,0,0,0,1,0,1
VALLEGRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,0,0,3,0,3,3
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,0,0,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2017-10-01,1,0,0,0,1,0,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,1,0,1,0,1
EL VILLAR,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,1,0,1,0,1
INCAHUASI,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,0,1,0,1,1
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,0,2,0,2,2
LA PAZ,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,0,0,0,0,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,1,1,1,1,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,1,1,0,1,1,2
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,0,1,0,1,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2017-11-01,0,1,0,0,0,1,1
HUACARETA,chagas,tratamientos rn a menores de 1 ano de edad,2017-12-01,1,0,0,0,1,0,1
LA PAZ,chagas,tratamientos rn a menores de 1 ano de edad,2017-12-01,0,0,0,0,0,0,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2017-12-01,0,0,0,1,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-12-01,1,1,0,0,1,1,2
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2017-12-01,0,0,1,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-12-01,1,0,0,1,1,1,2
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2017-12-01,0,1,0,1,0,2,2
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2017-12-01,0,0,0,1,0,1,1
