,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-04-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-04-01,0,0,0,1,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-04-01,1,1,0,0,1,1,2
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-04-01,0,0,0,1,0,1,1
BERMEJO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-05-01,0,0,0,1,0,1,1
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-05-01,0,1,0,0,0,1,1
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-05-01,0,1,0,0,0,1,1
MINEROS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-05-01,0,0,0,1,0,1,1
MOROCHATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-05-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-05-01,1,1,0,0,1,1,2
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-05-01,1,0,0,0,1,0,1
AZURDUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-06-01,0,1,0,0,0,1,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-06-01,1,0,0,1,1,1,2
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-06-01,2,0,0,0,2,0,2
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-06-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-06-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-06-01,0,0,2,1,2,1,3
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-07-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-07-01,1,2,0,0,1,2,3
PUNATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-07-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-07-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-07-01,0,0,1,0,1,0,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-07-01,1,0,1,0,2,0,2
AZURDUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-08-01,0,0,0,1,0,1,1
"CAIZA ""D""",chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-08-01,1,0,0,0,1,0,1
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-08-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-08-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-08-01,0,0,0,1,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-08-01,1,0,0,0,1,0,1
TARVITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-08-01,0,1,0,0,0,1,1
ACACIO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-09-01,0,1,0,0,0,1,1
ARBIETO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-09-01,1,0,0,0,1,0,1
BETANZOS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-09-01,1,1,0,0,1,1,2
PUNATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-09-01,0,0,1,0,1,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-09-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-09-01,2,0,0,0,2,0,2
"CAIZA ""D""",chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-10-01,0,0,0,1,0,1,1
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-10-01,0,0,0,1,0,1,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-10-01,0,1,0,1,0,2,2
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-10-01,0,1,1,0,1,1,2
TARVITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-10-01,0,0,0,1,0,1,1
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-10-01,1,0,0,0,1,0,1
BETANZOS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-11-01,0,0,1,1,1,1,2
LA PAZ,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-11-01,0,0,0,0,0,0,0
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-11-01,0,0,0,1,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-11-01,0,1,1,0,1,1,2
HUACARETA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-12-01,1,0,0,0,1,0,1
LA PAZ,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-12-01,0,0,0,0,0,0,0
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-12-01,0,0,1,0,1,0,1
