,group,variable,month,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,0,0,6,3,9
SICA SICA (VILLA AROMA),otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,3,6
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,5,3,8
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,2,4
TRINIDAD,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,4
BAURES,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4
COCHABAMBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,4,1,5
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
GENERAL SAAVEDRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LA GUARDIA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,3,2,5
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
RURRENABAQUE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE MACHA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,2,7
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,3,5
VILLA MONTES,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,2,1,4,7,11
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,7,0,0,0,0,11,11,22
PORTACHUELO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
QUILLACOLLO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,1,4
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,3,2,5
TRINIDAD,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
BERMEJO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CABEZAS,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,1,0,0,10,2,12
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MAPIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,4,0,0,0,0,3,12,15
MONTERO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
RURRENABAQUE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,4,1,0,0,6,6,12
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,3,3,6
TRINIDAD,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
VIACHA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,2,0,0,4,5,17,9,26
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,20,27,31,34,65
EL TORNO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA GUARDIA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ORURO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PORTACHUELO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,2,3,0,0,8,7,15
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TUPIZA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,10
FILADELFIA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6
MAPIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,11,0,11
MOJINETE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,4,3,7
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
SACABA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,5,6
SAN CARLOS,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,5,11
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
SANTIAGO DE CALLAPA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,3
BERMEJO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BUENA VISTA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
COTOCA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
EL TORNO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
FILADELFIA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
MAPIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,5,1,6
MONTERO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
ORURO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
QUILLACOLLO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,1,3,5,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
TUPIZA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA MONTES,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
VILLA TUNARI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
WARNES,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,18,9,0,0,21,11,32
COTOCA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,1,3
GUANAY,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
LA GUARDIA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
MAPIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,3,8,8,16
ORURO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,4,14,0,0,0,4,3,79,8,87
PORTACHUELO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
PUERTO SUAREZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,4,7,11
QUILLACOLLO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
