,group,variable,month,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CHAQUI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,6,0,0,0,0,0,0,8,7,15
CHIMORE,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,5,7,12
CHUMA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,4,3,7
CLIZA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
COBIJA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,9,6,15
COTAGAITA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,4
EL ALTO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,3,1,0,0,0,3,0,0,1,1,0,0,5,2,1,3,0,0,2,0,3,1,0,0,15,11,26
FERNANDEZ ALONSO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2
GUANAY,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,0,0,0,0,5,7,12
IXIAMAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,4
LA ASUNTA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,13,4,17
LA PAZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,36,0,1,2,0,0,37,38,75
LAGUNILLAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,5,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,27,10,0,0,0,0,0,0,35,16,51
MOJINETE,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ORURO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,20,3,1,0,12,5,0,1,2,4,1,1,36,14,50
PAILON,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
PAPEL PAMPA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,2,6,8
PATACAMAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,2,5
PELECHUCO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,1,7,0,0,0,0,0,1,0,0,0,0,1,2,0,0,4,1,1,0,1,0,0,0,8,11,19
PUERTO ACOSTA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3,1,4
RAVELO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
RIBERALTA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
SAN ANDRES,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,1,1,0,0,7,8,15
SAN BORJA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,4,4,8
SAN CARLOS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,2,5,7
SAN IGNACIO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,10
SAN JULIAN,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,2,2,0,0,0,3,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,7,18,25
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
TAHUA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,5
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
TIPUANI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,5,6,11
TIRAQUE (CBBA),otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,3
TRINIDAD,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,4,0,0,1,0,0,0,11,9,20
TUPIZA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,1,5,6
UMALA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,4,3,5,5,1,1,1,1,15,15,30
UYUNI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,4,0,0,0,0,7,4,11
VIACHA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3
VITICHI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,5
WARNES,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,2,5
YOCALLA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ATOCHA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,2,0,0,0,0,2,0,0,0,0,2,6,0,2,2,4,3,6,0,0,0,0,9,20,29
BELLA FLOR,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BETANZOS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,2,4,6
BUENA VISTA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"CAIZA ""D""",otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARACOLLO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CHAYANTA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CHIMORE,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,2,5
CKOCHAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,4
COBIJA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,1,0,0,0,0,1,0,0,1,0,0,0,51,3,0,0,4,4,0,0,1,0,58,8,66
COTAGAITA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,0,0,0,0,4,7,11
CUEVO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,3,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,4,9
EL ALTO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
EL PUENTE(STC),otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
GUAYARAMERIN,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
IXIAMAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,7,3,10
LA PAZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,6,3,9
PAPEL PAMPA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,0,0,0,0,8,6,14
PATACAMAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,1,1,0,0,3,7,10
POCONA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,0,0,0,3,7,17,24
PORVENIR,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
POTOSI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,0,0,0,0,4,6,10
PUERTO QUIJARRO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
PUERTO VILLARROEL,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
RAVELO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,1,5,6
SAN IGNACIO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,4,0,0,0,0,0,0,0,0,11,5,16
SAN JULIAN,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,3,4
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,8
TAHUA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
TRINIDAD,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,4,5
TUPIZA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
UMALA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,3,0,0,0,0,0,0,0,1,0,0,4,0,1,0,5,5,0,0,2,5,0,0,12,14,26
UYUNI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,7,0,0,0,0,42,9,51
VILLAZON,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,2,4
VITICHI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
YOCALLA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YOTALA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,5,1,6
ARAMPAMPA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ATOCHA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,1,4
BAURES,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
BELEN DE URMIRI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
BELLA FLOR,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BETANZOS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
CKOCHAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2
COBIJA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
EL CHORO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,1,6
FERNANDEZ ALONSO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,13,3,16
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HUACARAJE,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
HUANUNI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
IXIAMAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2
LA PAZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
MAIRANA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,4
MORO MORO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PADCAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,1,1,0,3,2,7,13,20
POCONA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,4,3,14,13,2,2,2,2,24,24,48
