,group,variable,month,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,TOTALES,TOTALES,TOTALES
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,2,4
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,0,0,8,4,11,10,21
COTOCA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,0,6,2,8
LA GUARDIA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,1,4
MONTERO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
QUILLACOLLO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,3
SAN BORJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SENA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
YAPACANI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
BERMEJO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
COBIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,4
COTOCA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,3
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,8,0,6,3,3,0,0,9,20,29
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
QUILLACOLLO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,5,1,6
SAN BORJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,0,0,9,5,14
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,3
BERMEJO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,3
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,8,1,2,1,0,0,16,7,23
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,0,5,4,7,10,17
MAPIRI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,3,0,0,0,0,4,8,12
PORONGO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,1,9,10
QUILLACOLLO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
RURRENABAQUE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,1,2,0,14,0,0,0,0,0,263,1,264
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,5,3,5,9,8,23,27,50
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
YAPACANI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,4,2,6
BERMEJO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
COTAGAITA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,4,4,5,1,0,1,0,16,13,29
FILADELFIA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
LA GUARDIA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,4,3,7
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
QUILLACOLLO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,3,3,6
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
UYUNI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,6,2,8
COLQUIRI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,7,4,11
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,38,39,1,0,11,12,0,0,51,54,105
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
FILADELFIA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,2,7,9
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,3,0,0,0,3,0,0,10,9,19
MONTERO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PORTACHUELO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,2,1,0,8,19,17,36
SACABA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,3,4,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,2,3,5
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,7
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,1,3,1,0,2,0,0,10,8,18
VILLA MONTES,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COBIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,4,3,7
"COLCHA ""K""",otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,13,5,0,0,1,0,19,16,35
HUANUNI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
MONTERO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
POROMA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,3
RIBERALTA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
ROBORE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
VILLA MONTES,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
VILLAZON,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
BERMEJO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,16,16,6,3,14,20,40,41,81
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,2,1,0,0,1,2,2,1,6,14,20
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
IXIAMAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LA GUARDIA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
LLICA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
OCURI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,3,1,0,0,12,3,15
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
