,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 60 Y MAS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CAQUIAVIRI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,4,5
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,19,17,0,0,2,2,21,22,43
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,11,0,0,0,0,7,13,20
CATACORA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,4
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,2,2,5,3,1,2,17,17,34
CHUMA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
COLPA BELGICA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,2,10,6,16
COLQUECHACA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4
COLQUIRI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,10,0,0,6,4,18,18,36
COMANCHE,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,3,9,12
COROICO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,8,2,10
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,5,2,0,0,0,1,0,0,0,0,0,0,6,3,0,2,10,25,7,3,2,3,0,0,30,39,69
EL TORNO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,2,3,0,0,4,25,29
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,5,2,7
GUAQUI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,3,2,11,10,0,0,2,1,17,20,37
GUAYARAMERIN,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,3,4,7
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUARINA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,1,0,0,1,0,0,0,0,0,0,0,2,1,6,23,6,2,21,26,0,0,0,4,36,57,93
HUATAJATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,0,8,0,17,9,26
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HUMANATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ICHOCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
INQUISIVI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,25,0,0,1,0,8,26,34
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,4,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,64,123,9,9,17,19,10,9,104,166,270
LLICA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,4,5
MECAPACA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,2,4
MOCOMOCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,3,4,0,0,30,23,35,29,64
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,4
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ORURO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,1,0,0,1,1,1,0,6,6,12
PAILON,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,8
PAPEL PAMPA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
PATACAMAYA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,3,6,9
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,13,18,7,0,0,0,0,22,22,44
PUCARANI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,2,4
PUERTO ACOSTA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,8,0,0,5,2,12,11,23
PUERTO CARABUCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,6,6,8,14
QUIME,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,8,0,45,2,0,0,0,0,60,3,63
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,7,12,0,0,8,16,0,2,29,34,63
SABAYA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
SAN MATIAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,18,25,0,0,0,6,26,58,84
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,2,0,0,0,0,7,7,14
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,9,15,0,0,2,0,0,0,4,3,0,0,10,9,2,0,39,52,43,9,27,69,2,0,138,157,295
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,2,5,0,0,1,0,0,0,0,0,1,0,0,2,3,7,9,13,0,0,0,0,16,27,43
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,19,0,0,0,1,12,22,34
TARACO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TINGUIPAYA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,10,15
UMALA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
UNCIA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
VIACHA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,126,144,134,149,283
VILLA MONTES,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,3,2,5
WARNES,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
YACUIBA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,1,3,4,7
YANACACHI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ATOCHA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,7,0,0,0,1,3,11,14
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
"CAIZA ""D""",otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,4,5,4,10,0,0,0,0,30,41,71
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,26,0,0,0,0,19,26,45
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,6,3,9
CHAQUI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,4,4,8
COLQUECHACA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,11,0,0,1,0,11,11,22
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,7,5,12
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,1,6,5,0,0,15,9,24
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,7,0,36,0,0,0,0,0,50,1,51
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,3,0,1,0,0,5,10,15
EL TORNO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,5,7,1,4,17,11,29,37,66
EXALTACION,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5
GAIOC JATUN AYLLU YURA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,3,10,13
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,3,19,0,0,0,0,0,0,7,22,29
GUAYARAMERIN,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,4,0,0,4,5,9
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,2,0,7,3,10
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,3,3,6
LAS CARRERAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LLICA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,4,2,17,21,0,0,8,5,32,34,66
MACHACAMARCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
MONTEAGUDO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,6,0,0,0,0,6,12,18
OCURI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,1,5,6
ORURO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,1,2,2,0,0,12,4,16
PAILON,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,13,16,16,19,35
POCOATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,3
PORCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,3,7
PORTACHUELO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,1,0,0,0,1,2,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,0,5,6,11
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,5,2,15,76,0,0,0,0,25,91,116
PUNA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,3,3,6
RAVELO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,12,2,8,20,29,2,5,0,0,26,57,83
SACACA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,3,5,8
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,1,0,3,2,7,6,13
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,10,0,0,0,0,11,15,26
SAN MATIAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,4,8,0,0,0,0,13,21,34
