,group,variable,month,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,TOTALES,TOTALES,TOTALES
MONTERO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,3
PORONGO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
QUILLACOLLO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,1,5
SAN IGNACIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,6,5,0,0,16,13,29
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,3,3,6
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,7,1,0,0,3,9,13,22
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,5,1,6
UNCIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3,0,0,0,0,0,33,0,33
UYUNI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
WARNES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,8,4,11,9,20
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,9,40,21,1,0,1,1,0,0,47,32,79
EL CHORO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
FILADELFIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,6
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,3,4
PAPEL PAMPA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,6
PORONGO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
RURRENABAQUE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,2,0,0,6,9,15
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,6,8
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
YACUIBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ACHOCALLA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,3
BAURES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,5,0,0,0,0,0,0,4,6,10
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAPINOTA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COBIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,13,26,10,14,5,2,0,0,31,48,79
FILADELFIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,0,0,0,9,8,17
LLALLAGUA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MIZQUE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,4,6
SACABA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,3,5
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,4,1,5
SANTIAGO DE HUARI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,5,4,8,10,7,28,28,56
TINGUIPAYA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,0,0,0,0,4,7,11
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,6,3,9
COLOMI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
COTAGAITA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTOCA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,6,6,24,7,2,0,1,0,35,20,55
FILADELFIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
JESUS DE MACHACA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,3,5,8
PORTACHUELO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7,0,0,0,0,5,8,13
SACABA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,3,3,6
TARATA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,2,0,1,0,0,9,11,20
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,0,0,6,7,13
VILLA MONTES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,2,4
YACUIBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ARQUE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
COCHABAMBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,4,0,0,4,2,14,16,30
COLQUIRI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,8,4,12
CORO CORO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,84,59,36,20,15,13,2,1,142,99,241
EL PUENTE(TJA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL TORNO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
FILADELFIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,2,7,0,0,0,0,6,12,18
LA GUARDIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,5,5
MONTERO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
PADCAYA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
PAILON,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
PORCO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PORTACHUELO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN JAVIER(STC),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,1,0,0,4,5,9
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TAPACARI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,2,4
TIPUANI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,11,7,18
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,3,10,9,19
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
