,group,variable,month,SR 5 A 9 - D,SR 5 A 9 - D,SR 5 A 9 - F,SR 5 A 9 - F,SR 10 AÑOS - D,SR 10 AÑOS - D,SR 10 AÑOS - F,SR 10 AÑOS - F,SR 11 AÑOS - D,SR 11 AÑOS - D,SR 11 AÑOS - F,SR 11 AÑOS - F,SR 12 A 20 - D,SR 12 A 20 - D,SR 12 A 20 - F,SR 12 A 20 - F,SR 21 A 59 - D,SR 21 A 59 - D,SR 21 A 59 - F,SR 21 A 59 - F,SR 60 Y MAS - D,SR 60 Y MAS - D,SR 60 Y MAS - F,SR 60 Y MAS - F,TOTALES,TOTALES,TOTALES
TRINIDAD,otras vacunaciones,sr,2024-01-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
VIACHA,otras vacunaciones,sr,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,6
VILLAZON,otras vacunaciones,sr,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
WARNES,otras vacunaciones,sr,2024-01-01,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
ALTO BENI,otras vacunaciones,sr,2024-02-01,2,5,45,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,37,84
BERMEJO,otras vacunaciones,sr,2024-02-01,9,4,71,81,1,0,15,17,0,0,4,4,0,3,25,25,6,7,29,76,0,0,0,0,160,217,377
CAMIRI,otras vacunaciones,sr,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,176,0,176
CARANAVI,otras vacunaciones,sr,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,5,2,3,0,0,0,0,7,10,17
CATACORA,otras vacunaciones,sr,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,sr,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,3
EL ALTO,otras vacunaciones,sr,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EXALTACION,otras vacunaciones,sr,2024-02-01,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
LA PAZ,otras vacunaciones,sr,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,10,3,2,0,0,0,0,13,14,27
MAPIRI,otras vacunaciones,sr,2024-02-01,1,2,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,29
MONTERO,otras vacunaciones,sr,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,otras vacunaciones,sr,2024-02-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
PUERTO SUAREZ,otras vacunaciones,sr,2024-02-01,1,4,0,2,1,0,0,0,1,0,0,1,0,2,248,0,1,3,20,3,0,0,0,0,272,15,287
SAN IGNACIO,otras vacunaciones,sr,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,4,2,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,7,2,9
ACHACACHI,otras vacunaciones,sr,2024-03-01,1,2,0,0,0,0,0,1,0,0,1,0,2,6,8,15,2,6,6,10,0,0,0,0,20,40,60
ACHOCALLA,otras vacunaciones,sr,2024-03-01,0,0,29,26,0,0,4,5,0,0,3,2,0,0,4,4,0,0,5,7,0,0,0,0,45,44,89
ANCORAIMES,otras vacunaciones,sr,2024-03-01,0,2,23,33,0,0,2,0,0,0,0,2,0,0,2,1,1,1,1,1,0,0,0,0,29,40,69
ARANI,otras vacunaciones,sr,2024-03-01,0,1,0,1,0,0,3,2,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18
ARBIETO,otras vacunaciones,sr,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ATOCHA,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,26,0,0,0,0,6,29,35
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
BATALLAS,otras vacunaciones,sr,2024-03-01,0,0,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,4,0,0,0,0,8,7,15
BERMEJO,otras vacunaciones,sr,2024-03-01,271,272,422,362,35,46,23,27,16,12,16,21,26,19,26,35,47,127,62,136,0,0,0,0,944,1057,2001
BUENA VISTA,otras vacunaciones,sr,2024-03-01,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,10,0,1,0,0,0,0,3,14,17
CABEZAS,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"CAIZA ""D""",otras vacunaciones,sr,2024-03-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CAJUATA,otras vacunaciones,sr,2024-03-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CALAMARCA,otras vacunaciones,sr,2024-03-01,1,0,5,2,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,9,7,16
CAMARGO,otras vacunaciones,sr,2024-03-01,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,1,0,0,0,0,9,23,32
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,0,0,0,0,8,9,17
CARACOLLO,otras vacunaciones,sr,2024-03-01,3,1,0,5,0,0,0,0,1,0,0,0,2,1,0,1,4,10,4,6,0,0,0,0,14,24,38
CARAPARI,otras vacunaciones,sr,2024-03-01,3,7,21,25,2,0,6,3,0,0,4,6,3,5,5,12,7,19,26,54,0,0,0,0,77,131,208
CHACARILLA,otras vacunaciones,sr,2024-03-01,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
CHIMORE,otras vacunaciones,sr,2024-03-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,11,2,3,0,0,0,0,0,0,11,15,26
CHUA COCANI,otras vacunaciones,sr,2024-03-01,0,0,18,22,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,46
COBIJA,otras vacunaciones,sr,2024-03-01,0,0,6,0,2,2,111,82,0,0,3,5,0,0,4,7,0,0,3,18,0,0,0,0,129,114,243
COCHABAMBA,otras vacunaciones,sr,2024-03-01,21,19,23,23,2,4,0,2,2,4,0,0,10,5,11,1,34,100,15,26,0,0,0,0,118,184,302
COLCAPIRHUA,otras vacunaciones,sr,2024-03-01,0,0,8,7,0,1,5,3,0,0,1,0,2,1,4,2,2,6,3,11,0,0,0,0,25,31,56
"COLCHA ""K""",otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,3,0,0,0,0,0,50,0,50
COLOMI,otras vacunaciones,sr,2024-03-01,0,1,8,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,17,27
COLQUECHACA,otras vacunaciones,sr,2024-03-01,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
COLQUENCHA,otras vacunaciones,sr,2024-03-01,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,19
COLQUIRI,otras vacunaciones,sr,2024-03-01,3,2,37,35,0,0,8,3,1,1,7,4,0,0,11,23,1,4,13,31,0,0,0,0,81,103,184
CORQUE,otras vacunaciones,sr,2024-03-01,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,1,0,0,0,0,9,11,20
COTAGAITA,otras vacunaciones,sr,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,0,0,0,0,5,7,12
CULPINA,otras vacunaciones,sr,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,6,4,10
DESAGUADERO,otras vacunaciones,sr,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,1,0,0,0,0,17,1,18
EL ALTO,otras vacunaciones,sr,2024-03-01,162,172,582,664,17,15,101,99,10,10,49,52,37,32,159,162,56,117,203,355,0,0,0,0,1376,1678,3054
EL PUENTE(TJA),otras vacunaciones,sr,2024-03-01,0,0,13,4,0,1,2,3,0,0,2,2,0,0,0,0,7,12,1,3,0,0,0,0,25,25,50
ESCOMA,otras vacunaciones,sr,2024-03-01,1,0,1,3,0,0,1,0,0,0,0,0,1,1,1,0,2,4,4,2,0,0,0,0,11,10,21
ESMERALDA,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
EUCALIPTUS,otras vacunaciones,sr,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,4,5
GUANAY,otras vacunaciones,sr,2024-03-01,0,3,2,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,6,0,0,0,0,8,12,20
HUACHACALLA,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,19,6,0,0,0,0,204,6,210
HUARINA,otras vacunaciones,sr,2024-03-01,0,0,7,10,0,0,2,4,0,0,4,3,0,0,1,6,0,0,3,8,0,0,0,0,17,31,48
HUATAJATA,otras vacunaciones,sr,2024-03-01,1,0,2,1,0,0,2,3,0,0,0,0,1,0,9,19,1,6,22,21,0,0,0,0,38,50,88
HUMANATA,otras vacunaciones,sr,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14,5,0,0,0,0,0,0,15,7,22
ICHOCA,otras vacunaciones,sr,2024-03-01,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
INQUISIVI,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
IXIAMAS,otras vacunaciones,sr,2024-03-01,5,7,14,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,35
JESUS DE MACHACA,otras vacunaciones,sr,2024-03-01,0,2,2,2,0,1,1,0,0,2,0,1,2,2,1,1,3,10,3,2,0,0,0,0,12,23,35
LA PAZ,otras vacunaciones,sr,2024-03-01,73,74,89,83,7,6,8,2,10,8,4,2,45,44,28,37,133,190,37,71,0,0,0,0,434,517,951
LAJA,otras vacunaciones,sr,2024-03-01,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
LAS CARRERAS,otras vacunaciones,sr,2024-03-01,1,1,16,8,0,0,0,2,0,0,2,0,0,0,1,2,1,2,5,8,0,0,0,0,26,23,49
LICOMA PAMPA,otras vacunaciones,sr,2024-03-01,0,0,6,15,0,0,2,0,0,0,5,0,0,0,4,6,0,0,0,1,0,0,0,0,17,22,39
LURIBAY,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,3
MACHACAMARCA,otras vacunaciones,sr,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
MAPIRI,otras vacunaciones,sr,2024-03-01,2,10,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,46
MOCOMOCO,otras vacunaciones,sr,2024-03-01,3,0,8,9,1,1,2,3,0,1,2,3,1,2,0,2,11,6,0,2,0,0,0,0,28,29,57
MOJOCOYA,otras vacunaciones,sr,2024-03-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
MONTERO,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,6,0,0,0,0,2,8,10
MOROCHATA,otras vacunaciones,sr,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OCURI,otras vacunaciones,sr,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,4
ORURO,otras vacunaciones,sr,2024-03-01,22,20,48,48,1,1,4,3,1,3,5,5,6,11,13,12,21,49,11,43,0,0,0,0,132,195,327
PADCAYA,otras vacunaciones,sr,2024-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4
PAILON,otras vacunaciones,sr,2024-03-01,5,8,0,0,0,3,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,6,25,31
PALCA,otras vacunaciones,sr,2024-03-01,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
PALOS BLANCOS,otras vacunaciones,sr,2024-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,3,5
PATACAMAYA,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,3,5,8
POOPO,otras vacunaciones,sr,2024-03-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,1,0,0,0,0,7,7,14
PORVENIR,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,sr,2024-03-01,15,20,78,47,1,3,31,30,0,2,11,2,1,11,36,54,41,52,31,51,0,0,0,0,245,272,517
PRESTO,otras vacunaciones,sr,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUCARANI,otras vacunaciones,sr,2024-03-01,1,0,9,13,0,0,6,1,0,0,0,3,1,1,2,3,0,2,5,8,0,0,0,0,24,31,55
PUERTO ACOSTA,otras vacunaciones,sr,2024-03-01,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,3,0,3,0,0,0,0,4,9,13
PUERTO CARABUCO,otras vacunaciones,sr,2024-03-01,0,2,3,8,0,0,4,2,0,0,1,0,0,0,4,7,0,0,4,3,0,0,0,0,16,22,38
PUERTO SUAREZ,otras vacunaciones,sr,2024-03-01,8,10,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,91,179
PUERTO VILLARROEL,otras vacunaciones,sr,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3
PUNA,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,6
PUNATA,otras vacunaciones,sr,2024-03-01,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
QUILLACOLLO,otras vacunaciones,sr,2024-03-01,3,3,5,7,0,2,0,2,0,1,0,0,2,4,3,2,1,2,2,8,0,0,0,0,16,31,47
QUIME,otras vacunaciones,sr,2024-03-01,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11
RAVELO,otras vacunaciones,sr,2024-03-01,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,7,17,24
RIBERALTA,otras vacunaciones,sr,2024-03-01,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,5
RURRENABAQUE,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,5,7
SABAYA,otras vacunaciones,sr,2024-03-01,0,0,1,1,0,0,1,0,0,0,0,0,0,0,18,12,0,0,16,21,0,0,0,0,36,34,70
SACABA,otras vacunaciones,sr,2024-03-01,5,0,6,1,1,0,1,0,1,1,1,0,1,1,2,0,4,13,2,6,0,0,0,0,24,22,46
SAN ANDRES DE MACHACA,otras vacunaciones,sr,2024-03-01,0,0,3,1,0,0,1,0,0,0,0,0,0,0,2,1,3,8,1,2,0,0,0,0,10,12,22
SAN BENITO,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,3,2,5
SAN BORJA,otras vacunaciones,sr,2024-03-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN JULIAN,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,3,4
SAN LUCAS,otras vacunaciones,sr,2024-03-01,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,7,9,16
SAN PEDRO DE TIQUINA,otras vacunaciones,sr,2024-03-01,3,6,17,14,0,0,9,4,0,2,5,5,1,2,78,1,0,4,12,0,0,0,0,0,125,38,163
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2024-03-01,22,27,92,101,3,1,24,18,1,4,30,30,9,25,21,27,41,159,66,99,0,0,0,0,309,491,800
SANTIAGO DE CALLAPA,otras vacunaciones,sr,2024-03-01,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
SANTIAGO DE HUATA,otras vacunaciones,sr,2024-03-01,0,0,22,20,0,0,2,1,0,0,1,1,0,1,0,1,0,2,0,2,0,0,0,0,25,28,53
SAPAHAQUI,otras vacunaciones,sr,2024-03-01,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,5,6,11
SHINAOTA,otras vacunaciones,sr,2024-03-01,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
SIPE SIPE,otras vacunaciones,sr,2024-03-01,1,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,2,5,0,2,0,0,0,0,6,10,16
SORACACHI,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SORATA,otras vacunaciones,sr,2024-03-01,1,0,23,12,0,0,7,6,0,0,2,3,0,3,5,8,1,7,9,12,0,0,0,0,48,51,99
SUCRE,otras vacunaciones,sr,2024-03-01,3,7,1,1,0,0,0,0,0,0,0,0,1,1,0,0,7,10,3,3,0,0,0,0,15,22,37
TARACO,otras vacunaciones,sr,2024-03-01,0,2,11,11,0,3,2,0,0,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,16,20,36
TARATA,otras vacunaciones,sr,2024-03-01,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,4,9,13
TARIJA,otras vacunaciones,sr,2024-03-01,26,30,68,63,3,3,10,24,1,1,6,13,5,11,40,27,19,50,72,164,0,0,0,0,250,386,636
TIQUIPAYA,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TIRAQUE (CBBA),otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,0,0,0,0,5,4,9
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,sr,2024-03-01,3,4,0,0,2,1,0,0,0,1,0,0,1,3,0,0,2,6,1,2,0,0,0,0,9,17,26
TRIGAL,otras vacunaciones,sr,2024-03-01,1,0,3,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
TRINIDAD,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
TUPIZA,otras vacunaciones,sr,2024-03-01,3,3,8,5,1,0,6,3,0,0,2,2,1,0,0,1,0,7,0,0,0,0,0,0,21,21,42
UMALA,otras vacunaciones,sr,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3
UNCIA,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5
URIONDO (A. CONCEPCION),otras vacunaciones,sr,2024-03-01,0,0,6,5,0,0,0,0,0,0,0,2,2,0,2,0,1,1,3,10,0,0,0,0,14,18,32
UYUNI,otras vacunaciones,sr,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,8
VACAS,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
VIACHA,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,5,10,15
VILLA MONTES,otras vacunaciones,sr,2024-03-01,4,10,17,19,0,0,2,4,1,0,2,1,1,2,56,28,14,30,28,67,0,0,0,0,125,161,286
VILLA NUEVA (LOMA ALTA),otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
VILLA RIVERO,otras vacunaciones,sr,2024-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
VILLA TUNARI,otras vacunaciones,sr,2024-03-01,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,5,11,16
VILLAZON,otras vacunaciones,sr,2024-03-01,7,4,0,0,4,5,0,1,1,1,0,0,13,9,3,4,10,54,11,26,0,0,0,0,49,104,153
VINTO,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
WARNES,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,7,122,52,0,0,0,0,0,0,0,0,125,59,184
YACUIBA,otras vacunaciones,sr,2024-03-01,13,10,203,201,1,1,31,37,1,3,20,25,1,4,49,65,9,22,123,256,0,0,0,0,451,624,1075
YAMPARAEZ,otras vacunaciones,sr,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
ACHACACHI,otras vacunaciones,sr,2024-04-01,0,0,17,17,0,0,0,0,0,0,0,2,0,0,1,3,0,0,10,8,0,0,0,0,28,30,58
ACHOCALLA,otras vacunaciones,sr,2024-04-01,2,3,10,8,0,0,3,0,0,0,0,0,5,2,0,0,3,1,9,5,0,0,0,0,32,19,51
AIQUILE,otras vacunaciones,sr,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ALTO BENI,otras vacunaciones,sr,2024-04-01,2,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
ANCORAIMES,otras vacunaciones,sr,2024-04-01,1,0,7,13,0,0,6,3,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,16,19,35
ANDAMARCA,otras vacunaciones,sr,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
ARQUE,otras vacunaciones,sr,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
