,group,variable,month,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CHIMORE,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,12,7,19
CHUMA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,2,0,0,0,0,0,0,4,4,8
CKOCHAS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
COBIJA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,0,4
COCHABAMBA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,2,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,19,8,0,0,3,2,0,0,25,15,40
COTAGAITA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,2,4
EL ALTO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,5,6,0,0,1,1,0,0,1,1,0,0,10,7,2,1,14,18,3,1,3,0,1,0,40,35,75
ENTRE RIOS CBBA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,2,4
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
GUANAY,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,1,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8,3,11
GUAYARAMERIN,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,7,8,0,0,0,0,28,27,55
HUANUNI,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
IXIAMAS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
LA GUARDIA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,13,15,0,0,0,0,0,0,1,1,0,0,5,10,0,0,46,65,0,0,8,18,0,0,73,109,182
LAGUNILLAS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,11,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,0,17,13,30
LLICA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MOJINETE,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MONTERO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,73,120,182,38,3,8,0,0,0,0,0,0,258,166,424
ORURO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,1,0,0,0,7,6,13
PAILON,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,4,6
PALCA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,4,4,8
PATACAMAYA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,3,4,7
PORCO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
POTOSI,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PRESTO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
PUERTO PEREZ,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
QUIME,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,0,6,10,16
RAVELO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,10,7,17
RIBERALTA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9
SACABA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,10,16,26
SACACA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANDRES,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
SAN BORJA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,3,0,0,0,0,6,4,10
SAN CARLOS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAN IGNACIO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,1,1,0,0,0,1,0,0,3,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,6,5,11
SAN JULIAN,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,8,10,0,0,0,0,32,32,64
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,10,3,13
SAN RAMON BENI,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,8,6,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,26,23,0,1,2,4,0,1,3,1,0,0,2,4,2,2,11,11,3,3,0,1,0,0,49,51,100
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,3,3,9,7,16
TINGUIPAYA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,4
TIRAQUE (CBBA),otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,3,3,6
TORO TORO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
TRINIDAD,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,5,6,0,0,0,0,0,0,0,0,0,0,5,3,0,0,56,65,0,0,4,2,0,0,70,76,146
TUPIZA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,1,0,6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,3,0,0,1,1,15,5,20
UMALA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,1,0,3,5,0,0,2,1,0,0,1,2,2,1,4,3,0,4,6,9,2,3,2,5,23,33,56
UYUNI,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,3,3,6
VITICHI,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
WARNES,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,6,9
YOCALLA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ACACIO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,5
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,11,6,17
ATOCHA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,10,0,0,0,0,5,12,17
BELLA FLOR,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BETANZOS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,4,0,0,0,0,9,5,14
BUENA VISTA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CAQUIAVIRI,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
CARACOLLO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CARANAVI,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,5,4,0,0,0,0,0,0,0,0,2,0,0,5,4,3,9,6,2,0,7,5,29,23,52
CHARAGUA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
CHAYANTA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4,3,7
CKOCHAS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COBIJA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77,1,0,0,2,0,0,0,0,0,79,2,81
COLPA BELGICA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,2,7,9
COMARAPA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
COTAGAITA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,2,6,8
CUEVO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,3,1,5,9,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,18,20,38
CULPINA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,5,6,11
EL CHORO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL PUENTE(STC),otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4
ENTRE RIOS CBBA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
GIA-TIM,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,4,2,6
GUAYARAMERIN,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,3,4
IXIAMAS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
LA PAZ,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,3,0,0,0,8,3,11
LAS CARRERAS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LLALLAGUA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ORURO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
PAMPA GRANDE,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PAPEL PAMPA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,7,4,11
PATACAMAYA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,1,0,0,5,7,12
POCONA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,9,5,14
PORCO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PORVENIR,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
POTOSI,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,13,6,19
PUERTO CARABUCO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,31,24,0,0,0,0,32,28,60
QUIABAYA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,6,3,9
QUIME,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
RAVELO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,5,9
RIBERALTA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,3,4,7
SACABA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SACACA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN BORJA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,1,1,0,0,0,3,1,0,0,7,11,1,0,0,0,1,0,0,0,13,13,26
SAN IGNACIO,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,15,15,15,15,0,0,2,0,0,1,0,1,12,18,2,1,1,1,1,2,0,0,0,0,48,54,102
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,6,7,0,0,0,0,0,0,1,0,2,0,0,1,4,0,0,2,0,0,2,1,15,11,26
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,5
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SOPACHUY,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
