,group,variable,month,INFLUENZA ESTACIONAL 5 A 9 - D,INFLUENZA ESTACIONAL 5 A 9 - D,INFLUENZA ESTACIONAL 5 A 9 - F,INFLUENZA ESTACIONAL 5 A 9 - F,INFLUENZA ESTACIONAL 10 AÑOS - D,INFLUENZA ESTACIONAL 10 AÑOS - D,INFLUENZA ESTACIONAL 10 AÑOS - F,INFLUENZA ESTACIONAL 10 AÑOS - F,INFLUENZA ESTACIONAL 11 AÑOS - D,INFLUENZA ESTACIONAL 11 AÑOS - D,INFLUENZA ESTACIONAL 11 AÑOS - F,INFLUENZA ESTACIONAL 11 AÑOS - F,INFLUENZA ESTACIONAL 12 A 20 - D,INFLUENZA ESTACIONAL 12 A 20 - D,INFLUENZA ESTACIONAL 12 A 20 - F,INFLUENZA ESTACIONAL 12 A 20 - F,INFLUENZA ESTACIONAL 21 A 59 - D,INFLUENZA ESTACIONAL 21 A 59 - D,INFLUENZA ESTACIONAL 21 A 59 - F,INFLUENZA ESTACIONAL 21 A 59 - F,INFLUENZA ESTACIONAL 60 Y MAS - D,INFLUENZA ESTACIONAL 60 Y MAS - D,INFLUENZA ESTACIONAL 60 Y MAS - F,INFLUENZA ESTACIONAL 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CAJUATA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,31,29,46,54,100
CALACOTO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,5,7
CAQUIAVIRI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,9,11,23,20,43
CARACOLLO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,2,0,0,11,13,16,17,33
CATACORA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,14,12,19,31
CHALLAPATA,otras vacunaciones,influenza estacional,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,0,1,10,15,15,22,37
CHIPAYA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHUA COCANI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,9,12,27,22,49
CHUMA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,12,13,25
CKOCHAS,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,11,11,11,22
"COLCHA ""K""",otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
COLPA BELGICA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COLQUIRI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,67,61,71,62,133
COMANCHE,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,12,15,17,32
COROICO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,1,6,8,14
CORQUE,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,3,5,12,5,17
COTAGAITA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COTOCA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,influenza estacional,2024-01-01,65,55,3,4,3,3,0,0,0,1,0,1,41,51,0,2,65,199,4,3,21,15,5,4,207,338,545
EL TORNO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,4
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,3,6
EUCALIPTUS,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
GUAQUI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,25,20,35,42,77
GUAYARAMERIN,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,2,1,0,0,6,12,18
HUANUNI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0,0,0,0,0,7,2,9
HUARINA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,22,18,25,43
HUATAJATA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,70,71,73,80,153
HUAYLLAMARCA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,10
HUMANATA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,8,11,19,28,47
ICHOCA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,7,16
INQUISIVI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,30,25,32,29,61
LA ASUNTA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
LA PAZ,otras vacunaciones,influenza estacional,2024-01-01,9,10,13,20,2,3,2,5,2,1,6,5,26,11,33,65,51,108,34,63,106,74,18,10,302,375,677
LLICA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LURIBAY,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MALLA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5
MECAPACA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,12
MOCOMOCO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,7,16
MONTERO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,5,4,9
OCURI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,14
ORURO,otras vacunaciones,influenza estacional,2024-01-01,2,3,0,0,0,1,0,0,0,1,0,0,3,4,0,0,8,16,0,0,4,1,3,4,20,30,50
PAILON,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
PAPEL PAMPA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,12,9,13,22
PATACAMAYA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,5,8
PAZÑA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4
POCOATA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
POTOSI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,3
PUCARANI,otras vacunaciones,influenza estacional,2024-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,1,2,1,6,5,14,9,27,36
PUERTO ACOSTA,otras vacunaciones,influenza estacional,2024-01-01,0,0,1,0,0,0,0,0,1,0,1,0,6,3,7,6,2,5,12,17,0,2,13,17,43,50,93
PUERTO CARABUCO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,30,20,33,24,57
PUERTO PEREZ,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8
QUIME,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,18,11,29
RAVELO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
RIBERALTA,otras vacunaciones,influenza estacional,2024-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,1,11,10,21
SABAYA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,11,12,20,18,38
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,9
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
SAN MATIAS,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,7,13,17,30
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,5,4,18,11,29
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,7
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,7,7,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,1,0,31,23,54
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,7,10,10,20
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33,40,34,42,76
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,12,9,13,22
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,16,25,28,43,71
SORATA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,7,16
TARACO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
TINGUIPAYA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,2,11,13
TORO TORO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,9,13,10,23
UMALA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,44,41,46,87
UNCIA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
VIACHA,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,11,13,14,27
WARNES,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,3,10
YACO,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,8,16,24
YACUIBA,otras vacunaciones,influenza estacional,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,4,4,20,9,28,37
YANACACHI,otras vacunaciones,influenza estacional,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ACACIO,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,47,18,47,65
ANDAMARCA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
ARAMPAMPA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,8
ATOCHA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
BELEN DE URMIRI,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BETANZOS,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,11,6,23,15,38
BOLPEBRA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"CAIZA ""D""",otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,21,18,27,45
CARACOLLO,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,5,1,1,2,3,9,13,22
CHALLAPATA,otras vacunaciones,influenza estacional,2024-02-01,1,0,1,2,0,0,0,1,0,0,0,0,1,0,1,2,0,0,2,5,2,3,20,34,28,47,75
CHAQUI,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,9
CHOQUE COTA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,4,12
CKOCHAS,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2,5,10,14,24
"COLCHA ""K""",otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,4
COLQUECHACA,otras vacunaciones,influenza estacional,2024-02-01,2,0,1,2,0,0,1,1,0,0,1,0,2,1,38,73,0,4,28,50,0,0,8,10,81,141,222
CORQUE,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,17,10,39,36,75
COTAGAITA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,4
COTOCA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,1,1,9,12,21
EL ALTO,otras vacunaciones,influenza estacional,2024-02-01,0,0,9,9,1,0,10,9,0,0,16,17,8,14,12,14,35,40,13,26,8,12,13,10,125,151,276
EL TORNO,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,2,12,12,24
ESCARA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,6,9,15
GAIOC JATUN AYLLU YURA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,12,5,12,17
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,7
GUAYARAMERIN,otras vacunaciones,influenza estacional,2024-02-01,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,13,3,4,3,3,0,1,13,22,35
HUANUNI,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,8,31,10,33,43
HUAYLLAMARCA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,4,4,8,7,17,14,31
LA PAZ,otras vacunaciones,influenza estacional,2024-02-01,1,2,0,0,0,0,0,0,0,3,0,0,2,2,0,0,9,27,0,0,8,6,0,0,20,40,60
LLICA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,5,7,10,17
MACHACAMARCA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,0,0,2,4,0,0,4,9,9,24,33
MAIRANA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
MONTEAGUDO,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,5,7,12
MONTERO,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
OCURI,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,44,46,57,53,110
ORURO,otras vacunaciones,influenza estacional,2024-02-01,5,4,2,2,2,0,0,0,0,0,0,7,7,5,5,72,24,18,12,28,4,1,4,5,65,142,207
POCOATA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,12,14,12,26
PORTACHUELO,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,1,5
POTOSI,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,3,13,16
PUNA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,29,33,30,38,68
RAVELO,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10
RIBERALTA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,1,1,14,24,38
SACACA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,6,8
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,27,25,31,31,62
SAN BORJA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,4,12,6,18
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,4
SAN MATIAS,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,5,7,12
SAN PABLO DE LIPEZ,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,4,2,6
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,9
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,43,38,43,81
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,23,18,37,32,69
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,16,6,18,13,31
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,4,7,11
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6
SORACACHI,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,20
TARIJA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,3,0,0,0,0,0,0,11,4,15
TINGUIPAYA,otras vacunaciones,influenza estacional,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,10,17,10,27
