,group,variable,month,DT 1RA DOSIS 5 A 9 - D,DT 1RA DOSIS 5 A 9 - D,DT 1RA DOSIS 5 A 9 - F,DT 1RA DOSIS 5 A 9 - F,DT 1RA DOSIS 10 AÑOS - D,DT 1RA DOSIS 10 AÑOS - D,DT 1RA DOSIS 10 AÑOS - F,DT 1RA DOSIS 10 AÑOS - F,DT 1RA DOSIS 11 AÑOS - D,DT 1RA DOSIS 11 AÑOS - D,DT 1RA DOSIS 11 AÑOS - F,DT 1RA DOSIS 11 AÑOS - F,DT 1RA DOSIS 12 A 20 - D,DT 1RA DOSIS 12 A 20 - D,DT 1RA DOSIS 12 A 20 - F,DT 1RA DOSIS 12 A 20 - F,DT 1RA DOSIS 21 A 59 - D,DT 1RA DOSIS 21 A 59 - D,DT 1RA DOSIS 21 A 59 - F,DT 1RA DOSIS 21 A 59 - F,DT 1RA DOSIS 60 Y MAS - D,DT 1RA DOSIS 60 Y MAS - D,DT 1RA DOSIS 60 Y MAS - F,DT 1RA DOSIS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
APOLO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9,0,0,0,0,0,0,1,13,14
ARAMPAMPA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,7,7
ARANI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,1,0,0,0,0,1,0,0,1,0,2,3,0,0,3,1,2,1,0,0,0,0,9,6,15
ARBIETO,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,7,2,9
ARQUE,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,6,6
ASCENCION DE GUARAYOS,otras vacunaciones,dt 1ra dosis,2024-01-01,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
ATOCHA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,3
AUCAPATA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,1,6,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 1ra dosis,2024-01-01,3,1,3,0,0,0,0,0,0,0,2,0,2,3,1,2,0,0,0,1,0,0,0,0,11,7,18
AZURDUY,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
BATALLAS,otras vacunaciones,dt 1ra dosis,2024-01-01,0,1,0,2,0,0,0,0,2,1,0,1,2,9,2,10,10,37,5,8,0,0,0,0,21,69,90
BAURES,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,5,1,6
BELLA FLOR,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BERMEJO,otras vacunaciones,dt 1ra dosis,2024-01-01,3,1,3,1,0,1,0,0,0,0,0,0,2,6,0,0,13,26,0,0,3,1,0,0,24,36,60
BETANZOS,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,4,12,0,3,0,1,0,0,5,21,26
BOLIVAR,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
BOLPEBRA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BOYUIBE,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BUENA VISTA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CABEZAS,otras vacunaciones,dt 1ra dosis,2024-01-01,0,1,0,0,0,0,3,3,0,0,0,3,3,6,66,20,2,7,10,19,1,1,0,2,85,62,147
CAIROMA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
"CAIZA ""D""",otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,11,0,0,0,0,0,0,6,15,21
CAJUATA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,4,2,1,0,0,0,0,3,9,12
CALACOTO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,3,2,5
CALAMARCA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CAMARGO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,4,5,9
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CAMIRI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,8,0,0,0,0,0,0,7,9,16
CAPINOTA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4
CAQUIAVIRI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,7,8
CARACOLLO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,0,0,0,0,0,7,6,13
CARANAVI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,2,4
CARAPARI,otras vacunaciones,dt 1ra dosis,2024-01-01,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,6,14,0,2,0,0,0,0,9,19,28
CARIPUYO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,6,0,0,0,0,0,0,3,11,14
CATACORA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CHACARILLA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,4
CHALLAPATA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,3,14,19,0,6,0,0,0,0,15,35,50
CHAQUI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,5,6
CHARAGUA,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,0,0,0,1,0,0,0,0,2,9,0,3,2,26,10,9,0,1,0,0,15,49,64
CHAYANTA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10,4,9,0,0,0,0,5,21,26
CHIMORE,otras vacunaciones,dt 1ra dosis,2024-01-01,3,3,2,1,1,2,0,0,0,0,0,0,8,9,69,15,7,9,28,9,0,0,0,1,118,49,167
CHIPAYA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CHOQUE COTA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,3,3,0,0,0,0,0,0,5,6,11
CHUMA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,2,6,8
CKOCHAS,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,4,0,2,0,0,0,0,5,11,16
CLIZA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,1,1,2,0,0,0,0,6,5,11
COBIJA,otras vacunaciones,dt 1ra dosis,2024-01-01,3,0,0,0,1,0,0,0,0,1,0,0,17,11,3,1,22,15,1,0,1,0,0,0,48,28,76
COCAPATA,otras vacunaciones,dt 1ra dosis,2024-01-01,1,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,5,4,3,5,0,0,0,0,11,15,26
COCHABAMBA,otras vacunaciones,dt 1ra dosis,2024-01-01,23,28,0,2,5,11,0,0,11,4,0,0,53,58,4,1,84,178,22,16,7,8,0,0,209,306,515
COIPASA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLCAPIRHUA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,3
"COLCHA ""K""",otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,13,11,6,0,0,0,0,0,31,13,44
COLOMI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,1,1,0,0,1,0,1,0,1,5,20,3,1,9,19,4,0,0,0,0,0,22,44,66
COLPA BELGICA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,1,0,0,0,0,1,8,9
COLQUECHACA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,3,6,1,4,0,0,0,0,5,16,21
COLQUENCHA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,4,0,0,0,0,0,0,7,6,13
COLQUIRI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4,0,0,0,0,1,11,12
COMARAPA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
COMBAYA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CONCEPCION,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,12,0,3,0,0,0,0,3,24,27
CORIPATA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,4,4,0,0,0,1,7,6,13
CORO CORO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
COROICO,otras vacunaciones,dt 1ra dosis,2024-01-01,1,1,0,0,1,0,0,0,1,1,0,0,3,5,0,1,7,22,1,2,0,0,0,0,14,32,46
CORQUE,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,4,3,7
COTAGAITA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,7,0,0,0,0,0,0,4,12,16
CUATRO CAÑADAS,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,1,0,0,0,0,1,7,8
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CUEVO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,1,0,0,0,1,4,6,10
CULPINA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
EL ALTO,otras vacunaciones,dt 1ra dosis,2024-01-01,13,9,6,16,5,17,1,3,4,7,1,4,54,124,12,19,131,443,90,99,1,2,0,0,318,743,1061
EL CHORO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL PUENTE(STC),otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,1,2,0,0,1,0,0,0,5,3,0,1,7,3,4,2,0,1,0,0,19,12,31
EL PUENTE(TJA),otras vacunaciones,dt 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,6,2,2,0,1,0,0,12,12,24
EL TORNO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,3,2,5
EL VILLAR,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
ENTRE RIOS TRJ,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,8,10,0,0,0,0,0,0,13,11,24
ENTRE RIOS CBBA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,1,0,1,0,1,1,1,0,0,21,25,3,7,15,34,21,11,0,0,0,0,61,81,142
ESCOMA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,5,5
ESMERALDA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EUCALIPTUS,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,5,0,1,0,0,0,0,1,9,10
EXALTACION,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
GAIOC JATUN AYLLU YURA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
GENERAL SAAVEDRA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,1,10,0,0,1,0,0,0,5,14,19
GIA-TIM,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
GUANAY,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,4,4,3,3,0,0,0,0,10,11,21
GUAQUI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,3,6,7,2,6,1,0,0,0,19,17,36
GUAYARAMERIN,otras vacunaciones,dt 1ra dosis,2024-01-01,4,2,5,3,3,1,1,1,0,1,0,2,2,19,8,3,10,23,6,6,0,0,1,1,40,62,102
HUACARETA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,5,0,0,1,0,0,0,9,6,15
HUARINA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2
HUAYLLAMARCA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,0,0,0,0,3,6,9
HUMANATA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ICHOCA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ICLA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,3,4
INCAHUASI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5,1,3,0,0,0,0,3,10,13
INQUISIVI,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
IXIAMAS,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,3,3,0,0,0,0,2,0,0,2,1,2,3,4,10,10,2,3,0,0,0,0,21,24,45
JESUS DE MACHACA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,5,5
LA ASUNTA,otras vacunaciones,dt 1ra dosis,2024-01-01,1,7,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,13,0,0,0,0,0,0,5,23,28
LA PAZ,otras vacunaciones,dt 1ra dosis,2024-01-01,50,67,0,1,6,8,0,0,7,2,2,0,69,39,1,0,223,374,13,11,11,9,1,0,383,511,894
LAGUNILLAS,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
LAJA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8,0,2,0,0,0,0,2,11,13
LLALLAGUA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,2,0,1,0,0,0,0,6,4,10
LLICA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,4,1,5
LORETO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,2,0,0,1,1,0,0,6,4,10
MACHARETI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,3,5
MAGDALENA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,5,2,0,0,0,0,8,5,13
MAIRANA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,5
MAPIRI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,5,0,1,0,0,0,0,6,15,21
MECAPACA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,2,0,0,0,0,5,14,19
MINEROS,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,4,7,11
MIZQUE,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0,0,0,4,5,9
MOCOMOCO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,4
MOJINETE,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MOJOCOYA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,2,6,8
MONTEAGUDO,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,4,6,10
MONTERO,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,2,5,0,0,0,1,0,0,4,2,6,25,7,3,13,53,34,9,1,4,0,0,68,102,170
MORO MORO,otras vacunaciones,dt 1ra dosis,2024-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
MOROCHATA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NAZACARA DE PACAJES,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,5
OCURI,otras vacunaciones,dt 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,8,0,1,0,0,0,0,1,14,15
OMEREQUE,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ORURO,otras vacunaciones,dt 1ra dosis,2024-01-01,4,5,0,3,2,1,0,1,2,3,2,0,23,50,22,15,66,200,12,16,1,2,0,0,134,296,430
PADCAYA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,12,0,0,0,1,0,0,3,15,18
PAILON,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,4,0,0,0,0,0,0,0,0,5,7,12
PALOS BLANCOS,otras vacunaciones,dt 1ra dosis,2024-01-01,1,1,0,0,0,1,0,0,0,1,0,0,1,5,0,1,3,5,3,2,1,0,0,0,9,16,25
PAMPA AULLAGAS,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
