,group,variable,month,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - F,COVID-19 DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
ANDAMARCA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,4,1,5
ANTEQUERA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,3,3,6
APOLO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,6,9,20,24,0,0,13,17,41,54,95
ARAMPAMPA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,8,6,14
ARANI,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,2,1,3,0,0,0,0,0,2,0,1,4,6,4,1,17,16,71,7,3,1,5,1,106,40,146
ARBIETO,otras vacunaciones,covid-19 dosis unica,2024-01-01,6,1,0,0,0,0,0,0,0,0,0,0,13,3,0,1,15,7,0,0,9,3,1,0,44,15,59
ARQUE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,1,2,0,0,2,0,0,0,2,1,3,1,6,5,4,4,9,2,1,0,7,12,35,27,62
ATOCHA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,12,15,27,0,0,1,2,24,43,67
AUCAPATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,5,2,7
AYATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,5,7,0,0,0,0,0,0,0,1,0,2,1,2,5,2,11,14,4,3,15,11,41,42,83
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
AZURDUY,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,5,9,10,15,7,6,6,6,33,43,76
BATALLAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,11,6,1,0,2,0,1,1,1,1,0,0,17,9,26
BAURES,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,0,0,5,4,9
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,3,3,6
BERMEJO,otras vacunaciones,covid-19 dosis unica,2024-01-01,6,10,10,7,2,6,0,1,2,3,0,2,5,9,42,11,110,89,35,33,32,29,11,18,255,218,473
BETANZOS,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,7,3,2,6,5,10,19,29
BOLIVAR,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,9,0,0,3,2,6,14,20
BOYUIBE,otras vacunaciones,covid-19 dosis unica,2024-01-01,4,2,17,8,0,1,1,0,0,0,0,0,28,0,1,1,2,2,1,3,0,1,2,4,56,22,78
CABEZAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,3,0,0,1,3,0,0,7,8,15
"CAIZA ""D""",otras vacunaciones,covid-19 dosis unica,2024-01-01,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5
CAJUATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,11,1,0,18,10,0,0,1,0,32,23,55
CALACOTO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,6,3,13,5,18
CALAMARCA,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,0,0,1,1,0,0,0,0,0,0,0,1,5,1,4,0,0,0,1,0,0,0,12,4,16
CAMARGO,otras vacunaciones,covid-19 dosis unica,2024-01-01,3,3,0,0,1,0,0,0,0,1,0,1,1,2,2,2,16,24,54,3,13,13,8,2,98,51,149
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,0,2,5,7
CAMIRI,otras vacunaciones,covid-19 dosis unica,2024-01-01,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
CAPINOTA,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,3,3,0,0,1,3,0,0,0,0,8,4,0,0,34,21,10,5,0,2,3,1,60,40,100
CARACOLLO,otras vacunaciones,covid-19 dosis unica,2024-01-01,5,5,0,0,0,0,0,0,0,0,0,0,6,2,0,0,4,14,0,0,3,2,1,1,19,24,43
CARANAVI,otras vacunaciones,covid-19 dosis unica,2024-01-01,7,6,0,0,0,0,0,0,0,0,0,0,15,17,0,0,16,31,0,0,3,2,0,0,41,56,97
CARAPARI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,4,0,0,0,0,9,12,21
CARIPUYO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,5,1,2,0,0,0,0,7,8,15
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis unica,2024-01-01,22,17,0,0,3,5,0,0,2,1,0,0,9,6,1,3,14,14,0,0,3,1,0,0,54,47,101
CHACARILLA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,6,4,0,2,1,0,0,1,11,9,20
CHALLAPATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,16,0,0,0,1,0,0,29,18,47
CHAQUI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,1,0,4,6,1,2,8,13,16,29
CHARAGUA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,7,10,8,3,24,26,0,0,45,42,87
CHARAÑA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,70,53,0,0,19,23,107,93,200
CHIMORE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,2,9,0,1,0,0,0,0,0,0,4,0,102,12,2,1,35,18,0,0,6,3,151,44,195
CHOQUE COTA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,5,0,1,0,0,0,0,2,8,10
CHUA COCANI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,24,59,0,0,0,0,32,69,101
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,3,6,1,1,2,0,1,0,0,0,3,7,3,3,20,24,19,30,2,1,9,6,64,79,143
CHUMA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,5,5,9,14
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,1,5,0,5,0,3,5,3,2,2,1,1,2,20,12,32
CKOCHAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,1,4,2,1,0,0,0,0,1,0,0,4,5,2,11,2,2,7,5,19,16,39,43,82
CLIZA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,2,2,2,1,0,0,0,0,0,0,0,9,8,3,6,10,12,12,20,7,7,9,8,55,65,120
COBIJA,otras vacunaciones,covid-19 dosis unica,2024-01-01,4,1,0,0,1,0,0,0,0,0,0,0,17,0,32,1,6,6,34,12,0,1,4,1,98,22,120
COCAPATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
COCHABAMBA,otras vacunaciones,covid-19 dosis unica,2024-01-01,178,197,80,100,24,24,16,17,17,24,19,28,464,454,178,198,1049,1290,665,510,1107,1053,288,346,4085,4241,8326
COLCAPIRHUA,otras vacunaciones,covid-19 dosis unica,2024-01-01,21,21,0,0,0,5,0,0,1,0,0,0,13,16,10,16,42,53,38,57,10,22,12,17,147,207,354
"COLCHA ""K""",otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,13,12,9,0,0,0,0,0,27,14,41
COLLANA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,1,1,1,0,0,0,0,0,0,0,0,2,3,1,1,6,5,2,4,1,3,1,0,16,18,34
COLOMI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,3,2,0,0,1,0,0,0,1,1,3,1,55,1,3,0,5,3,0,1,1,4,72,13,85
COLPA BELGICA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,7,0,0,1,1,0,0,5,13,18
COLQUECHACA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COLQUENCHA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,1,4,5,0,0,0,1,0,0,7,13,20
COLQUIRI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,0,0,7,5,4,2,2,0,2,17,16,33
COMARAPA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,3,0,0,0,0,0,0,1,1,0,0,1,3,0,0,12,10,0,0,5,5,0,0,21,22,43
COMBAYA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,1,2,0,0,1,0,0,0,0,0,0,0,5,6,0,0,10,13,0,0,9,14,26,35,61
CONCEPCION,otras vacunaciones,covid-19 dosis unica,2024-01-01,14,8,1,0,0,1,0,0,3,2,0,0,4,7,0,0,19,20,0,1,13,11,3,3,57,53,110
CORIPATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,3,2,0,0,0,1,0,0,0,0,0,0,4,2,0,2,4,4,10,12,1,3,3,7,25,33,58
CORO CORO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,2,2,1,0,0,7,6,13
COROICO,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,7,0,3,3,1,0,0,1,1,2,0,10,7,4,2,25,40,8,4,13,10,3,1,71,76,147
CORQUE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,0,2,4,6
COTAGAITA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,10,0,0,19,11,28,23,51
COTOCA,otras vacunaciones,covid-19 dosis unica,2024-01-01,9,6,0,0,0,3,0,0,1,1,0,0,28,17,0,0,206,168,2,5,57,35,3,0,306,235,541
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,5,0,0,0,0,6,6,12
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,8,6,3,0,4,1,0,0,18,9,27
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,1,1,3,0,1,0,0,4,12,16
CULPINA,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,22,0,0,7,7,0,0,20,29,49
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,7,5,0,0,0,1,22,6,28
CURVA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,4,4,0,0,0,1,0,0,1,1,1,1,0,0,2,2,1,3,0,0,5,6,14,18,32
DESAGUADERO,otras vacunaciones,covid-19 dosis unica,2024-01-01,6,1,8,6,1,2,1,2,0,1,1,0,0,2,5,2,8,6,10,17,1,3,3,8,44,50,94
EL ALTO,otras vacunaciones,covid-19 dosis unica,2024-01-01,92,108,12,15,15,11,4,3,47,81,116,13,290,149,96,96,558,706,466,401,205,134,139,65,2040,1782,3822
EL CHORO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,8,13,0,0,3,1,14,15,29
EL PUENTE(STC),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,18,0,0,6,2,0,0,11,22,33
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,12,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,20,34,36,39,75
EL TORNO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,141,0,0,0,0,0,0,108,141,249
EL VILLAR,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,16,28,0,3,4,3,7,2,31,40,71
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,0,6,7,0,0,0,1,0,0,0,1,18,3,2,6,6,2,7,12,2,0,3,2,45,34,79
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis unica,2024-01-01,3,3,4,8,1,0,0,0,0,1,0,0,36,3,0,2,21,14,12,6,1,0,1,0,79,37,116
ESCOMA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,1,6,0,0,3,1,0,0,7,14,21
ESMERALDA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,10,0,0,2,3,0,0,11,13,24
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,7,7,14
EXALTACION,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,0,9,6,0,0,4,4,0,0,1,0,2,1,4,8,1,3,15,14,0,1,4,2,41,39,80
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,49,43,0,0,0,0,53,52,105
FILADELFIA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,1,5,6
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,3,7
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis unica,2024-01-01,8,9,4,2,2,0,1,0,0,1,2,1,1,2,2,0,11,24,1,1,2,4,3,3,37,47,84
GIA-TIM,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,6,2,2,1,4,6,7,13,3,2,2,2,25,27,52
GUANAY,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,1,6,9,54,46,3,0,0,5,0,3,0,3,1,8,2,3,2,9,4,4,72,91,163
GUAQUI,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,1,2,1,0,1,0,0,0,1,0,0,33,4,1,0,14,10,6,6,6,7,2,2,66,33,99
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2024-01-01,5,6,0,0,1,0,0,0,0,0,0,0,1,2,0,0,11,18,7,4,1,1,1,2,27,33,60
GUTIERREZ,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,4,2,6
HUACARETA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,15,5,9,3,6,1,4,17,36,53
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,16,1,2,2,1,1,4,14,26,40
HUACHACALLA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,5
HUANUNI,otras vacunaciones,covid-19 dosis unica,2024-01-01,6,8,0,0,0,0,0,0,2,0,0,0,8,7,1,0,11,20,5,0,1,3,1,0,35,38,73
HUARINA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,5,2,1,1,2,0,0,0,1,0,0,2,5,4,5,6,9,7,4,0,0,2,3,26,35,61
HUATAJATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,2,0,0,1,0,9,4,13
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,1,0,3,4,7
ICHOCA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,10,18
ICLA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,1,0,0,0,12,9,21
INCAHUASI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,4,0,1,2,2,4,15,19
INQUISIVI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,1,0,7,9,3,4,4,0,0,16,19,35
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,3,14,10,1,0,1,3,0,1,0,0,4,4,5,2,3,9,26,22,8,7,23,24,85,85,170
IXIAMAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,8,3,0,2,1,2,1,8,16,24
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,6,7,0,0,1,0,0,0,0,0,0,0,8,6,6,7,9,19,9,15,8,9,47,63,110
LA ASUNTA,otras vacunaciones,covid-19 dosis unica,2024-01-01,6,1,3,4,0,0,1,1,0,0,0,2,13,7,2,5,18,15,6,9,7,11,0,1,56,56,112
LA GUARDIA,otras vacunaciones,covid-19 dosis unica,2024-01-01,19,15,0,0,1,1,0,0,2,1,0,0,20,27,0,0,75,84,0,0,0,0,0,0,117,128,245
LA PAZ,otras vacunaciones,covid-19 dosis unica,2024-01-01,423,487,58,57,57,40,10,13,54,44,15,7,389,323,122,109,1545,2237,2048,1145,891,714,355,235,5967,5411,11378
LAJA,otras vacunaciones,covid-19 dosis unica,2024-01-01,7,13,23,14,1,2,3,5,0,0,5,3,12,14,19,25,14,15,23,53,5,5,34,52,146,201,347
LICOMA PAMPA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,5,2,0,0,0,0,10,10,20
LLALLAGUA,otras vacunaciones,covid-19 dosis unica,2024-01-01,5,8,25,29,1,0,3,5,0,4,1,3,45,33,52,47,30,32,25,36,10,6,8,12,205,215,420
LLICA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,0,0,1,0,9,6,15
LURIBAY,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,0,0,2,7,9
MACHACAMARCA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,4,0,0,1,0,0,0,10,5,15
MACHARETI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,2,5,0,0,1,0,0,0,1,0,5,6,3,2,24,24,8,20,3,3,2,6,49,66,115
MAGDALENA,otras vacunaciones,covid-19 dosis unica,2024-01-01,17,28,0,0,0,2,0,0,0,1,0,0,0,0,0,0,11,21,0,0,2,5,0,0,30,57,87
MAIRANA,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,5,6,0,0,7,2,0,0,17,11,28
MAPIRI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,77,13,0,0,0,0,0,0,80,15,95
MECAPACA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,4,4,6,7,0,0,14,18,32
MINEROS,otras vacunaciones,covid-19 dosis unica,2024-01-01,6,2,0,0,0,0,0,0,1,1,0,0,6,18,1,3,51,91,24,17,44,33,20,2,153,167,320
MIZQUE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,9,4,5,2,1,2,5,13,24,37
MOCOMOCO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,2,0,0,2,2,4,11,15
MOJOCOYA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,1,0,0,0,5,6,11
MONTEAGUDO,otras vacunaciones,covid-19 dosis unica,2024-01-01,19,21,0,0,0,3,0,0,2,5,0,0,11,12,0,0,81,111,0,0,65,57,6,5,184,214,398
MONTERO,otras vacunaciones,covid-19 dosis unica,2024-01-01,8,4,0,0,0,0,0,0,0,0,0,0,51,30,0,0,107,94,26,46,32,30,0,0,224,204,428
MOROCHATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,5,5,10,7,0,0,2,1,0,0,0,0,9,3,1,0,2,4,8,2,0,0,0,0,37,22,59
