,group,variable,month,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 5 A 9 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 5 A 9 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 5 A 9 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 5 A 9 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 10 AÑOS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 10 AÑOS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 10 AÑOS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 10 AÑOS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 11 AÑOS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 11 AÑOS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 11 AÑOS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 11 AÑOS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 12 A 20 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 12 A 20 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 12 A 20 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 12 A 20 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 21 A 59 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 21 A 59 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 21 A 59 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 21 A 59 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 60 Y MAS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 60 Y MAS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 60 Y MAS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 60 Y MAS - F,TOTALES,TOTALES,TOTALES
BOLIVAR,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,2,8,10
CABEZAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"CAIZA ""D""",otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CALAMARCA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMARGO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CAMIRI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARANAVI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CATACORA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHALLAPATA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CHARAÑA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHUA COCANI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
CKOCHAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,1,4,5,9
COBIJA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,55,76,0,0,0,0,62,100,162
COLCAPIRHUA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,7,3,10
COLOMI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
COLQUENCHA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CONCEPCION,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CORO CORO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COROICO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CORQUE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTOCA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,2,4,6
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CUEVO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
EL ALTO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38,9,25,0,0,0,1,34,64,98
EL PUENTE(STC),otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL TORNO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
FILADELFIA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUANUNI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
INQUISIVI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
IXIAMAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
JESUS DE MACHACA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA ASUNTA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA GUARDIA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,5,7,12
LA PAZ,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,51,1,1,1,0,0,0,26,53,79
LAGUNILLAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LICOMA PAMPA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,4,6,10
OMEREQUE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,34,0,0,0,0,0,0,18,34,52
PADILLA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
PAILON,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAMPA GRANDE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PATACAMAYA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
PAZÑA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POCOATA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
POCONA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POJO (CBBA),otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POOPO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
POTOSI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,0,0,0,0,9,20,29
PRESTO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
QUILLACOLLO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1,0,0,0,0,3,8,11
RIBERALTA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ROBORE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,1,0,0,0,0,8,11,19
SACABAMBA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SAN ANDRES DE MACHACA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN BENITO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN BUENA VENTURA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JAVIER(STC),otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,6
SAN JULIAN,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
SAN LUCAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
SAN MATIAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE CURAHUARA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN PEDRO DE MACHA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,107,0,0,0,0,0,0,26,107,133
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SANTIVAÑES,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SANTUARIO DE QUILLACAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAPAHAQUI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SENA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SHINAOTA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SIPE SIPE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
SORACACHI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SORATA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,3,5
SUCRE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,18,1,8,0,0,0,0,5,27,32
TACOPAYA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TARATA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,36,0,1,0,0,0,0,13,37,50
TARVITA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TEOPONTE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
TIAHUANACU,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,2,0,0,0,5,8,13
TIQUIPAYA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,7,9,16
TIRAQUE (CBBA),otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TOLATA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
TOLEDO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
TOTORA(CBBA),otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
UYUNI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VACAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VALLEGRANDE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
VIACHA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
VILLA MONTES,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
VILLA RIVERO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,6,6
VILLA TUNARI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,0,0,0,0,2,8,10
VILLAZON,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,0,0,0,0,4,6,10
WARNES,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
YACUIBA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,3,3,6
YANACACHI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
YOTALA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
AIQUILE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
ANDAMARCA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
