,group,variable,month,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - F,COVID-19 DOSIS ANUAL 60 Y MAS - F,TOTALES,TOTALES,TOTALES
ATOCHA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,3,1,0,0,0,1,0,0,0,1,0,0,1,5,1,0,78,28,0,0,2,1,85,37,122
AZURDUY,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,22,17,23,40
BERMEJO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,0,19,17,10,8,19,17,0,0,77,42,119
BETANZOS,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,1,0,5,4,9
BOYUIBE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,16,21,1,1,14,18,1,3,35,46,81
CABEZAS,otras vacunaciones,covid-19 dosis anual,2024-01-01,3,2,0,0,0,0,0,0,1,1,0,0,3,3,0,0,5,1,0,0,0,0,0,0,12,7,19
"CAIZA ""D""",otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,4
CAJUATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,2,4,6
CALACOTO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,2,6
CAMARGO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,4,4,6,2,1,0,3,11,14,25
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2,1,1,0,2,5,14,19
CAMIRI,otras vacunaciones,covid-19 dosis anual,2024-01-01,3,2,0,0,0,0,0,0,1,0,0,0,6,4,0,0,67,36,0,0,24,18,0,0,101,60,161
CAQUIAVIRI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARACOLLO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,3,2,5
CARAPARI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,3,5,0,0,1,2,0,0,10,9,19
CARIPUYO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,4,10,0,0,2,2,0,1,8,19,27
CHACARILLA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,5,7
CHARAGUA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CHIMORE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55,3,3,5,10,0,1,0,0,0,70,9,79
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,5,10,13,19,8,5,15,3,45,45,90
CHUMA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,3,4
CLIZA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,6,5,2,4,7,9,3,2,22,24,46
COBIJA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,19,2,0,8,6,0,0,22,25,47
COCHABAMBA,otras vacunaciones,covid-19 dosis anual,2024-01-01,3,2,0,0,0,2,0,0,0,0,0,0,35,23,110,111,92,97,497,508,121,105,381,323,1239,1171,2410
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,27,42,0,0,28,19,0,0,62,70,132
"COLCHA ""K""",otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,20,10,1,3,0,1,2,2,32,19,51
COLLANA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,5,0,0,0,0,0,0,5,6,11
COLOMI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,3,1,4,0,0,0,0,0,60,2,62
COLQUENCHA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
COLQUIRI,otras vacunaciones,covid-19 dosis anual,2024-01-01,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
COMARAPA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,2,9,8,17
CONCEPCION,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,16,25,0,0,12,10,0,0,33,39,72
CORIPATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,2,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,4,0,0,0,0,0,0,6,7,13
CORO CORO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,1,0,0,1,0,0,0,0,1,4,0,16,2,3,2,9,5,3,0,1,1,37,12,49
COTAGAITA,otras vacunaciones,covid-19 dosis anual,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,3,7,4,6,1,5,1,3,13,23,36
COTOCA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,6,7
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,14,10,1,0,0,2,19,15,34
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,9,4,0,0,1,0,27,5,32
DESAGUADERO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,8,3,0,2,1,4,5,8,1,2,22,18,37,38,75
EL ALTO,otras vacunaciones,covid-19 dosis anual,2024-01-01,5,6,5,3,0,0,0,2,0,2,2,0,115,84,14,10,357,395,97,69,278,169,25,28,898,768,1666
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,3,0,0,1,0,14,4,18
EL TORNO,otras vacunaciones,covid-19 dosis anual,2024-01-01,1,4,0,0,1,0,0,0,0,0,0,4,4,0,0,8,78,95,2,2,1,0,0,0,87,113,200
EL VILLAR,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,12,0,0,8,5,0,0,14,18,32
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,47,18,10,4,5,2,10,3,85,28,113
ESCOMA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,2,4,6
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
EXALTACION,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,2,12,8,1,1,4,4,22,19,41
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,3,6,6,11,17
GIA-TIM,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
GUAQUI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,1,0,4,3,7
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,11,28,17,2,3,5,2,0,0,37,36,73
HUACARETA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,3,4,6,8,14
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,4
HUACHACALLA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUANUNI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,4,2,6
HUARINA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,3,2,0,1,1,0,0,3,6,11,17
HUATAJATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
HUMANATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,8
ICHOCA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,2,1,0,0,8,6,14
INQUISIVI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,5,1,9,4,6,1,23,8,31
IXIAMAS,otras vacunaciones,covid-19 dosis anual,2024-01-01,5,9,0,0,0,0,0,0,2,0,0,0,4,12,0,0,14,42,0,0,5,5,0,0,30,68,98
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,2,3,5
LA ASUNTA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,4,0,0,0,1,0,0,8,7,15
LA GUARDIA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,1,215,163,32,7,118,66,5,2,384,257,641
LA PAZ,otras vacunaciones,covid-19 dosis anual,2024-01-01,19,42,0,0,7,6,0,0,5,3,0,0,201,196,110,130,1027,1685,844,844,728,707,496,333,3437,3946,7383
LAGUNILLAS,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,7,8,0,0,18,18,36
LAJA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,0,2,0,1,1,2,3,11,14
LLALLAGUA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,17,18,19,33,26,21,22,26,27,11,4,3,115,112,227
MACHARETI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,4,3,3,2,13,10,23
MAPIRI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,5,3,8
MECAPACA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
MINEROS,otras vacunaciones,covid-19 dosis anual,2024-01-01,4,4,0,0,1,0,0,0,1,0,0,0,2,1,0,0,5,3,0,0,4,3,0,0,17,11,28
MIZQUE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MOCOMOCO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
MOJINETE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2
MONTERO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,28,26,0,5,22,21,0,0,56,54,110
MOROCHATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,6,3,0,4,8,13,21
OCURI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,4,1,7,5,12
OMEREQUE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,7,7
ORURO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,107,68,6,15,390,309,55,29,308,218,36,8,902,649,1551
PADILLA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,15,21,43,16,14,13,12,11,87,71,158
PALCA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,2,4
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,14,18,0,0,0,0,0,0,0,0,0,1,0,1,0,23,25,10,1,1,11,9,51,63,114
PAPEL PAMPA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1,0,0,0,0,3,8,11
PATACAMAYA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,8,0,0,2,2,15,10,25
PELECHUCO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,4
POCOATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,1,1,6,16,9,25,34
POJO (CBBA),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,4,2,6
PORONGO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,16,10,0,0,19,13,32
POTOSI,otras vacunaciones,covid-19 dosis anual,2024-01-01,7,6,0,0,1,0,0,0,2,1,0,0,47,39,0,0,116,139,24,13,125,71,3,7,325,276,601
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,4,2,6
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,2,0,0,0,0,23,2,25
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
PUERTO QUIJARRO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,8,0,0,3,1,0,0,11,9,20
PUERTO SUAREZ,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,37,28,75,16,0,0,0,0,125,49,174
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,3,1,3,1,1,0,0,14,7,21
PUNA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
PUNATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,18,14,34,26,15,9,4,4,75,58,133
QUILLACOLLO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,28,19,8,10,97,114,60,83,88,61,22,20,303,307,610
QUIME,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,2,4,6
RAVELO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,9,14,12,19,31
RIBERALTA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,31,29,0,0,9,4,0,0,46,34,80
ROBORE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,2,6
RURRENABAQUE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,1,1,0,0,3,5,8
SACABA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,37,26,31,40,81,128,176,171,64,59,104,92,493,516,1009
SAN ANDRES,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,8,22,0,0,0,0,28,37,65
SAN BENITO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,8,7,15
SAN BORJA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,3,2,0,0,6,5,11
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN CARLOS,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,2,1,0,0,6,3,9
SAN IGNACIO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,10,0,0,0,0,0,0,4,12,16
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,12,7,0,0,3,6,0,0,17,20,37
SAN JULIAN,otras vacunaciones,covid-19 dosis anual,2024-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,20,17,5,3,2,2,0,0,30,23,53
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,10,14,0,0,2,1,0,0,16,18,34
SAN PEDRO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,1,5,6
SAN PEDRO(PND),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3,2,5
SANTA ANA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,4,0,0,3,4,2,2,11,11,22
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis anual,2024-01-01,15,16,0,0,0,0,0,0,3,1,0,0,260,270,65,38,1700,1751,794,153,849,610,49,43,3735,2882,6617
SANTA ROSA,otras vacunaciones,covid-19 dosis anual,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,4,0,0,3,4,0,0,11,11,22
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 dosis anual,2024-01-01,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,0,0,0,0,0,0,8,5,13
