,group,variable,month,DT 2DA DOSIS 5 A 9 - D,DT 2DA DOSIS 5 A 9 - D,DT 2DA DOSIS 5 A 9 - F,DT 2DA DOSIS 5 A 9 - F,DT 2DA DOSIS 10 AÑOS - D,DT 2DA DOSIS 10 AÑOS - D,DT 2DA DOSIS 10 AÑOS - F,DT 2DA DOSIS 10 AÑOS - F,DT 2DA DOSIS 11 AÑOS - D,DT 2DA DOSIS 11 AÑOS - D,DT 2DA DOSIS 11 AÑOS - F,DT 2DA DOSIS 11 AÑOS - F,DT 2DA DOSIS 12 A 20 - D,DT 2DA DOSIS 12 A 20 - D,DT 2DA DOSIS 12 A 20 - F,DT 2DA DOSIS 12 A 20 - F,DT 2DA DOSIS 21 A 59 - D,DT 2DA DOSIS 21 A 59 - D,DT 2DA DOSIS 21 A 59 - F,DT 2DA DOSIS 21 A 59 - F,DT 2DA DOSIS 60 Y MAS - D,DT 2DA DOSIS 60 Y MAS - D,DT 2DA DOSIS 60 Y MAS - F,DT 2DA DOSIS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
ARQUE,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,1,0,2,0,0,0,0,3,7,10
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da dosis,2024-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ATOCHA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,10,1,4,0,0,0,0,4,15,19
AUCAPATA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 2da dosis,2024-01-01,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,8
AZURDUY,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BATALLAS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,1,1,0,0,1,0,0,0,0,0,0,5,0,2,0,15,0,1,0,0,0,0,2,24,26
BAURES,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,4,0,0,0,0,0,0,4,6,10
BELLA FLOR,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
BERMEJO,otras vacunaciones,dt 2da dosis,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,19,0,0,1,0,0,0,9,22,31
BETANZOS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
BOLIVAR,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,6
BOLPEBRA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3
BOYUIBE,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,4,5
BUENA VISTA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CABEZAS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,1,0,1,1,1,13,12,4,6,16,17,0,1,0,1,35,40,75
"CAIZA ""D""",otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,1,0,0,0,0,2,8,10
CAJUATA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,7,8
CALACOTO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,4
CALAMARCA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMARGO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMIRI,otras vacunaciones,dt 2da dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,3,0,0,0,0,0,0,7,5,12
CAPINOTA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,3
CAQUIAVIRI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
CARACOLLO,otras vacunaciones,dt 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,7,0,0,0,0,0,0,3,9,12
CARANAVI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CARAPARI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,4,5
CARIPUYO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,1,6,7
CHALLAPATA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,13,9,3,6,0,0,0,0,17,18,35
CHARAGUA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,2,2,3,2,2,0,0,0,0,9,10,19
CHAYANTA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,4,0,0,0,0,2,10,12
CHIMORE,otras vacunaciones,dt 2da dosis,2024-01-01,0,1,1,1,0,0,0,0,0,0,0,1,1,8,76,5,3,13,17,12,0,0,0,0,98,41,139
CHOQUE COTA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,6,1,7
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
CHUMA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,4,5
CKOCHAS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,7,7
CLIZA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,4,0,2,0,0,0,0,3,11,14
COBIJA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,2,0,0,0,0,0,1,0,0,3,7,68,2,7,12,7,5,0,0,0,0,85,29,114
COCAPATA,otras vacunaciones,dt 2da dosis,2024-01-01,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,2,3,3,3,6,0,0,0,0,8,14,22
COCHABAMBA,otras vacunaciones,dt 2da dosis,2024-01-01,9,8,0,0,2,2,0,0,3,2,0,0,18,43,0,2,56,172,6,13,5,6,0,0,99,248,347
COIPASA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLCAPIRHUA,otras vacunaciones,dt 2da dosis,2024-01-01,1,0,0,0,0,1,0,1,1,0,0,0,6,2,4,2,12,6,1,2,0,0,0,0,25,14,39
"COLCHA ""K""",otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,4,3,0,0,0,0,0,13,4,17
COLLANA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COLOMI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,2,10,2,0,0,0,0,0,6,17,23
COLPA BELGICA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,0,1,1,2,10,12
COLQUECHACA,otras vacunaciones,dt 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,1,0,0,0,0,0,2,9,11
COLQUENCHA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLQUIRI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,5,5
CONCEPCION,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,10,10
CORIPATA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,6,6
CORO CORO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,5,5
COROICO,otras vacunaciones,dt 2da dosis,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,3,9,12
CORQUE,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COTAGAITA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,8
CUATRO CAÑADAS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 2da dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
CUEVO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CULPINA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
CURAHUARA DE CARANGAS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
EL ALTO,otras vacunaciones,dt 2da dosis,2024-01-01,3,4,1,3,2,12,2,4,3,4,0,1,41,81,17,17,72,424,35,70,2,1,0,1,178,622,800
EL PUENTE(STC),otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,4
EL PUENTE(TJA),otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,1,1,0,3,7,10
EL TORNO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,7,10
EL VILLAR,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,3,0,0,0,0,0,0,8,4,12
ENTRE RIOS TRJ,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,0,0,0,0,0,0,7,4,11
ENTRE RIOS CBBA,otras vacunaciones,dt 2da dosis,2024-01-01,0,1,0,0,0,2,0,0,0,0,0,0,5,13,0,3,16,26,7,9,0,0,0,0,28,54,82
ESCOMA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ESMERALDA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EUCALIPTUS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,1,0,0,0,0,0,9,9
FERNANDEZ ALONSO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
FILADELFIA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GAIOC JATUN AYLLU YURA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
GENERAL SAAVEDRA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,3,6,0,1,1,4,0,0,0,0,0,0,6,11,17
GIA-TIM,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GUANAY,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,1,6,7
GUAQUI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,28,0,2,8,18,0,0,0,0,12,49,61
GUAYARAMERIN,otras vacunaciones,dt 2da dosis,2024-01-01,1,1,0,1,0,4,3,1,0,1,0,0,0,7,5,0,1,17,0,4,0,1,0,0,10,37,47
HUACARAJE,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUACARETA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUANUNI,otras vacunaciones,dt 2da dosis,2024-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,1,10,11
HUARINA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,4,2,6
HUAYLLAMARCA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,3
HUMANATA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ICLA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
INCAHUASI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1,0,0,0,0,3,5,8
INQUISIVI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
IXIAMAS,otras vacunaciones,dt 2da dosis,2024-01-01,1,0,1,1,0,0,1,2,0,0,0,0,1,5,1,3,2,8,0,2,2,0,0,0,9,21,30
JESUS DE MACHACA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LA ASUNTA,otras vacunaciones,dt 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,8,0,0,0,0,0,0,3,14,17
LA GUARDIA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,3,3,6
LA PAZ,otras vacunaciones,dt 2da dosis,2024-01-01,17,38,0,0,0,6,0,0,1,4,0,0,36,47,0,2,136,330,7,6,8,2,1,0,206,435,641
LAGUNILLAS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,3
LAJA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,2,6,8
LAS CARRERAS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LLALLAGUA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,3,5,8
LORETO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
MACHACAMARCA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MACHARETI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MAGDALENA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,3
MAIRANA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,3,4
MAPIRI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,1,10,11
MECAPACA,otras vacunaciones,dt 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
MINEROS,otras vacunaciones,dt 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,10
MIZQUE,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,2,5
MOCOMOCO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MOJOCOYA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MONTERO,otras vacunaciones,dt 2da dosis,2024-01-01,0,1,0,4,0,0,0,0,0,0,0,0,4,82,9,10,1,38,26,10,0,0,0,0,40,145,185
MORO MORO,otras vacunaciones,dt 2da dosis,2024-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
MOROCHATA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,5,5
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,4
OCURI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,2,0,0,0,0,1,12,13
OKINAWA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,1,5
OMEREQUE,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,1,1,0,0,0,6,29,18,6,39,151,10,9,2,0,0,0,76,196,272
PADCAYA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
PADILLA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
PAILON,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,5,0,0,0,0,0,0,0,0,9,9,18
PALOS BLANCOS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,6,3,1,1,0,0,0,0,9,8,17
PAMPA AULLAGAS,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,8,0,0,0,0,10,10,20
PATACAMAYA,otras vacunaciones,dt 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,2,9,4,0,1,14,9,0,0,0,0,0,16,24,40
PAZÑA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,8,2,10
PELECHUCO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,9,9
POCOATA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,2,5,7
POCONA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
POJO (CBBA),otras vacunaciones,dt 2da dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,3
POOPO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
PORCO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,13,13
PORTACHUELO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,0,1,10,11
POSTRER VALLE,otras vacunaciones,dt 2da dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
