,group,variable,month,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COBIJA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,7,1,8
COCHABAMBA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,4,6
COTAGAITA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,0,0,5,9,14
GUAYARAMERIN,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,6,0,0,0,0,3,10,13
HUANUNI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
IXIAMAS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4
LA ASUNTA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
LAGUNILLAS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,7,4,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,11,5,16
LLALLAGUA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
MONTERO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
PATACAMAYA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
PELECHUCO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,58,21,0,0,0,0,0,0,62,23,85
PUNA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
QUIME,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN ANDRES,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,5
SAN JULIAN,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN RAMON BENI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,5,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,6,16
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
TRINIDAD,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,3,6
TUPIZA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,1,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
UMALA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,5,0,0,0,0,2,7,9
UYUNI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,5,1,6
VIACHA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
VITICHI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
WARNES,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,3,5
ATOCHA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,6,11,1,7,0,0,0,0,8,23,31
BETANZOS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
BUENA VISTA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CAQUIAVIRI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CKOCHAS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,3
COBIJA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,36,4,0,0,3,4,0,0,0,1,40,10,50
CUEVO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
EL ALTO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
EL PUENTE(STC),otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,6
IXIAMAS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
PAPEL PAMPA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,3,5
PATACAMAYA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,3,2,5
POCONA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,10
PORVENIR,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
POTOSI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,4
PUERTO VILLARROEL,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
QUIME,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,6,2,8
RAVELO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SAN CARLOS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,0,0,0,0,0,0,0,0,3,7,10
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,1,1,0,0,2,2,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,8,12
SUCRE,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,13,0,0,5,13,18
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,3
UMALA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,4
UYUNI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-02-01,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,23,2,25
BAURES,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CHARAGUA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
CHIPAYA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CKOCHAS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2,4
EL CHORO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3
FERNANDEZ ALONSO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
HUANUNI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
IXIAMAS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,4
LLALLAGUA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
PALOS BLANCOS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,13,0,0,1,0,0,0,8,13,21
POCONA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,7,0,0,0,1,8,11,19
POTOSI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,3
PUERTO CARABUCO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SACACA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAN BORJA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,2,0,0,0,0,5,6,11
SAN LORENZO(PND),otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,2,1,0,0,5,2,0,0,1,0,2,0,0,0,2,0,1,1,0,0,0,0,13,4,17
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TRINIDAD,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,4,6
TUPIZA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,3
VILLA MONTES,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BELLA FLOR,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,5
CATACORA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
LA PAZ,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,39,0,0,3,12,0,0,14,55,69
POCONA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,4
POTOSI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,5,4,0,0,0,0,8,13,21
PUERTO CARABUCO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
SAN IGNACIO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TRINIDAD,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,4,6
ATOCHA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CABEZAS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CALACOTO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-05-01,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
LLICA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-05-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TOTORA(CBBA),otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ATOCHA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
NAZACARA DE PACAJES,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAN JULIAN,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
TUPIZA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
