,group,variable,month,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - D,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - D,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - F,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - F,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - D,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - D,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - F,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - F,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - D,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - D,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - F,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - F,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - D,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - D,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - F,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CAQUIAVIRI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CHAQUI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHARAÑA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,2,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,10,10
CHIMORE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CHOQUE COTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
COBIJA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
COCHABAMBA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,39,0,18,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71,71
COLCAPIRHUA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,21
COLOMI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
COLQUECHACA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COMARAPA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CORO CORO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COROICO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
COTOCA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CUATRO CAÑADAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CURAHUARA DE CARANGAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EL ALTO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,55,0,12,0,9,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,89,89
ENTRE RIOS TRJ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GUANAY,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
GUAYARAMERIN,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
HUACARETA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
HUANUNI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,5,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,11,11
HUARINA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA GUARDIA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
LA PAZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,139,0,3,0,15,0,7,0,45,0,6,0,0,0,0,0,0,0,0,0,215,215
LURIBAY,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAPIRI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
MIZQUE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
MONTERO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
OCURI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
OKINAWA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
ORURO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,19,0,8,0,5,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,38,38
PADILLA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PAILON,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4
PALOS BLANCOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PAMPA AULLAGAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PASORAPA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PAZÑA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PELECHUCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POOPO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8
PUCARANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO ACOSTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO QUIJARRO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PUERTO SUAREZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,12,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,19
PUNATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,2,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
QUILLACOLLO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,21,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
ROBORE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,7,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
RURRENABAQUE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SACABA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,12,0,28,0,4,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,51,51
SACABAMBA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN BENITO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN BUENA VENTURA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
SAN LORENZO(PND),otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN LORENZO(TJA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
SAN MATIAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN MIGUEL DE VELASCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,7,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
SAN PEDRO DE TIQUINA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO(PND),otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,13,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
SENA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,15
SIPE SIPE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SOPACHUY,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SUCRE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,2,27,0,2,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,37,39
TAPACARI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
TARIJA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,1,23,0,2,0,12,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,49,50
TEOPONTE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TIPUANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TIQUIPAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,5,0,7,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,16,16
TOCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOLATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOMINA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TORO TORO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TRINIDAD,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UYUNI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VIACHA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,10
VILLA MONTES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,3,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,14
VILLA RIVERO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
VILLAZON,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
VINTO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
WARNES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
YACUIBA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,5,0,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,13
YAMPARAEZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YOTALA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ACHACACHI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,2,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,22
ACHOCALLA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
AIQUILE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ANZALDO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
APOLO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
ARBIETO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
AYO AYO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
AZURDUY,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BERMEJO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,37,0,93,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136
BETANZOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
BOLIVAR,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"CAIZA ""D""",otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CALACOTO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CALAMARCA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4
CAQUIAVIRI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3
CARACOLLO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CARAPARI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CHAQUI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
CHIMORE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
CLIZA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6
COBIJA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
COCHABAMBA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,22,0,334,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,359,359
COLCAPIRHUA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-02-01,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
