,group,variable,month,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,TOTALES,TOTALES,TOTALES
PALCA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,2,3,5,8
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SENA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TARVITA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TOLEDO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
WARNES,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
CABEZAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CHALLAPATA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,24,0,0,42,24,66
CORQUE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,1,1,0,0,5,5,10
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,2,4,6
OKINAWA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUERTO RICO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TUPIZA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ACHOCALLA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,14,0,0,0,0,4,16,20
CABEZAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHACARILLA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,4,5
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,8,41,3,0,0,2,0,51,14,65
LLALLAGUA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
MONTERO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,4,4,8
RURRENABAQUE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,5,2,7
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN CARLOS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,3
SENA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0,0,1,0,6,3,9
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,5,5
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TUPIZA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
VILLA MONTES,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ACHOCALLA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
BERMEJO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,2,4
CALAMARCA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHARAGUA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
COBIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
"COLCHA ""K""",otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLQUIRI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
CONCEPCION,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
FILADELFIA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,42,2,0,2,2,0,0,17,46,63
LLALLAGUA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,0,0,0,0,0,0,4,14,18
OKINAWA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,1,6,7
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,4,12,0,0,0,0,0,0,7,26,33
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,1,0,0,0,0,262,1,263
SAN BORJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
SAN IGNACIO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,1,7,8
SENA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,3,4
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,1,12,13
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
VILLAZON,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ACHOCALLA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,4,6
ARQUE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
BOLPEBRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CABEZAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COLQUENCHA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COROICO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CORQUE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,9,2,11
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,1,1,0,0,0,0,13,17,30
LLALLAGUA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,1,0,0,0,0,0,4,7,11
MAPIRI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,4,0,0,0,0,7,7,14
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
PALOS BLANCOS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,5,8
PORVENIR,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,1,0,0,0,0,2,11,13
QUIME,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SAN BORJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,8,1,0,0,0,0,0,5,14,19
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TEOPONTE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,180,0,180
VILLAZON,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BELEN DE URMIRI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
