,group,variable,month,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
ARBIETO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
AYO AYO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,1,0,0,1,1,0,0,0,0,0,0,1,3,0,0,5,8,0,0,0,0,0,0,7,13,20
AZURDUY,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
BATALLAS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,3,4,0,0,0,0,0,1,0,0,0,1,3,0,1,1,3,2,4,0,0,0,0,10,14,24
BAURES,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,1,1,0,0,0,0,0,0,0,2,6,0,0,1,2,0,2,0,0,0,0,5,11,16
BELEN DE ANDAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
BELLA FLOR,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,3,7
BERMEJO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,8,11,0,5,0,0,0,0,14,20,34
BOLPEBRA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,5,0,0,0,0,0,0,10,6,16
CABEZAS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,2,11,2,0,0,0,0,29,4,33
CALAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,2,5,7
CAMARGO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,7,14,1,4,0,0,0,0,9,21,30
CAMIRI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,3,2,5
CAPINOTA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAQUIAVIRI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,4
CARACOLLO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,1,1,0,0,0,0,7,3,10
CARANAVI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,2,0,0,0,0,0,0,4,5,0,0,9,8,0,0,0,0,0,0,15,15,30
CARAPARI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,1,2,0,0,0,0,6,6,12
CARMEN RIVERO TORREZ,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,2,0,0,0,3,1,0,0,1,4,2,2,8,9,10,5,16,22,0,0,0,0,42,43,85
CATACORA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
CHACARILLA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,5,1,6
CHALLAPATA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHARAGUA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,2,7,1,0,5,0,0,0,0,24,8,32
CHARAÑA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,4,5,9
CHIMORE,otras vacunaciones,antiamarilica dosis unica,2024-01-01,2,5,2,0,3,0,0,0,0,0,0,0,8,8,115,32,16,31,30,14,0,0,0,0,176,90,266
CHOQUE COTA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
CHUA COCANI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,8
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,9,5,5,0,0,0,0,11,15,26
CLIZA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,6,3,0,0,0,0,9,7,16
COBIJA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,2,0,0,0,1,0,0,0,0,0,0,0,1,4,48,12,26,24,100,42,0,0,0,0,178,82,260
COCAPATA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
COCHABAMBA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,8,11,3,1,2,2,0,0,4,3,0,0,29,33,2,5,211,238,17,32,0,0,0,0,276,325,601
COLCAPIRHUA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,1,0,0,0,1,0,0,0,0,0,0,3,2,1,1,7,9,2,4,0,0,0,0,13,18,31
"COLCHA ""K""",otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,5,6,0,0,0,0,0,0,14,7,21
COLLANA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,0,1,5,6
COLOMI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3
COLPA BELGICA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
COLQUENCHA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,3,0,0,0,0,1,1,0,0,0,0,12,4,0,2,6,6,3,3,0,0,0,0,22,19,41
COLQUIRI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,4
CONCEPCION,otras vacunaciones,antiamarilica dosis unica,2024-01-01,3,4,0,0,0,0,0,0,1,0,0,0,0,5,0,1,2,26,0,1,0,0,0,0,6,37,43
CORIPATA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,3,7,4,0,0,0,0,12,9,21
CORO CORO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,6,7,0,0,0,0,9,9,18
COROICO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,6,6,12
CORQUE,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,6,4,10
COTAGAITA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
COTOCA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,1,0,0,0,1,0,0,1,0,0,0,4,2,0,0,10,8,0,0,0,0,0,0,16,12,28
CUATRO CAÑADAS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,1,0,0,0,0,4,5,9
CULPINA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,0,0,3,4,7
CURAHUARA DE CARANGAS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,7,2,0,0,0,0,0,0,28,2,30
DESAGUADERO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
EL ALTO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,15,26,5,6,4,6,2,2,5,5,1,0,121,87,22,18,314,498,135,96,0,0,0,0,624,744,1368
EL PUENTE(STC),otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL PUENTE(TJA),otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,7,8
EL TORNO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,0,9,4,13
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,9,3,0,0,0,0,0,0,12,5,17
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,1,0,0,1,1,0,0,15,10,4,3,27,33,26,18,0,0,0,0,73,66,139
EXALTACION,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,3,9,12
FILADELFIA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,6,4,10
GAIOC JATUN AYLLU YURA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
GUANAY,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,1,0,0,1,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,6,8
GUAQUI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,24,0,24
GUAYARAMERIN,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,4
GUTIERREZ,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,3,0,0,0,0,4,5,9
HUACARETA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
HUANUNI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,8,0,0,0,0,7,8,15
HUARINA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,1,8,9
HUATAJATA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
INCAHUASI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,2,4,5,0,0,0,0,11,13,24
INQUISIVI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,4,8,0,0,0,0,7,12,19
IRUPANA (VILLA DE LANZA),otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,5,12,9,7,0,0,0,0,17,22,39
IXIAMAS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,3,5,0,0,0,2,0,0,0,2,1,0,0,3,1,0,1,2,0,0,0,0,6,14,20
JESUS DE MACHACA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,4
LA ASUNTA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,6,1,0,0,0,0,8,4,12
LA GUARDIA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,3,1,0,1,0,0,0,0,0,1,0,0,4,7,0,0,27,30,1,1,0,0,0,0,35,41,76
LA PAZ,otras vacunaciones,antiamarilica dosis unica,2024-01-01,14,15,2,1,8,6,0,0,8,10,0,0,67,77,2,11,294,393,23,40,0,0,0,0,418,553,971
LAGUNILLAS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LAJA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LAS CARRERAS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,2,0,0,0,0,4,7,11
LLALLAGUA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,53,35,9,9,13,34,19,23,0,0,0,0,94,101,195
LURIBAY,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,3,11,14
MACHARETI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,3,7,4,7,0,0,0,0,12,16,28
MAGDALENA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,6,6,0,0,0,0,8,13,21
MAIRANA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MAPIRI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,82,0,82
MINEROS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
MIZQUE,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MOCOMOCO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,5,7,13,4,4,0,0,0,0,17,26,43
MOJOCOYA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,2,5,7
MONTEAGUDO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,10,13,2,6,0,0,0,0,15,21,36
MONTERO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,5,130,0,4,9,12,2,0,0,0,0,150,16,166
MOROCHATA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,0,0,0,0,8,10,18
OCURI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,3,4
OKINAWA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,10,2,1,0,0,1,0,0,1,1,1,0,20,11,16,2,39,66,14,1,0,0,0,0,102,84,186
PADCAYA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PADILLA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,5,9,14
PAILON,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2
PALCA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,7,10,2,1,0,0,0,0,12,14,26
PALOS BLANCOS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,1,5,4,20,14,0,0,0,0,30,25,55
PAMPA AULLAGAS,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
PAMPA GRANDE,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,4
PASORAPA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,7,0,0,0,0,1,12,13
PATACAMAYA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,0,0,0,0,1,0,0,17,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,11,30
POCOATA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
POOPO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PORONGO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,2,4,6
PORTACHUELO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6
PORVENIR,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3
POTOSI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,2,1,0,0,1,3,1,0,0,2,0,0,17,12,0,2,48,80,2,5,0,0,0,0,71,105,176
PRESTO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
PUCARANI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,1,0,0,0,1,0,0,0,0,2,0,3,1,3,6,7,8,0,0,0,0,16,17,33
PUERTO ACOSTA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,5,6,2,5,0,0,18,21,0,0,0,0,26,32,58
PUERTO CARABUCO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10
PUERTO PEREZ,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,3,5
PUERTO QUIJARRO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,97,0,3,3,8,6,0,0,0,0,109,9,118
PUERTO RICO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,4,10,0,0,0,0,0,0,8,21,29
PUERTO SUAREZ,otras vacunaciones,antiamarilica dosis unica,2024-01-01,19,16,7,6,1,0,0,0,0,0,0,0,5,1,0,0,15,3,0,1,0,0,0,0,47,27,74
PUERTO VILLARROEL,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,2,6,17,9,3,4,9,10,0,0,0,0,32,29,61
PUNA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUNATA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,1,0,0,1,0,0,2,0,0,0,1,0,2,2,2,6,9,14,15,0,0,0,0,23,32,55
QUIABAYA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,8,0,8
QUILLACOLLO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,1,2,1,0,0,0,1,1,0,1,2,6,4,6,5,10,14,8,33,0,0,0,0,35,61,96
QUIME,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,2,0,0,1,2,0,0,0,0,3,1,0,2,8,0,0,0,0,0,0,0,13,7,20
RAVELO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,4,1,4,1,5,0,0,0,0,6,14,20
