,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,3,5
COIPASA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COMANCHE,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,4,6
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COTOCA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,16,0,1,1,0,0,0,8,19,27
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
GUAQUI,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,4,4
HUACHACALLA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUARINA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUATAJATA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,0,0,0,0,4,10,14
INQUISIVI,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,21,50,7,12,25,0,0,2,59,78,137
MECAPACA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,3,5
ORURO,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,5,3,8
POCOATA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,4,4,8
PUCARANI,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2,6
PUERTO CARABUCO,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
QUIME,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
SABAYA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
SAN MATIAS,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,2,5,7
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,14,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,72,2,4,0,0,0,0,27,76,103
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,2,1,3,2,1,10,7,17
TINGUIPAYA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TUPIZA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
UNCIA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
VIACHA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2,1,0,0,0,0,7,10,17
YOCALLA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ARAMPAMPA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ATOCHA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BETANZOS,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
BOLPEBRA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"CAIZA ""D""",otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,1,0,0,0,0,0,14,21,35
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,8,5,0,0,0,0,0,8,9,17
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CKOCHAS,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COLQUECHACA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,2,0,0,0,0,9,9,18
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,3,5,8
COTOCA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,6,7
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
EL TORNO,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ESCARA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,4
ESMERALDA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUANUNI,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,2,4
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,3,0,0,0,0,4,5,9
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LLICA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTERO,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
OCURI,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,0,0,0,0,4,6,10
ORURO,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,18,32,0,1,1,2,0,0,24,48,72
PAILON,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POCOATA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,2,3,5
PORCO,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,0,0,0,0,1,10,11
PUNA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,1,0,0,0,0,4,7,11
SABAYA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,5
SAN BORJA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,5,7,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,0,3,3,7,1,2,19,61,80
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,4
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
TARIJA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,0,0,0,0,0,0,3,8,11
TINGUIPAYA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
UNCIA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
WARNES,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YACUIBA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,11,12
YOCALLA,otras vacunaciones,influenza estacional a personal de salud,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,1,0,0,0,0,2,11,13
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BETANZOS,otras vacunaciones,influenza estacional a personal de salud,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,influenza estacional a personal de salud,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,16,14,30
CAJUATA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMARGO,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,41,0,0,1,1,0,0,24,43,67
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,52,0,0,0,0,44,55,99
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,6,8
CONCEPCION,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,4,15,19
CORIPATA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,6,4,10
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,6,18,24
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,52,1,6,3,1,5,3,36,63,99
EL CHORO,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,3,9
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,1,4
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122,344,50,92,13,18,0,1,185,456,641
MACHACAMARCA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,2,4,0,0,0,0,5,10,15
MAPIRI,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,32
ORURO,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,7,18,47,33,72,3,8,3,2,61,142,203
PAILON,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,96,63,71,18,22,0,0,140,189,329
SAN BORJA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,3,2,5
SAN IGNACIO,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,3,4,11,15
SAN JULIAN,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,2,3,1,0,0,0,15,25,40
SAN LORENZO(TJA),otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN RAMON SCZ,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,316,1,3,53,74,0,0,205,393,598
SUCRE,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,124,291,106,197,25,58,19,21,275,568,843
TARIJA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,6,0,2,0,0,0,0,5,9,14
TEOPONTE,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
TURCO,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
UMALA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,3,5
VIACHA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
WARNES,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
YACUIBA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,4,6,10
YOTALA,otras vacunaciones,influenza estacional a personal de salud,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,2,12,14
ACACIO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,10,11,21
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,56,1,1,0,8,0,1,34,66,100
ACHOCALLA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,1,0,0,0,0,4,10,14
AIQUILE,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,41,11,27,1,3,1,0,41,71,112
ALALAY,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,3,0,0,0,0,7,12,19
ALCALA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,1,1,4,0,0,6,28,34
ALTO BENI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,0,1,4,0,0,9,11,20
