,group,variable,month,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,TOTALES,TOTALES,TOTALES
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,7,2,9
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TIRAQUE (CBBA),otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TORO TORO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6
BERMEJO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COBIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,6,4,10
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,3,0,0,7,4,11
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAJUATA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CARANAVI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
GUAYARAMERIN,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,1,0,0,0,5,9,14
LLALLAGUA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,8,0,8
SENA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
LA GUARDIA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,3,4,1,0,0,0,8,8,16
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,10,0,0,0,0,0,0,3,12,15
SACABA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SENA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
TAPACARI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
ACHOCALLA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CARAPARI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
LA GUARDIA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2,6
LLALLAGUA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
ORURO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PADCAYA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,6,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TEOPONTE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,3,2,5
TIPUANI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,12,0,0,0,0,0,14,18,32
TRINIDAD,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VIACHA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
WARNES,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
BERMEJO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,1,7
"COLCHA ""K""",otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
ORURO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
SACABA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3
SENA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,5
BERMEJO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
MAPIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,16,19,21,21,42
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,2,3,5
SENA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,1,6,7
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,4
TUPIZA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YUNCHARA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COLQUIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COMANCHE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,1,6,7
MAPIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,9
ORURO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SENA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,3
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TIPUANI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,5,4,9
WARNES,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ARAMPAMPA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18,16,0,0,0,1,0,0,19,18,37
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SACABA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,3,7,6,13
SUCRE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ACHOCALLA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,12,0,0,0,0,3,14,17
COBIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,11,8,0,0,0,0,0,0,18,10,28
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,33,0,0,1,3,1,39,24,63
MAPIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,28,17,0,0,0,0,32,24,56
MONTERO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
RIBERALTA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
SENA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TEOPONTE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
ACHOCALLA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,4,4,8
ATOCHA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BOYUIBE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
