,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CAQUIAVIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,6,6
CARACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8
CHALLAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,14,0,1,0,0,0,0,0,19,19
CHARAGUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,8,8
CHIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHUMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COLPA BELGICA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
COLQUECHACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,11,11
COLQUIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,5,5
COROICO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,4
COTOCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,16,16
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,82,0,23,0,0,0,0,0,121,121
EL TORNO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
GUAYARAMERIN,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
HUATAJATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUAYLLAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
INQUISIVI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA ASUNTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,14,14
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,0,2,0,0,0,0,0,54,54
LLICA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
MOCOMOCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6
OCURI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,4
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,75,0,4,0,0,0,0,0,90,90
PAILON,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POCOATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,7,7
PORCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
PORTACHUELO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
POTOSI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,29,0,5,0,0,0,0,0,41,41
PUCARANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,4,4
PUERTO ACOSTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,4,4
RIBERALTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,61,0,0,0,0,0,0,0,88,88
SACACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
SAN BORJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,6,6
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN MATIAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,11
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,5,5
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,89,0,0,0,0,0,0,0,94,94
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,6,6
TINGUIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,6,6
TORO TORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
UMALA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
YACUIBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,1,0,0,0,0,0,23,23
ARAMPAMPA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,7,7
"CAIZA ""D""",otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CARACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,4
CHALLAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,3,0,0,0,0,0,23,23
CHARAGUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,12
CHIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CKOCHAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
"COLCHA ""K""",otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLQUECHACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,0,0,0,0,16,16
COTOCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,12,12
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,23,0,26,0,0,0,0,0,65,65
EL TORNO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,26
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,5,5
GUAYARAMERIN,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,8,8
HUANUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
HUAYLLAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,0,1,0,0,0,0,0,26,26
LLICA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
MAIRANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
MONTERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,19
OCURI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,19,19
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,30,0,0,0,0,0,0,0,37,37
PAILON,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAZÑA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POCOATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,7,7
PORCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,7,7
PORTACHUELO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
POTOSI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,21,0,0,0,0,0,0,0,43,43
PUNA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
RIBERALTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,67,0,0,0,0,0,0,0,111,111
SACACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,4
SAN BORJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,5,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,4
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,11,11
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,81,0,2,0,0,0,0,0,97,97
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,3
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
SORACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,4
TINGUIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,5,5
TOMAVE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TORO TORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TURCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
UMALA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
WARNES,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
YACUIBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,27,0,3,0,0,0,0,0,34,34
YOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LLICA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TAHUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
TINGUIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMARGO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COBIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
COCHABAMBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,72,0,22,0,0,0,0,0,97,97
EL CHORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUACARAJE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,93,0,14,0,0,0,0,0,113,113
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,20,0,12,0,0,0,0,0,37,37
PAPEL PAMPA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,42,0,2,0,0,0,0,0,51,51
SAN BORJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,15,15
SAN IGNACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
