,group,variable,month,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,TOTALES,TOTALES,TOTALES
FILADELFIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,7,1,0,0,0,0,0,10,7,17
OKINAWA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
PADCAYA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,4
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,5,2,7
SAN BORJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SAN JOAQUIN,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,7,0,1,0,0,0,0,0,28,0,28
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN MATIAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
SAN RAMON BENI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,0,0,0,0,0,0,8,6,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,1,0,0,1,0,2,10,12
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2,3,5
TOLEDO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,3
TUPIZA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,1,0,0,0,0,0,0,19,1,20
VILLA MONTES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
VILLA TUNARI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,4,5
WARNES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
ACHOCALLA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,12,0,0,0,0,4,17,21
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
BOYUIBE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,7,0,7
CABEZAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,3,5,3,0,0,13,11,24
IXIAMAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,4,2,6
LA GUARDIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,10,2,3,0,0,0,0,61,13,74
MONTERO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,13
OKINAWA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,4,2,6
ORURO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,12,0,0,0,0,0,0,2,13,15
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,4
PUERTO RICO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,3,3,6
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,3,5
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,1,5,12,17
SICA SICA (VILLA AROMA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TAPACARI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,3
UYUNI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VIACHA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
VILLAZON,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
WARNES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
ACHOCALLA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,3,7,10
AIQUILE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
AYO AYO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,7
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
CAMIRI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CARANAVI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,20,0,0,0,0,2,22,24
CHACARILLA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
CKOCHAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COBIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,4
"COLCHA ""K""",otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COLQUIRI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,3,7,4,11
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,2,5,0,0,0,0,6,7,13
EL CHORO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
FILADELFIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GUANAY,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
GUTIERREZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUANUNI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
IXIAMAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,71,100,10,5,0,4,0,0,87,109,196
LLALLAGUA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0,0,0,0,9,22,31
MAGDALENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OKINAWA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,0,0,2,6,8
ORURO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
PORVENIR,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,6,10,0,0,0,0,0,0,9,21,30
QUIME,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
RURRENABAQUE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,1,0,0,0,0,294,1,295
SACABA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,2,0,0,0,0,0,0,8,4,12
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,27,34,1,0,8,5,40,46,86
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19,0,0,0,1,1,21,22
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,0,0,0,0,0,3,7,10
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
TUPIZA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
UNCIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
VILLA MONTES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,4,2,6
WALDO BALLIVIAN,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
YAPACANI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ARQUE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,10
CABEZAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,4
CAPINOTA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5
"COLCHA ""K""",otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLQUIRI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
CORQUE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
