,group,variable,month,DT 3RA DOSIS 5 A 9 - D,DT 3RA DOSIS 5 A 9 - D,DT 3RA DOSIS 5 A 9 - F,DT 3RA DOSIS 5 A 9 - F,DT 3RA DOSIS 10 AÑOS - D,DT 3RA DOSIS 10 AÑOS - D,DT 3RA DOSIS 10 AÑOS - F,DT 3RA DOSIS 10 AÑOS - F,DT 3RA DOSIS 11 AÑOS - D,DT 3RA DOSIS 11 AÑOS - D,DT 3RA DOSIS 11 AÑOS - F,DT 3RA DOSIS 11 AÑOS - F,DT 3RA DOSIS 12 A 20 - D,DT 3RA DOSIS 12 A 20 - D,DT 3RA DOSIS 12 A 20 - F,DT 3RA DOSIS 12 A 20 - F,DT 3RA DOSIS 21 A 59 - D,DT 3RA DOSIS 21 A 59 - D,DT 3RA DOSIS 21 A 59 - F,DT 3RA DOSIS 21 A 59 - F,DT 3RA DOSIS 60 Y MAS - D,DT 3RA DOSIS 60 Y MAS - D,DT 3RA DOSIS 60 Y MAS - F,DT 3RA DOSIS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
ARANI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,4,2,6
ARBIETO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,6,0,6,0,0,0,0,1,15,16
ARQUE,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,0,0,0,0,2,6,8
ATOCHA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
AYATA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 3ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,5,6
BATALLAS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10,0,1,0,0,0,0,1,13,14
BAURES,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,3
BELLA FLOR,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,3,0,0,0,0,5,5,10
BERMEJO,otras vacunaciones,dt 3ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,6,4,10
BOLIVAR,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,2,3,5
BOLPEBRA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,7,1,3,0,0,0,0,3,13,16
BOYUIBE,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CABEZAS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,13,26,0,0,1,0,15,31,46
"CAIZA ""D""",otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,3,4
CAJUATA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,6
CALACOTO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
CAMARGO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CAMIRI,otras vacunaciones,dt 3ra dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,6,0,0,0,0,0,0,6,8,14
CAPINOTA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,2,0,0,0,0,4,4,8
CARACOLLO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,3
CARIPUYO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
CARMEN RIVERO TORREZ,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,3,1,0,0,0,0,6,2,8
CHACARILLA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,11,1,1,0,0,0,0,3,14,17
CHAQUI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CHARAGUA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,4,1,3,2,0,0,0,0,16,6,22
CHAYANTA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CHIMORE,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,1,1,0,1,0,0,0,0,3,1,2,4,12,1,12,0,0,0,0,8,30,38
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
CHUMA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
CKOCHAS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CLIZA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,2,0,0,0,0,0,12,12
COBIJA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,11,8,54,23,0,0,0,0,69,38,107
COCAPATA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,8,0,3,0,0,0,0,5,12,17
COCHABAMBA,otras vacunaciones,dt 3ra dosis,2024-01-01,5,2,1,0,2,2,0,0,3,0,0,0,16,22,0,0,27,93,4,7,2,2,0,0,60,128,188
COLCAPIRHUA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,9,3,4,0,0,0,0,13,15,28
"COLCHA ""K""",otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLLANA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLOMI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,14,3,1,0,0,0,0,4,17,21
COLPA BELGICA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,2,4
COLQUECHACA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,3,4
COLQUENCHA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLQUIRI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,3
CONCEPCION,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
CORIPATA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,4,4,8
CORO CORO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COROICO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COTAGAITA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,4,1,5
COTOCA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,1,0,0,0,0,0,10,13,2,1,6,13,2,0,0,0,0,0,21,28,49
CUATRO CAÑADAS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,2,0,0,0,0,3,8,11
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,3
CUEVO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CULPINA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,6,6
CURAHUARA DE CARANGAS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,dt 3ra dosis,2024-01-01,4,2,0,0,1,23,0,0,3,5,0,0,23,55,5,6,40,248,18,39,1,2,0,0,95,380,475
EL PUENTE(STC),otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,4,6
EL PUENTE(TJA),otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EL TORNO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,8,3,0,0,0,0,22,19,41
EL VILLAR,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
ENTRE RIOS TRJ,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,4,3,7
ENTRE RIOS CBBA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,7,15,3,13,0,0,0,0,11,36,47
EUCALIPTUS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
EUREKA (SANTOS MERCADO),otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
FILADELFIA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,0,0,0,1,0,0,0,0,5,7,12
GENERAL SAAVEDRA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,4,0,0,0,0,0,0,6,5,11
GUANAY,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,1,5,6
GUAQUI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,12,1,2,3,15,0,0,0,0,14,29,43
GUAYARAMERIN,otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,2,1,4,0,1,0,0,7,16,23
HUACARETA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUANUNI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,0,1,0,0,0,0,3,8,11
HUARINA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUAYLLAMARCA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
HUMANATA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
INCAHUASI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
INGAVI (HUMAITA),otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
IXIAMAS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,1,2,3,0,0,3,16,0,1,0,0,0,0,5,22,27
JESUS DE MACHACA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA ASUNTA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,2,7,9
LA GUARDIA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,2,0,1,9,14,3,2,18,32,18,3,0,1,0,0,48,56,104
LA PAZ,otras vacunaciones,dt 3ra dosis,2024-01-01,7,24,0,2,1,7,0,0,1,1,0,0,26,47,82,140,55,190,4,2,3,2,0,0,179,415,594
LAGUNILLAS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LAJA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0,0,0,0,3,5,8
LLALLAGUA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,1,6,7
LLICA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MACHARETI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,3
MAGDALENA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,2,3,5
MAIRANA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,8
MAPIRI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MECAPACA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MINEROS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,10,11
MIZQUE,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,2,5,7
MOCOMOCO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
MOJOCOYA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MONTEAGUDO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
MONTERO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,10,0,13,3,6,0,0,0,0,5,76,81
MORO MORO,otras vacunaciones,dt 3ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
MOROCHATA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,8,0,0,0,0,2,10,12
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,6,3,5,0,0,0,0,8,13,21
NAZACARA DE PACAJES,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
OCURI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
OKINAWA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,6,0,0,0,0,7,12,19
ORURO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,2,1,0,0,0,0,0,0,0,0,0,1,13,3,4,13,81,5,12,0,3,0,0,23,115,138
PADILLA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,4,3,7
PAILON,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,4,4,2,0,0,0,0,0,0,0,0,6,7,13
PALOS BLANCOS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
PAMPA AULLAGAS,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAMPA GRANDE,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,3
PAPEL PAMPA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PATACAMAYA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PAZÑA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
PELECHUCO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,4
POCOATA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
POCONA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,3,4
POJO (CBBA),otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,10,10
POOPO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PORCO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,7,7
POROMA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PORTACHUELO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,1,8,9
PORVENIR,otras vacunaciones,dt 3ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,4
POSTRER VALLE,otras vacunaciones,dt 3ra dosis,2024-01-01,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
POTOSI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,68,16,4,0,0,1,0,27,79,106
PRESTO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUCARA,otras vacunaciones,dt 3ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUCARANI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
PUERTO ACOSTA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUERTO CARABUCO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,2,3,5
PUERTO QUIJARRO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
PUERTO RICO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO SUAREZ,otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,1,0,0,0,0,0,8,5,13
PUERTO VILLARROEL,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,7,0,1,0,0,0,0,3,11,14
