,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
SAN RAMON SCZ,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2021-01-01,82,82,82,82,164
SANTA ROSA DEL SARA,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
SAPAHAQUI,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
SORACACHI,rabia,no de personas con esquema reducido completo,2021-01-01,2,0,2,0,2
SORATA,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema reducido completo,2021-01-01,47,39,47,39,86
TACACOMA,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
TARATA,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema reducido completo,2021-01-01,3,6,3,6,9
TIAHUANACU,rabia,no de personas con esquema reducido completo,2021-01-01,1,1,1,1,2
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2021-01-01,3,1,3,1,4
TRINIDAD,rabia,no de personas con esquema reducido completo,2021-01-01,1,2,1,2,3
UYUNI,rabia,no de personas con esquema reducido completo,2021-01-01,2,1,2,1,3
VALLEGRANDE,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema reducido completo,2021-01-01,2,3,2,3,5
VILLA RIVERO,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
VILLAZON,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema reducido completo,2021-01-01,1,4,1,4,5
WARNES,rabia,no de personas con esquema reducido completo,2021-01-01,6,4,6,4,10
YANACACHI,rabia,no de personas con esquema reducido completo,2021-01-01,1,1,1,1,2
ACHACACHI,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
CALAMARCA,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
CAMIRI,rabia,no de personas con esquema reducido completo,2021-02-01,2,0,2,0,2
CHUA COCANI,rabia,no de personas con esquema reducido completo,2021-02-01,1,0,1,0,1
CLIZA,rabia,no de personas con esquema reducido completo,2021-02-01,4,2,4,2,6
COCHABAMBA,rabia,no de personas con esquema reducido completo,2021-02-01,30,28,30,28,58
COMARAPA,rabia,no de personas con esquema reducido completo,2021-02-01,0,4,0,4,4
CONCEPCION,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
CORIPATA,rabia,no de personas con esquema reducido completo,2021-02-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema reducido completo,2021-02-01,3,5,3,5,8
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2021-02-01,4,7,4,7,11
EL ALTO,rabia,no de personas con esquema reducido completo,2021-02-01,27,22,27,22,49
EL TORNO,rabia,no de personas con esquema reducido completo,2021-02-01,3,7,3,7,10
ENTRE RIOS CBBA,rabia,no de personas con esquema reducido completo,2021-02-01,2,0,2,0,2
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2021-02-01,1,2,1,2,3
JESUS DE MACHACA,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2021-02-01,13,6,13,6,19
LA PAZ,rabia,no de personas con esquema reducido completo,2021-02-01,26,32,26,32,58
MAIRANA,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
MINEROS,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema reducido completo,2021-02-01,6,6,6,6,12
MORO MORO,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
OKINAWA,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema reducido completo,2021-02-01,5,4,5,4,9
PAILON,rabia,no de personas con esquema reducido completo,2021-02-01,1,0,1,0,1
POOPO,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas con esquema reducido completo,2021-02-01,3,1,3,1,4
PUCARANI,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con esquema reducido completo,2021-02-01,3,1,3,1,4
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2021-02-01,2,3,2,3,5
SACABA,rabia,no de personas con esquema reducido completo,2021-02-01,9,5,9,5,14
SAIPINA,rabia,no de personas con esquema reducido completo,2021-02-01,1,1,1,1,2
SAN ANDRES,rabia,no de personas con esquema reducido completo,2021-02-01,0,2,0,2,2
SAN BUENA VENTURA,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con esquema reducido completo,2021-02-01,4,1,4,1,5
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2021-02-01,1,1,1,1,2
SAN PEDRO DE CURAHUARA,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas con esquema reducido completo,2021-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2021-02-01,82,78,82,78,160
SANTA ROSA DEL SARA,rabia,no de personas con esquema reducido completo,2021-02-01,1,0,1,0,1
SAPAHAQUI,rabia,no de personas con esquema reducido completo,2021-02-01,0,2,0,2,2
SIPE SIPE,rabia,no de personas con esquema reducido completo,2021-02-01,7,5,7,5,12
SUCRE,rabia,no de personas con esquema reducido completo,2021-02-01,56,53,56,53,109
TARIJA,rabia,no de personas con esquema reducido completo,2021-02-01,8,4,8,4,12
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2021-02-01,3,8,3,8,11
TRINIDAD,rabia,no de personas con esquema reducido completo,2021-02-01,10,8,10,8,18
UMALA,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
UYUNI,rabia,no de personas con esquema reducido completo,2021-02-01,2,3,2,3,5
VALLEGRANDE,rabia,no de personas con esquema reducido completo,2021-02-01,1,1,1,1,2
VIACHA,rabia,no de personas con esquema reducido completo,2021-02-01,2,2,2,2,4
VILLA RIVERO,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
VILLAZON,rabia,no de personas con esquema reducido completo,2021-02-01,0,1,0,1,1
VINTO,rabia,no de personas con esquema reducido completo,2021-02-01,1,2,1,2,3
WARNES,rabia,no de personas con esquema reducido completo,2021-02-01,3,5,3,5,8
ACHOCALLA,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
ARBIETO,rabia,no de personas con esquema reducido completo,2021-03-01,7,4,7,4,11
BATALLAS,rabia,no de personas con esquema reducido completo,2021-03-01,0,2,0,2,2
CABEZAS,rabia,no de personas con esquema reducido completo,2021-03-01,2,1,2,1,3
CARANAVI,rabia,no de personas con esquema reducido completo,2021-03-01,3,4,3,4,7
CARAPARI,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
CHIMORE,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
CLIZA,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2021-03-01,37,37,37,37,74
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
COLOMI,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
COLPA BELGICA,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
COMARAPA,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
CONCEPCION,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
COROICO,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema reducido completo,2021-03-01,3,4,3,4,7
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2021-03-01,3,2,3,2,5
EL ALTO,rabia,no de personas con esquema reducido completo,2021-03-01,23,40,23,40,63
EL TORNO,rabia,no de personas con esquema reducido completo,2021-03-01,8,5,8,5,13
ENTRE RIOS CBBA,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
HUANUNI,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2021-03-01,12,7,12,7,19
LA PAZ,rabia,no de personas con esquema reducido completo,2021-03-01,29,36,29,36,65
LURIBAY,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
MINEROS,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con esquema reducido completo,2021-03-01,1,5,1,5,6
MONTERO,rabia,no de personas con esquema reducido completo,2021-03-01,5,2,5,2,7
MORO MORO,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
OKINAWA,rabia,no de personas con esquema reducido completo,2021-03-01,2,1,2,1,3
ORURO,rabia,no de personas con esquema reducido completo,2021-03-01,10,8,10,8,18
PADILLA,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
PAILON,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema reducido completo,2021-03-01,2,1,2,1,3
PUERTO VILLARROEL,rabia,no de personas con esquema reducido completo,2021-03-01,2,0,2,0,2
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2021-03-01,3,2,3,2,5
SACABA,rabia,no de personas con esquema reducido completo,2021-03-01,2,10,2,10,12
SAIPINA,rabia,no de personas con esquema reducido completo,2021-03-01,2,1,2,1,3
SAMAIPATA,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
SAN CARLOS,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2021-03-01,0,3,0,3,3
SAN JUAN DE YAPACANI,rabia,no de personas con esquema reducido completo,2021-03-01,3,1,3,1,4
SAN MIGUEL DE VELASCO,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
SAN PEDRO,rabia,no de personas con esquema reducido completo,2021-03-01,1,2,1,2,3
SAN PEDRO DE CURAHUARA,rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2021-03-01,76,90,76,90,166
SANTIVAÑES,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
SAPAHAQUI,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con esquema reducido completo,2021-03-01,3,6,3,6,9
SUCRE,rabia,no de personas con esquema reducido completo,2021-03-01,54,46,54,46,100
TARIJA,rabia,no de personas con esquema reducido completo,2021-03-01,10,6,10,6,16
TIAHUANACU,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2021-03-01,0,2,0,2,2
TOCO,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema reducido completo,2021-03-01,6,10,6,10,16
TUPIZA,rabia,no de personas con esquema reducido completo,2021-03-01,1,1,1,1,2
UMALA,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
UYUNI,rabia,no de personas con esquema reducido completo,2021-03-01,3,0,3,0,3
VALLEGRANDE,rabia,no de personas con esquema reducido completo,2021-03-01,1,1,1,1,2
VIACHA,rabia,no de personas con esquema reducido completo,2021-03-01,2,1,2,1,3
VILLA TUNARI,rabia,no de personas con esquema reducido completo,2021-03-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con esquema reducido completo,2021-03-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema reducido completo,2021-03-01,3,2,3,2,5
WARNES,rabia,no de personas con esquema reducido completo,2021-03-01,10,11,10,11,21
YOTALA,rabia,no de personas con esquema reducido completo,2021-03-01,1,1,1,1,2
ACHACACHI,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema reducido completo,2021-04-01,2,0,2,0,2
AIQUILE,rabia,no de personas con esquema reducido completo,2021-04-01,2,0,2,0,2
ANCORAIMES,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
ANZALDO,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema reducido completo,2021-04-01,0,4,0,4,4
CABEZAS,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
"CAIZA ""D""",rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
CAJUATA,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
CALAMARCA,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
CARANAVI,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
CARAPARI,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
CHIMORE,rabia,no de personas con esquema reducido completo,2021-04-01,2,0,2,0,2
CLIZA,rabia,no de personas con esquema reducido completo,2021-04-01,0,2,0,2,2
COCHABAMBA,rabia,no de personas con esquema reducido completo,2021-04-01,38,32,38,32,70
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2021-04-01,2,6,2,6,8
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
COLQUENCHA,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
COMARAPA,rabia,no de personas con esquema reducido completo,2021-04-01,2,4,2,4,6
CONCEPCION,rabia,no de personas con esquema reducido completo,2021-04-01,4,0,4,0,4
COPACABANA,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
COROICO,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
COTAGAITA,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema reducido completo,2021-04-01,4,5,4,5,9
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2021-04-01,2,4,2,4,6
EL ALTO,rabia,no de personas con esquema reducido completo,2021-04-01,37,25,37,25,62
EL TORNO,rabia,no de personas con esquema reducido completo,2021-04-01,4,4,4,4,8
EUCALIPTUS,rabia,no de personas con esquema reducido completo,2021-04-01,2,0,2,0,2
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
GENERAL SAAVEDRA,rabia,no de personas con esquema reducido completo,2021-04-01,2,0,2,0,2
HUANUNI,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2021-04-01,7,5,7,5,12
LA PAZ,rabia,no de personas con esquema reducido completo,2021-04-01,39,39,39,39,78
LAJA,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
MAIRANA,rabia,no de personas con esquema reducido completo,2021-04-01,2,1,2,1,3
MONTERO,rabia,no de personas con esquema reducido completo,2021-04-01,5,3,5,3,8
MORO MORO,rabia,no de personas con esquema reducido completo,2021-04-01,0,2,0,2,2
OKINAWA,rabia,no de personas con esquema reducido completo,2021-04-01,1,3,1,3,4
ORURO,rabia,no de personas con esquema reducido completo,2021-04-01,14,6,14,6,20
PAILON,rabia,no de personas con esquema reducido completo,2021-04-01,2,0,2,0,2
PORONGO,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
PORTACHUELO,rabia,no de personas con esquema reducido completo,2021-04-01,1,3,1,3,4
PUCARANI,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2021-04-01,5,3,5,3,8
RURRENABAQUE,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema reducido completo,2021-04-01,9,8,9,8,17
SACACA,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
SAIPINA,rabia,no de personas con esquema reducido completo,2021-04-01,2,0,2,0,2
SAN BENITO,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
SAN CARLOS,rabia,no de personas con esquema reducido completo,2021-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2021-04-01,0,2,0,2,2
SAN LUCAS,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
SAN PEDRO,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2021-04-01,79,80,79,80,159
SANTIVAÑES,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con esquema reducido completo,2021-04-01,7,0,7,0,7
SORATA,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
SUCRE,rabia,no de personas con esquema reducido completo,2021-04-01,64,38,64,38,102
TARATA,rabia,no de personas con esquema reducido completo,2021-04-01,0,2,0,2,2
TARIJA,rabia,no de personas con esquema reducido completo,2021-04-01,8,6,8,6,14
TIPUANI,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2021-04-01,4,2,4,2,6
TRINIDAD,rabia,no de personas con esquema reducido completo,2021-04-01,8,13,8,13,21
UYUNI,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
VIACHA,rabia,no de personas con esquema reducido completo,2021-04-01,0,2,0,2,2
VILLA RIVERO,rabia,no de personas con esquema reducido completo,2021-04-01,0,1,0,1,1
VILLAZON,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
VINTO,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
WARNES,rabia,no de personas con esquema reducido completo,2021-04-01,4,4,4,4,8
YANACACHI,rabia,no de personas con esquema reducido completo,2021-04-01,2,0,2,0,2
YAPACANI,rabia,no de personas con esquema reducido completo,2021-04-01,1,1,1,1,2
ACHACACHI,rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
APOLO,rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema reducido completo,2021-05-01,0,2,0,2,2
CABEZAS,rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
"CAIZA ""D""",rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema reducido completo,2021-05-01,2,1,2,1,3
CHIMORE,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema reducido completo,2021-05-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas con esquema reducido completo,2021-05-01,31,20,31,20,51
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2021-05-01,2,1,2,1,3
COLOMI,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
COMARAPA,rabia,no de personas con esquema reducido completo,2021-05-01,1,2,1,2,3
CORIPATA,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
COROICO,rabia,no de personas con esquema reducido completo,2021-05-01,1,2,1,2,3
COTOCA,rabia,no de personas con esquema reducido completo,2021-05-01,2,5,2,5,7
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2021-05-01,2,5,2,5,7
EL ALTO,rabia,no de personas con esquema reducido completo,2021-05-01,33,30,33,30,63
EL TORNO,rabia,no de personas con esquema reducido completo,2021-05-01,3,2,3,2,5
EUCALIPTUS,rabia,no de personas con esquema reducido completo,2021-05-01,1,1,1,1,2
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2021-05-01,1,1,1,1,2
GUANAY,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2021-05-01,5,2,5,2,7
LA PAZ,rabia,no de personas con esquema reducido completo,2021-05-01,39,36,39,36,75
LAJA,rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
MAIRANA,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema reducido completo,2021-05-01,4,6,4,6,10
ORURO,rabia,no de personas con esquema reducido completo,2021-05-01,8,12,8,12,20
PADILLA,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema reducido completo,2021-05-01,0,2,0,2,2
PUCARA,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
PUERTO ACOSTA,rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
PUERTO CARABUCO,rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2021-05-01,10,2,10,2,12
RURRENABAQUE,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema reducido completo,2021-05-01,5,7,5,7,12
SAIPINA,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
SAMAIPATA,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,no de personas con esquema reducido completo,2021-05-01,1,2,1,2,3
SAN CARLOS,rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
SAN LUCAS,rabia,no de personas con esquema reducido completo,2021-05-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2021-05-01,68,81,68,81,149
SIPE SIPE,rabia,no de personas con esquema reducido completo,2021-05-01,2,3,2,3,5
SUCRE,rabia,no de personas con esquema reducido completo,2021-05-01,34,29,34,29,63
TARIJA,rabia,no de personas con esquema reducido completo,2021-05-01,8,7,8,7,15
TEOPONTE,rabia,no de personas con esquema reducido completo,2021-05-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2021-05-01,3,2,3,2,5
TOCO,rabia,no de personas con esquema reducido completo,2021-05-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema reducido completo,2021-05-01,4,7,4,7,11
