,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
MONTERO,rabia,no de personas con vacuna antirrabica,2021-01-01,8,7,8,7,15
MORO MORO,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
ORURO,rabia,no de personas con vacuna antirrabica,2021-01-01,26,26,26,26,52
PADILLA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
PALOS BLANCOS,rabia,no de personas con vacuna antirrabica,2021-01-01,0,2,0,2,2
PORONGO,rabia,no de personas con vacuna antirrabica,2021-01-01,4,4,4,4,8
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2021-01-01,2,3,2,3,5
POTOSI,rabia,no de personas con vacuna antirrabica,2021-01-01,22,18,22,18,40
PUCARANI,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
PUERTO ACOSTA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2021-01-01,7,4,7,4,11
QUIME,rabia,no de personas con vacuna antirrabica,2021-01-01,5,2,5,2,7
SACABA,rabia,no de personas con vacuna antirrabica,2021-01-01,4,6,4,6,10
SAIPINA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
SAN ANDRES,rabia,no de personas con vacuna antirrabica,2021-01-01,8,1,8,1,9
SAN BORJA,rabia,no de personas con vacuna antirrabica,2021-01-01,2,0,2,0,2
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2021-01-01,0,3,0,3,3
SAN IGNACIO DE VELASCO,rabia,no de personas con vacuna antirrabica,2021-01-01,2,3,2,3,5
SAN JOSE DE CHIQUITOS,rabia,no de personas con vacuna antirrabica,2021-01-01,2,0,2,0,2
SAN JULIAN,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
SAN MATIAS,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
SAN PEDRO DE CURAHUARA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2021-01-01,253,227,253,227,480
SANTA ROSA DEL SARA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
SANTIAGO DE HUARI,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
SAPAHAQUI,rabia,no de personas con vacuna antirrabica,2021-01-01,0,9,0,9,9
SIPE SIPE,rabia,no de personas con vacuna antirrabica,2021-01-01,7,7,7,7,14
SORACACHI,rabia,no de personas con vacuna antirrabica,2021-01-01,2,0,2,0,2
SORATA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
SUCRE,rabia,no de personas con vacuna antirrabica,2021-01-01,50,56,50,56,106
TACACOMA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
TARIJA,rabia,no de personas con vacuna antirrabica,2021-01-01,3,6,3,6,9
TIAHUANACU,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2021-01-01,2,7,2,7,9
TRIGAL,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con vacuna antirrabica,2021-01-01,18,9,18,9,27
UMALA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
UYUNI,rabia,no de personas con vacuna antirrabica,2021-01-01,5,2,5,2,7
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2021-01-01,1,4,1,4,5
VIACHA,rabia,no de personas con vacuna antirrabica,2021-01-01,8,6,8,6,14
VILLA RIVERO,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
VILLAZON,rabia,no de personas con vacuna antirrabica,2021-01-01,1,11,1,11,12
VINTO,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
WARNES,rabia,no de personas con vacuna antirrabica,2021-01-01,13,14,13,14,27
YANACACHI,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
YOTALA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,2,0,2,2
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2021-02-01,2,2,2,2,4
APOLO,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
ARBIETO,rabia,no de personas con vacuna antirrabica,2021-02-01,6,4,6,4,10
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2021-02-01,2,2,2,2,4
AYATA,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
BATALLAS,rabia,no de personas con vacuna antirrabica,2021-02-01,0,2,0,2,2
CABEZAS,rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
CALAMARCA,rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
CAPINOTA,rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
CARANAVI,rabia,no de personas con vacuna antirrabica,2021-02-01,1,3,1,3,4
CARAPARI,rabia,no de personas con vacuna antirrabica,2021-02-01,4,1,4,1,5
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2021-02-01,1,3,1,3,4
CHAYANTA,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
CHIMORE,rabia,no de personas con vacuna antirrabica,2021-02-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
CLIZA,rabia,no de personas con vacuna antirrabica,2021-02-01,2,2,2,2,4
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2021-02-01,61,62,61,62,123
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2021-02-01,4,3,4,3,7
COLQUIRI,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
CONCEPCION,rabia,no de personas con vacuna antirrabica,2021-02-01,1,2,1,2,3
COPACABANA,rabia,no de personas con vacuna antirrabica,2021-02-01,0,2,0,2,2
COTOCA,rabia,no de personas con vacuna antirrabica,2021-02-01,8,6,8,6,14
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2021-02-01,4,7,4,7,11
EL ALTO,rabia,no de personas con vacuna antirrabica,2021-02-01,84,102,84,102,186
EL TORNO,rabia,no de personas con vacuna antirrabica,2021-02-01,13,8,13,8,21
EUCALIPTUS,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2021-02-01,1,2,1,2,3
IXIAMAS,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2021-02-01,3,1,3,1,4
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2021-02-01,28,11,28,11,39
LA PAZ,rabia,no de personas con vacuna antirrabica,2021-02-01,134,176,134,176,310
MINEROS,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
MONTERO,rabia,no de personas con vacuna antirrabica,2021-02-01,6,3,6,3,9
MORO MORO,rabia,no de personas con vacuna antirrabica,2021-02-01,1,2,1,2,3
OKINAWA,rabia,no de personas con vacuna antirrabica,2021-02-01,1,3,1,3,4
ORURO,rabia,no de personas con vacuna antirrabica,2021-02-01,17,23,17,23,40
PAILON,rabia,no de personas con vacuna antirrabica,2021-02-01,3,1,3,1,4
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2021-02-01,4,3,4,3,7
POOPO,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
PORONGO,rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2021-02-01,3,1,3,1,4
PUCARANI,rabia,no de personas con vacuna antirrabica,2021-02-01,1,2,1,2,3
PUERTO CARABUCO,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con vacuna antirrabica,2021-02-01,3,0,3,0,3
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2021-02-01,7,3,7,3,10
QUIME,rabia,no de personas con vacuna antirrabica,2021-02-01,5,2,5,2,7
SACABA,rabia,no de personas con vacuna antirrabica,2021-02-01,7,11,7,11,18
SAIPINA,rabia,no de personas con vacuna antirrabica,2021-02-01,2,1,2,1,3
SAMAIPATA,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas con vacuna antirrabica,2021-02-01,1,2,1,2,3
SAN BENITO,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2021-02-01,2,0,2,0,2
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2021-02-01,2,1,2,1,3
SAN MATIAS,rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
SAN PEDRO,rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
SAN PEDRO DE CURAHUARA,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2021-02-01,239,245,239,245,484
SAPAHAQUI,rabia,no de personas con vacuna antirrabica,2021-02-01,0,10,0,10,10
SIPE SIPE,rabia,no de personas con vacuna antirrabica,2021-02-01,3,4,3,4,7
SUCRE,rabia,no de personas con vacuna antirrabica,2021-02-01,67,64,67,64,131
TARATA,rabia,no de personas con vacuna antirrabica,2021-02-01,3,1,3,1,4
TARIJA,rabia,no de personas con vacuna antirrabica,2021-02-01,8,5,8,5,13
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2021-02-01,1,4,1,4,5
TOCO,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con vacuna antirrabica,2021-02-01,25,18,25,18,43
TUPIZA,rabia,no de personas con vacuna antirrabica,2021-02-01,1,0,1,0,1
UMALA,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
UYUNI,rabia,no de personas con vacuna antirrabica,2021-02-01,2,3,2,3,5
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
VIACHA,rabia,no de personas con vacuna antirrabica,2021-02-01,11,6,11,6,17
VILLA TUNARI,rabia,no de personas con vacuna antirrabica,2021-02-01,1,1,1,1,2
VINTO,rabia,no de personas con vacuna antirrabica,2021-02-01,2,1,2,1,3
WARNES,rabia,no de personas con vacuna antirrabica,2021-02-01,16,14,16,14,30
YACUIBA,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
YANACACHI,rabia,no de personas con vacuna antirrabica,2021-02-01,0,1,0,1,1
YAPACANI,rabia,no de personas con vacuna antirrabica,2021-02-01,2,1,2,1,3
YOTALA,rabia,no de personas con vacuna antirrabica,2021-02-01,2,0,2,0,2
ACHACACHI,rabia,no de personas con vacuna antirrabica,2021-03-01,3,0,3,0,3
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2021-03-01,3,2,3,2,5
AIQUILE,rabia,no de personas con vacuna antirrabica,2021-03-01,2,0,2,0,2
ANZALDO,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
APOLO,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
ARBIETO,rabia,no de personas con vacuna antirrabica,2021-03-01,1,4,1,4,5
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2021-03-01,5,1,5,1,6
ATOCHA,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
BATALLAS,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
"CAIZA ""D""",rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
CARACOLLO,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
CARANAVI,rabia,no de personas con vacuna antirrabica,2021-03-01,4,4,4,4,8
CARAPARI,rabia,no de personas con vacuna antirrabica,2021-03-01,1,1,1,1,2
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2021-03-01,2,3,2,3,5
CHAQUI,rabia,no de personas con vacuna antirrabica,2021-03-01,1,1,1,1,2
CHAYANTA,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
CHIMORE,rabia,no de personas con vacuna antirrabica,2021-03-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2021-03-01,1,1,1,1,2
CKOCHAS,rabia,no de personas con vacuna antirrabica,2021-03-01,2,0,2,0,2
CLIZA,rabia,no de personas con vacuna antirrabica,2021-03-01,0,3,0,3,3
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2021-03-01,70,53,70,53,123
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2021-03-01,2,8,2,8,10
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
COLPA BELGICA,rabia,no de personas con vacuna antirrabica,2021-03-01,2,0,2,0,2
COMARAPA,rabia,no de personas con vacuna antirrabica,2021-03-01,2,4,2,4,6
CONCEPCION,rabia,no de personas con vacuna antirrabica,2021-03-01,6,1,6,1,7
COPACABANA,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
COROICO,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
COTOCA,rabia,no de personas con vacuna antirrabica,2021-03-01,5,10,5,10,15
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2021-03-01,4,2,4,2,6
EL ALTO,rabia,no de personas con vacuna antirrabica,2021-03-01,111,98,111,98,209
EL TORNO,rabia,no de personas con vacuna antirrabica,2021-03-01,14,9,14,9,23
GUANAY,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
HUANUNI,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2021-03-01,1,2,1,2,3
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2021-03-01,17,13,17,13,30
LA PAZ,rabia,no de personas con vacuna antirrabica,2021-03-01,159,162,159,162,321
LURIBAY,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
MAIRANA,rabia,no de personas con vacuna antirrabica,2021-03-01,2,2,2,2,4
MAPIRI,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
MINEROS,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2021-03-01,1,1,1,1,2
MONTERO,rabia,no de personas con vacuna antirrabica,2021-03-01,4,5,4,5,9
MORO MORO,rabia,no de personas con vacuna antirrabica,2021-03-01,0,2,0,2,2
OKINAWA,rabia,no de personas con vacuna antirrabica,2021-03-01,2,0,2,0,2
ORURO,rabia,no de personas con vacuna antirrabica,2021-03-01,22,28,22,28,50
PADILLA,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
PAILON,rabia,no de personas con vacuna antirrabica,2021-03-01,2,3,2,3,5
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
PAZÑA,rabia,no de personas con vacuna antirrabica,2021-03-01,2,0,2,0,2
PORONGO,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2021-03-01,2,1,2,1,3
POTOSI,rabia,no de personas con vacuna antirrabica,2021-03-01,31,28,31,28,59
PUCARANI,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con vacuna antirrabica,2021-03-01,3,0,3,0,3
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2021-03-01,8,2,8,2,10
SACABA,rabia,no de personas con vacuna antirrabica,2021-03-01,12,18,12,18,30
SAIPINA,rabia,no de personas con vacuna antirrabica,2021-03-01,3,1,3,1,4
SAN ANDRES,rabia,no de personas con vacuna antirrabica,2021-03-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con vacuna antirrabica,2021-03-01,4,9,4,9,13
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2021-03-01,0,2,0,2,2
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2021-03-01,0,2,0,2,2
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2021-03-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,rabia,no de personas con vacuna antirrabica,2021-03-01,0,5,0,5,5
SAN PEDRO,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
SAN RAMON SCZ,rabia,no de personas con vacuna antirrabica,2021-03-01,2,5,2,5,7
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2021-03-01,242,239,242,239,481
SANTIVAÑES,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
SAPAHAQUI,rabia,no de personas con vacuna antirrabica,2021-03-01,0,15,0,15,15
SIPE SIPE,rabia,no de personas con vacuna antirrabica,2021-03-01,7,2,7,2,9
SORATA,rabia,no de personas con vacuna antirrabica,2021-03-01,2,1,2,1,3
SUCRE,rabia,no de personas con vacuna antirrabica,2021-03-01,87,48,87,48,135
TARATA,rabia,no de personas con vacuna antirrabica,2021-03-01,0,3,0,3,3
TARIJA,rabia,no de personas con vacuna antirrabica,2021-03-01,10,6,10,6,16
TIPUANI,rabia,no de personas con vacuna antirrabica,2021-03-01,1,1,1,1,2
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2021-03-01,5,3,5,3,8
TRINIDAD,rabia,no de personas con vacuna antirrabica,2021-03-01,35,33,35,33,68
TUPIZA,rabia,no de personas con vacuna antirrabica,2021-03-01,2,1,2,1,3
UNCIA,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
UYUNI,rabia,no de personas con vacuna antirrabica,2021-03-01,3,0,3,0,3
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2021-03-01,0,1,0,1,1
VIACHA,rabia,no de personas con vacuna antirrabica,2021-03-01,6,7,6,7,13
VILLAZON,rabia,no de personas con vacuna antirrabica,2021-03-01,1,2,1,2,3
VINTO,rabia,no de personas con vacuna antirrabica,2021-03-01,2,2,2,2,4
WARNES,rabia,no de personas con vacuna antirrabica,2021-03-01,38,21,38,21,59
YACUIBA,rabia,no de personas con vacuna antirrabica,2021-03-01,1,0,1,0,1
YANACACHI,rabia,no de personas con vacuna antirrabica,2021-03-01,2,1,2,1,3
ACHACACHI,rabia,no de personas con vacuna antirrabica,2021-04-01,1,1,1,1,2
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2021-04-01,1,1,1,1,2
AIQUILE,rabia,no de personas con vacuna antirrabica,2021-04-01,1,0,1,0,1
ANCORAIMES,rabia,no de personas con vacuna antirrabica,2021-04-01,1,0,1,0,1
APOLO,rabia,no de personas con vacuna antirrabica,2021-04-01,1,0,1,0,1
ARBIETO,rabia,no de personas con vacuna antirrabica,2021-04-01,1,2,1,2,3
BELEN DE ANDAMARCA,rabia,no de personas con vacuna antirrabica,2021-04-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2021-04-01,0,1,0,1,1
CABEZAS,rabia,no de personas con vacuna antirrabica,2021-04-01,1,1,1,1,2
CAJUATA,rabia,no de personas con vacuna antirrabica,2021-04-01,0,1,0,1,1
CARANAVI,rabia,no de personas con vacuna antirrabica,2021-04-01,1,1,1,1,2
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2021-04-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2021-04-01,2,2,2,2,4
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2021-04-01,52,49,52,49,101
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2021-04-01,2,0,2,0,2
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2021-04-01,0,1,0,1,1
COLLANA,rabia,no de personas con vacuna antirrabica,2021-04-01,0,1,0,1,1
COLOMI,rabia,no de personas con vacuna antirrabica,2021-04-01,1,0,1,0,1
COLQUIRI,rabia,no de personas con vacuna antirrabica,2021-04-01,1,0,1,0,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2021-04-01,1,2,1,2,3
CONCEPCION,rabia,no de personas con vacuna antirrabica,2021-04-01,4,0,4,0,4
COPACABANA,rabia,no de personas con vacuna antirrabica,2021-04-01,1,1,1,1,2
CORIPATA,rabia,no de personas con vacuna antirrabica,2021-04-01,0,1,0,1,1
COROICO,rabia,no de personas con vacuna antirrabica,2021-04-01,1,2,1,2,3
COTOCA,rabia,no de personas con vacuna antirrabica,2021-04-01,5,7,5,7,12
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2021-04-01,3,4,3,4,7
EL ALTO,rabia,no de personas con vacuna antirrabica,2021-04-01,92,85,92,85,177
EL TORNO,rabia,no de personas con vacuna antirrabica,2021-04-01,12,9,12,9,21
EUCALIPTUS,rabia,no de personas con vacuna antirrabica,2021-04-01,2,0,2,0,2
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2021-04-01,1,1,1,1,2
GENERAL SAAVEDRA,rabia,no de personas con vacuna antirrabica,2021-04-01,2,0,2,0,2
GUANAY,rabia,no de personas con vacuna antirrabica,2021-04-01,0,1,0,1,1
IXIAMAS,rabia,no de personas con vacuna antirrabica,2021-04-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2021-04-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2021-04-01,24,9,24,9,33
LA PAZ,rabia,no de personas con vacuna antirrabica,2021-04-01,132,152,132,152,284
LAJA,rabia,no de personas con vacuna antirrabica,2021-04-01,0,1,0,1,1
MINEROS,rabia,no de personas con vacuna antirrabica,2021-04-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2021-04-01,2,1,2,1,3
MONTERO,rabia,no de personas con vacuna antirrabica,2021-04-01,5,2,5,2,7
