,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
ORURO,rabia,no de personas con esquema clasico completo,2021-02-01,1,4,1,4,5
PAILON,rabia,no de personas con esquema clasico completo,2021-02-01,2,1,2,1,3
PORONGO,rabia,no de personas con esquema clasico completo,2021-02-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema clasico completo,2021-02-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2021-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2021-02-01,90,63,90,63,153
TOLATA,rabia,no de personas con esquema clasico completo,2021-02-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2021-02-01,14,11,14,11,25
TUPIZA,rabia,no de personas con esquema clasico completo,2021-02-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2021-02-01,1,2,1,2,3
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2021-02-01,0,1,0,1,1
VINTO,rabia,no de personas con esquema clasico completo,2021-02-01,0,2,0,2,2
WARNES,rabia,no de personas con esquema clasico completo,2021-02-01,3,3,3,3,6
YACUIBA,rabia,no de personas con esquema clasico completo,2021-02-01,0,1,0,1,1
YAPACANI,rabia,no de personas con esquema clasico completo,2021-02-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2021-03-01,1,2,1,2,3
APOLO,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
AYATA,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
AZURDUY,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
CHAQUI,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
CKOCHAS,rabia,no de personas con esquema clasico completo,2021-03-01,2,0,2,0,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-03-01,8,6,8,6,14
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2021-03-01,0,1,0,1,1
COLPA BELGICA,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
COPACABANA,rabia,no de personas con esquema clasico completo,2021-03-01,0,1,0,1,1
COROICO,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2021-03-01,3,5,3,5,8
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2021-03-01,15,10,15,10,25
EL TORNO,rabia,no de personas con esquema clasico completo,2021-03-01,5,6,5,6,11
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-03-01,7,3,7,3,10
LA PAZ,rabia,no de personas con esquema clasico completo,2021-03-01,20,11,20,11,31
ORURO,rabia,no de personas con esquema clasico completo,2021-03-01,1,3,1,3,4
PAILON,rabia,no de personas con esquema clasico completo,2021-03-01,2,2,2,2,4
POTOSI,rabia,no de personas con esquema clasico completo,2021-03-01,15,18,15,18,33
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2021-03-01,1,1,1,1,2
SACABA,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2021-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2021-03-01,53,63,53,63,116
SORATA,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2021-03-01,4,3,4,3,7
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2021-03-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2021-03-01,22,19,22,19,41
TUPIZA,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2021-03-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2021-03-01,1,3,1,3,4
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2021-03-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema clasico completo,2021-03-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2021-03-01,9,4,9,4,13
ACHACACHI,rabia,no de personas con esquema clasico completo,2021-04-01,2,0,2,0,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2021-04-01,1,1,1,1,2
ARBIETO,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
BATALLAS,rabia,no de personas con esquema clasico completo,2021-04-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con esquema clasico completo,2021-04-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
CHAQUI,rabia,no de personas con esquema clasico completo,2021-04-01,0,1,0,1,1
CLIZA,rabia,no de personas con esquema clasico completo,2021-04-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-04-01,7,8,7,8,15
COROICO,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2021-04-01,2,3,2,3,5
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2021-04-01,19,18,19,18,37
EL TORNO,rabia,no de personas con esquema clasico completo,2021-04-01,5,3,5,3,8
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-04-01,12,6,12,6,18
LA PAZ,rabia,no de personas con esquema clasico completo,2021-04-01,27,11,27,11,38
MAPIRI,rabia,no de personas con esquema clasico completo,2021-04-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2021-04-01,1,2,1,2,3
PELECHUCO,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2021-04-01,20,33,20,33,53
PUCARANI,rabia,no de personas con esquema clasico completo,2021-04-01,0,2,0,2,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2021-04-01,2,0,2,0,2
SACABA,rabia,no de personas con esquema clasico completo,2021-04-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2021-04-01,81,73,81,73,154
SUCRE,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2021-04-01,20,12,20,12,32
TUPIZA,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2021-04-01,3,3,3,3,6
VINTO,rabia,no de personas con esquema clasico completo,2021-04-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2021-04-01,5,6,5,6,11
ACHOCALLA,rabia,no de personas con esquema clasico completo,2021-05-01,1,0,1,0,1
BATALLAS,rabia,no de personas con esquema clasico completo,2021-05-01,0,1,0,1,1
BELEN DE ANDAMARCA,rabia,no de personas con esquema clasico completo,2021-05-01,2,0,2,0,2
CAMARGO,rabia,no de personas con esquema clasico completo,2021-05-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema clasico completo,2021-05-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2021-05-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema clasico completo,2021-05-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-05-01,6,7,6,7,13
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2021-05-01,0,1,0,1,1
CONCEPCION,rabia,no de personas con esquema clasico completo,2021-05-01,3,1,3,1,4
COPACABANA,rabia,no de personas con esquema clasico completo,2021-05-01,1,1,1,1,2
COTAGAITA,rabia,no de personas con esquema clasico completo,2021-05-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2021-05-01,10,1,10,1,11
EL ALTO,rabia,no de personas con esquema clasico completo,2021-05-01,12,28,12,28,40
EL TORNO,rabia,no de personas con esquema clasico completo,2021-05-01,9,2,9,2,11
LA ASUNTA,rabia,no de personas con esquema clasico completo,2021-05-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-05-01,7,4,7,4,11
LA PAZ,rabia,no de personas con esquema clasico completo,2021-05-01,16,6,16,6,22
MAPIRI,rabia,no de personas con esquema clasico completo,2021-05-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2021-05-01,2,5,2,5,7
PAILON,rabia,no de personas con esquema clasico completo,2021-05-01,3,2,3,2,5
POTOSI,rabia,no de personas con esquema clasico completo,2021-05-01,13,20,13,20,33
SACABA,rabia,no de personas con esquema clasico completo,2021-05-01,0,2,0,2,2
SAMAIPATA,rabia,no de personas con esquema clasico completo,2021-05-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,rabia,no de personas con esquema clasico completo,2021-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2021-05-01,67,72,67,72,139
SUCRE,rabia,no de personas con esquema clasico completo,2021-05-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2021-05-01,2,0,2,0,2
TRINIDAD,rabia,no de personas con esquema clasico completo,2021-05-01,8,4,8,4,12
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2021-05-01,0,2,0,2,2
VIACHA,rabia,no de personas con esquema clasico completo,2021-05-01,0,2,0,2,2
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2021-05-01,0,1,0,1,1
VINTO,rabia,no de personas con esquema clasico completo,2021-05-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2021-05-01,6,2,6,2,8
YACUIBA,rabia,no de personas con esquema clasico completo,2021-05-01,0,1,0,1,1
ACHACACHI,rabia,no de personas con esquema clasico completo,2021-06-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2021-06-01,1,0,1,0,1
ARBIETO,rabia,no de personas con esquema clasico completo,2021-06-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema clasico completo,2021-06-01,2,0,2,0,2
CAMIRI,rabia,no de personas con esquema clasico completo,2021-06-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2021-06-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2021-06-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-06-01,12,4,12,4,16
COPACABANA,rabia,no de personas con esquema clasico completo,2021-06-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2021-06-01,2,1,2,1,3
EL ALTO,rabia,no de personas con esquema clasico completo,2021-06-01,16,12,16,12,28
EL TORNO,rabia,no de personas con esquema clasico completo,2021-06-01,1,2,1,2,3
ESCOMA,rabia,no de personas con esquema clasico completo,2021-06-01,0,1,0,1,1
GENERAL SAAVEDRA,rabia,no de personas con esquema clasico completo,2021-06-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-06-01,2,3,2,3,5
LA PAZ,rabia,no de personas con esquema clasico completo,2021-06-01,11,12,11,12,23
PAILON,rabia,no de personas con esquema clasico completo,2021-06-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2021-06-01,2,0,2,0,2
POTOSI,rabia,no de personas con esquema clasico completo,2021-06-01,18,17,18,17,35
PUERTO ACOSTA,rabia,no de personas con esquema clasico completo,2021-06-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2021-06-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema clasico completo,2021-06-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2021-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema clasico completo,2021-06-01,0,1,0,1,1
SAN LUCAS,rabia,no de personas con esquema clasico completo,2021-06-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2021-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2021-06-01,56,41,56,41,97
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2021-06-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2021-06-01,12,15,12,15,27
TUPIZA,rabia,no de personas con esquema clasico completo,2021-06-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2021-06-01,2,4,2,4,6
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2021-06-01,1,1,1,1,2
VINTO,rabia,no de personas con esquema clasico completo,2021-06-01,0,1,0,1,1
ANCORAIMES,rabia,no de personas con esquema clasico completo,2021-07-01,1,0,1,0,1
ARANI,rabia,no de personas con esquema clasico completo,2021-07-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema clasico completo,2021-07-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema clasico completo,2021-07-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2021-07-01,0,1,0,1,1
CARAPARI,rabia,no de personas con esquema clasico completo,2021-07-01,0,1,0,1,1
CHIMORE,rabia,no de personas con esquema clasico completo,2021-07-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-07-01,9,8,9,8,17
CONCEPCION,rabia,no de personas con esquema clasico completo,2021-07-01,1,2,1,2,3
COTOCA,rabia,no de personas con esquema clasico completo,2021-07-01,0,2,0,2,2
EL ALTO,rabia,no de personas con esquema clasico completo,2021-07-01,10,13,10,13,23
EL TORNO,rabia,no de personas con esquema clasico completo,2021-07-01,1,0,1,0,1
HUACARETA,rabia,no de personas con esquema clasico completo,2021-07-01,1,0,1,0,1
HUANUNI,rabia,no de personas con esquema clasico completo,2021-07-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-07-01,4,5,4,5,9
LA PAZ,rabia,no de personas con esquema clasico completo,2021-07-01,15,11,15,11,26
ORURO,rabia,no de personas con esquema clasico completo,2021-07-01,0,1,0,1,1
PAILON,rabia,no de personas con esquema clasico completo,2021-07-01,3,3,3,3,6
POTOSI,rabia,no de personas con esquema clasico completo,2021-07-01,25,20,25,20,45
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2021-07-01,0,1,0,1,1
SAN BENITO,rabia,no de personas con esquema clasico completo,2021-07-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas con esquema clasico completo,2021-07-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2021-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2021-07-01,44,39,44,39,83
TARIJA,rabia,no de personas con esquema clasico completo,2021-07-01,9,9,9,9,18
TRINIDAD,rabia,no de personas con esquema clasico completo,2021-07-01,11,3,11,3,14
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2021-07-01,1,1,1,1,2
VIACHA,rabia,no de personas con esquema clasico completo,2021-07-01,4,2,4,2,6
VINTO,rabia,no de personas con esquema clasico completo,2021-07-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2021-07-01,4,1,4,1,5
ACHOCALLA,rabia,no de personas con esquema clasico completo,2021-08-01,2,0,2,0,2
CAPINOTA,rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
CHARAÑA,rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
CLIZA,rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-08-01,11,10,11,10,21
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
COROICO,rabia,no de personas con esquema clasico completo,2021-08-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2021-08-01,4,1,4,1,5
EL ALTO,rabia,no de personas con esquema clasico completo,2021-08-01,16,17,16,17,33
EL TORNO,rabia,no de personas con esquema clasico completo,2021-08-01,2,1,2,1,3
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-08-01,6,5,6,5,11
LA PAZ,rabia,no de personas con esquema clasico completo,2021-08-01,31,15,31,15,46
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2021-08-01,0,1,0,1,1
PAMPA GRANDE,rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2021-08-01,38,30,38,30,68
PUCARA,rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2021-08-01,1,1,1,1,2
SACABAMBA,rabia,no de personas con esquema clasico completo,2021-08-01,0,1,0,1,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2021-08-01,2,1,2,1,3
SAN JAVIER(STC),rabia,no de personas con esquema clasico completo,2021-08-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2021-08-01,75,67,75,67,142
TARIJA,rabia,no de personas con esquema clasico completo,2021-08-01,12,7,12,7,19
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2021-08-01,15,15,15,15,30
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2021-08-01,1,1,1,1,2
VIACHA,rabia,no de personas con esquema clasico completo,2021-08-01,1,3,1,3,4
WARNES,rabia,no de personas con esquema clasico completo,2021-08-01,5,2,5,2,7
YAMPARAEZ,rabia,no de personas con esquema clasico completo,2021-08-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2021-09-01,4,1,4,1,5
APOLO,rabia,no de personas con esquema clasico completo,2021-09-01,1,0,1,0,1
ARBIETO,rabia,no de personas con esquema clasico completo,2021-09-01,0,1,0,1,1
CABEZAS,rabia,no de personas con esquema clasico completo,2021-09-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2021-09-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-09-01,18,15,18,15,33
COROICO,rabia,no de personas con esquema clasico completo,2021-09-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2021-09-01,5,7,5,7,12
EL ALTO,rabia,no de personas con esquema clasico completo,2021-09-01,16,18,16,18,34
EL TORNO,rabia,no de personas con esquema clasico completo,2021-09-01,2,6,2,6,8
ICLA,rabia,no de personas con esquema clasico completo,2021-09-01,1,0,1,0,1
IXIAMAS,rabia,no de personas con esquema clasico completo,2021-09-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-09-01,15,6,15,6,21
LA PAZ,rabia,no de personas con esquema clasico completo,2021-09-01,32,17,32,17,49
LORETO,rabia,no de personas con esquema clasico completo,2021-09-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2021-09-01,0,2,0,2,2
PAILON,rabia,no de personas con esquema clasico completo,2021-09-01,5,0,5,0,5
PORONGO,rabia,no de personas con esquema clasico completo,2021-09-01,2,0,2,0,2
POTOSI,rabia,no de personas con esquema clasico completo,2021-09-01,66,100,66,100,166
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2021-09-01,1,1,1,1,2
SACABA,rabia,no de personas con esquema clasico completo,2021-09-01,1,1,1,1,2
SAIPINA,rabia,no de personas con esquema clasico completo,2021-09-01,0,1,0,1,1
SAN PEDRO,rabia,no de personas con esquema clasico completo,2021-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2021-09-01,99,81,99,81,180
SIPE SIPE,rabia,no de personas con esquema clasico completo,2021-09-01,1,0,1,0,1
TAPACARI,rabia,no de personas con esquema clasico completo,2021-09-01,1,0,1,0,1
TARIJA,rabia,no de personas con esquema clasico completo,2021-09-01,9,9,9,9,18
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2021-09-01,4,2,4,2,6
TOLATA,rabia,no de personas con esquema clasico completo,2021-09-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2021-09-01,13,15,13,15,28
UMALA,rabia,no de personas con esquema clasico completo,2021-09-01,1,0,1,0,1
UNCIA,rabia,no de personas con esquema clasico completo,2021-09-01,1,2,1,2,3
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2021-09-01,2,0,2,0,2
VIACHA,rabia,no de personas con esquema clasico completo,2021-09-01,1,2,1,2,3
VINTO,rabia,no de personas con esquema clasico completo,2021-09-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2021-09-01,9,4,9,4,13
YOTALA,rabia,no de personas con esquema clasico completo,2021-09-01,0,2,0,2,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2021-10-01,2,0,2,0,2
CAMARGO,rabia,no de personas con esquema clasico completo,2021-10-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2021-10-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2021-10-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-10-01,8,12,8,12,20
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2021-10-01,2,0,2,0,2
CORIPATA,rabia,no de personas con esquema clasico completo,2021-10-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2021-10-01,5,2,5,2,7
EL ALTO,rabia,no de personas con esquema clasico completo,2021-10-01,18,16,18,16,34
EL TORNO,rabia,no de personas con esquema clasico completo,2021-10-01,3,3,3,3,6
ENTRE RIOS CBBA,rabia,no de personas con esquema clasico completo,2021-10-01,1,0,1,0,1
GUANAY,rabia,no de personas con esquema clasico completo,2021-10-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema clasico completo,2021-10-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema clasico completo,2021-10-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-10-01,6,8,6,8,14
LA PAZ,rabia,no de personas con esquema clasico completo,2021-10-01,21,20,21,20,41
LORETO,rabia,no de personas con esquema clasico completo,2021-10-01,0,1,0,1,1
MAIRANA,rabia,no de personas con esquema clasico completo,2021-10-01,2,2,2,2,4
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2021-10-01,1,1,1,1,2
ORURO,rabia,no de personas con esquema clasico completo,2021-10-01,4,1,4,1,5
PAILON,rabia,no de personas con esquema clasico completo,2021-10-01,1,3,1,3,4
PORONGO,rabia,no de personas con esquema clasico completo,2021-10-01,1,0,1,0,1
PUCARANI,rabia,no de personas con esquema clasico completo,2021-10-01,0,1,0,1,1
