,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,18,17,0,1,18,18,36
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,11,20,0,0,11,20,31
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,55,59,2,2,57,61,118
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,41,27,5,0,46,27,73
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,15,22,1,1,16,23,39
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,21,21,3,1,24,22,46
BELEN DE ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,3,2,0,0,3,2,5
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,3,2,0,0,3,2,5
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,12,12,1,1,13,13,26
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,213,219,26,24,239,243,482
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,94,72,0,1,94,73,167
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,9,12,31,9,40,21,61
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,6,4,0,0,6,4,10
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,21,19,1,2,22,21,43
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,42,42,1,0,43,42,85
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,174,118,9,4,183,122,305
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,15,19,5,3,20,22,42
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,26,18,0,0,26,18,44
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,237,59,0,2,237,61,298
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,8,5,0,0,8,5,13
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,28,30,1,3,29,33,62
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,53,42,5,5,58,47,105
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,12,3,1,0,13,3,16
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,169,122,17,27,186,149,335
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,49,46,9,3,58,49,107
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,29,11,1,1,30,12,42
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,44,38,18,13,62,51,113
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,102,80,83,97,185,177,362
CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,3,0,0,1,3,4
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,84,65,3,1,87,66,153
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,15,14,0,0,15,14,29
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,16,13,2,3,18,16,34
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,5,3,1,5,6,11
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,3,0,0,1,3,4
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,65,76,53,68,118,144,262
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,20,21,1,0,21,21,42
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,202,174,9,6,211,180,391
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,2,0,0,2,2,4
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,31,33,1,0,32,33,65
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,117,99,98,93,215,192,407
CHIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,5,0,0,0,5,0,5
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,3,0,0,0,3,0,3
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,1,2,1,3,2,5
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,41,34,5,5,46,39,85
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,8,15,0,0,8,15,23
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,14,8,0,0,14,8,22
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,30,26,1,1,31,27,58
CLIZA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,84,61,16,12,100,73,173
COBIJA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,176,143,22,25,198,168,366
COCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,48,45,0,0,48,45,93
COCHABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2091,1938,1109,1171,3200,3109,6309
COIPASA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,1,0,0,2,1,3
COLCAPIRHUA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,104,99,140,149,244,248,492
"COLCHA ""K""",consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,46,26,5,2,51,28,79
COLLANA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,4,2,1,0,5,2,7
COLOMI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,43,51,2,1,45,52,97
COLPA BELGICA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,33,39,7,7,40,46,86
COLQUECHACA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,89,74,1,0,90,74,164
COLQUENCHA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,12,14,1,4,13,18,31
COLQUIRI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,63,39,5,0,68,39,107
COMANCHE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,2,0,0,2,2,4
COMARAPA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,46,51,12,4,58,55,113
COMBAYA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,4,4,0,0,4,4,8
CONCEPCION,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,63,40,52,31,115,71,186
COPACABANA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,9,8,0,0,9,8,17
CORIPATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,54,43,14,4,68,47,115
CORO CORO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,20,13,2,1,22,14,36
COROICO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,33,36,22,19,55,55,110
CORQUE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,12,17,0,0,12,17,29
COTAGAITA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,47,52,5,1,52,53,105
COTOCA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,133,153,17,5,150,158,308
CRUZ DE MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,1,0,0,1,1,2
CUATRO CAÑADAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,114,108,9,1,123,109,232
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,2,0,0,2,2,4
CUEVO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,14,9,0,1,14,10,24
CULPINA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,31,24,0,0,31,24,55
CURAHUARA DE CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,4,8,0,0,4,8,12
CURVA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,3,3,0,0,3,3,6
DESAGUADERO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,2,0,0,1,2,3
EL ALTO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2337,2341,660,750,2997,3091,6088
EL CHORO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,9,6,0,0,9,6,15
EL PUENTE(STC),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,45,44,2,5,47,49,96
EL PUENTE(TJA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,18,28,7,4,25,32,57
EL TORNO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,236,225,15,18,251,243,494
EL VILLAR,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,16,9,1,1,17,10,27
ENTRE RIOS TRJ,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,71,57,0,1,71,58,129
ENTRE RIOS CBBA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,272,177,22,20,294,197,491
ESCARA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,3,0,0,1,3,4
ESCOMA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,5,0,8,7,13,7,20
ESMERALDA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,0,0,0,2,0,2
EUCALIPTUS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,12,6,0,0,12,6,18
EUREKA (SANTOS MERCADO),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,6,6,0,0,6,6,12
EXALTACION,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,4,8,1,0,5,8,13
FERNANDEZ ALONSO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,54,18,22,4,76,22,98
FILADELFIA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,28,29,2,0,30,29,59
GENERAL SAAVEDRA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,41,35,1,2,42,37,79
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,20,8,9,9,29,17,46
GUANAY,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,62,54,5,2,67,56,123
GUAQUI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,4,4,0,1,4,5,9
GUAYARAMERIN,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,206,220,52,39,258,259,517
GUTIERREZ,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,126,85,1,1,127,86,213
HUACARETA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,20,32,4,1,24,33,57
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,18,14,2,1,20,15,35
HUACHACALLA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,6,2,1,3,7,10
HUANUNI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,45,52,7,16,52,68,120
HUARACAJE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,12,25,0,1,12,26,38
HUARINA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,8,3,6,8,14,11,25
HUATAJATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,5,8,6,10,11,21
HUAYLLAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,3,5,0,0,3,5,8
HUMANATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,3,1,0,0,3,1,4
ICHOCA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,11,4,2,2,13,6,19
ICLA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,24,26,0,0,24,26,50
INCAHUASI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,33,39,0,0,33,39,72
INGAVI (HUMAITA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,5,0,0,1,5,6
INQUISIVI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,20,24,0,0,20,24,44
IRUPANA (VILLA DE LANZA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,77,73,1,1,78,74,152
IXIAMAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,33,32,0,0,33,32,65
JESUS DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,19,34,24,12,43,46,89
LA ASUNTA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,147,166,8,8,155,174,329
LA GUARDIA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,231,271,19,16,250,287,537
LA PAZ,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2210,2134,643,635,2853,2769,5622
LA RIVERA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,0,1,0,0,0,1,1
LAGUNILLAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,25,41,1,0,26,41,67
LAJA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,34,19,6,4,40,23,63
LAS CARRERAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,9,8,0,0,9,8,17
LICOMA PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,4,6,0,0,4,6,10
LLALLAGUA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,178,149,4,1,182,150,332
LLICA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,5,12,1,0,6,12,18
LORETO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,10,0,0,2,10,12
LURIBAY,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,11,17,0,2,11,19,30
MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,5,6,0,0,5,6,11
MACHARETI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,31,22,1,1,32,23,55
MAGDALENA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,47,35,2,1,49,36,85
MAIRANA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,20,30,0,3,20,33,53
MALLA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,3,5,0,0,3,5,8
MAPIRI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,52,44,2,3,54,47,101
MECAPACA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,38,18,0,2,38,20,58
MINEROS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,58,62,17,12,75,74,149
MIZQUE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,81,55,7,4,88,59,147
MOCOMOCO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,24,13,0,2,24,15,39
MOJINETE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,0,2,0,0,0,2,2
MOJOCOYA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,23,21,2,2,25,23,48
MONTEAGUDO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,111,108,13,13,124,121,245
MONTERO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,596,519,84,64,680,583,1263
MORO MORO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,6,4,0,0,6,4,10
MOROCHATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,21,15,17,16,38,31,69
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,13,7,0,0,13,7,20
NAZACARA DE PACAJES,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,15,12,2,0,17,12,29
OCURI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,31,31,0,0,31,31,62
OKINAWA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,58,47,2,0,60,47,107
OMEREQUE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,24,20,2,2,26,22,48
ORURO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,810,900,315,314,1125,1214,2339
PADCAYA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,44,37,7,6,51,43,94
PADILLA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,36,58,1,2,37,60,97
PAILON,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,90,81,8,8,98,89,187
PALCA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,32,22,1,4,33,26,59
PALOS BLANCOS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,173,145,18,17,191,162,353
PAMPA AULLAGAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,10,8,0,1,10,9,19
PAMPA GRANDE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,12,13,0,2,12,15,27
PAPEL PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,18,11,3,1,21,12,33
PASORAPA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,7,9,2,1,9,10,19
PATACAMAYA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,36,51,6,1,42,52,94
PAZÑA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,21,10,1,0,22,10,32
PELECHUCO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,14,12,1,2,15,14,29
POCOATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,45,47,3,1,48,48,96
POCONA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,40,34,5,2,45,36,81
POJO (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,57,40,7,3,64,43,107
POOPO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,8,7,0,0,8,7,15
PORCO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,23,13,1,2,24,15,39
POROMA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,52,49,2,0,54,49,103
PORONGO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,19,34,0,3,19,37,56
PORTACHUELO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,75,73,69,106,144,179,323
PORVENIR,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,31,25,2,3,33,28,61
POSTRER VALLE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,2,1,0,2,2,4
POTOSI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,851,819,199,169,1050,988,2038
PRESTO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,27,23,1,1,28,24,52
PUCARA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,5,0,0,2,5,7
PUCARANI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,42,32,2,2,44,34,78
PUERTO ACOSTA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,20,6,0,0,20,6,26
PUERTO CARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,9,15,0,0,9,15,24
PUERTO GONZALO MORENO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,46,29,4,3,50,32,82
PUERTO PEREZ,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,8,4,0,0,8,4,12
PUERTO QUIJARRO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,107,125,2,0,109,125,234
PUERTO RICO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,60,54,1,2,61,56,117
PUERTO SILES,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,8,7,0,0,8,7,15
PUERTO SUAREZ,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,46,52,5,3,51,55,106
PUERTO VILLARROEL,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,314,313,21,24,335,337,672
PUNA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,41,35,6,7,47,42,89
PUNATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,92,69,43,24,135,93,228
QUIABAYA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,7,9,0,1,7,10,17
QUILLACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,225,224,414,361,639,585,1224
QUIME,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,33,16,0,2,33,18,51
QUIRUSILLAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,2,1,1,0,3,1,4
RAVELO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,25,17,0,0,25,17,42
REYES,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,56,65,7,5,63,70,133
RIBERALTA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,595,568,83,100,678,668,1346
ROBORE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,40,42,8,7,48,49,97
RURRENABAQUE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,76,67,5,20,81,87,168
SABAYA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,6,4,2,1,8,5,13
SACABA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,444,423,61,76,505,499,1004
SACABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,11,8,6,11,17,19,36
SACACA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,54,40,1,0,55,40,95
SAIPINA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,27,13,4,1,31,14,45
SALINAS DE GARCI MENDOZA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,30,33,0,0,30,33,63
SAMAIPATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,13,20,1,1,14,21,35
SAN AGUSTIN,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,3,10,0,1,3,11,14
SAN ANDRES,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,31,26,2,8,33,34,67
SAN ANDRES DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,1,0,0,1,1,2
SAN ANTONIO DE ESMORUCO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,6,7,2,2,8,9,17
SAN ANTONIO DE LOMERIO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,31,24,0,1,31,25,56
SAN BENITO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,31,15,5,6,36,21,57
SAN BORJA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,148,135,26,23,174,158,332
SAN BUENA VENTURA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,43,22,0,0,43,22,65
SAN CARLOS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,105,109,9,6,114,115,229
SAN IGNACIO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,133,146,9,10,142,156,298
SAN IGNACIO DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,239,265,9,12,248,277,525
SAN JAVIER(BNI),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,18,7,3,1,21,8,29
SAN JAVIER(STC),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,31,17,1,1,32,18,50
SAN JOAQUIN,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,36,26,4,1,40,27,67
SAN JOSE DE CHIQUITOS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,33,21,1,2,34,23,57
SAN JUAN DE YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,36,23,9,10,45,33,78
SAN JULIAN,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,287,221,66,65,353,286,639
SAN LORENZO(PND),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,25,26,0,0,25,26,51
SAN LORENZO(TJA),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,29,39,0,4,29,43,72
SAN LUCAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,89,81,2,1,91,82,173
SAN MATIAS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,46,41,14,8,60,49,109
SAN MIGUEL DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,30,27,5,3,35,30,65
SAN PABLO DE LIPEZ,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,11,9,2,0,13,9,22
SAN PEDRO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,57,68,5,6,62,74,136
SAN PEDRO DE BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,68,61,1,0,69,61,130
SAN PEDRO DE CURAHUARA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,12,12,0,2,12,14,26
SAN PEDRO DE QUEMES,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,1,1,0,0,1,1,2
SAN PEDRO DE TIQUINA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,5,3,1,1,6,4,10
SAN PEDRO(PND),consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,0,7,0,0,0,7,7
SAN RAFAEL,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,48,28,16,4,64,32,96
