,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2015-01-01,171,210,14,13,185,223,408
AZURDUY,consulta externa,personas de 60 anos y mas,2015-01-01,99,146,5,8,104,154,258
BATALLAS,consulta externa,personas de 60 anos y mas,2015-01-01,229,240,17,8,246,248,494
BAURES,consulta externa,personas de 60 anos y mas,2015-01-01,49,61,10,4,59,65,124
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2015-01-01,35,51,2,3,37,54,91
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2015-01-01,26,14,2,3,28,17,45
BELLA FLOR,consulta externa,personas de 60 anos y mas,2015-01-01,20,17,2,2,22,19,41
BERMEJO,consulta externa,personas de 60 anos y mas,2015-01-01,656,370,71,72,727,442,1169
BETANZOS,consulta externa,personas de 60 anos y mas,2015-01-01,386,461,51,67,437,528,965
BOLIVAR,consulta externa,personas de 60 anos y mas,2015-01-01,45,50,0,1,45,51,96
BOLPEBRA,consulta externa,personas de 60 anos y mas,2015-01-01,21,7,2,1,23,8,31
BOYUIBE,consulta externa,personas de 60 anos y mas,2015-01-01,27,52,9,26,36,78,114
BUENA VISTA,consulta externa,personas de 60 anos y mas,2015-01-01,152,123,23,10,175,133,308
CABEZAS,consulta externa,personas de 60 anos y mas,2015-01-01,272,288,35,29,307,317,624
CAIROMA,consulta externa,personas de 60 anos y mas,2015-01-01,124,100,23,17,147,117,264
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2015-01-01,94,279,1,8,95,287,382
CAJUATA,consulta externa,personas de 60 anos y mas,2015-01-01,62,110,4,2,66,112,178
CALACOTO,consulta externa,personas de 60 anos y mas,2015-01-01,141,142,16,7,157,149,306
CALAMARCA,consulta externa,personas de 60 anos y mas,2015-01-01,174,211,62,69,236,280,516
CAMARGO,consulta externa,personas de 60 anos y mas,2015-01-01,275,397,30,47,305,444,749
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2015-01-01,44,68,8,4,52,72,124
CAMIRI,consulta externa,personas de 60 anos y mas,2015-01-01,708,901,202,204,910,1105,2015
CAPINOTA,consulta externa,personas de 60 anos y mas,2015-01-01,152,191,143,164,295,355,650
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2015-01-01,134,126,16,13,150,139,289
CARACOLLO,consulta externa,personas de 60 anos y mas,2015-01-01,185,193,11,15,196,208,404
CARANAVI,consulta externa,personas de 60 anos y mas,2015-01-01,272,199,102,78,374,277,651
CARANGAS,consulta externa,personas de 60 anos y mas,2015-01-01,5,17,0,4,5,21,26
CARAPARI,consulta externa,personas de 60 anos y mas,2015-01-01,197,233,6,16,203,249,452
CARIPUYO,consulta externa,personas de 60 anos y mas,2015-01-01,32,37,1,0,33,37,70
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2015-01-01,26,32,7,15,33,47,80
CATACORA,consulta externa,personas de 60 anos y mas,2015-01-01,27,25,3,1,30,26,56
CHACARILLA,consulta externa,personas de 60 anos y mas,2015-01-01,21,25,3,3,24,28,52
CHALLAPATA,consulta externa,personas de 60 anos y mas,2015-01-01,256,346,52,74,308,420,728
CHAQUI,consulta externa,personas de 60 anos y mas,2015-01-01,89,162,6,14,95,176,271
CHARAGUA,consulta externa,personas de 60 anos y mas,2015-01-01,238,295,10,12,248,307,555
CHARAÑA,consulta externa,personas de 60 anos y mas,2015-01-01,61,62,7,4,68,66,134
CHAYANTA,consulta externa,personas de 60 anos y mas,2015-01-01,147,232,3,8,150,240,390
CHIMORE,consulta externa,personas de 60 anos y mas,2015-01-01,108,67,20,14,128,81,209
CHIPAYA,consulta externa,personas de 60 anos y mas,2015-01-01,5,4,0,0,5,4,9
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2015-01-01,3,9,0,1,3,10,13
CHUA COCANI,consulta externa,personas de 60 anos y mas,2015-01-01,52,56,30,24,82,80,162
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2015-01-01,105,92,68,35,173,127,300
CHUMA,consulta externa,personas de 60 anos y mas,2015-01-01,200,214,23,22,223,236,459
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 60 anos y mas,2015-01-01,26,27,0,0,26,27,53
CKOCHAS,consulta externa,personas de 60 anos y mas,2015-01-01,78,124,6,5,84,129,213
CLIZA,consulta externa,personas de 60 anos y mas,2015-01-01,115,195,62,115,177,310,487
COBIJA,consulta externa,personas de 60 anos y mas,2015-01-01,196,220,175,159,371,379,750
COCAPATA,consulta externa,personas de 60 anos y mas,2015-01-01,62,62,3,3,65,65,130
COCHABAMBA,consulta externa,personas de 60 anos y mas,2015-01-01,6999,8843,7895,10457,14894,19300,34194
COIPASA,consulta externa,personas de 60 anos y mas,2015-01-01,4,1,0,0,4,1,5
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2015-01-01,141,215,70,75,211,290,501
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2015-01-01,136,155,16,10,152,165,317
COLLANA,consulta externa,personas de 60 anos y mas,2015-01-01,41,37,7,18,48,55,103
COLOMI,consulta externa,personas de 60 anos y mas,2015-01-01,41,61,21,15,62,76,138
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2015-01-01,132,112,11,8,143,120,263
COLQUECHACA,consulta externa,personas de 60 anos y mas,2015-01-01,232,306,9,13,241,319,560
COLQUENCHA,consulta externa,personas de 60 anos y mas,2015-01-01,64,78,43,67,107,145,252
COLQUIRI,consulta externa,personas de 60 anos y mas,2015-01-01,200,222,18,7,218,229,447
COMANCHE,consulta externa,personas de 60 anos y mas,2015-01-01,38,28,21,12,59,40,99
COMARAPA,consulta externa,personas de 60 anos y mas,2015-01-01,129,192,48,78,177,270,447
COMBAYA,consulta externa,personas de 60 anos y mas,2015-01-01,61,65,1,1,62,66,128
CONCEPCION,consulta externa,personas de 60 anos y mas,2015-01-01,138,156,47,54,185,210,395
COPACABANA,consulta externa,personas de 60 anos y mas,2015-01-01,71,92,8,3,79,95,174
CORIPATA,consulta externa,personas de 60 anos y mas,2015-01-01,86,191,24,30,110,221,331
CORO CORO,consulta externa,personas de 60 anos y mas,2015-01-01,94,107,7,7,101,114,215
COROICO,consulta externa,personas de 60 anos y mas,2015-01-01,152,146,155,206,307,352,659
CORQUE,consulta externa,personas de 60 anos y mas,2015-01-01,73,71,4,3,77,74,151
COTAGAITA,consulta externa,personas de 60 anos y mas,2015-01-01,446,733,29,25,475,758,1233
COTOCA,consulta externa,personas de 60 anos y mas,2015-01-01,607,598,9,11,616,609,1225
CRUZ DE MACHACAMARCA,consulta externa,personas de 60 anos y mas,2015-01-01,9,14,1,0,10,14,24
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2015-01-01,97,122,17,15,114,137,251
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2015-01-01,24,32,2,0,26,32,58
CUEVO,consulta externa,personas de 60 anos y mas,2015-01-01,54,71,21,22,75,93,168
CULPINA,consulta externa,personas de 60 anos y mas,2015-01-01,174,317,2,8,176,325,501
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2015-01-01,50,58,6,13,56,71,127
CURVA,consulta externa,personas de 60 anos y mas,2015-01-01,35,68,2,2,37,70,107
DESAGUADERO,consulta externa,personas de 60 anos y mas,2015-01-01,31,52,20,32,51,84,135
EL ALTO,consulta externa,personas de 60 anos y mas,2015-01-01,4496,4815,2380,2668,6876,7483,14359
EL CHORO,consulta externa,personas de 60 anos y mas,2015-01-01,58,73,12,2,70,75,145
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2015-01-01,94,67,2,4,96,71,167
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2015-01-01,120,214,3,6,123,220,343
EL TORNO,consulta externa,personas de 60 anos y mas,2015-01-01,725,771,267,232,992,1003,1995
EL VILLAR,consulta externa,personas de 60 anos y mas,2015-01-01,73,170,3,13,76,183,259
ENTRE RIOS TRJ,consulta externa,personas de 60 anos y mas,2015-01-01,228,392,6,3,234,395,629
ENTRE RIOS CBBA,consulta externa,personas de 60 anos y mas,2015-01-01,109,74,24,6,133,80,213
ESCARA,consulta externa,personas de 60 anos y mas,2015-01-01,5,8,4,6,9,14,23
ESCOMA,consulta externa,personas de 60 anos y mas,2015-01-01,91,114,29,24,120,138,258
ESMERALDA,consulta externa,personas de 60 anos y mas,2015-01-01,28,17,0,0,28,17,45
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2015-01-01,84,90,3,2,87,92,179
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2015-01-01,4,4,4,2,8,6,14
EXALTACION,consulta externa,personas de 60 anos y mas,2015-01-01,3,5,0,0,3,5,8
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2015-01-01,60,88,8,11,68,99,167
FILADELFIA,consulta externa,personas de 60 anos y mas,2015-01-01,46,32,0,1,46,33,79
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2015-01-01,161,185,15,18,176,203,379
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2015-01-01,75,84,15,25,90,109,199
GUANAY,consulta externa,personas de 60 anos y mas,2015-01-01,145,139,1,0,146,139,285
GUAQUI,consulta externa,personas de 60 anos y mas,2015-01-01,100,120,34,34,134,154,288
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2015-01-01,378,511,136,241,514,752,1266
GUTIERREZ,consulta externa,personas de 60 anos y mas,2015-01-01,149,162,6,3,155,165,320
HUACARETA,consulta externa,personas de 60 anos y mas,2015-01-01,93,126,2,4,95,130,225
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2015-01-01,29,54,1,0,30,54,84
HUACHACALLA,consulta externa,personas de 60 anos y mas,2015-01-01,44,67,24,33,68,100,168
HUANUNI,consulta externa,personas de 60 anos y mas,2015-01-01,261,224,105,103,366,327,693
HUARACAJE,consulta externa,personas de 60 anos y mas,2015-01-01,22,41,1,2,23,43,66
HUARINA,consulta externa,personas de 60 anos y mas,2015-01-01,83,56,37,29,120,85,205
HUATAJATA,consulta externa,personas de 60 anos y mas,2015-01-01,63,48,77,105,140,153,293
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2015-01-01,96,106,2,7,98,113,211
HUMANATA,consulta externa,personas de 60 anos y mas,2015-01-01,45,43,2,1,47,44,91
ICHOCA,consulta externa,personas de 60 anos y mas,2015-01-01,92,84,1,0,93,84,177
ICLA,consulta externa,personas de 60 anos y mas,2015-01-01,116,201,6,4,122,205,327
INCAHUASI,consulta externa,personas de 60 anos y mas,2015-01-01,104,159,4,3,108,162,270
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2015-01-01,3,1,0,0,3,1,4
INQUISIVI,consulta externa,personas de 60 anos y mas,2015-01-01,159,153,6,10,165,163,328
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2015-01-01,257,272,76,60,333,332,665
IXIAMAS,consulta externa,personas de 60 anos y mas,2015-01-01,61,26,7,7,68,33,101
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2015-01-01,323,316,61,42,384,358,742
LA ASUNTA,consulta externa,personas de 60 anos y mas,2015-01-01,125,104,29,11,154,115,269
LA GUARDIA,consulta externa,personas de 60 anos y mas,2015-01-01,342,438,28,45,370,483,853
LA PAZ,consulta externa,personas de 60 anos y mas,2015-01-01,9962,13004,9489,13159,19451,26163,45614
LA RIVERA,consulta externa,personas de 60 anos y mas,2015-01-01,8,7,0,0,8,7,15
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2015-01-01,73,96,2,4,75,100,175
LAJA,consulta externa,personas de 60 anos y mas,2015-01-01,156,178,52,61,208,239,447
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2015-01-01,82,122,2,4,84,126,210
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2015-01-01,62,47,0,0,62,47,109
LLALLAGUA,consulta externa,personas de 60 anos y mas,2015-01-01,342,473,60,81,402,554,956
LLICA,consulta externa,personas de 60 anos y mas,2015-01-01,39,56,2,5,41,61,102
LORETO,consulta externa,personas de 60 anos y mas,2015-01-01,37,30,6,6,43,36,79
LURIBAY,consulta externa,personas de 60 anos y mas,2015-01-01,183,187,17,25,200,212,412
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2015-01-01,74,80,18,17,92,97,189
MACHARETI,consulta externa,personas de 60 anos y mas,2015-01-01,112,126,2,6,114,132,246
MAGDALENA,consulta externa,personas de 60 anos y mas,2015-01-01,90,114,26,25,116,139,255
MAIRANA,consulta externa,personas de 60 anos y mas,2015-01-01,47,82,21,29,68,111,179
MALLA,consulta externa,personas de 60 anos y mas,2015-01-01,45,40,3,1,48,41,89
MAPIRI,consulta externa,personas de 60 anos y mas,2015-01-01,101,58,12,13,113,71,184
MECAPACA,consulta externa,personas de 60 anos y mas,2015-01-01,124,142,8,7,132,149,281
MINEROS,consulta externa,personas de 60 anos y mas,2015-01-01,58,69,0,2,58,71,129
MIZQUE,consulta externa,personas de 60 anos y mas,2015-01-01,100,131,20,34,120,165,285
MOCOMOCO,consulta externa,personas de 60 anos y mas,2015-01-01,224,199,19,24,243,223,466
MOJINETE,consulta externa,personas de 60 anos y mas,2015-01-01,20,32,3,2,23,34,57
MOJOCOYA,consulta externa,personas de 60 anos y mas,2015-01-01,94,110,19,23,113,133,246
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2015-01-01,600,824,61,54,661,878,1539
MONTERO,consulta externa,personas de 60 anos y mas,2015-01-01,1124,1328,270,408,1394,1736,3130
MORO MORO,consulta externa,personas de 60 anos y mas,2015-01-01,27,47,23,41,50,88,138
MOROCHATA,consulta externa,personas de 60 anos y mas,2015-01-01,111,156,5,7,116,163,279
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2015-01-01,16,6,0,0,16,6,22
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2015-01-01,13,22,0,0,13,22,35
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2015-01-01,12,12,1,2,13,14,27
OCURI,consulta externa,personas de 60 anos y mas,2015-01-01,93,145,2,4,95,149,244
OKINAWA,consulta externa,personas de 60 anos y mas,2015-01-01,122,88,16,15,138,103,241
OMEREQUE,consulta externa,personas de 60 anos y mas,2015-01-01,73,81,1,1,74,82,156
ORURO,consulta externa,personas de 60 anos y mas,2015-01-01,3475,4411,2232,2721,5707,7132,12839
PADCAYA,consulta externa,personas de 60 anos y mas,2015-01-01,312,374,25,24,337,398,735
PADILLA,consulta externa,personas de 60 anos y mas,2015-01-01,289,487,4,7,293,494,787
PAILON,consulta externa,personas de 60 anos y mas,2015-01-01,78,84,5,11,83,95,178
PALCA,consulta externa,personas de 60 anos y mas,2015-01-01,104,84,15,14,119,98,217
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2015-01-01,337,245,28,26,365,271,636
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2015-01-01,29,27,0,2,29,29,58
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2015-01-01,53,86,11,21,64,107,171
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2015-01-01,204,192,15,3,219,195,414
PASORAPA,consulta externa,personas de 60 anos y mas,2015-01-01,45,87,11,23,56,110,166
PATACAMAYA,consulta externa,personas de 60 anos y mas,2015-01-01,91,102,36,36,127,138,265
PAZÑA,consulta externa,personas de 60 anos y mas,2015-01-01,33,30,3,0,36,30,66
PELECHUCO,consulta externa,personas de 60 anos y mas,2015-01-01,38,30,4,4,42,34,76
POCOATA,consulta externa,personas de 60 anos y mas,2015-01-01,227,313,0,5,227,318,545
POCONA,consulta externa,personas de 60 anos y mas,2015-01-01,79,166,2,7,81,173,254
POJO (CBBA),consulta externa,personas de 60 anos y mas,2015-01-01,48,84,5,6,53,90,143
POOPO,consulta externa,personas de 60 anos y mas,2015-01-01,57,78,15,13,72,91,163
PORCO,consulta externa,personas de 60 anos y mas,2015-01-01,29,43,2,2,31,45,76
POROMA,consulta externa,personas de 60 anos y mas,2015-01-01,157,188,12,16,169,204,373
PORONGO,consulta externa,personas de 60 anos y mas,2015-01-01,130,112,5,5,135,117,252
PORTACHUELO,consulta externa,personas de 60 anos y mas,2015-01-01,265,251,62,75,327,326,653
PORVENIR,consulta externa,personas de 60 anos y mas,2015-01-01,32,24,15,13,47,37,84
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2015-01-01,45,38,12,11,57,49,106
POTOSI,consulta externa,personas de 60 anos y mas,2015-01-01,2628,2739,570,405,3198,3144,6342
PRESTO,consulta externa,personas de 60 anos y mas,2015-01-01,132,156,2,1,134,157,291
PUCARA,consulta externa,personas de 60 anos y mas,2015-01-01,30,47,39,49,69,96,165
PUCARANI,consulta externa,personas de 60 anos y mas,2015-01-01,237,198,77,63,314,261,575
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2015-01-01,222,278,22,25,244,303,547
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2015-01-01,166,190,34,44,200,234,434
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2015-01-01,92,61,5,3,97,64,161
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2015-01-01,97,114,33,42,130,156,286
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2015-01-01,69,72,16,8,85,80,165
PUERTO RICO,consulta externa,personas de 60 anos y mas,2015-01-01,86,39,6,32,92,71,163
PUERTO SILES,consulta externa,personas de 60 anos y mas,2015-01-01,20,14,5,2,25,16,41
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2015-01-01,46,60,2,7,48,67,115
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2015-01-01,181,145,48,30,229,175,404
PUNA,consulta externa,personas de 60 anos y mas,2015-01-01,226,428,6,43,232,471,703
PUNATA,consulta externa,personas de 60 anos y mas,2015-01-01,315,447,245,405,560,852,1412
QUIABAYA,consulta externa,personas de 60 anos y mas,2015-01-01,64,56,3,4,67,60,127
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2015-01-01,749,1101,928,1410,1677,2511,4188
QUIME,consulta externa,personas de 60 anos y mas,2015-01-01,115,73,37,25,152,98,250
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2015-01-01,15,33,0,1,15,34,49
RAVELO,consulta externa,personas de 60 anos y mas,2015-01-01,130,190,5,3,135,193,328
REYES,consulta externa,personas de 60 anos y mas,2015-01-01,158,179,28,38,186,217,403
RIBERALTA,consulta externa,personas de 60 anos y mas,2015-01-01,560,536,177,178,737,714,1451
ROBORE,consulta externa,personas de 60 anos y mas,2015-01-01,149,170,26,29,175,199,374
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2015-01-01,142,116,96,74,238,190,428
SABAYA,consulta externa,personas de 60 anos y mas,2015-01-01,143,159,51,62,194,221,415
SACABA,consulta externa,personas de 60 anos y mas,2015-01-01,561,784,320,407,881,1191,2072
SACABAMBA,consulta externa,personas de 60 anos y mas,2015-01-01,46,79,5,12,51,91,142
SACACA,consulta externa,personas de 60 anos y mas,2015-01-01,56,99,3,2,59,101,160
SAIPINA,consulta externa,personas de 60 anos y mas,2015-01-01,62,59,12,17,74,76,150
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2015-01-01,105,134,3,2,108,136,244
SAMAIPATA,consulta externa,personas de 60 anos y mas,2015-01-01,131,157,7,25,138,182,320
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2015-01-01,22,46,17,13,39,59,98
SAN ANDRES,consulta externa,personas de 60 anos y mas,2015-01-01,63,48,15,13,78,61,139
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2015-01-01,129,136,64,65,193,201,394
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2015-01-01,20,39,1,0,21,39,60
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2015-01-01,55,73,1,1,56,74,130
SAN BENITO,consulta externa,personas de 60 anos y mas,2015-01-01,48,107,27,74,75,181,256
SAN BORJA,consulta externa,personas de 60 anos y mas,2015-01-01,190,182,95,91,285,273,558
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2015-01-01,120,109,7,11,127,120,247
SAN CARLOS,consulta externa,personas de 60 anos y mas,2015-01-01,339,319,52,51,391,370,761
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2015-01-01,152,184,16,8,168,192,360
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2015-01-01,273,297,53,46,326,343,669
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2015-01-01,10,12,0,1,10,13,23
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2015-01-01,36,55,3,6,39,61,100
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2015-01-01,40,74,12,18,52,92,144
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2015-01-01,91,167,29,27,120,194,314
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2015-01-01,90,111,25,38,115,149,264
SAN JULIAN,consulta externa,personas de 60 anos y mas,2015-01-01,290,252,18,17,308,269,577
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2015-01-01,40,25,1,1,41,26,67
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2015-01-01,207,311,14,20,221,331,552
SAN LUCAS,consulta externa,personas de 60 anos y mas,2015-01-01,346,613,4,11,350,624,974
SAN MATIAS,consulta externa,personas de 60 anos y mas,2015-01-01,95,108,9,3,104,111,215
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2015-01-01,58,56,50,39,108,95,203
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2015-01-01,28,64,1,4,29,68,97
SAN PEDRO,consulta externa,personas de 60 anos y mas,2015-01-01,148,147,26,31,174,178,352
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2015-01-01,78,165,1,3,79,168,247
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2015-01-01,177,161,29,34,206,195,401
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2015-01-01,11,15,1,3,12,18,30
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2015-01-01,91,104,126,159,217,263,480
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2015-01-01,16,10,0,0,16,10,26
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2015-01-01,37,46,21,20,58,66,124
SAN RAMON BENI,consulta externa,personas de 60 anos y mas,2015-01-01,54,73,0,0,54,73,127
SAN RAMON SCZ,consulta externa,personas de 60 anos y mas,2015-01-01,91,43,10,12,101,55,156
SANTA ANA,consulta externa,personas de 60 anos y mas,2015-01-01,132,163,44,73,176,236,412
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2015-01-01,8810,12983,2815,4023,11625,17006,28631
SANTA ROSA,consulta externa,personas de 60 anos y mas,2015-01-01,26,31,2,8,28,39,67
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2015-01-01,164,148,10,10,174,158,332
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2015-01-01,96,97,20,16,116,113,229
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2015-01-01,127,168,10,18,137,186,323
SANTIAGO DE HUATA,consulta externa,personas de 60 anos y mas,2015-01-01,152,170,30,49,182,219,401
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2015-01-01,74,100,13,13,87,113,200
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2015-01-01,72,138,20,23,92,161,253
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2015-01-01,32,28,12,6,44,34,78
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2015-01-01,78,98,23,16,101,114,215
SENA,consulta externa,personas de 60 anos y mas,2015-01-01,61,35,3,0,64,35,99
SHINAOTA,consulta externa,personas de 60 anos y mas,2015-01-01,78,59,25,17,103,76,179
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2015-01-01,275,303,29,28,304,331,635
SICAYA,consulta externa,personas de 60 anos y mas,2015-01-01,21,31,1,0,22,31,53
SIPE SIPE,consulta externa,personas de 60 anos y mas,2015-01-01,134,214,58,39,192,253,445
SOPACHUY,consulta externa,personas de 60 anos y mas,2015-01-01,140,192,3,5,143,197,340
SORACACHI,consulta externa,personas de 60 anos y mas,2015-01-01,44,75,2,1,46,76,122
SORATA,consulta externa,personas de 60 anos y mas,2015-01-01,210,263,67,55,277,318,595
SUCRE,consulta externa,personas de 60 anos y mas,2015-01-01,4480,6109,2039,3129,6519,9238,15757
TACACHI,consulta externa,personas de 60 anos y mas,2015-01-01,13,42,1,0,14,42,56
TACACOMA,consulta externa,personas de 60 anos y mas,2015-01-01,63,31,1,0,64,31,95
TACOBAMBA,consulta externa,personas de 60 anos y mas,2015-01-01,45,69,2,1,47,70,117
